7k/6pp/1p6/r7/P2NKP2/6P1/7P/8 b - -,a5a4
3bQ3/2qB2kp/1pPp1rp1/pP2p3/P3P3/6PP/8/3R2K1 b - -,f6f8
6r1/8/1kn3RP/8/3B4/6P1/p7/6K1 b - -,b6b7
r4rk1/2qnbppp/p1bppn2/Npp5/PP1P4/2PBPN1P/4QPPB/R4RK1 b - -,c5c4
rn3rk1/4p1bp/1np1b1p1/4P1N1/1p1P4/q1NB4/2QB1PP1/1R2K2R b K -,b4c3
r4rk1/ppp2ppp/1b1q2b1/2nP4/2BN4/2P1B2P/P4PP1/2RQR1K1 b - -,a7a6
1rbq1rk1/p3np1p/2p3p1/2B5/4p3/1NP5/P4PPP/R2QR1K1 b - -,d8d1
3qr1k1/r4pp1/1p2n1nB/3pP2Q/6N1/P1p3P1/7P/R4RK1 w - -,h6g7
8/7p/p2k4/5K2/3r4/1P1p4/P7/3R4 b - -,h7h5
r1bqk2r/pppnnpbp/6p1/4p3/2P5/2N2NP1/PP2PPBP/R1BQ1RK1 b kq -,e8g8
3r2k1/p1qr1pbp/4p1p1/1PpP1b2/P3p3/2P1B3/3QBPPP/2RR2K1 w - -,c3c4
r2q1rk1/1b3ppp/2p1p3/pp1nP3/P1pPP3/2P5/2QBB1PP/R4RK1 b - -,d5b6
rn1q1rk1/pp1bppbp/3p1np1/2pP4/2P1P3/2N2N2/PP3PPP/R1BQKB1R w KQ -,h2h3
1n3k1r/p2q1pb1/3p3p/2pN2p1/2Q5/2PP1NP1/Pr4P1/1R3RK1 b - -,b2b7
8/4k1p1/3q4/8/3b3P/5QP1/5PK1/8 b - -,d6f6
8/8/5p2/5p1p/7P/4k1P1/4P3/5K2 b - -,e3e4
r1bq1r1k/ppp3pp/1bnp1n2/4p1B1/N1B1P3/5N2/PPP2PPP/R2Q1RK1 w - -,a4b6
r1bq1rk1/5ppp/p3pn2/bp6/P2P4/3B1N2/1P3PPP/R1BQ1RK1 b - -,c8b7
1nb5/2r2k2/pp1bp2p/3p1p2/1P1P2p1/P2BPPP1/4N1P1/1N3RK1 b - -,g4f3
5k1r/p3b1pp/1q2p3/1B1n1pN1/8/3P1N2/PPKB1PPP/R6R w - -,b5c4
4k3/8/8/8/R7/pp1K4/8/2r5 w - -,a4a3
8/1p6/4P3/6p1/3rk3/6B1/1K3PP1/8 b - -,e4d5
2r2rk1/2q2pbp/p2p1np1/4P3/1nbBP3/1NN2B2/1PP2RPP/2RQ3K b - -,d6e5
r3kb1r/1bqnpppp/p2p1n2/1p2P1B1/3N1P2/2N2Q2/PPP3PP/R3KB1R w KQkq -,e5d6
2r2rk1/1b1n1pbp/p2ppnp1/1p6/Pq1PP3/R4N2/1PB1QPPP/1NB2RK1 b - -,b5a4
rn1q1rk1/pp2bppp/2p1pn2/5b2/4p3/3P1NP1/PPPN1PBP/R1B1QRK1 w - -,d3e4
r4rk1/p2nq2p/1p1b4/2pP2p1/4P3/2BN2P1/PPQ3BP/R5K1 b - -,d7e5
r4rk1/pbp1qppp/1p3n2/3p4/3Pn3/P1N2NP1/1P2PPBP/2RQ1RK1 w - -,f3d2
8/8/3kn3/p2p1pp1/3P4/P4P2/3NbP2/4K3 w - -,e1e2
4r3/5qnk/p1p4p/1p2Rp2/3P1P1Q/4B2P/PP6/6K1 w - -,e3d2
8/8/1p3k2/1b1Pp1p1/4P3/P4BK1/8/8 w - -,f3g4
8/5k1p/p3q1p1/1p3pP1/5P2/6P1/P2Q3K/8 b - -,f7e7
7r/3k4/p3pp2/1p1n3p/1prN4/7P/P1P2B1K/2R2R2 b - -,e6e5
r2q1rk1/1p3ppp/6b1/p1n1p3/1nQ1P1P1/1P5P/P2N1PB1/3R1RK1 w - -,c4c5
1r4k1/p2r2bp/4p3/5p2/1pP1pP2/4B3/P3R1PP/2R3K1 w - -,c4c5
2r1r1k1/p2nbp1p/1q3np1/3p4/RP1P4/2P2B2/1B1N2PP/3Q1R1K w - -,d1b3
r1b2rk1/4ppbp/6p1/1p6/PN1N4/1P2P3/5PPP/R1R3K1 b - -,b5a4
8/4k2p/3p4/2pB4/4PP2/6P1/P2b1K1P/8 w - -,f2e2
r1bq1rk1/pp2npb1/2npp1pp/2p5/4P3/2NPB1P1/PPP1NPBP/R2Q1RK1 w - -,d1d2
3r4/p2r1k1p/1p2ppp1/3b4/3P1PN1/PP6/3R2PP/3R2K1 w - -,d1b1
5rk1/p6p/1p1p2p1/2pP4/PP1n4/2PP2PB/7P/1R5K b - -,d4e2
rn1q1rk1/pbn1b2p/3ppp2/2p5/2P1N3/P2BQN2/1P3PPP/R1B2RK1 w - -,e4g3
6k1/1pp2ppp/p7/3P4/2P1rPP1/8/PP3K1P/4R3 b - -,e4f4
rn1q1rk1/pppb1pbp/3p1np1/1B2p3/2P1P3/1QNPBN1P/PP3PP1/R4RK1 b - -,c7c6
5rk1/1p1q2b1/p1n3pp/5b2/P2p4/5NPP/1PPB2BK/3QR3 b - -,g8h7
8/4kn1p/p4Qp1/8/2PB2K1/6P1/2q5/8 b - -,e7f8
3r2k1/p6p/5pp1/1p3P2/2p3B1/P1R3N1/4r1PP/6K1 w - -,g4e2
r4r1k/2pb1qbn/3p2p1/pNpPpp1p/P1P1P2P/4BPP1/1P1QB1K1/R6R b - -,d7c8
3rk2r/1pqbbp1p/pNnppp2/P7/4P3/1N6/1PPQ1PPP/R3KB1R w KQk -,f1e2
r1r3k1/nb1q1pp1/n2p1b1p/1p1Pp3/1Pp1P3/N1P1BN1P/R1B2PP1/1R3QK1 b - -,a6c7
rnb2rk1/pp2ppbp/5np1/2q5/2B5/2N1PN1P/PP1B1PP1/R2QK2R w KQ -,d1e2
2kr2r1/ppp3pp/2p1pn2/2b5/4P3/5P2/PPP1K1PP/RNB4R w - -,c1e3
8/2p1rkp1/3p2pp/1Np2n1P/8/2P5/PPK2R2/8 w - -,a2a4
4r1k1/5pp1/2qp3p/1p3Q2/2pRP3/2P1P2P/1P4PK/8 b - -,e8e5
r7/pp1q1k2/4r1p1/2p2p1p/3b1B1P/1P1P1QP1/P1P4K/4RR2 b - -,a8e8
8/8/pp3b1p/2Pp1k2/P1r2P2/2P1K2P/2PB4/R7 b - -,b6c5
r2qkb1r/1p3ppp/p1p1pn2/7b/3P4/P4N1P/1PP1BPP1/R1BQ1RK1 w kq -,c2c4
r3kbr1/p3pp2/q1np1n2/1pp3Np/4P1b1/2PPB3/PPB2PP1/R1Q1KN1R b KQq -,b5b4
4r1k1/5p2/2p3p1/p6p/P2Q3P/1PR3P1/5PK1/1q6 w - -,c3c6
r2qr1k1/pp2ppbp/1n4p1/1B4B1/3PP1b1/Q4N2/P4PPP/R4RK1 b - -,g4d7
5rk1/p2q3p/Bp4p1/3pPp2/P2PnP2/1Q2B1P1/1P5P/2R4K w - -,a6b5
5b1k/p4qpp/3p1p2/3Nn3/4P3/BP3P1P/6P1/2Q3K1 w - -,c1c8
4k3/8/4P2p/4KN1P/8/8/8/2b5 b - -,c1b2
rn1q1rk1/p1pp2pp/1p2pb2/3P1p2/2P1b3/1QP2NP1/P3PPBP/R1B2RK1 w - -,c1a3
2k1r3/3b1p2/p2Q4/1ppP1Pqp/2P5/1P1Nb2P/P3N3/5R1K b - -,g5h6
2r2b1r/4kp2/p2pb2p/1p1Nn1p1/4P3/6B1/PPPRB1PP/2K4R b - -,e7e8
2b2rk1/1pp1pp1p/1n1q2p1/6Q1/3nP3/2N4P/P4PP1/3RKB1R w K -,g5d2
r3k2r/pb2bppp/1pnqp3/2p5/2P5/1PB2N2/P2PBPPP/R2Q1RK1 w kq -,d2d4
r1r3k1/1p2ppbp/p2pb1p1/q1n5/P1P1P3/1PN1BP2/3QB1PP/R1R3K1 w - -,a1b1
8/4p1k1/6P1/5K2/3PB3/8/8/4r3 w - -,f5e5
8/6k1/2q1p1pp/3p4/6P1/2P2R1P/1P3K2/8 w - -,b2b4
3r2k1/pp4pp/2b1p3/4N1n1/8/4RP2/PP4KP/R7 b - -,c6d5
3rr1k1/pp3pp1/2p1pnbp/8/3P1q2/1BP3N1/PP2QPPP/3RR1K1 w - -,e2e3
8/pp3rb1/3Rb2n/3Npk1p/4N2p/5P1P/PP4P1/4K2R w K -,d5e3
2r1r1k1/1pq1ppbp/3p2p1/p2P2B1/4bP2/1NP5/PP1Q2PP/2R2R1K w - -,f1e1
r1b2r1k/5pp1/1pR2q2/pP1p4/8/8/3Q1PPP/4RBK1 b - -,c8e6
rnbqkbnr/pppppp1p/6p1/8/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq -,f8g7:c7c6:d7d6
8/pp3rqk/3p1b2/2p2P2/2Pp2Pp/1P5P/P3Q2N/4R1K1 b - -,f7e7
r1b1k2b/1p3p2/p1np4/2q2pP1/4P1P1/2N1Q3/PPP1B3/2KR4 w q -,e3c5
1r1r2k1/2q2p2/6pp/2pP4/2B5/3Q3P/Pb3PP1/R3R1K1 w - -,a1b1
6k1/4bpp1/1n1p4/1p1Pp2p/1Pp1P2P/2P2PP1/3Q3K/1q1N1B2 b - -,g7g6
