1k6/8/6pp/R1p5/7P/3B4/1r4r1/5K2 b - -,g2d2
5r1k/p5p1/1p1R1bqp/8/P4p2/2B5/1P3PPP/3Q2K1 w - -,h2h3
4r1k1/3r1pb1/p2P2p1/4P2p/1p3PN1/8/P1R3PP/2R3K1 w - -,c2c8
3rn1k1/3r1ppb/2pPp2p/1p2B3/1p2PP2/1P1n2PP/1P1NR1B1/R5K1 w - -,e2e3
5k1b/4n3/1p1r3p/2p2p1N/p4P1P/PbP1BN2/1P3K2/7R w - -,f3e5
5k2/5p2/1pR2np1/3p4/3P3P/4KPPB/1r6/8 b - -,f6h5
8/8/p3p3/r1n3p1/2P2k2/5N2/6P1/2R3K1 w - -,c1e1
3r1k2/pp1r1pp1/8/n2B1p2/1b2P3/1P1R2PP/1B4K1/5R2 w - -,f1f5
8/8/8/4PK2/8/8/1k6/2r5 w - -,e5e6
8/p1r2p2/1rpk2pp/R7/2K5/1R2PP2/P4P1P/8 b - -,c7b7
8/7N/1p4p1/1k6/1n3PK1/p2r2P1/7P/1R6 b - -,a3a2
3rr1k1/p4p2/1p2pp1p/8/1bP5/1P1RRbP1/PB3P1P/1B4K1 b - -,d8d3
r3k2r/p1pqnpp1/1p2p3/n2pP1Bp/3P1P1P/P1PQ4/2P1N1P1/R4RK1 w kq -,g5e7
r1bq1rk1/ppp1bppp/2np1n2/8/2B1PB2/P1N5/1PQ1NPPP/R4RK1 w - -,a1d1
1rbr1nk1/1p2qpp1/p2bpn1p/6B1/3N4/2N3P1/PPQ1PPBP/2RR2K1 w - -,g5f6
2r2rk1/p2qbppp/1p2pn2/1P1p4/2nP4/P1N3P1/1BQ1PPBP/R4RK1 b - -,c8c7
2br2k1/5p2/R4np1/2q1p3/1RN1Pb2/2P2QNP/5P2/5BK1 b - -,c8a6
2r3k1/pb3pp1/1p5p/r3p3/4P1B1/7Q/nq1N1PPP/R2R2K1 b - -,a2c3
8/3nk3/1p2p3/pP1pPpK1/P1rP1N2/8/5P2/7R b - -,d7f8
8/p4p1p/1bk1p1p1/3p4/5PKP/2P3P1/8/1R6 b - -,f7f6
r2qnrk1/3nbppp/3p4/p3pPP1/1p2P3/1P2B3/PP1QN2P/2KR1B1R b - -,a5a4
1r2kb1r/2q2pp1/2bppn1p/p7/1P1QPPP1/2N1BB2/1PP4P/2KRR3 b k -,a5b4
r4rk1/1p3ppp/1pn1pnb1/1N1p4/1b1P1BPP/4PP2/PP3K2/R4BNR b - h3,h7h5
8/8/4kpKp/8/4P2P/6P1/8/2b5 b - -,e6e5
3r1bk1/p4p1p/2b1qPp1/5N2/1ppBP1PQ/2Pr3P/P4R2/4R1K1 w - -,f5e7
r4bk1/pp3ppp/1np3b1/q7/4r1P1/1Q2BN1P/PP2PPB1/2RR2K1 w - -,e3d2
rn1q1rk1/p1ppbppp/bp2pn2/8/2PP4/1PN2NP1/P2BPP1P/R2QKB1R w KQ -,a1c1
rnb1kb1r/pp1p1ppp/4pn2/q7/3N4/2P3P1/PP2PPBP/RNBQK2R b KQkq -,f8e7
r2q1rk1/1p1n1pb1/p2p2p1/2p3Pp/P1P1PP2/2N5/1P1Q2P1/3RKB1R b K -,f8e8
r1bqk2r/pp2bppp/2n1pn2/2pp4/3P1B2/4PN2/PPP1BPPP/RN1Q1RK1 w kq -,d4c5
8/4ppk1/3p2np/3P2p1/P2NPn2/2Qq1P1P/4N1PK/8 b - -,g7f6
r2rbbk1/5p2/2p1p1pp/p2nP3/2NP1P2/p2B2P1/1P1NK1P1/2RR4 w - -,b2a3
6k1/R7/7p/8/2r1PK2/8/7P/8 b - -,c4c2
8/6pk/Q3p3/p2p2q1/8/1P5P/P7/1K6 b - -,g5g1
r5kb/5p1p/q2n2pP/3Pp1P1/4P3/1Q2B3/P4P2/1R2K1R1 w - -,f2f3
Qr6/p4k2/4pN1p/1q2Pnp1/8/3p1P2/PB6/KR6 w - -,a8a7
r2q1rk1/1p2p1bp/2p1n1p1/p2bPp2/P2P1P2/2B3P1/1P1Q2BP/R2RN1K1 b - f3,g6g5
r2qkbnr/1p3ppp/p3p1b1/2npP3/3N4/1N6/PPP1BPPP/R1BQ1RK1 b kq -,c5b3
2r2rk1/pp3ppp/4p3/1B1p3P/3qP1P1/2P5/P1P1Q3/3RK2R b K -,d4c3
rnbq2k1/pp3pp1/2pb3p/3p4/2PP4/2PB1N2/P4PPP/R1B1Q1K1 w - -,c4c5
3qbrk1/1p4pp/pn2p3/3nNp2/P2PN3/1B3Q2/1P3PPP/2R3K1 b - -,f5e4
8/8/1K1r4/P7/4k3/1P6/5p2/5R2 w - -,b6c7
r1b4r/pp1n1kpp/2pb1p2/3p4/7B/2PB1N2/PPP2PPP/R3K2R w KQ -,e1c1
4rrk1/1b2b1pp/2q5/1p1n1p2/P1p1N3/3P1P1P/1PB3P1/R1BQR1K1 w - f6,e4f2
6k1/5p2/4r3/2Pp2p1/1N2p2p/2K1P3/8/R7 w - -,c5c6
rn6/pp2ppkp/4b1p1/2P5/3rP3/P4P2/1P4PP/2R1KBNR b - -,b8d7
r1bqk2r/bpp2p2/p1np1n1p/4p1p1/4P3/1BPP1N2/PP1N1PPP/R1BQR1K1 w kq g6,d2f1
r7/8/8/2K5/8/3k4/1Rb5/8 b - -,d3c3
1knr3r/1p4p1/p1b2p1p/P1R1pP2/1PNpP1P1/3P4/3BK2P/2R5 b - -,c8d6
1r4k1/p4pp1/5q1p/1rp5/8/P5P1/1PRRPP1P/1Q4K1 b - -,g7g6
5rq1/8/8/2Qp3k/1p1P1pN1/b6P/6PK/4R3 b - -,f8f5
8/5kpp/p7/3r1P2/8/8/P6P/5RK1 b - -,d5d2
3r3r/p1R2ppp/3k4/1p1N4/2Bn2n1/B7/P4PPP/6K1 b - -,d6e5
1r1r2k1/3nq1pp/1p2pp2/p7/P1PB1P2/6Q1/1P4PP/2RR2K1 w - -,h2h3
1r3rk1/p2q2b1/2ppn1pp/8/2P1BP2/B2P4/P1Q3PP/4RRK1 b - -,g7d4
2rq1rk1/p4pbp/1p4p1/2n1p3/1n2N2P/2P2NB1/PP3PP1/1QK3RR w - -,e4c5
2r1qrk1/p2n3p/1p4p1/3pPp2/1b1P4/4B1PB/PP2Q2P/R4R1K w - f6,h3g2
r1bqk1nr/pp1pbppp/2n1p3/8/2P1P3/1NN5/PP3PPP/R1BQKB1R b KQkq e3,a7a6
r2qkn1r/pb2bpp1/1pp1pn1p/8/2PP2PP/2N1BN2/PPQ2P2/2KR1BR1 w kq -,g4g5
8/4kp1R/6p1/1p2Pp2/7P/P5P1/1r3PK1/8 w - -,h7h8
5r1k/pR3p1p/2Q3p1/q2B4/3bP3/6P1/5PKP/8 b - -,a5c5
r1b1kb1r/pp2p1pp/1qn2p2/3p4/1p1P3B/2P1P3/P2N1PPP/R2QKB1R w KQkq -,c3c4
8/1N6/1bp1k3/p6P/4K3/8/8/8 b - -,a5a4
8/p1q2kp1/5p2/8/1QP5/P7/6KP/8 b - -,c7c6
3r1rk1/p4pp1/1p1q2p1/3n1nP1/P1Bp2Q1/2P4P/3B1P2/1R2R1K1 w - -,c3d4
3q4/r2npp1k/1p2b1pp/1P1pP3/1B3P2/2QBP3/2R3PP/6K1 b - f3,d7f8
rn2k2r/1bq2pp1/p2bp2p/1p6/6n1/3BBN1P/PPPNQPP1/R4RK1 b kq -,g4e3
r3r1k1/pp1q2bp/2pp2p1/3P4/1P2pP2/4P3/P2QB1PP/2R1R1K1 w - -,c1c4
5k2/3q2pp/1n4b1/4Bp2/1p1N1P1P/3P2Q1/2P3P1/7K w - -,g3g5
6k1/2p2p1p/2n2b2/2p5/r5p1/4P1P1/3N1P1P/2R1BK2 w - -,c1c5
r3r1k1/pp3ppp/1q6/2b1nbBQ/2Pp4/1N4PP/PP3PB1/R3R1K1 w - -,b3c5
R7/8/2k3p1/4bp1p/8/1KBr1P1P/6P1/8 w - -,a8c8
1br2rk1/pb1nqppp/8/1pPppQN1/1P2n3/6P1/PN1BPPBP/R2R2K1 b - -,g7g6
r3k2r/p1q1bpp1/2ppbn1p/4p3/4P2B/2N5/PPPQBPPP/R4RK1 w kq -,a1d1
r1bqr1k1/p2nbppp/2pp4/4p3/3PP3/2N1BN2/PP3PPP/2RQ1RK1 w - -,d1c2
r1b2rk1/2q2p2/p1pbpQ1p/3p4/4P3/2NB4/PPP2PPP/4RRK1 b - -,d6h2
6k1/5p2/1q2pbp1/3p3p/p1rN3P/P3P1P1/1P2QP2/3R2K1 w - -,e2d2
r1bq1rk1/1pp2pb1/n2p2pp/p2Pp3/2P1P1n1/2N2N2/PP2BPPP/R1BQ1RK1 b - -,f7f5
1rr2k2/p2bppbp/2pp2p1/2P5/8/1PN1P1P1/P4PBP/2RR2K1 b - -,d6d5
6k1/2p4p/3p4/3Pr3/1pPb2p1/5p2/1PB2P1P/5RK1 w - -,b2b3
r4rk1/2p3b1/1p1pq1p1/5b1p/pQ3B1P/2P2P2/P3B3/5KNR w - -,f4g5
r2qk2r/pp3pp1/2pb1np1/2npp3/2P3P1/1N1PP2P/PP3PB1/R1BQK2R b KQkq -,c5e6
8/p2b4/2p2kpp/1p2bp2/8/P1P4P/BPN1KPP1/8 b - -,f5f4
1k2r2r/1p1q2p1/p1n1pppn/B1b5/2Np2P1/PP2P2P/4QPB1/R4RK1 w - -,f1d1
r2q1rk1/pp1bppbp/3p2p1/n1pPn3/2P5/PP4P1/R1QNPPBP/1NB2RK1 b - -,b7b5
