k7/2p5/2K3p1/8/5BPP/P7/8/1b6 b - -,b1c2
7k/7P/p2pN1p1/2pPp1Q1/2P1P3/q7/4K3/1r4R1 b - -,b1b2
2r2rk1/ppqnnppp/3bp3/8/2PP2N1/5N1P/PB2QPP1/2R2RK1 b - -,d6f4
r2q1rk1/4bpp1/p1p2n1p/3p4/5Bb1/2N3P1/PP2PPBP/2RQ1RK1 w - -,c3a4
4rbk1/r4p2/p1bp1p1p/1p2p3/nP2P3/PB2R2P/5PP1/R1B2NK1 b - -,e8d8
8/8/6p1/B2p3p/3PkP2/2P1n1K1/8/8 b - -,e3f5
8/8/8/2b5/8/p1pk4/2N5/1K6 w - -,c2a1
R7/8/3K4/5r2/3n4/3k4/8/8 b - -,f5h5
5rk1/pb2q1pp/1p6/2p1P3/2P1pQ2/2N5/P1P3PP/5RK1 w - -,c3d5
rnb1kb1r/1pqp1ppp/p3pn2/8/2PN4/P1N5/1P2PPPP/R1BQKB1R w KQkq -,e2e3:c1g5:e2e4
rnbq2k1/p4pbp/3p2p1/1NpP2N1/1r6/7P/PP3PP1/R1BQ1RK1 w - -,b5c3
2r1kb1r/p2q1ppp/1pn1p3/3pP3/1PnP4/P2B1N2/5PPP/R1BQK2R w KQk -,e1g1
r3k2r/pp1n1pp1/1qpbpn1p/3p4/3PP2B/2NQ1N2/PPP2PPP/1R3RK1 b kq -,d5e4
rnbqkb1r/pp1n1ppp/4p3/3pP3/3N4/8/PPPN1PPP/R1BQKB1R w KQkq -,d2f3
3r3k/p4r1p/1np5/4Rb2/3q1P1P/3B1Q2/PPP1N3/2K3R1 b - -,d4d7
rnbq1rk1/pp2b1pp/2pp1n2/4pp2/2P5/2NPP1P1/PP2NPBP/R1BQ1RK1 b - -,c8e6:b8a6
8/4bP2/1kB5/1P6/1PK5/8/6P1/8 w - -,c4d5
rnb2rk1/1p2ppbp/2pq1np1/8/1p6/P1N2NP1/1B1PPPBP/R2Q1RK1 w - -,a3b4
8/5p2/5kp1/4R2p/5P2/6PK/5r1P/8 b - -,f2d2
5b2/pp5r/4kp2/2p1p3/2PpP1P1/3P4/PP1B2K1/5R2 b - -,a7a6
8/pp5p/2p1k2r/3p1Nr1/3Pp1Pp/1P2Pn2/P1R2P2/2K4R b - -,g5f5
2bk4/7R/1p1Np3/2r4p/2PK4/5P2/8/8 w - -,h7h8
4n1kb/1pq1pr1p/p2pb1p1/4P3/2rB2P1/1NN2P2/PPP4Q/1K1R3R w - -,e5d6
1r3k2/2r2p1p/2Ppp1p1/8/2P2Pn1/6P1/6BP/R3R1K1 w - -,a1b1
2rr1k2/p6p/8/3pN2p/2p2P2/Pn2P3/1PR2K2/7R b - -,d5d4
2r1k1r1/pbNpp1bp/1p6/5p2/2P5/1P2BP2/P2RB1PP/2R3K1 b - -,c8c7
8/1K6/5pP1/3k4/P7/1P5B/8/2r5 w - -,h3g2
r1br1bnk/1pp4p/p3Pn1P/3P4/3B4/1PN2P2/P7/1K1R1BR1 w - -,g1g8
rnbq1rk1/pp1nb1p1/7p/3pPp2/3p3P/P4N2/1PQN1PP1/RBB1K2R w KQ -,d2b3
1rb1r1k1/3n1pbp/n2q2p1/p2Np3/1p2P3/1P3NP1/PB1Q1P1P/3RRBK1 w - -,f1c4
4r1k1/1p2bp1p/1q4p1/2p1B3/p2p2b1/1nPP2Q1/1P3PPP/3RR1K1 w - -,g3g4
3r1r2/pp2qpkp/5np1/P1pPp3/2B1P3/2P1Q2P/5PP1/R2R2K1 w - -,c4b5
3k4/r1pb4/p2p1n1p/3P2pP/2Rb4/1P3B2/P7/2R1K3 w - -,c4d4
8/3R4/8/3b2p1/4k2p/1P5P/P2r2P1/6K1 w - -,a2a4
1r1q1rk1/4ppbp/1n1p1np1/2pP4/1p2PB2/5B1P/1PPQNPP1/R4RK1 w - -,b2b3
2q5/bp1b1p1k/p2Np2r/4n3/1P2PN2/3B3P/2P3Q1/5R1K b - -,c8f8
r4rk1/3n2p1/2p4p/1p1p1p2/p1bP1B1P/P1P1PP2/2B3P1/R3R1K1 b - -,a8e8
8/8/5kp1/2nP1p1p/3Np2P/1P2P1P1/5P2/5K2 b - -,f6e5
1r3bk1/2pq2pp/4p2B/4P3/2Pp4/5RQ1/r4PPP/R5K1 w - -,a1d1
6Q1/8/7B/5K1k/3q4/8/8/8 b - -,d4d3
2r5/3k3p/3p1bp1/p4p2/1pbP4/P2K1P2/1P2NBPP/4R3 w - -,d3d2
8/7p/pk1nr1p1/1ppR4/1P3KPP/P1B2P2/8/8 b - -,c5c4
2kr4/ppp3qp/1bn1p3/8/2ppN1P1/8/PPP2P1P/R2QR1K1 w - -,g4g5
r2q1rk1/pp3ppp/1bn1b1B1/3p4/N4B2/1N6/PPPQ1PPP/2KR3R b - -,h7g6
rn1qkb1r/1b3ppp/p2p1n2/1p2p3/4P3/PNN2B2/1PP2PPP/R1BQK2R b KQkq -,b8d7
2rqr1k1/1p1b1pbp/2p3p1/p1pPp1PP/PnP1P2R/2N2N2/1P1QBP2/2KR4 w - -,d2e3
r4rk1/p2bqpbp/4p1p1/1B2P3/6n1/1P3N2/P3QPPP/2BRR1K1 b - -,d7b5
6k1/p5q1/1p4R1/7Q/1P3pp1/2n4P/6P1/4rNK1 w - -,g6g7
r3kb1r/3b1ppp/p1n1p3/q1npP3/5P2/1p1BBN2/PPP1NQPP/1K1R3R w kq -,a2b3
2k5/2p1r2p/6pP/1pR2p2/b2R1P2/4P3/5K2/8 b - -,e7d7
rnbqkb1r/p1pp2pp/4pn2/1p3p2/3P4/5NP1/PPP1PPBP/RNBQK2R w KQkq b6,f3e5
6k1/5pp1/1q3n1p/ppprb3/P6Q/1N2PBP1/1P3P1P/1R4K1 b - -,d5d8
8/5pk1/1R1Qn2p/4p1p1/p3P3/P4PBP/2r3PK/q7 b - -,c2c5
1r6/1r1R1pk1/1p4pp/p7/6PP/P7/1P3PK1/3R4 w - -,g2f3
5r1k/5p1p/r2q1Np1/2nPQ1P1/1p6/2p4P/1b3P2/1B2RRK1 w - -,e5d4
r2qkb1r/1p1npppp/1np5/p2P1P2/P7/2N2P2/1P4PP/R1BQKB1R b KQkq -,g7g6:d7f6
1k3b1r/1pq3pp/p4p2/1pP1n3/r7/1Q2B1P1/4PPBP/2R2RK1 w - -,b3e6
rn1qk2r/pbp1bppp/1p2pn2/3p2B1/2PP4/4PN2/PP1N1PPP/R2QKB1R w KQkq -,f1d3
5r1k/1b4bp/8/2rp1p2/1P2pP2/4N1P1/1P1RB2P/5R1K b - -,c5c8
4Q3/1rk2p1p/1p2p3/3p1p2/1qp5/6P1/P3PP1P/5BK1 b - -,c7d6
r1b3k1/pp2r2p/2pN1np1/2P2p2/1P2P3/PR4P1/4P1BP/2R3K1 b - -,f5e4
rnbqkb1r/ppp2ppp/8/3pP3/2P1nB2/8/PP2PPPP/RN1QKBNR b KQkq -,f8c5
6k1/NB1b1pbp/1B1p2p1/1p6/6n1/1P4P1/P3PP1P/6K1 b - -,g4f6
1r2r1k1/q5bp/3pp1p1/8/1P2P1P1/1n1B1Q1P/1PR5/1K2BR2 w - -,d3a6
r1bqk2r/pp1nbpp1/3ppn1p/2p5/2PPP2B/3B1P2/PP4PP/RN1QK1NR w KQkq c6,h4f2
8/pp4pk/7p/3n1p1P/1P1Q1P2/P4qB1/4p2K/8 b - -,d5e3
r3r1k1/2b3pp/2n2q2/1p1pN3/pPpP1P2/P7/1BQ3PP/R4RK1 b - -,c7b6
r1bqr1k1/pp1nppbp/2p2np1/3P4/8/1P3NP1/PBQPPPBP/RN3RK1 b - -,c6d5
1k6/p4p2/1p1b1pr1/2p5/1PPP4/P4RP1/5K2/2B5 w - -,b4c5
rn2kb1r/ppp2ppp/4pn2/3q4/2PP2b1/5N2/PP2BPPP/RNBQK2R b KQkq c3,d5d8:f8b4
6k1/p4b1p/B1p2ppb/2P1p3/4P3/r1B3P1/2KP1P1P/7R w - -,h1a1
r3kb1r/p1pp3p/b5p1/2p1Pp2/2Pq1P2/1PQ5/P2B2PP/3RKB1R b Kkq -,e8c8
rn1q1rk1/pb3ppp/1p2pn2/3pN3/1bPQ4/5NP1/PP2PPBP/R1B2RK1 b - -,d5c4
r4rk1/pp3ppp/1q2pn2/8/PP3R2/5b2/2BQ1PPP/5RK1 w - -,g2f3
5k2/1pr2p1p/5np1/p2pR3/P7/1PrB1PPP/2P1K3/1R6 b - -,c7c5
r3n1k1/3R3p/6p1/pp6/4N3/8/PP3KPP/8 b - -,a8c8
8/R4k2/1R2n3/6p1/4r1P1/2K5/8/8 b - -,f7f6
r1n1rqk1/1p3pb1/3p2pp/PppP2B1/4P1PP/5P2/1P1QN3/R4RK1 w - -,g5f4
3r3k/p1r3p1/1p3nRp/5B2/3P4/P4P2/1B1b1PK1/3R4 b - -,d2c3
2br2k1/4Rpq1/3p3p/2pP3Q/2Pb3R/8/6P1/r2N2BK w - -,g1d4
8/1n3k1r/3p1p2/3PpN1P/p1P1P2K/8/2P5/6R1 w - -,h5h6
2r1r1k1/1p3p2/5pp1/3P4/3pn3/pP3B1P/P2R4/K6R w - -,d2d4
5k1r/pp3pp1/1n2p3/4P2p/4R2P/P4Q2/1P3PPK/2r5 b - -,c1c6
4r2k/5pp1/2R3p1/1pN1b3/1Pb5/4B2P/5PP1/6K1 w - -,c5d7
4r3/pp2ppkp/2prq1p1/8/5Q2/1P2P3/P4PPP/R2R2K1 w - -,d1d6
8/4rk2/2rn2p1/8/2p5/R3P3/2KP2R1/8 w - -,a3a8
