2b5/8/5K2/3k4/8/8/8/R7 b - -,c8h3
3b4/3k1p2/6p1/1PK4p/4B3/4P1P1/5P2/8 b - -,d8a5
2r2rk1/1p1b1pp1/2n1p2p/p2pP3/1q3P2/1N1Q1NP1/PPP3KP/R6R w - a6,d3e3
r2r2k1/pp3pbp/4p1p1/n2P4/4P1b1/3BBN2/P3KPPP/1R5R w - -,e3g5
4bb2/pp3kpp/2p2p2/3p4/3P1B2/2P2N1P/PP3PP1/6K1 w - -,f4b8
r3r1k1/1b3p1p/1p1pnp2/pPp5/2P1P3/P2P4/1B1NB1PP/4R1K1 w - -,e1f1
r5rk/p3q1np/1p1pPp2/2pPn3/P3P2Q/2B3R1/1PB3P1/R6K b - -,a8f8
4Q3/2k2K2/6pp/p7/6P1/8/7P/q7 b - -,a1d4
r1bk1b1r/1pp2Bpp/p2q1p2/3P4/3np3/1Q6/PP1P1PPP/RNB2RK1 w - -,b3a4
r1bq1rk1/p3ppbp/2n3p1/1p2P1N1/3Pp3/1B2B2P/PP3PP1/R2QK2R b KQ -,c8b7:d8a5
2b2rk1/2p1p1bp/1pnq2p1/r2p2P1/3P3R/pP1B1N2/P1PQ1PP1/1KNR4 b - -,e7e5
3k4/8/1r6/4PK2/6p1/8/1p5P/R7 w - -,a1b1
4rk2/pp3p2/8/2p1qN2/P4b1Q/5P2/1P5P/6RK w - -,h4g4
4n3/5N2/5k1p/2pP1ppP/n1P5/3K1PPB/8/8 w - -,f7h6
8/1k2b2r/4p3/3r3p/2pPRBpP/6P1/1PK5/R7 b - -,e7f6
3rr1k1/1p3pp1/1p3n2/2p2q2/2bPp2Q/P1P1R2P/1PBB2P1/4R1K1 w - c6,e3g3
r1b2rk1/1pq1bppp/p1n2n2/4p3/3NP3/P1N1B1Q1/1PP1B1PP/R4RK1 b - -,c6d4
r4rk1/5ppp/p1npb2b/q2Np3/1pP1P2P/6PB/PPN2PK1/R2Q3R b - -,a5c5
rn1qkbnr/p3pppp/b1p5/8/PppPP3/8/1PQ2PPP/RNB1KBNR b KQkq -,g8f6
1nk1r2r/Q1pp1p1p/1p3qp1/3P3P/3P1b2/P3p3/1P2N1P1/1K1R1B1R b - -,f4d6
6k1/5p1p/1R4p1/6P1/1p6/4P3/5PKP/1r6 b - -,b4b3
r1bqkb1r/ppp4p/3p1p2/8/2P5/2P1BQ2/P4PPP/R3KB1R b KQkq -,d8e7
r2q1rk1/p1pbppbp/1pnp1np1/8/2PP3N/1QN1P1P1/PP3PBP/R1B1K2R w KQ -,b3c2
rr4k1/4ppbp/3p2p1/qbnP4/P1p5/2P3P1/2Q1PPBP/RNB1R1K1 w - -,a1a3
1r3r2/1b3kpp/p3pb2/3n1p2/Pp1N4/1P2PB2/1BR2PPP/3R2K1 b - -,d5c3
6k1/pR2rqpp/1pp2p2/4b3/2P5/4B1P1/PP3PBP/3Q2K1 b - -,e7b7
8/p7/1p4nB/2p2p1p/4k3/1PP3PP/P3K3/8 w - -,a2a4
r1bqk2r/pppn1ppp/3ppn2/6B1/1bPP4/2N5/PPQ1PPPP/R3KBNR w KQkq -,a2a3:e2e3
1rb5/5pk1/3n1q1r/3Pp2p/1Np1P1pP/2Q5/1P3PP1/R3RBK1 b - -,d6b5
2kr3r/1ppn2bp/p2pqnp1/3N2B1/P3P3/8/1PP1B1PP/R2Q1RK1 b - -,c8b8
r1b2rk1/pppnqppp/3bpn2/3p4/2P5/1P1P1NP1/PB2PPBP/RN1Q1RK1 b - -,c7c6
8/p1b4p/1p2k1p1/1Pp2pBP/2Pp4/3P2PK/P4P2/8 b - -,c7e5
8/8/4K3/r6p/3B1p1P/5k2/p4P2/6R1 b - -,a5a4:f3e4
r1b1kbnr/pp1p1p1p/2qP2p1/4p3/2NpP3/B7/P4PPP/1R1QKB1R w Kkq -,d1f3
r3qrk1/1bBnppbp/p5p1/1p1P1n2/8/1QN2N2/PP2BPPP/R4RK1 w - -,f1d1
r2r1k2/3B1pp1/1p2p2p/2b1B3/Pp2n3/4P2P/1P3PP1/2RR1K2 w - -,d7c6
6k1/pp2qrpp/3pN3/3P1pb1/3B2n1/4PQ2/P1r3PP/1R3RK1 b - -,h7h6
rn1qk2r/pb2bppp/1p1ppn2/8/2PpP3/2N2N2/PPB2PPP/R1BQ1RK1 w kq -,f3d4
5R2/8/8/8/4p3/6kp/r7/5K2 w - -,f8g8
2r2rk1/1p3ppp/p1q1pb2/3n4/P2P4/1B5P/1P2QPP1/2BRR1K1 w - -,e2f3
5bk1/1Q5R/3p1qp1/3Pp3/8/1P4P1/r4P1P/6K1 w - -,b7b6
8/1p3r2/p3k3/7p/1PPbpN2/8/P5K1/5R2 b - -,e6d6
r2q3r/pp1k1pp1/2pbp1n1/2N2bPp/2BP3P/5P2/PPPBQ3/2KR3R b - -,d7c7
2r3k1/5pp1/1P2p1p1/3q3P/3b4/2N2PP1/3KB3/1Q5R b - -,d4c3
r7/4bpk1/1R1p4/p1pP2p1/P1P3P1/6BP/6K1/8 b - -,a8d8
8/7k/1R5P/8/5P1K/6P1/1pr5/8 w - -,h4g5
rbbq1rk1/pp1n1ppp/4pn2/2Pp4/1P1P4/3B1N2/P4PPP/RNBQ1RK1 w - -,b4b5
rn3rk1/1bqpbppp/pp2pn2/8/1PP5/P1N1PN2/1B2BPPP/R2QK2R w KQ -,a1c1
r1bq1rk1/1pp2pn1/3p4/p1nPp1p1/2P1P3/2N1QPN1/PP2BKP1/R4R2 b - -,d8f6
r5k1/5p2/4n3/1p1R3p/1p2P3/6qP/2P1NPP1/6K1 w - -,e2g3
1r1q1rk1/1p1b1pbp/p2pp1p1/2p5/P1PNPP2/3PB1PP/1P4BK/1R1Q1R2 b - -,c5d4
1k1r3r/ppqn1pp1/2p2n1p/4p2P/2PPN3/6Q1/PP1N1PP1/1K1R3R b - -,f6e4
5rk1/5p1p/p5p1/N1nPq3/1p2P3/5R1Q/2r3PP/4R1K1 w - -,a5c6
r1b1r1k1/1p1npp1p/6p1/p1qP4/R2Q4/4B3/3NBPPP/4K2R b K -,c5c1
rnbqkb1r/pppppp1p/5np1/6B1/3P4/2N5/PPP1PPPP/R2QKBNR b KQkq -,d7d5
3rrbk1/1ppq1pp1/p1n2n1p/3bp3/8/2PP1NNP/PPB1QPP1/R1B1R1K1 w - -,b2b4
r2qkb1r/1p2pppp/p1n5/3p4/3P1B2/2Pb1N2/PP3PPP/R2QK2R w KQkq -,d1d3
3q1b1k/3b1pp1/2p4p/2Pp3n/1p1N4/1N3PQ1/r5PP/2B1R1K1 w - -,g3e5
2r1k2r/pp1bpp2/3p1p1b/2q2P1p/4P3/2NQ4/PPP3PP/1K1R1B1R w k -,g2g3
5k2/3b1n1p/3p2p1/2pP1p2/1pP2P2/1P3B1P/3NKQP1/2q5 w - -,f2h4
4r1k1/5pp1/2p5/pp3Pq1/3Pr2p/1P3Q1P/P1N1nRPK/5R2 w - -,f1d1
4rrk1/pbqnb1pp/1p5n/1Pp1pp2/2P1P3/P2P1NPP/1BQNR1B1/1R4K1 b - -,f5f4
r2qkb1r/1b1n1ppp/p3pn2/1Pp5/3P4/1B2PN2/1P2QPPP/RNB2RK1 b kq -,a6b5
r4nk1/5pp1/2p1pn1p/p3B3/2P5/P7/1P2BPPP/3R2K1 b - -,f8d7
r2q1r2/1bpnnpbk/p2pp1pp/1p6/2PPP2P/2N1BNP1/PP1Q1PB1/3RR1K1 w - -,c4b5
2r5/p3k1bN/1p2r1p1/8/2q3P1/1R4BP/3Q1P2/6K1 w - -,b3b1
r2k3r/1q1nb3/p3N1B1/1p1b2pp/5B2/P6Q/1PP2PPP/R6K b - -,d5e6
8/3P4/1R6/5pp1/k7/p1K4r/4B3/8 w - -,e2d3
8/p7/1p3rk1/4Rp2/PP1R2p1/3PK1P1/6r1/8 w - -,d4f4
r1b2rk1/p1bp1ppp/1p2pn2/8/2P3qP/P1N1P1P1/1PQBBP1K/R4R2 b - -,g4h4
r2qnk1r/pp1bppb1/3p1np1/3P4/P2BP2p/2NQ2P1/1P1N1PBP/R4RK1 b - -,h4g3
r4rk1/pp4pp/4bq2/3pn3/3N4/8/PPBQ1PPP/R4RK1 b - -,e6f7
r6r/4kp2/P2p1p2/N3pP1p/4K3/8/PP3RP1/8 b - -,a8a6
R5R1/8/4r3/2p1k3/2K1P3/2P4P/p7/r7 b - -,a1e1
4r1k1/p2q1p1p/6pb/p2P4/2p1PP2/3nB2P/B1Q2KP1/3R4 w - -,d1d3
rR6/2rk4/P1p1p2p/3pPp1P/3P2p1/6P1/1R3PK1/8 b - -,a8a6
8/3Rp2p/2r1bkp1/5p2/5P2/1pN3P1/1P2P2P/4K3 w - -,d7b7
2rq1rk1/pp1n1pbp/3n2p1/2pPp3/4P3/2N2BPP/PP2QP2/R1B2RK1 w - e6,c3b5
r1b2rk1/pp2bppp/2p2n2/8/4PN2/2B2PP1/PP5P/2R1KB1R w K -,e4e5
1q3bk1/1b3pp1/3N3B/1p1pn3/p2Q4/5P1P/PP4P1/3B2K1 w - -,d6b7
rnbqkb1r/pppn1ppp/4p3/3pP3/3P4/2N5/PPP2PPP/R1BQKBNR w KQkq -,d1g4:g1f3:f2f4:c1e3:c3e2
rnbqk2r/ppp1bppp/4pn2/3p2B1/3P4/2N1PN2/PPP2PPP/R2QKB1R b KQkq -,b8d7:c7c5:e8g8
r3n3/1b4pp/1p3k2/p2p1p2/3Pn2P/BP4PB/P3RP1K/2R5 b - -,a8c8
8/8/r3R2p/3K1BpP/6P1/5k2/1b6/8 b - -,a6e6
1r4k1/4Qp2/4p1p1/8/b2b1qNp/5B1P/5PP1/4R1K1 b - -,b8b2
