8/1p6/1p1p4/2k3K1/3R2P1/P1P2r2/8/8 w - -,d4f4
4k2r/3b2pp/3b1p2/Np2p3/8/4B1P1/PP2PP1P/2R3K1 b k -,e8e7
3r2k1/p2rbppp/1p2pn2/1N3n2/1P1P4/P3B3/1N3PPP/2RR2K1 b - -,f6d5
r3qrk1/ppp3bp/4p1p1/4p1B1/4P3/1nPQ3P/PP3PP1/3R1RK1 w - -,a2b3
r1bqk1nr/pppp1ppp/2n5/8/1bB1P3/2p2N2/PP3PPP/RNBQK2R w KQkq -,b2c3
5rk1/6pp/2p1p1n1/1pPn1Q2/4N3/7P/1P1B1PP1/4R1K1 b - -,e6f5
8/3r4/8/1R1B1n1p/1P1b1p1k/3R1P1P/5K2/8 w - -,f2e1
2rq1rk1/pb1nbppp/1pn1p3/2pp4/4PP2/2PP3P/PPB3PN/R1BQRNK1 w - -,c1d2
3r4/2b4p/1pB3k1/p2P1p2/P2B2p1/4P1PP/1P3PK1/8 b - -,h7h5
1Q3br1/3k1ppp/p1q1pn2/P7/3P4/2P3P1/5P1P/R4RK1 w - -,b8a7
1r3rk1/1p3pb1/p6p/N1PpP1p1/1P2RP2/2B5/1P5P/3R2K1 b - -,d5e4
1r4k1/1p2qrn1/p1p5/2PpP1RQ/3P4/3R4/P4PB1/6K1 w - -,d3h3
2r4r/pp2bk1p/1qn1ppb1/3p2p1/3P4/P1NBP1P1/1P2QPP1/2R1K1NR w K -,f2f4
3r4/1p1r2k1/2q2p1p/PR1p2p1/3R2P1/4P2P/1Q3PK1/8 b - -,d8f8
r2q1rk1/pb2bppp/1pn1pn2/2pp4/2P5/1P1PPNP1/PB2QPBP/RN3RK1 b - -,d8c7
5r2/p2r2bk/2RNq1pp/1Q1np3/5pP1/2B2P2/P2PP1KP/1R6 w - -,d6e4
r2q1rk1/pp3pbp/2n1p1p1/1B1pPn2/3P2P1/2N1BQ1P/PP3P2/3RK2R b K g3,f5e3
1qn1Qbk1/pp3pp1/4p2p/P2pP3/3P4/6P1/1P1B1P1P/5BK1 b - -,b8c7
r2qk2r/pp3ppp/2n1pn2/1B1p1b2/1b1P1B2/2N1PN2/PP3PPP/R2QK2R w KQkq -,d1a4:e1g1
8/8/5k2/R5p1/P1P2p2/1r1bp3/6P1/4R1K1 b - -,d3e4
6k1/8/p4KPP/Pp6/1P6/8/4b3/8 w - -,f6g5
3b4/nq3k2/3p3p/p2P2p1/Np1pPpP1/1P3P1P/PKQ5/2N5 b - -,d8f6
2k1r2r/p1pq1ppp/1bb5/2p1P3/2Pp1P1B/7P/PP1QN1P1/R4RK1 w - -,e2g3
r1b2rk1/pppnqppp/4p3/3n4/2NP1P2/8/PP2PPBP/RN1Q1RK1 w - -,e2e3
1q2r2k/6p1/R3pp1p/N7/3PQ3/7n/5P2/5K2 b - -,b8b5
rn1q1rk1/p4ppp/bpp1pn2/3p4/2PP4/P1PBPP2/4N1PP/R1BQK2R w KQ -,c4d5
2r2rk1/p2qppbp/1p1P2p1/8/PPNp1P2/3P4/2PQ2PP/R4RK1 b - -,e7d6
r1b1k2r/1p2q1pp/p1np1b2/3Bp3/4Pp2/N1N5/PPP2PPP/R2Q1RK1 w kq -,a3c4
1Q3r2/p4r1k/1pR3p1/3p3p/3Pp2P/4n2B/PPR3K1/8 w - -,g2g1
6k1/2N3p1/4B3/r7/6P1/6P1/6P1/4NK2 b - -,g8f8
r1b1qrk1/1pnnbppp/2pp4/p3p3/P1PPP3/2N1BN1P/1PQ1BPP1/R2R2K1 w - -,d1d2
rn2r1k1/ppq2pbp/2pp1np1/4p3/2PP2P1/1QN1PB1P/PP1B1P2/2KR3R b - g3,d6d5
r1bqk2r/pp3ppp/2n1pn2/2b5/Q1p5/5NP1/PP2PPBP/RNB2RK1 b kq -,e8g8
2brkb1r/pp3ppp/1qn2n2/3ppPB1/8/1N4P1/PPP1P1BP/RN1Q1R1K b k -,c6e7
r2q1rk1/ppp1ppbp/1nn1b1p1/8/3P4/2N1PNP1/PP3PBP/R1BQR1K1 b - -,h7h6
6k1/3qbppp/1p2p3/p1p1P3/P1P4P/1PB2QP1/5PK1/8 b - -,e7f8
nnr2rk1/p2q2p1/1p2p2p/3pPp1P/3P1B2/P1R2NP1/1P2QPK1/2R5 w - -,f3h4
5b2/1p4pp/p1k5/2pn4/4NBP1/3P3P/PPP2K2/8 w - -,f4d2
2k3r1/1p1b3Q/4q3/3pBpp1/2pP4/P1P5/1P3PPP/R5K1 w - -,a3a4
bn2R3/p4kpp/1p3q2/2p5/2P5/1QP3P1/P6P/6K1 w - -,e8b8
5rk1/4Rpb1/p6p/1p1p2pB/5qP1/1P1p4/P4P2/4Q1K1 w - -,g1g2
7k/6p1/8/3Q4/1q4PP/3pP3/5PK1/8 w - -,d5d8
r4rk1/p1q1npbp/bp2p1p1/2p1P3/Pn1p1B1P/3P1NP1/1PP1QPB1/R3RNK1 w - -,e2d2
3r4/5pkp/4pbp1/7q/1B3P2/P2QP2P/5PK1/1R6 w - -,d3e4
Q7/4nkpp/pr2q3/1p2Bp2/8/6P1/P1r1PP1P/R2R2K1 w - -,e5d4
5rk1/4ppb1/p2p3p/q2P1b2/2p2r2/1PN1P1R1/P1Q3BP/2R3K1 w - -,g2e4
3r2k1/1pq2pp1/2p2n1p/p4P2/3Pr3/1P1Q4/P1NR2PP/5RK1 w - -,d3f3
5Q2/7k/6p1/2n2p1p/p6P/P5PK/1P3qB1/8 w - -,f8f7
7k/3R4/7P/r5PK/8/8/8/8 b - -,a5a6
1r1qr1k1/4npbp/2p1p1p1/p1N5/P2PQ3/1PP5/5PPP/2NR1RK1 w - -,c1d3
1r3b2/p1r5/1n1pk2p/1P2p1pP/2p1N3/P3PP2/4K1P1/2RRB3 w - -,e4c3
2kr3r/2pnq1p1/1p3p2/2b1P2p/1BPpPP1P/3B1NPb/5R1N/R3Q2K b - -,c5b4
r4rk1/1p1bb1np/3p4/P2Ppp2/2NN2nq/P6P/1BB2PP1/R2QR1K1 w - -,h3g4
r7/p3Pp1k/6p1/1p4Pp/8/3r1RP1/PP3P2/6K1 w - -,f3d3
1rr3k1/1q3pp1/pp1ppn2/2n4p/2PNP3/2N2PPP/PP2Q1K1/2RR4 b - -,c5d7
8/4k3/1p5p/3RPBpP/P4b1r/5P2/6K1/8 b - -,h4h2
7k/r5bq/3p1pN1/1bnPpP1p/1p2P3/1P3Q2/2BK1P1P/6R1 b - -,h8g8
r1b2rk1/p3qppp/nbpp1n2/1p2p3/P2PP3/1BP2N2/1P1N1PPP/R1BQ1RK1 w - -,f1e1
r3k3/3qn1b1/p4pp1/1p2p3/4P1b1/1B1P3r/PP3Q1P/R1B1NR1K b q -,d7d4
r3qrk1/3bbppp/BB3n2/2p1p3/4P3/2N2P2/P2Q2PP/1R1R2K1 w - -,a6b7
1rb2rk1/p1q1pp1p/1p4p1/3Pn3/P1p1P3/2P3P1/3QBPNP/R4RK1 b - -,c8h3
1r2r1k1/p2pqp1p/1p4p1/2p4n/P1P5/2P3PP/3QPPB1/3RR1K1 b - -,e8d8
1r2k3/1r2pp1p/p1R1b1p1/3pP3/3P1P2/B4P2/P6P/2R3K1 b - -,b7b6
2r2r2/p2qn1k1/1p4pp/n2p1p2/5P2/1PN3PN/P1bQ1RBP/4R1K1 b - -,d5d4
5k2/4npb1/1pnr4/p1p5/5P2/P2PPB2/1P2KP2/1R4R1 b - -,e7d5
r1bqkb1r/pp3ppp/2n2n2/3p4/3QP3/2N2N2/PP3PPP/R1B1KB1R w KQkq -,f1b5
2r2rk1/2qnbppp/3pn1P1/3Bp2P/1p2P3/1N2BP2/PpPQ4/1K1R3R b - -,e7g5
8/pp4k1/7P/1p4r1/8/5K2/PPP2P2/7R b - -,g7h7
5bk1/5p1p/4p1p1/8/1pP1NP2/1P1rn1PP/4N3/2K1R3 w - -,e4d2
2r5/3k1p2/pp4pp/3Pb3/P7/3RpP2/2PN3P/2K5 w - -,d3e3
8/5p2/2p2kpp/1p2p3/4P1P1/1r1N2P1/3KB2P/8 b - -,b3b1
6k1/6p1/p3qp1p/3p4/bPpB1Q2/2P2P1P/P3r1PK/5R2 w - -,f4g3
r1bq1rk1/pp4b1/1n1pp1pp/8/2p1PP2/2NBBNnP/PPPQ1RP1/3R2K1 w - -,g1h2
5N2/8/1P2k1p1/4p3/n3P3/8/1r4PP/3R2K1 b - -,e6f7
1r1qr1k1/1ppbbppp/2n2n2/p3p3/2Pp4/PP1P2P1/2NNPPBP/1RBQ1RK1 w - -,b3b4
r1b1kb1r/1p2pppp/2n5/1p1p4/2pP1B2/2P1P3/PP1N1PPP/R3KB1R w KQkq -,e3e4
rnbqk2r/p4ppp/2p1pn2/1p6/P1p5/5NP1/P1QPPPBP/R1B1K2R b KQkq -,c8b7
r5k1/pp2rppp/2pn4/5q2/3P4/1R1NP1P1/P1Q2PP1/1R4K1 b - -,a8c8
5rk1/2Npqp1p/6p1/2p1n3/4Pn2/2Q3P1/1P3PP1/5RK1 w - -,g3f4
8/8/6k1/4R3/3rp1KP/6P1/8/8 b - -,g6f6
4r2k/q4p1p/6pb/P2Q1P2/2pP2B1/2P4P/2r1N3/R5K1 w - -,a5a6
2r5/8/1P1bk3/P6p/3B1pP1/1K6/5P2/3R4 b - -,h5g4
2r1kb1r/pp3ppp/8/1nnBP3/6b1/2N5/PP1B2PP/2K2RNR b k -,g4h5
2n1r3/2p2pkp/2N2qp1/3P1p2/8/1BbR1QP1/2P2P1P/6K1 b - -,e8e1
2br1r2/4q1k1/p4p2/1ppBp1p1/4P2p/P1PP1R1P/1P3QP1/5RK1 w - -,d3d4
6k1/5p2/1K4p1/p5q1/P2Q2P1/1P6/8/8 b - -,g8h7
N2r4/1p2kppp/p4n2/4p3/4q1b1/1Q2P3/PP2K1PP/R4B1R w - -,e2f2
