8/7r/7P/P2pkN2/6P1/3B1K2/2Pb4/8 b - -,d2h6
r2q1rk1/ppp2ppp/2n1p3/3n4/2pP4/P3P1P1/P1Q2PBP/R1B2RK1 b - -,d5b6
5rk1/2p3pp/p7/1p2pq2/8/3R2Q1/PP3PBP/6K1 b - -,c7c5
rnb1r1k1/ppq1p1bp/2pp1np1/5p2/2PP4/2N2NP1/PP1BPPBP/R1Q2RK1 w - -,d4d5
5rk1/6p1/1rn1p2p/6b1/R2pN3/1P1B4/P3KPPP/7R b - -,c6b4
4qbk1/1r3np1/r4p1B/1p1Pp2B/pPp1P2P/P1P5/5R1K/2Q3R1 b - -,e8d8
8/pp2k2p/n1p1bnp1/5p2/2P1pP2/1PN1P1PP/P2KN1B1/8 w - -,e2d4
2r4k/7p/p7/1p4p1/6P1/1P3R2/P4P1P/6K1 b - -,c8c2
6k1/1r3p1p/6p1/P7/bP1p3P/5PP1/1R3NK1/8 b - -,a4b5
8/4R3/r3p1k1/5pp1/5P2/4P1P1/8/5K2 w - -,f1g2
r1b2rk1/pp1n1pbp/2pp1np1/q3p3/2PPP3/2N1BNPP/PP3PB1/R2Q1RK1 b - -,d7b6:a7a6:e5d4:f8e8
r1b2rk1/pp2bppp/2p1pn2/q7/3P4/1QnBPNBP/PP3PP1/R3K2R w KQ -,b2c3
6k1/p2nbppp/1qp5/3p4/2P1b1n1/PN2PNP1/5PBP/2BQ2K1 b - -,e4f3
8/5pkp/3p2p1/3P4/1Pq3P1/6Q1/2r2P1P/5RK1 w - -,g3d6
r2q1rk1/ppp1b1pp/2nppn2/4p3/4P3/P2P1N1P/1PP2PP1/RNBQ1RK1 w - -,f1e1
r1bq1rk1/1p2bpp1/p1n2n1p/3p4/3N1B2/P1N1P3/1P2BPPP/R2QK2R w KQ -,e1g1
8/p5qk/1p1n3p/2pPpPB1/2P1P1N1/8/P3Q2K/8 b - -,g7g5
2k2nr1/6q1/4p3/1p1pPp2/pPpP3p/2P3rP/1P1Q2PN/4R1RK w - -,h2f3
r4rk1/pp2R2p/1n4b1/8/3Bpq2/2N5/PP2Q1P1/1K1R4 b - -,f8f7
2r1k2r/p3bppp/8/4nQ2/2pq4/B1N3P1/P4P1P/R3R1K1 b k -,e8g8
1r4k1/pp4bp/2pNr1p1/P1P2p2/1P1p1P1P/3R2P1/4P1K1/4R3 b - h3,b7b6
8/8/8/2P4R/4k3/2r5/8/4K3 b - -,e4d4
br4k1/2qn2pp/p3pr2/2bp4/1n1N1PP1/4BB2/1PP1N1QP/R4RK1 b - -,e6e5
r2q1rk1/1p1bbppp/3p1n2/p3p3/Pn2PP2/1NN1B3/1PP1B1PP/R2Q1R1K b - -,d7c6
3q1rk1/3rnpb1/p1p1p1pp/p1Q5/3PB3/4BN2/1PP2PPP/R5K1 b - -,d7b7
3r2k1/p3b1p1/1q2p2p/2pB1p2/1PP5/4Q1P1/P3PP1P/R5K1 b - -,g8f7
r7/1p1bk2p/4pb1p/3p3B/1P1n1P2/6PP/3N4/2R1R1K1 b - -,a8a3
8/R3bk2/3p4/1P6/2PB2r1/3K4/P7/8 b - -,f7e6
6k1/R7/1r5p/7K/5PP1/p7/8/8 b - -,b6f6
2kr1b1r/ppp2ppp/1qn2n2/4p3/3P2b1/P1NQBNP1/2P2PBP/R4RK1 w - -,f1b1
r1b2rk1/pp4pp/1n3q2/3pp3/8/1P2PN2/P3BPPP/R1Q2RK1 w - -,c1c7
1r4k1/p4Npn/3P1p2/2P3p1/2Q1P1q1/8/PrB3PP/R4R1K b - -,g4h5
1r5k/3R3p/4BP2/1p2p1p1/8/6PP/6K1/8 w - -,d7c7
3r3k/1p5p/p1r1q3/3p2R1/3Q4/1P5P/P5P1/3R3K b - -,e6f6
r4r1k/bpp2qpp/p1npbn2/3Np1B1/1P2P3/PB1Q1N1P/2P2PP1/R4RK1 b - -,f6h5
r4rk1/5ppp/1pp1b3/3n4/8/5NB1/PPP2PPP/R3K2R b KQ -,d5b4
r1b1kb1r/2qn1ppp/p1np4/4p1P1/Np2P3/1N2BP2/PPPQ3P/R3KB1R w KQkq -,e1c1
3r4/2b2p1R/p1p1bkp1/PpP1p3/1P2P1P1/2KBNPP1/8/8 w - -,e3d1
r1bqnrk1/p3n1b1/1p1p2pp/2pPp3/1PP1PpP1/P1NB1P1P/3QNB2/R3K2R b KQ -,f8f7
4nkn1/ppp3p1/4p1Q1/3p2BP/q2P1P2/2PB4/PP4P1/6K1 w - -,g6e6
r1bq4/ppn2kbp/3p2p1/5n2/5B2/5N2/PP3PPP/R2Q1RK1 w - -,f3g5
5rk1/1q2bp2/3p2p1/3P2n1/1p1BP1Pp/rP1N3P/1Q6/1K1RR3 w - -,e1e3
3r2k1/4pp1p/2p3p1/p7/P1b1B3/2b1B1P1/2P2P1P/1R4K1 w - a6,e4c6
r1b2rk1/ppp1q1b1/3p2pp/3P1P2/2P5/2NQ3P/PP2N1P1/R4RK1 b - -,c8f5
r4rk1/2q1bppp/p2pb3/1p2p3/2n1Q1N1/1BP3NP/PP3PP1/R1B1R1K1 b - -,f7f5
6k1/6p1/1p2r3/p2p4/P1p1nBRP/8/1P4PK/8 b - -,d5d4
8/1p3q1k/p6p/2p3R1/4N3/2P2n1P/PP5K/6R1 w - -,h2h1
2r3k1/pp3pp1/4p1p1/3bP3/P4P2/8/PB1R2PP/6K1 b - -,c8c4
r4rk1/1pnB4/5p2/p5p1/3B3R/P7/1P3P2/K5R1 w - -,d7a4
r3r1k1/ppq2pbp/2p2np1/3p1PB1/2bNP3/2N3PP/P2Q2B1/1R2R1K1 w - -,g5f4
7k/p1q3p1/P1nrQp1p/2R1p3/8/2P1B1P1/4PPKP/8 w - -,e6e8
8/8/8/R3bkp1/7r/5P2/4P1K1/8 w - -,g2g1
8/2p5/1p1p4/p2Pk2N/n1P5/6P1/2K5/8 w - -,g3g4
8/p2k2pp/1p3p2/2p5/2Pp1Pb1/3P2B1/P2K2PP/8 b - -,a7a6
r1bqkb1r/pp3ppp/2n2n2/3p4/3N4/1P6/PB2PPPP/RN1QKB1R w KQkq -,e2e3
r1b2rk1/1pq1bp1p/p1p1nnp1/2P1p3/1PN1P3/2N5/P3BPPP/1RBQ1RK1 b - -,f8d8
1r3rk1/1bpn1qb1/pp6/4p1pQ/PPPB4/2N2PP1/3N3P/1R2R1K1 w - -,h5f7
r2q2k1/1p1n2pp/2pB1p2/p2n1P2/3P2PN/1Q6/1P4KP/4R3 w - -,b3b7
7r/2k2p2/R1p2p2/2b1p2p/3pP3/1P4N1/P1P2PPP/5K2 b - -,c7b7
r2qk2r/pp1nbpp1/2p1p1n1/P2pPb1p/3P4/1N3N2/1PP1BPPP/R1BQ1RK1 b kq -,a7a6
rnb1kb1r/1p2pppp/p1p2n2/8/1q1P1B2/2N3P1/PPPQ1P1P/R3KBNR w KQkq -,f1g2
5rk1/3b3p/p1p5/3p2p1/1P6/P2B2P1/4P2P/5RK1 b - -,f8f1
5rk1/2R2pp1/7p/p7/8/1P3P2/P5PP/3rBK2 w - -,f1f2
r1bqr1k1/5pp1/p1p1p3/1pP3P1/3P2Q1/3B4/PP4PP/3R1RK1 w - -,g4h4
r6k/5ppp/2qpr3/pb2p3/4P3/1P2NPQ1/2P3PP/3RR2K w - -,e3f5
8/8/Rb2r1pp/3pkp2/1P1N4/3K3P/6P1/8 b - -,e6d6
2rr2k1/pp2bppp/2bqpn2/3nN3/3P4/2N1BB2/PP3PPP/1QRR2K1 w - -,e5c6
8/8/p3bk2/4p2P/8/P2p4/3K2P1/3B4 b - -,e6d5
4r3/3q2kp/bn4p1/2rpp3/3Q4/1P4PB/P3PP1P/1R3RK1 w - -,d4c5
6k1/1p3p1p/p3p3/3p4/PP1Pn1P1/4Pn1P/4pPK1/2R5 b - -,e2e1q
8/8/P4R2/4k1P1/4p3/8/r4P2/4K3 b - -,a2a3
rN2k3/p4ppp/1p2p3/1bQ5/6P1/P4P2/1P2P2P/4KB1R b K -,b6c5
8/1R3p2/1pr1pk2/6p1/1P2PnP1/4KP2/4B3/8 w - -,e2f1
4r1n1/2r1P2k/2NR3b/8/p7/P1R5/4Kp1P/8 b - -,g8e7
r2q1rk1/1p3pp1/2n2n1p/p1b1pb2/2PpN3/PP1P1PP1/1B4BP/R2QNRK1 b - -,c5e7
rn3rk1/pp2qpbp/2p1b1p1/3p2P1/3P4/1QNBPN2/PP3PP1/2KR3R w - -,h1h4
r1b1qrk1/ppp3bp/n2p1ppn/3Pp3/2P1P2B/2N2N1P/PP2BPP1/R2Q1RK1 b - -,g6g5
rnbqkbnr/pp3ppp/2p1p3/8/2QP4/5N2/PP2PPPP/RNB1KB1R b KQkq -,g8f6:b7b5
r2q3r/ppp2k2/3p1npp/1B1Pbn2/4N3/4B2P/PPPQ3P/2KR3R w - -,b5d3
5rk1/pp1qb1pp/1nr1p3/3pPpP1/P2P1P2/1P1NQ3/3B3P/R4RK1 w - -,d2b4
3r2k1/2R3pp/p3p1r1/P3Rp2/1P1BbP2/2P4P/8/5K2 w - -,h3h4
r2q1b2/1bp2kp1/p1np1n1p/1p2p3/3PP3/2P2N1P/PP3PP1/R1BQR1K1 w - -,d1b3
3r1rk1/pppqb1pp/1n2bp2/4p3/4N3/Pn1PBNP1/1P2PPBP/2R1QRK1 w - -,c1c2
3rr1k1/p4p1p/3q2p1/1bpP4/5P2/2Q2N2/PP3KPP/3R3R w - -,h1e1
r7/2pR1pk1/p3p1pp/P1N1qn2/8/7P/1PQ2PP1/6K1 b - -,a8b8
