2k5/1N4R1/4p3/p2pP3/8/5K2/1r6/4b3 w - -,b7d6
r2qk2r/pp2bppp/2p1pnb1/3n4/3P1BP1/1BN2N1P/PPP1Q3/R4RK1 w kq -,f4h2
2r1k2r/2qp1ppp/3bpnn1/1p6/4P3/3BBN2/1PP2PPP/R2Q1RK1 w k -,d3b5
5k2/5p2/3p4/1p4p1/1P1P1nq1/3Q2P1/4N3/6K1 w - -,e2f4
r1r3k1/1pqnppbp/2bp2p1/p7/PnP1P3/NPN1BP2/4B1PP/2R1QRK1 w - -,e1f2
8/3k4/2p2pp1/2P1p2p/1P1pPP1P/n2K2P1/3B4/8 b - -,d7e6
3r1k2/2p1r1np/1p1p4/1P1B1pP1/1P3P1P/4RK2/8/3R4 w - -,e3e7
3r4/Qp3p1k/4pP1p/4R1p1/6Pn/1PR5/P1qP3P/7K b - -,c2c3
r5k1/ppQN3p/2n5/1P6/P4B2/5qPb/5P1P/2R3K1 w - -,d7f6
8/8/pp1k2pp/5p2/2P2P2/1P1rR1PP/P4K2/8 b - -,d3d2
5R2/4r3/8/6k1/2NK4/8/8/8 b - -,e7e1
rn1qr1k1/p4pp1/3p1b1p/2pP4/bpP5/3BPN2/PPQ3PP/4RRK1 w - -,c2a4
5r1k/r3q1pp/1p1p4/3P1p2/1PQ1nP2/8/1BR3PP/5RK1 w - -,f1e1
1k1rr3/pp1n1ppp/8/4p3/3n4/PP1P2P1/5PKP/2RBR1N1 b - -,d8c8
2q3rk/4bp1p/1n4p1/1p1pP3/p2P2Q1/P3B1P1/1P1N1P1P/5RK1 w - -,g4f3
8/Bp3pp1/4p2p/3k3P/6P1/3K4/Pb6/8 w - -,a2a4
5r2/8/8/6R1/8/8/3K1p2/5k2 b - -,f8d8
1r1q2rk/4bp1p/2bp4/p3pP1Q/Np6/1BP3R1/PP4PP/5R1K b - -,e7h4
rnbqk2r/pp2bppp/3pp3/2pnP3/3P4/2PB1N2/PP3PPP/RNBQ1RK1 b kq -,b8c6
rn3rk1/1bq1bppp/pp1p1n2/8/4PB2/1NN2B2/PPP3PP/R2Q1R1K w - -,b3d4
r2r2k1/ppn3pp/3Pqp2/1PB5/P3P3/2P2N2/5PPP/3QR1K1 b - -,c7e8
3rrqk1/pp3ppp/1npb1n2/8/3P1P2/1BN2Q1P/PP1B2P1/R3R1K1 w - -,a1d1
2r2r2/p5bk/1pn1q1pp/2p1pp2/P1N5/1P1PBPP1/2Q1P2P/2R2RK1 b - -,c6b4
2r1k2r/2q1bppp/p1bppn2/1p6/4PP2/P1N1BB2/1PP3PP/R2Q1R1K w k -,d1e2
r2qk2r/1b2bppp/p1n1pn2/1p1pN3/3P4/6P1/PP1NPPBP/R1BQR1K1 w kq -,e5c6
8/3n4/2k3p1/p1P1N1P1/3K4/P7/8/8 b - -,d7e5
R7/8/2r2kp1/5p1p/7P/6P1/5K2/8 b - -,c6b6
8/8/8/1k1K4/p5r1/5R2/8/8 b - -,b5b4
6k1/4pp1p/6p1/2pP4/nrR1PP2/6PP/8/5BK1 b - -,b4c4
r1q2rbk/pR4pp/1bnP1p2/2p5/Q5P1/5NBP/PP3PB1/3R2K1 w - -,b7c7
1r4k1/1q3pbp/6p1/pp1p1P2/3Nn3/P1PQ4/1P5P/1KR1R3 w - -,d4c2
Q5k1/5pp1/1p2r3/PPp5/6q1/3P3p/5BP1/6K1 b - -,g8h7
1r6/5kpp/1r2bn2/3p2q1/3Pp3/QBP1N3/P4PPP/R3K2R w KQ -,a3b2
r1b1kb1r/3n1ppp/2p1pn2/p2p4/pP1P1B2/N1P1PN2/P4PPP/R3K2R w KQkq a6,a3c2
r4rk1/1bpnqppp/pp1b4/3p4/3Pn3/1PN1PN2/PB3PPP/2RQRBK1 b - -,f7f5
5bk1/2q4p/4pQp1/2p5/NpPr4/1P6/6PP/4R1K1 w - -,f6e6
r1bqk2r/pppp1ppp/2n2n2/2b5/2BpP3/5N2/PPP2PPP/RNBQ1RK1 w kq -,e4e5
6k1/pp3pp1/4r1qp/2Q5/1nPp4/3P3P/1P3PPN/3R2K1 b - -,b4d3
r1b2rk1/1q3pbp/n2ppnp1/2pP4/4P3/2N2N1P/PPQBBPP1/R4RK1 w - -,d2f4
2kr4/1pq2p1p/2pbr1p1/p7/P2PR3/2PB2P1/1PQ4P/1K5R b - -,e6e4
rnb1k2r/6pp/pp2pq2/2np4/3N1P2/6P1/PPPQ3P/R2NKB1R w KQkq -,d1f2
7k/2Nb2bp/6p1/4p3/1p1pP3/8/1PP1B3/6K1 w - -,e2c4
r1bqk2r/ppp1bppp/3ppn2/6P1/4PP2/2PP4/PP2Q2P/RNB1K1NR b KQkq -,f6d7
rnbqkbnr/pp2pppp/8/3pP3/3p4/4B3/PPP2PPP/RN1QKBNR w KQkq -,e3d4
rn1q1rk1/pb1pbppp/1p2pn2/2p5/2P5/1P2PN2/PB1PBPPP/RN1Q1RK1 w - -,a2a3:d2d4:d2d3
r3rbk1/1p3pp1/2p5/pq6/3p2np/P2P2P1/1P1BPPBP/1RRQ2K1 w - -,h2h3
4r1k1/1bqrbppp/p2ppn2/1p6/3BPP2/P1NB3Q/1PP3PP/4RR1K b - -,g7g6:e6e5
2kr3r/pp1bq2p/1bnQ1p2/4p3/4N3/2P2N2/PP2B1PP/R3K2R b KQ -,h8f8
4r3/7p/1p2nkp1/pP3p2/2Pp1P2/P7/B2K2PP/4R3 b - -,e8d8
r1b1k2r/ppq2ppp/2n1p3/8/3P1b2/2PB1N2/P2B1PPP/R2QK2R w KQkq -,e1g1
r3k2r/pppq1ppp/4p3/7b/1bPPp3/1P4P1/PB1NPP1P/R2QK2R w KQkq -,a2a3
8/8/5pkp/1R6/1p6/5KP1/5P2/1r6 b - -,b4b3
6k1/1pr3p1/p5r1/P1Np1pnp/1P1P4/2Q1PPqP/5RP1/R4K2 b - -,f5f4
r1q1r1k1/2p2ppn/p7/1p2P1PQ/4P3/1P6/1B3PK1/R1R5 b - -,c8d8
rrb3k1/2qn2bp/p2p1pp1/1p1Pp3/P1p1P1P1/2P1B3/1PBNQPP1/R3R1K1 b - -,d7c5
5k2/8/5n1p/P7/1P6/6Q1/3q1RK1/8 b - -,d2d5
4r1k1/2p2ppp/pp1q4/3p4/3P4/P1P2P2/2PQ2PP/1R4K1 w - -,b1e1
6r1/3Rb1p1/p1r2k1p/Bp5P/2p2P2/2P3P1/6K1/3R4 w - -,g2f3
2kr4/1bn1b3/p1p1q1pp/1pn1p3/4P1P1/P1N2N1P/1PPQ2B1/1K1R2B1 w - -,d2h6
1rbq1rk1/2p1bpp1/5n1p/p2p4/Pn1PP3/1B2RN1P/3N1PP1/R1BQ2K1 w - -,e4e5
r2r4/p1k2ppp/R1p5/2b1Pp2/2N5/1P4P1/2P2P1P/5RK1 b - -,c7b7
8/p7/1p3k1b/1Pp4P/P1B5/5K2/5p2/8 b - -,f6e5
1Rb5/2Pq1ppk/p7/P3p2P/3r4/2Q4P/6B1/6K1 w - -,c3c6
2r1kb1r/1bqp1pp1/pp3n2/3pn3/2PN4/1P4P1/PB2QPB1/R3R1K1 w k -,d4b5
3k4/pp2npp1/5n2/3p4/1B1P3P/3BPP2/PP6/5K2 b - -,g7g6
r1bqk2r/pp2npbp/2n1p1p1/1P6/2p5/2N2NP1/3PPPBP/1RBQK2R b Kkq -,c6a5
r2q1rk1/pp2n1b1/2ppP1pp/4p3/1PP1n3/5B2/PB3PPP/R2QR1K1 w - -,e1e4
r1b1k2r/pp4pp/2p1pp2/q7/3P4/b1P1PNB1/P3QPPP/R4RK1 w kq -,f3d2
r4rk1/p3bppp/2n1p3/1q1p4/N2PnB2/P4N2/1P3PPP/1R1Q1RK1 b - -,c6a5
8/p7/1p1p1k2/1PpB4/r1P2p2/5N2/6K1/8 w - -,g2h3
8/6k1/6p1/2p1b3/6Pp/5R1P/1pK5/8 w - -,f3f1
3r1rk1/p4R2/1p4p1/bBp5/6Q1/2P5/Pq4PP/4R1K1 b - -,f8f7
2b1r3/pp2r1pk/1q1b1n1p/3pNp2/3P4/P2Q1P1P/BP2RBP1/2R3K1 b - -,c8e6
r3r1k1/pp1n1ppp/2pqb3/8/3B4/P2B1Q2/5PPP/2R1R1K1 w - -,e1d1
3r4/6p1/5kP1/2p1pP2/1pp1P3/1n3R2/1P3K1r/4RB2 w - -,f2g1
2r5/p1P1kp2/5p2/4p3/1p4PP/8/P3P3/2R3K1 b - -,a7a5
r1q5/p4k1p/Rp2bppB/2Pp4/3P1Q1P/1P6/5PP1/6K1 b - -,c8a6
r1bq1rk1/pp2ppbp/2np2p1/2p5/4PP2/2PPBN1P/PP2QRP1/RN4K1 b - -,b7b6
5r1k/5r2/p2p3p/1qpNbpp1/2Q5/1P4P1/P4PB1/2B1R1K1 w - -,c4c2
r2r2k1/pb2ppbp/1p3np1/n1p5/8/2P1PN1P/PP1NBPPB/R3R1K1 w - -,h2e5
8/5k2/3p1pp1/3P3p/4RP2/P4KP1/3r3P/8 b - -,d2d5
brr3k1/2q1bppp/pn1ppn2/N7/RPP1P3/2N1B3/2Q1BPPP/1R4K1 w - -,a4a1
6k1/3n2pp/3Pp3/4B3/p2N1P2/6K1/b6P/8 w - -,d4b5
