3Q4/5pk1/1p6/p3P3/4K3/5P2/1P6/6q1 b - -,g1e1
2R5/pP1n1kpp/1p1qp2r/5p2/3Pn3/1P1BPN2/P4PPP/R5K1 w - -,d3e4
r1br2k1/6pp/1q2p3/1p3p2/1B2n3/2P2N2/P1Q2PPP/3R1RK1 b - -,c8b7
1r6/1r6/3k1p1p/1p1p2p1/1R1P2P1/4P1K1/5P1P/1R6 w - -,h2h4
r1b1nrk1/p1pnqp1p/1p1p2p1/4p3/2PPP3/P1B2PN1/1P2B1PP/R2Q1RK1 w - -,b2b4
r1bqk2r/1pp1bppp/p1n2n2/4p3/4P3/P1N2N1P/1PP2PP1/R1BQKB1R w KQkq -,d1d8
7k/pp4pp/8/2P5/4bq2/P1Q5/3r2BP/6RK b - -,e4g2
2rqr1k1/p2nbppp/bpp1pn2/3p4/2P1P3/1PNP1NP1/PBQ2PBP/2R2RK1 b - e3,d7f8
8/p3k2p/1p1r2p1/4pp1P/PP1n4/6N1/2r2PP1/1R1R1K2 b - -,d6c6
2r2rk1/1p3ppp/p1b1p3/1n6/4PP2/3R2PB/1B5P/4R1K1 b - -,f8d8
8/8/8/8/8/p1K5/P7/1kN5 b - -,b1c1
r4rk1/p2b2bp/1p2p1p1/2p1n3/2P5/2N1B2P/PP2BPP1/R2R2K1 b - -,a8d8
q1b2rk1/p2pppbp/1p4p1/8/4P3/1N1PP2P/PP1Q2P1/2R1K2R w K -,e1g1
4r1k1/pp3pbp/3nr1P1/q1pR4/2P5/3BP3/PBQP2P1/2K4R b - -,h7g6
6k1/p4pp1/1p3q1p/1P1p4/3P1nP1/1RP2P2/3Qr2P/5N1K w - -,d2c1
r5k1/1p1n1ppp/1qr1pn2/pN1p4/P2P4/1P1BP2P/2R2PP1/2RQ2K1 b - -,g7g6
4n1k1/5pp1/2B5/p7/2N3p1/2n3P1/P4P2/6K1 b - -,e8c7
r3kb1r/p2q1p2/1nn1p1p1/1p1pP1Bp/2pP1P1N/2P5/PPQ1N1PP/4RRK1 w kq -,g5f6
4r1k1/4Bpb1/pp4pp/3NP3/P1p2PP1/1rn5/5R1P/3R3K w - -,d5c3
r1bqkbnr/pp4pp/2np4/2p1p3/4p2N/2NP2P1/PPP2P1P/R1BQKB1R w KQkq -,d3e4
2rqkb1r/1p2pppp/p7/3pPb2/4nB2/2N1P3/PP3PPP/2RQKB1R w Kk -,f1d3:c3e4
R7/P6k/7P/8/8/8/1K6/r7 b - -,a1a6
r1bq1rk1/pp1n1pbp/2pp1np1/4p3/P2PP3/2N1BN1P/1PP1BPP1/R2Q1RK1 b - -,e5d4
r1bqkb1r/ppp3pp/2np3n/4ppN1/2B1P3/3P4/PPP2PPP/RNBQK2R w KQkq -,g2g3
5k2/1p6/5ppp/1R1Pr3/5KP1/7P/6P1/8 w - -,g2g3
r3rnk1/1b2b2p/p3q1p1/nppppNPP/4P3/2PP3Q/PPB2P2/R1B1K2R w KQ -,c2d1
8/p7/3p1q1k/2p5/2Pb2QP/1P3BPK/P7/8 b - -,f6e5
3r1rk1/1ppq1pp1/1p1p3p/4n1n1/3NPB2/1P1P3P/1PP2QP1/4RRK1 b - -,f7f6
6k1/6r1/3K4/1p2P3/1P6/2R5/8/8 b - -,g7g4
1r6/6kp/5npb/2q1p3/3p4/3P1B2/Q4PPP/B4RK1 b - -,b8c8
rnbqkb1r/pp1p2pp/2p1pn2/5p2/2P5/5NP1/PP1PPPBP/RNBQ1RK1 b kq -,f8e7:d7d5
4kb2/3n1p2/6pp/4P3/2p2P1P/P7/3K2bB/3R4 w - -,d2c3
r1b1k2r/pp1n1ppp/4p3/q2p4/3Pn3/2PBPN2/P1QB1PPP/R3K2R b KQkq -,d7f6
8/p3k2p/2n1P3/1pPB1P2/8/P1K4P/6P1/8 b - -,c6d8
rnbqkb1r/pppp1ppp/5n2/8/2P5/4pN2/PP3PPP/RNBQKB1R w KQkq -,c1e3
5r2/r3k3/8/5B2/3RPK2/5P2/8/8 b - -,a7a5
r1b2k2/pp5p/2p1p2p/4nq2/5p1P/1B3Q2/PPP1NP2/4R2K w - -,f3f4
2Nb2k1/6pp/2b1p3/2P1P3/8/2BK2P1/5R1P/4r3 b - -,e1d1
8/2r2k2/1p1pprp1/pP2b2p/P1P4P/4NP2/4PKR1/3R4 b - -,c7c8
2r5/1p3k2/8/p7/P7/1P2K3/2p5/2R5 b - -,c8c3
r1bq2k1/ppp2pbp/6p1/4r3/4R3/2PB3P/PP3PP1/R1BQ2K1 w - -,e4e5
7r/1p1b1pk1/p3pqpr/3p2R1/3P1P2/2PB2Pp/PP1Q3P/5RK1 b - -,h6h5
4rrk1/pp4pb/2pq1n1p/3p4/3P2P1/5P2/PP2N1BP/R2Q1RK1 w - -,d1d2
r1bqr1k1/p2n1pbp/1p1p1np1/2p1p3/P3P3/2PP1N2/1P1N1PPP/R1BQRBK1 w - -,b2b4
8/p5b1/4k1p1/2r5/P1Np4/1P4RP/4KP2/8 b - -,g6g5
1k6/p2q1p2/2nP3p/2PQ4/5R2/r4PP1/4P1KP/8 b - -,a3e3
r4rk1/ppp2pp1/2np1qbp/4p3/2P3P1/P1QP1N1P/1P2PPB1/R3K2R w KQ -,f3d2
1r6/5p2/3bpk2/1pp2p2/7R/P1P2NP1/1PK2P2/8 b - -,b5b4
r1b1r1k1/pp1nqpp1/2p2n1p/3p4/1P1P4/2NBPNP1/P1Q2PP1/1R3RK1 b - -,f6e4
8/8/R7/1K1Pk1p1/8/5p2/2r5/8 w - -,a6e6
4r1k1/4pnbp/2Pp2p1/5pP1/1B3P2/8/rn2B2P/1NR1R2K w - -,c6c7
2r3k1/r2b1qb1/p2p3p/3P3n/2P1PPpP/2N1Q3/3KN1B1/3R3R b - f3,c8c4
8/8/1p1k2p1/pP3p2/3K1P2/PB4n1/8/8 b - -,g3e2
5r2/pb1q2kp/3Pp1p1/1p1n4/2pP2Q1/P1P1bR2/1B4PP/1B2R2K w - -,f3f8
r1bq1rk1/ppp2ppp/1nnp1b2/8/2PP4/2NBB3/PP2NPPP/R2QK2R w KQ -,e1g1
1r1q1rk1/3bppbp/2pp1np1/n7/3PP3/N1N1BP2/1P1QB1PP/3R1RK1 b - -,d7e6
rnb1k2r/pp1nqp1p/2p1p1p1/3pP3/3P4/2N3Q1/PPP2PPP/R3KBNR w KQkq -,f2f4
2r3k1/p1qn1pp1/1p2p2p/8/1PP2P2/P2RN1P1/7P/Q5K1 b - f3,d7f6
8/8/2R5/6B1/2pK1Pk1/2P5/8/3r1b2 w - -,d4c5
r5k1/6pp/p4n2/1p1pNb2/5P2/1N1p4/5qBP/R5K1 w - -,g1f2
1rbqr1k1/1p1n1pbp/p2p1np1/2p5/2P1P3/1PN3PP/P1N2PB1/R1BQR1K1 b - -,d8c7
6k1/5pp1/r7/P1r1p2p/2p1q2P/R1Q1P1P1/5P2/2R3K1 b - -,e4c6
8/b1n4p/2B2k2/p7/3PK1P1/7P/1P5B/1b6 w - -,e4e3
8/5k2/3R1p2/7p/4PK1P/5P2/8/4r3 b - -,e1f1
5rk1/pp1b1p2/1b4qp/6p1/4p3/2Q1P2P/PP2NPP1/R2R2K1 b - -,d7c6
r2qk2r/1p1n1ppp/2p2nN1/p1bpp3/6P1/PP1PP2P/1BP2PB1/RN1QK2R b KQkq -,h7g6
2R2r2/p3kp1p/1b1Nppb1/8/1P5P/6P1/P1P5/1K1R4 b - b3,f6f5
rnbqk2r/p3ppbp/5np1/2pPp3/2B5/2N2N2/PP3PPP/R1BQK2R w KQkq -,f3e5
r1bq1rk1/1ppnppbp/p1np2p1/8/2PPP3/2NQ1NP1/PP3PBP/R1B2RK1 b - e3,e7e5
r4qk1/1p4bp/2p1rnp1/p1p2p2/N1P5/6P1/PP1QPPBP/3R1RK1 w - -,e2e3
5r1k/p5bp/3R4/4p1q1/4P1b1/1BQ3P1/P2r2P1/2R3K1 w - -,c3d2
1k1rr3/ppbn1ppq/2p1p2p/7P/2PP4/1PBR1NP1/PK2QP2/3R4 w - -,g3g4
4k3/2p4p/6p1/3p4/1N5P/PP1n4/K4PP1/8 b - -,d3b4
2b4k/4qp1p/3p4/3Pb2Q/2p2P2/2p4P/1rN3P1/2R1R1K1 b - f3,b2c2
8/8/4k1p1/4p3/4N1PP/5P2/2n2K2/8 w - -,e4c3
r3k2r/pp2ppbp/2n3p1/3b4/3P3B/2PB1N2/P4PPP/R4RK1 w kq -,f1e1
5rk1/7p/p3qrb1/8/Pp6/4N1QR/2R5/6K1 w - -,c2b2
8/3k4/2n2Bp1/3p1p1p/Pp1P3P/3r2P1/P1R2P2/5K2 b - -,d3a3
r1bq1rk1/2p1np1p/p2p2p1/1pbP4/2B1PP2/P1N5/1P4PP/R1BQ1R1K w - b6,c4a2
r4rk1/pp3ppp/8/3B2N1/8/8/PP4PP/K2bR3 b - -,d1h5
1q3rk1/1r2bppp/4pn2/1pp1P3/8/2NP2P1/1P2QPNP/R4RK1 b - -,f6d7
r1b2rk1/pp1nqppp/2pbpn2/3p4/2PP4/5NP1/PPQNPPBP/R1B2RK1 w - -,f1e1:f1d1:b2b3:e2e4
rn1qk2r/1bpp1ppp/p3pn2/2b5/2P5/5NP1/PP2PPBP/RNBQ1RK1 w kq -,b1c3
8/8/Pkb5/4N1p1/5p2/7P/5K2/8 b - -,c6d5
