8/8/6k1/8/7B/5K2/8/8 w - -,h4g5
r7/5pk1/3p2p1/2pPp1n1/1pP1q1P1/1P5p/2R1B3/1R3Q1K w - -,h1h2
r3kb1r/pp1n1ppb/2p4p/4n2N/5N1P/2P1B3/PP2BPP1/R2K3R b kq -,e8c8
8/8/6k1/4Rp1p/4p3/6P1/3r1PK1/8 w - h6,e5e6
r5k1/3qNn1r/p2p1p2/1ppP4/4P2R/2P1Q2P/PPN3PK/R7 b - -,d7e7
2kr3r/pp2pp1p/n2P2p1/q1nQ1b2/8/2P1BP2/P1P1N1PP/3RKB1R w K -,d5f7
4nbk1/1p1r3p/5p2/1Q1R2p1/p5q1/P1P1BNP1/1P3PK1/8 b - -,e8d6
r5k1/pp1n1pb1/4r1p1/4Pb1p/4p3/4P1PP/PB1N1PB1/R2R2K1 w - -,d2e4
6k1/2q2pbp/4p3/3pn1PQ/1p6/1P2B2R/2P2R1P/r4K2 w - -,f1g2
rn2k2r/pp3ppp/2pq1n2/3p4/3P2b1/2NBP3/PPQ1NPPP/R3K2R b KQkq -,g4h5
5k2/pQ3p2/5b1p/7P/2KP1q2/5N2/PP5p/8 w - -,b7c8
2kr4/p4pb1/1q5p/5Pp1/1p1pn3/1N2rN1P/PPP3P1/1K1R1RQ1 b - -,e4g3
2r3k1/5p2/1p1r2p1/pR1P3p/3R4/8/PP3PP1/6K1 w - -,d4d2
8/5pk1/pR4p1/7p/rp6/3K3P/5PP1/8 b - -,a6a5
5rk1/pp2N1p1/2npP1q1/2p4p/2P5/1P3rP1/PB1QRP2/3R2K1 b - -,c6e7
r2r2k1/p2q1p2/1p1bbnpB/2pp3p/3P4/2PBPPNP/P4QP1/1R3RK1 w - -,b1d1
rnbqkb1r/3p1ppp/p3pn2/1P1P4/2p1P3/5P2/PP4PP/RNBQKBNR w KQkq -,c1e3
rnbqkb1r/pp2pppp/3pP3/8/2B3n1/2P5/PP3PPP/RNBQK1NR b KQkq -,g4e5
5R2/8/8/8/3nk1K1/8/8/8 b - -,d4e6
2r2rk1/pp1b1ppp/n2q1n2/3p4/3Np3/PP2PP2/1B1PB1PP/R1Q1K2R w KQ -,c1d1
8/1R3p2/4pkp1/r4n1p/1p2RP2/1Bb3P1/P5KP/8 w - -,b7d7
r3r1k1/1p3ppp/2p2n2/p3Bb2/Pb6/2N3P1/1P2PPBP/R4RK1 w - -,e5f6
1r3rk1/5p1p/p3qQn1/2p3B1/3pP3/5P1R/PP4P1/2KR4 w - -,b2b3
r1r2bk1/1p1npb1p/3p1p2/p1nN2pq/2P1P3/1P3NBP/P1BQ1PP1/1R2R1K1 b - -,e7e6
5bq1/3Q2k1/3p1p1p/8/4P3/1P5P/1B4P1/6K1 b - -,g8f7
r3k2r/ppPb1p1p/5q2/2b5/2P1PP2/1N3K2/PP5P/R2Q3R b kq -,f6h4
1b1rr1k1/1p2qpp1/pP6/P7/Q3P1Pp/4pP1b/1B2B2P/3RR1K1 b - -,d8d2
2q2b2/R2P2r1/3k3p/1P1p1p2/Q1pP1N2/1r6/6B1/R6K b - -,g7d7
3r1r1k/pp2qbpp/1n3p2/2p2P2/3PP1P1/P2B1N2/2Q4P/R4RK1 w - -,d4d5
r1qr2k1/2p1b1pp/np2pn2/p4pB1/2P5/1NN2QP1/PP2PPKP/R4R2 w - -,a1d1
2kr3r/pp3pp1/2p1pnp1/3n4/3P4/2P5/PP1B1PPP/2KR1B1R w - -,f2f3
r1b1qrk1/ppn1p1b1/3p3p/2pP2pn/P1P1Pp2/2N4P/1P1QBPPB/R3K1NR w KQ -,e2h5
r1bqk1nr/p2p1ppp/2p1p3/2b5/4P3/2PB4/PP3PPP/RNBQ1RK1 b kq -,g8e7
r4bk1/pp1n1r1p/1q4p1/1B1N1pB1/2Pp4/7Q/bP3PP1/2KR3R b - -,b6b5
2r3k1/2qbpp1p/3p4/6Pp/rQ1NPb2/2B5/PPP4P/1K1RR3 w - -,d4b5
2r5/pp1b2pp/3k1p2/3P4/8/2PBp3/P1P1K1PP/5R2 b - -,c8c3
8/4k2p/R5p1/8/P3KP2/7P/4r3/8 w - -,e4f3:e4d5
r1b2r1k/pp1nQ1p1/5pqp/3N1NB1/3P2PP/P4P2/1Pp5/2K4R b - -,g6f7
1r5k/p1R2qbp/5np1/1N3p2/3Np3/3nP3/P3QPPP/B5K1 b - -,f7c7
7Q/3k4/4pp2/8/3P3P/8/5q2/7K w - -,h8h7
8/2k1r1b1/p2p3p/3P4/r1P1N3/1R1K1R1P/8/8 w - -,f3f1
4r1k1/1p3ppp/p1p3b1/P2pq3/R5P1/3P3P/1PP2P2/2Q2K1R b - -,d5d4
1rb1r1k1/2q1bppp/2pp1n2/1p2n3/1P1NPP2/2N1B2P/B1P1Q1P1/R3R1K1 b - f3,e5g6
r1bqkb1r/pppp1p1p/2n2np1/4p3/8/3P1NP1/PPP1PPBP/RNBQK2R w KQkq -,e1g1
5r2/p1p5/1p1pk2p/1P2r3/P3Rp2/2P2P2/5KPP/3R4 w - -,d1d4
2r1rbk1/5ppp/pn1p4/1p1P4/2nN2P1/P6P/1PP3B1/1KBR3R b - -,c4e3
r1bqr1k1/ppp1ppbp/2np1np1/8/2PPP3/2N1BN1P/PP2BPP1/R2QK2R b KQ -,f6d7
8/6p1/4k2p/1p4bP/1P1BK3/2P4R/r7/8 b - -,g5f6
r3k2r/1pq1bpp1/p2pP3/6P1/b2NP3/8/PPP5/1K1R1B1Q b kq -,e8c8
rnb2rk1/1pqp1ppp/p3p3/2N5/2P5/2P2B2/P4PPP/R1BQ1RK1 b - -,c7c5
4r1k1/1ppb2p1/1n5p/p1qPp1N1/2p1P3/4P1P1/PP1Q2BP/5RK1 w - -,g5f3
r1bq1rk1/pp4b1/2pp1npp/4np2/2P1PN1P/1QN3P1/PP3PB1/R1B2RK1 b - e3,g6g5
2rqb1k1/p1p3bp/1p1p1pp1/3P4/8/2B2B2/PPP1QPPP/4R1K1 w - -,e2a6
rq3k2/pp3ppB/5p2/1Ppnb2Q/8/8/PP1B1PP1/4RK2 w - -,h7e4
r2q1rk1/pb2bppp/1p3n2/2p1N3/P2n4/2NP2B1/1PP2QPP/3BRRK1 b - a3,a7a6
2r3k1/pb5p/1q2p1p1/3p1p1n/8/1P2RNP1/P2N1K1P/3Q1B2 b - -,f5f4
r1b4r/p4kbp/1qp2pp1/3p4/3P1B2/Q4N2/PP3PPP/R4RK1 b - -,h8e8
3r1bk1/2P2ppp/8/1N6/3BQ3/5p2/6qP/4K3 b - -,f3f2
1r2r1k1/5p1p/1q1p2p1/2pPb2n/1p2PP2/4B3/1P1QN1B1/R3R1K1 b - -,e5g7
1r2rnk1/q7/b1n1pp1Q/1p2pP2/p1P1B1P1/2P4R/P2N3P/1R4K1 w - -,g1g2
r1bqk2r/pp1n1pp1/5n1p/3p1BB1/1bpP4/2N1P3/PP2NPPP/R2QK2R w KQkq -,g5h4
2rb1rk1/1p1n1ppp/p1pBpn2/2Pp1b2/1P1P4/1NN1P2P/1P3PP1/R3KB1R b KQ -,f8e8
2r3k1/5pp1/pR6/7p/1P6/P4PPK/3r3P/4R3 w - h6,b6a6
r4rk1/pp3pp1/2n1bq1p/2bp4/Q7/2N2NP1/PP2PPBP/3R1RK1 b - -,f8d8
8/8/1R3pk1/1p4p1/8/1r6/5K1P/8 w - -,f2g2
r4r2/3qp1bk/6pp/Pp1p1p2/3P3P/B3P1P1/P4PB1/1Q2R1K1 w - -,a3b4
3r1k2/p4p1p/1p4p1/5p2/2P5/4P1PP/PP1R4/5RK1 b - -,d8d2
8/5p1k/4b1pr/p2pP1Rp/2p4P/q1P3R1/1rB2PPK/2Q5 w - -,c2g6
r3k2r/p1qnnpp1/1P2p2p/3pP2P/b7/P1PB1N2/2P2PP1/R1BQK2R b KQkq -,a7b6
2r1r1k1/3nbp1p/pnq3pB/1p1pPB2/8/PPN4R/2PQ2PP/R6K b - -,b5b4
3rkb1r/pp1q1ppp/4pn2/8/3N4/1P2P1N1/P1P3PP/R2Q1RK1 b k -,f8c5
5r1k/6pp/p1n5/1r2p3/1P1pR3/3P4/5PPP/1R3BK1 w - -,b1c1
3rr1k1/1p4p1/p1q3bp/3p1p2/2pQ1PP1/3nB3/PP1R1PBP/R5K1 w - f6,h2h3
1b1r2k1/1p1q2p1/p3pn1p/n2p4/8/P1NQ2PB/1P2PP1P/2BR2K1 b - -,a5b3
3rk2r/3pnp1p/pq3p1Q/1p1Pp3/1b6/5PP1/PPP1N2P/2KR1B1R b k -,e7f5
1rb1nrk1/4q1bp/3p1pp1/RNpPn3/1p2PB2/6PP/1PQN1PB1/4R1K1 b - -,c8d7
r2q1rk1/pb1nbp1p/4p1p1/2pnP3/Pp1PQ3/3B1N2/1P1N1PPP/R1B2RK1 w - -,e4g4
3q1rk1/rp4bp/2bp2p1/2p1p3/p1PB4/P1NP2PP/1P3PBK/1R1Q1R2 b - -,c5d4
1b2r1k1/5ppp/p1R1r1q1/1p1p3n/4n3/1P1BPN1P/PB2QPP1/2R3K1 w - -,c6c8
r2q1rk1/pp1nbppp/2p1pn2/8/3P4/2PB1QN1/PP3PPP/R1B1R1K1 b - -,d8b6
6k1/1K4p1/1PN1p2p/3pP1b1/1Q1P2N1/P7/2q1n3/8 w - -,b7c7
r2q2k1/p4pb1/1p1N1ppp/8/4bB2/1P5P/1PP2PP1/R2Q2K1 b - -,e4c6
3r4/p3k1pp/1p2p3/2p1b3/2P1Pp2/5P2/PPK2NPP/4R3 w - -,f2d3
6k1/2bnnpp1/4p3/1p1pP3/1PpP3P/2P1B1PN/r4PN1/2R3K1 w - -,g1f1
2k2N2/p1p3Q1/1p2p2r/3pP2p/q1nP3P/P1P5/2P3P1/5RK1 b - -,a4c2
8/1p6/p7/4k2p/1P3p1P/2P5/1P1K1N2/5b2 b - -,f1c4
1r6/5p2/5kPp/N1Kp4/p5PP/P2B4/2P5/8 b - -,f7g6
