8/2pn1k1p/3p4/P2Pp3/2P1N3/8/8/3K4 b - -,f7e7
r1b3k1/pp3p1p/3rp1p1/1N1p4/1q6/4PN1P/P3BPP1/Q4RK1 w - -,b5d6
r2r2k1/pp1bqpp1/2p1p2p/4Q3/3P4/1B2P3/PP3PPP/2RR2K1 b - -,d7e8
3R1n2/p4pk1/b2p1Np1/4b1P1/4P2p/4B2P/P4KB1/3r4 w - -,f6e8
r2qk1nr/1b1nbppp/p1p1p3/1p4N1/P1pP4/2N3P1/1P2PPBP/R1BQ1RK1 w kq -,f2f4
6k1/3r3n/p2p4/2p2PB1/Pp2pQP1/1P1b2q1/6B1/3R2K1 b - -,g3f4
r2q1rk1/pbn1bpp1/1pnp3p/4p3/2P1P3/PNN1BP2/1P1Q2PP/3RKB1R b K -,c7e6
r2qkb1r/pp1n1p2/2p1pnp1/3p3p/4P2P/2NP2Q1/PPP1BPP1/R1B1K2R w KQkq h6,e1g1
8/8/6pk/4K3/5Prp/7R/8/8 w - -,f4f5
rn1q1rk1/1b2bppp/pp1ppn2/8/2NP4/1P1B1N2/PBP2PPP/R2QR1K1 b - -,b8d7
4rrk1/1p3pbp/p3b1p1/3pn1B1/Pq6/2N4P/1PPQBPP1/1R1R2K1 b - -,f7f6
r4r1k/pb1qn1bp/1p2p1p1/3P1pB1/4N3/PBP2Q2/5PPP/3RR1K1 b - -,f5e4
6k1/1R3p1p/6p1/8/p7/P1K1P2P/r4PP1/8 w - -,b7b4
3rr1k1/bppqnbp1/p4pn1/4pN1Q/3pP3/3P1N1P/PPBB1PPK/R3R3 w - -,c2b3
8/5pk1/6pp/2bN4/2B2P2/3K1b2/8/8 b - -,h6h5
2r1r1k1/8/1pNn3R/p2P2p1/6K1/1P2P3/1B3P2/8 b - -,e8e4
r1bq1rk1/3nbppp/2p1pn2/pp4B1/3P4/2NBPN2/PP3PPP/R2Q1RK1 w - a6,a1c1
r3kb1r/pp4pp/1qn1p3/3p1p2/3Pn1b1/1NPBBN2/PP3PPP/R2QK2R b KQkq -,f8d6
r1b1qrk1/pp1nb1pp/2p1p3/3p1p2/2PPnB2/3BPN1P/PP2NPP1/R2Q1RK1 w - -,f4h2
r5k1/1p1rBppp/pR2p3/3Pn3/R6P/2P2B2/P4PP1/6K1 b - -,e5f3
r4rk1/pp1nbpp1/1qp2n1p/3pNb2/3P1B2/2N1P2P/PP2BPP1/R1Q2RK1 b - -,d7e5
r3n3/1p1rq1k1/1Qbp2pp/p1P1p3/4P3/2N5/PP1RB1PP/3R2K1 w - -,e2b5
8/B7/p7/3k1p1p/4nP2/3K3P/P5P1/8 w - -,a2a4
r3k2r/1bq2pp1/p3pb2/1pp5/4NP1p/1PPP3P/2PBQ1P1/R4RK1 b kq -,e8c8
8/6n1/5p1p/8/3k1P2/N4K1P/1p6/8 b - -,d4d3
nB6/P1N4p/8/1pK2p2/k7/1p6/7P/8 b - -,b3b2
3Q4/6kp/1P1p4/4p1P1/6K1/5P2/8/4q3 b - -,e1b4
r2b1rk1/2p3n1/1pPp2nB/1N1Pp3/PR2Pp2/6P1/3N2K1/5R2 w - -,g3f4
r2q1rk1/1bpnbppp/p3pn2/1p6/8/1P2NNP1/PB1PPPBP/R2Q1RK1 w - -,d2d4:a1c1
r2q1rk1/pppn1ppp/3bp3/1P2n3/3pP3/P2P3P/1BPNQPP1/R3KB1R b KQ -,a7a6
1k2q2r/8/p4p2/P3p1p1/2P1Pn1r/1PBPRQ1P/5P2/5K1R b - -,g5g4
r3n1k1/1p1b1pb1/3q2pp/3Pp3/4P1P1/pPQB3P/P4P2/1KR4R w - -,c3c5
r1bq1rk1/pp2n2p/4pbp1/3p4/3P1P1P/2PBBN2/P1Q3P1/R3K2R w KQ -,g2g4
1r3k2/3Rbpp1/1qB1n2r/1P2PQ1p/3p4/5P2/1P3NP1/5RK1 w - -,b2b4
r1q1k2r/1npb1p2/1p1p2p1/3Pp2p/1PP1P1nP/2N1QNP1/5PB1/2R2RK1 w kq -,e3d2
r1bq1rk1/ppp2pb1/n2p1npp/3Pp1B1/2P1P3/2N2N1P/PP3PP1/R2QKB1R w KQ -,g5e3
8/5p2/pp1p4/3P1Pk1/6P1/b4K2/5N2/8 b - -,g5f6
rnbqk1nr/pp2ppbp/2p3p1/3pP3/3P4/7P/PPP2PP1/RNBQKBNR w KQkq -,f1d3
5k1r/pp1Q4/1qr1pbnp/3p4/8/2NR2B1/PP3PPP/2K4R b - -,d5d4
br2r1k1/5p1p/1p2p1p1/nNb5/P3PP2/6PP/6BK/B1R1R3 w - -,a1e5
8/1kp3R1/2n5/p7/8/PK2P1P1/4r3/8 w - -,e3e4
r1b2rk1/pp2nppp/2n1p3/4q3/3p2Q1/P4N2/1PPNBPPP/R3K2R b KQ -,e5c5
6k1/1b1q2pp/pQ6/3p1p2/3pp3/1N2P3/PP3PPP/6K1 w - -,b3c5
4r1k1/1b1nqpbp/6p1/2ppP3/P4P2/3B1N2/1QPB2PP/5RK1 b - -,b7c6
2r5/3k4/qp2p2p/r2nP1pP/b1pPN3/p1P2PN1/P7/K1Q1R2R w - -,e4f6
3r2k1/1b1r1ppp/p3p3/1p2P3/2qN1Q2/P1P4P/1P1R2P1/4R1K1 w - -,e1d1
r1bq3k/p3b1pp/2pp4/2p1p3/4Pr2/NQP1RN1P/PP3PP1/R5K1 b - -,d8e8
r5k1/4r1p1/p1R1Pp2/4p3/8/8/P5PP/3R3K b - -,a8e8
r4k2/5p1p/4pp2/2n5/p1B2P2/4P2P/1q4P1/R2Q2K1 b - -,f8e7
r1bq1rk1/ppp1n1bp/3pP3/3P1p2/2P1n3/2NN4/PP2B1PP/R1BQ1RK1 b - -,c7c6
r1bq1rk1/1pp1ppbp/p1np1np1/8/1P1PP3/2PB1N2/P1Q2PPP/RNB2RK1 b - -,e7e5
8/5p2/5rp1/8/6P1/4P2P/R3kP2/6K1 b - -,e2f3
8/8/3k3p/p3p1P1/P1B4P/2K2b2/8/8 b - -,h6g5
8/6pk/p5qp/2p2pP1/P2p4/1P1n3P/2PQ2P1/5BK1 b - -,d3e5
3q1rk1/5p1p/3p1pp1/p2Q4/1p6/8/PPP3PP/4R2K b - -,d8c7
1rqrb3/1p2ppkp/p1P2bp1/P1Q5/1PN5/4PBP1/5P1P/2RR2K1 b - -,d8d1
r1bq1r1k/p2pb1pp/1pn1p3/2p1Pp2/8/2PP1QP1/PP1N1P1P/R1B1RBK1 w - -,f1g2
R7/1r1b1r1p/1b2p1pk/1p1p1p2/8/1PB3P1/4PPBP/3R2K1 w - -,c3d2
r3r1k1/1ppb1ppp/2npqn2/6P1/p3PP2/P4Q1P/1PPN2B1/1K1R2NR b - -,c6d4
r3k1r1/1pqbbp1p/p3p3/2PpP3/1P4p1/P1Q1B3/4BPPP/R3K2R w KQq -,e1g1
2r3k1/1p2bpp1/p6p/P1PnNp2/1P1r4/6BP/6P1/1R2RK2 w - -,e5f3
rn1q1rk1/pbp3pp/1p3b2/4Np2/3P4/4BpP1/PPQ1P1BP/R4RK1 w - -,g2f3
r1bq1rk1/pp1nppbp/2p3p1/8/2B1PB2/2P2N2/PPQ2PPP/R4RK1 b - -,e7e5
3r2k1/p1r2p1p/bpn1qbp1/2p1p3/8/PP1PP3/1B1RBPPP/3QNR1K b - -,f6e7
5rk1/p1rb1p1p/1p3Rp1/3PP3/2PBP3/3B2KP/P7/8 b - -,d7a4
8/1p2r2p/2p5/1k1r1p2/1P1p1P2/5KPP/R3P3/2R5 b - -,b7b6
1r3rk1/pq4bp/bp2pPp1/3p4/Q4P2/2N1B3/PPP3PP/R2R2K1 b - -,g7f6
r1bq1rk1/pp1n1ppp/2p2bn1/8/2PN4/4N3/PPB2PPP/1RBQ1RK1 b - -,d7e5
r2q1rk1/1p1nnppp/p2b4/2pP3b/P7/2N2N1P/1P2BPP1/R1BQ1RK1 b - -,d7f6
r2q1rk1/ppp2ppp/1bnp1n2/4pb2/2PP4/2N1P1P1/PP2NPBP/R1BQ1RK1 w - -,a2a3:c3a4
r2qk2r/pp3ppp/2pbpn2/8/3P4/3Q3P/PPP1BPP1/1RB2RK1 b kq -,d8c7
r2qrbk1/ppp3pp/2p1npb1/4pN2/4P1P1/1P1PBN1P/P1P1QP2/R4RK1 w - -,f3h4
rn3rk1/p1q1bppp/1nP5/3pp3/8/1Q2BB1P/PP3PP1/RN3RK1 w - -,e3b6
8/1pK3R1/p7/Prp4k/8/8/8/8 w - -,c7d6
3n4/7p/1P1Pk1p1/4p3/1Bp1K1P1/8/1P5P/8 b - g3,d8b7
r7/2kr1ppp/2p5/2n1p3/p3P1PP/1bP1KP2/1P5R/1BB1R3 w - -,h2d2
1b2r1k1/5pp1/pq3n2/1pp1p2p/4P3/1P2PPP1/PBQ2K1P/3R1B2 w - -,c2d2
r1bqk2r/pp1npp1p/2p2npb/8/3P4/2N5/PPPQ1PPP/R3KBNR w KQkq -,d2h6
6k1/pp3r1p/3p1Pp1/P2P2P1/2R1PB1n/b5NP/8/3K4 w - -,d1e2
2r5/k1r5/pqP5/5p2/2R5/2R2Q2/PP6/1K6 w - -,f3f5
r1bq2k1/1p2rpp1/2p2n1p/4b3/1P2N3/3P2P1/2QB1PBP/1R3RK1 b - -,c8e6
8/3nk2p/2bn1pp1/rp2p3/2p1P3/PBP2P1P/2NKN1P1/2R5 w - -,b3a2
r3kbnr/1b1p1ppp/pBn5/3Np3/4P2q/PN3P2/1PP3PP/R2QKB1R w KQkq -,g2g3
2k5/pp5p/1bp2np1/5p2/1P3N2/3R3P/P3K1P1/8 w - -,a2a4
4R3/p1p4p/4k3/2p2p2/5B1K/2P2P2/r5rP/8 b - -,e6d5
rn1r2k1/1p2bppp/p3pn2/q3N1B1/P1Q5/2N3P1/1P2PPKP/R2R4 b - -,a5e5
6k1/4rp1p/6p1/8/3R4/5KP1/4PP1P/8 b - -,h7h5
