6k1/6p1/3B4/8/1P4q1/4P3/5K2/7Q w - -,h1d5
2r2rk1/pb3pp1/1pp1p2p/2P5/3PBq2/8/PPQ2PPP/R2R2K1 w - -,g2g3
1r4k1/ppqn2b1/4R1p1/4np2/2p5/2N3P1/1P3PB1/3QR1K1 b - -,c7c5
8/3k4/8/8/2B3Np/1P3P1K/8/3r4 w - -,h3h4
8/5pk1/7p/1p3p1P/1r6/4PKP1/2R2P2/8 w - -,c2c6
8/p1rbkpp1/Bp2p3/3pP2p/3P1P1P/7R/PP1K2P1/8 b - -,d7a4
2r2bk1/1b1n2p1/pp1p4/4pqN1/P6P/2P1R3/1P1Q1PP1/3R2K1 b - -,f8e7
r3kb1r/ppp1n1pp/2n2p2/1B2p3/Q1PPq1b1/4BN2/PP3PPP/RN2K2R b KQkq -,g4f3
r1b1r1k1/ppq1bppp/4pn2/3n2B1/2PN4/1B4N1/PP2QPPP/R3R1K1 b - -,d5f4
2r1k3/1p1r1ppp/p2Bp1n1/2P5/P2P2P1/5P2/5K1P/1R1R4 b - -,g6e7
r5k1/p2qbr1p/2p2n1B/3pQ3/3P4/6PP/P2NP1B1/R5K1 b - -,e7d6
6k1/5p2/6b1/6p1/2B3R1/2P1p3/P4r2/2K5 b - -,f2c2
r1bq1rk1/pp2ppbp/2np1np1/2p5/2B1P3/3P1N1P/PPP1NPP1/R1BQK2R w KQ -,c2c3
1rb1kb1r/2q2ppp/p1nnp3/1pp5/2P5/1P1P1NP1/PB1N1PBP/R2QR1K1 w k -,d3d4
1r5k/7p/p7/8/Q6P/1K6/P1R5/6r1 w - -,b3c3
r1bqr1k1/pp1n1pbp/2pp1np1/4p3/2PPP3/2N1BN2/PPQ1BPPP/3R1RK1 b - -,d8e7
1r4k1/2q5/3p1rp1/p2Pp3/2n5/3Q3B/RPP5/1K1R4 b - -,c7c5
2rr2k1/pb2qp1p/1n4p1/2p5/P3p3/4P2P/1P1RBPPN/2RQ2K1 w - -,a4a5
r1bqkb1r/pppp2pp/2n2n2/1B2p3/4p3/2NP1N2/PPP2PPP/R1BQK2R w KQkq -,d3e4
rnb1k2r/ppppqppp/4p3/8/2PP4/6P1/PP1nPPBP/RN1QK2R w KQkq -,d1d2
3r2k1/bp5p/p1q1n1pP/3rPpP1/3p1P2/1Q6/P1PB1NK1/3RR3 w - -,g2g3
5k2/pp4pp/2pNb3/P1P1p3/1nB1P3/1P4P1/7P/6K1 b - -,e6c4
R3br2/5pkp/4p1p1/3pP3/3Q4/1PR4P/1q3PPK/8 w - -,d4e3
4nrk1/r2pbppp/pq2p3/4P3/R7/2P2NB1/1P2QPPP/3R2K1 w - -,a4d4
2r3k1/1p2rpp1/p6p/8/4n3/1PN5/1PP3PP/4RRK1 b - -,c8e8
8/p2rb2p/P5k1/1p1N1R2/1p1P2PP/1P2P3/8/6K1 w - -,d5f4
r3r1k1/1pbnqpp1/p1p1p2p/P7/1PPP4/2BR1N2/4QPPP/R5K1 b - -,f7f6
1r2q1k1/5pbp/3Qn1p1/1ppNp3/4P3/4P1PB/1P5P/3R2K1 b - -,b8d8
8/p4k2/1p3p2/1P6/2P1N1K1/8/8/8 b - -,f7e6
r1bq1rk1/ppp2pbp/2n2np1/4p3/2B1P3/2N2N1P/PPP2PP1/R1BQ1RK1 w - -,c1g5
4k3/5p1p/p2Bp3/3bPr2/5P2/4K3/P6P/2R5 b - -,d5a2
6k1/1p3pp1/p1p1n2p/P2qP3/1P4Q1/1r3N1P/5PP1/4R1K1 w - -,f3h4
8/2k3p1/1pp1p3/p3Pn1r/P1P4p/2P2P1P/5BP1/4RK2 b - -,c6c5
8/4k2p/1pb5/2p1np2/2P5/1PN1K2P/P1B5/8 b - -,e7f6
1r3k2/1n3pp1/pR5p/8/8/P3P1PP/5PB1/6K1 w - -,b6b7
2b2n2/5k1p/8/1N2KpB1/2p5/5P2/6PP/8 b - -,f8g6
6r1/pp3p2/2p1nk2/7p/2B5/2P1KP2/PP1R4/8 b - -,g8d8
4r1k1/1p4p1/3R1b1p/p7/8/P6P/2q3P1/5QBK b - -,c2e2
5rk1/1p1r2pp/p1p2qb1/2P1RN2/1P1P4/4Q1P1/P6P/5RK1 b - -,g8h8
1qrr1k2/p5pp/1p6/2pR3Q/8/1P4P1/P4P1P/2R3K1 b - -,d8d5
1r4k1/1br2ppp/pN1Rp3/2p5/8/1P6/P1P2PPP/3R2K1 b - -,g7g6
1rbr2k1/2R2ppp/3P1n2/pp2p3/8/6PP/PB2PPB1/5RK1 w - -,b2e5
r4r2/pb1qppbk/1pnp1npp/2p5/2P5/P1NP1NP1/1P1BPPBP/1RQ2RK1 w - -,e2e4
8/8/8/6p1/4k3/6PP/1r3RK1/8 b - -,b2b5
r4rk1/p1p1nppp/1p1q4/8/P1pPbN2/2P1B2P/2P1QPP1/1R3RK1 w - -,e3c1
r2qr1k1/p1pp2pp/5n2/1p1P1PN1/1PQ5/P1b1B3/5PPP/R4K1R w - -,c4c3
5r2/5pkp/p2p1np1/4pP2/2R5/1P2Q1PP/q4PB1/6K1 w - -,f5g6
r1bqkb1r/pp3ppp/2n2n2/2pp4/8/P1NP4/BPP2PPP/R1BQK1NR b KQkq -,f8e7
8/3r1kpp/1p2p3/p1p5/P1P5/1R5P/2P2PP1/6K1 b - -,d7d1
8/5k2/6p1/p2r4/1pN1R1KP/1Pb2P2/P7/8 b - -,c3f6
r2qr3/2nb2bk/3p2pp/2pPpp2/pPp5/P2N1PP1/3BQ1BP/R1R3K1 w - -,c1c4
r2qk2r/3nbppp/p1p1pn2/1p1p4/2PPP3/1PNQ1N2/P4PPP/R1B2RK1 b kq -,b5b4
r5k1/5ppp/p1b1p3/2b5/Np6/1P3n1P/PP2NK2/3R4 w - -,a4c5
8/3p4/2pk1q2/5ppp/2Q5/r3rPP1/4PR1P/1R4K1 w - -,f2f1
1r2k2r/4npbp/1p1q2p1/p1p1p3/3n4/P2PN1P1/1PQ1PPBP/R1B2RK1 w k -,c2d1
r1bq1rk1/ppppbppp/5n2/1B6/3P1P2/2N5/PPP3PP/R1BQ1RK1 w - -,d1f3
r1bqk2r/4ppb1/p1np1npp/1p6/4P3/1NNBBP2/PPPQ2PP/R3K2R w KQkq -,e1c1
r2q1rk1/pb1n1ppp/3ppn2/2p5/2P5/P1BBPN2/1PQ2PPP/3RK2R b K -,d8e7
2R5/8/2P1pk2/6p1/b1r5/4PBKP/6P1/8 w - -,g3f2
r1b1r1k1/1p1nqpbn/p2p2pp/3Pp3/PPN1P3/2N1B1PP/5P2/2RQRBK1 b - a3,f7f5
r1r3k1/1b1n1pbp/pp1qp1p1/2pp4/P2Pn3/N1P1PN2/1PQ2PPP/2RRBBK1 w - -,c2b1
3k4/pp4p1/3b1p2/3p3p/r2P4/2N2P2/1PK3PP/3R4 b - -,a4a5
r1bqk2r/1p2bpp1/p1nppn1p/8/3NP1P1/2N1B2P/PPP1QPB1/R3K2R b KQkq -,d8c7
8/8/8/p3K1p1/1k2P1P1/1Bp2P2/8/8 w - -,b3c2
r1q2rk1/4bpp1/p3pnp1/1p1pB3/3P4/2P5/PP1N1PPP/3QRRK1 w - b6,e1e3
1qbr2k1/r2n1p1p/p1pp2pb/2p1p2n/1P1PP3/P1N2NPP/1BR2PBK/3QR3 w - -,b4c5
r5k1/1p3ppp/pq2pn2/2b5/Q7/P2rP1P1/1P3PBP/R1B2RK1 w - -,b2b4
2r2rk1/3b1pp1/4p2p/2n1P1q1/ppPN4/8/PPB2QPP/3RR1K1 b - -,f8d8
r2q1rk1/2pb1pbp/p2p1np1/np1Pp3/P3P3/2N1BPP1/1PP1N1BP/R2QR1K1 w - b6,b2b3
r1bqr1k1/1p2npbp/p1npp1p1/2p2P2/2B1P3/P1NP1N2/1PP3PP/1RB1QRK1 b - -,d6d5
8/5P2/4p3/4P1kp/8/2pK2p1/8/8 b - -,c3c2
2r2rk1/pb1q2bp/1pn1npp1/3p4/3P4/4BNP1/PP1Q1PBP/2R1RNK1 w - -,g2h3
8/2pb4/1p3p2/p2k4/5K2/P1P5/1P2B3/8 w - a6,e2d3
7R/2bP1k2/8/p4B2/8/4PK1P/Pr6/8 b - -,b2d2
r1b2rk1/pp2ppbp/2n3p1/8/2qN4/4BB1P/PPP2PP1/R2Q1RK1 w - -,b2b3
r2q1rk1/1bp2ppp/pp2pn2/4P3/Pb1P4/2NB1N2/1P2QPPP/2RR2K1 b - -,f6d5
2k3q1/2n5/6K1/2p3P1/5r2/2P5/PP1R2Q1/8 w - -,g6h6
r1bqk2r/pp2npbp/2npp1p1/2p5/4PP2/2PP2PN/PP4BP/RNBQ1RK1 b kq -,e8g8
r2qk2r/pp1nbppp/5n2/2Pp4/8/8/PPPNQPPP/R1B1K1NR w KQkq -,g1f3
r2qnrk1/2p2ppp/p1np4/P3p1b1/4P3/2PP1Q1P/2B2PP1/RNB1R1K1 w - -,b1d2
2rr1q1k/pb3p2/4p2b/3pP2Q/3R3P/2P3P1/PP3P2/R4BK1 w - -,d4f4
3r4/1kp4p/1p1q2p1/p3Rp2/P1QP4/2P2P2/6PP/6K1 w - -,c4b3
r4rk1/pp3pp1/q1n4p/1R4N1/2Q5/8/PP3PPP/R5K1 w - -,g5e4
r1b1kbnr/2q2ppp/p1ppp3/8/4P3/2N3P1/PPP2PBP/R1BQK2R w KQkq -,e1g1
