8/2k2b2/3np3/pB2P1P1/Pp1KP3/8/8/8 w - -,e5d6
1k6/p1p2Q1p/1p1r4/8/4q1P1/7K/P4R1P/8 b - -,b8b7
3q1rk1/1p1bppbp/p2p2p1/4n3/P2Nn3/1BP1B2P/2P1QPP1/R3R1K1 w - -,f2f4
2n1k2r/pp3ppp/3b4/1P2p3/2B1n3/4PN2/P2B1PPP/4K2R w Kk -,c4d5
r4r1k/1p3pp1/p3p3/3pb1q1/3B1n2/2PB1R1P/PP1Q2P1/R5K1 w - -,d4e5
6k1/5p1p/p1p3p1/1b2q3/8/1P4P1/3Q3P/3B2K1 w - -,d1f3
8/5k2/1p4rp/3P4/1P2R1P1/4K3/8/8 b - -,g6d6
k2qr3/pp4p1/2p2n2/2Q5/3P3P/2N5/PP4P1/2K4R b - -,d8d7
rnbqk2r/pp1p1ppp/4pn2/8/2PQ4/P7/1P2PPPP/R1B1KBNR w KQkq -,g1f3
2r2rk1/pbq1bppp/1pn1pn2/2pp4/3P4/PPN1PNP1/1BP1QPBP/R4RK1 w - -,f1d1
4r1k1/1p3p1p/p2p2p1/q2P2P1/3p1P2/3Br3/PPP4P/1K1RbRQ1 w - -,f4f5
r2qkb1r/pp3ppp/2n1p3/2pp4/3P2n1/1P2P1P1/PBP2P1P/RN1QKB1R b KQkq -,g4f6
3rkb1r/1p1b1ppp/p1p1p3/2P1q3/4NB2/3B4/PP2Q1PP/R4RK1 b k -,f8c5
5rk1/1p1qp1rp/p2pRpp1/3P4/P1PQ3P/1P6/5PP1/4R1K1 b - -,f8f7
r1bq1rk1/1ppn1ppp/3p1n2/p3p3/1bPP4/4BNP1/PP2PPBP/RN1Q1RK1 w - -,b1c3
8/pp1bkr1p/8/3pp1p1/8/1P1B1P2/P3KP1P/6R1 w - -,g1g5
r2q1rk1/5pp1/2p1n1p1/1pPpNn2/3P4/1p5P/PB1QRPP1/4R1K1 w - -,a2b3
r1bqr1k1/2p1npp1/pb1p1n1p/1p2p3/4P2N/1BPP3P/PP3PP1/R1BQRNK1 b - -,g7g5
r2q1rk1/pp2ppbp/2b2np1/2PpN3/3P4/2N5/PP3PPP/R1BQ1RK1 w - -,f1e1
8/pp6/2r2k1b/4R2p/1P5p/5P1P/P2R1KP1/8 w - -,d2d5
1rb1k2r/2q1b1pp/pn1ppp2/6PP/2pNPP2/2N1B3/PPPQ4/K2R3R b k -,c7b7
r1bqk2r/pp1p1ppp/2n1pn2/2b3B1/2P5/1QN1P3/PP3PPP/R3KBNR b KQkq -,e8g8
8/6p1/pp2kbp1/4pp2/P7/NPP1nP1P/4N1P1/5K2 w - -,f1f2
r1b1k2r/1p1pbppp/pqn1p1n1/2p5/4P3/2NP1N2/PPP2PPP/R1BQRBK1 w kq -,g2g3
3r2k1/ppp2ppp/2n5/4q3/8/N1P2Q2/PP3PPP/1K5R b - -,e5e6
2r5/1q3pk1/2p1p1p1/1pPpP2p/1Pn2P2/2B1PKPP/Q7/R7 b - -,c8d8
r7/8/2k1N3/5K2/3R4/8/8/8 w - -,d4c4
8/1b2kp2/2p1p1pp/P3P3/5P2/4K1PP/6B1/8 b - -,e7d7
r1b2rk1/pp2qppp/2p1p1n1/4P3/4Q2P/P1RB1N2/1P3PP1/3R2K1 b - -,f8d8
8/5p2/p3n1kb/2q1P3/2pN3R/2B5/PP3PP1/4R1K1 w - -,h4g4
r5k1/7p/1p1pp2r/pPn1b2q/5p2/1P3P1P/P1BQ1BP1/3RR1K1 b - -,g8h8
3n2k1/4bpp1/b3p2p/1qnpPP1P/5BP1/1pP2N1B/rP1Q3K/1R1N4 w - -,d1f2
r1bq1rk1/ppp2ppp/2np1n2/4p3/2P5/P2PP3/1PQ2PPP/R1B1KBNR b KQ -,c8g4
1rb2rk1/ppp2p1p/4p1qb/2N5/3Pp3/2P3P1/PP2Q1BP/R4RK1 w - -,g2e4
7r/1k2np2/r1p1p3/p1RpPn1N/Pp1P4/1P1P3P/5BPK/6R1 b - -,h8h5
2rq1rk1/1p2pp1p/6p1/p2P4/Pn6/1Nb1Q3/1PP4P/1K1R1B1R w - -,b2c3
r1bq1rk1/ppp1bppp/2n5/3pp3/2B1R3/2P2N1P/PP1P1PP1/RNBQ2K1 w - -,e4e1
r1b1kb1r/1p4pp/p1nppn2/6B1/3NP3/q1N5/P1PQ2PP/1R2KB1R w Kkq -,d4c6
8/2R3pp/1p2pp1b/1r5k/3P4/5KPP/3r1PN1/5R2 b - -,b5b3
5n2/7p/1pk3p1/1b3p2/3B4/1PN2PP1/3KP2P/8 b - -,b5a6
1br2rk1/6pp/Qp2q3/2ppP3/P3pP2/1P2P1P1/1BR4P/2R3K1 b - -,c8d8
8/8/1kn5/3n4/2R5/PP1K4/8/8 w - -,d3e4
r4r1k/p5pp/1bNNp1b1/4P1q1/1R3p2/1Q6/P4PPP/5RK1 w - -,b3e6
r4rk1/1p4bp/3p2p1/q1pPppB1/p7/Pn1P2P1/1P2PPBP/1R1Q1RK1 b - -,a8e8
8/4bk2/2p1p1p1/2PbBpP1/3P1P2/4PBK1/5Q2/7q b - -,h1c1
1k3r2/1P4pp/8/p2K4/P4P2/8/6P1/1R6 w - -,g2g3
r3k2r/1p3pp1/p5q1/3PpnBp/3n3P/2N5/PPP2PP1/R2QK2R w KQkq -,d1d3
r2q1rk1/p4ppp/bpn1pb2/2p5/8/PPn2NP1/1B1PPPBP/RQ2R1K1 w - -,b2c3
3k4/pb1P4/1p5p/2p3p1/2P5/P3rPK1/4R2P/3R4 b - -,e3e2
2r1r1k1/ppqbbppp/2p2nn1/3p2B1/3P1P2/2NBP1NP/PPQ3P1/3R1RK1 b - -,g8h8
r1bqk2r/2p1bppp/p2p1n2/1p2p3/4P3/1nP2N1P/PP1P1PP1/RNBQR1K1 w kq -,d1b3:a2b3
7r/3PR3/2K2p2/6k1/3R4/7b/8/8 w - -,c6c7
6k1/bp3p1p/2p5/p3N1p1/8/PP3bP1/1B1r1P1P/4R1K1 w - -,e5f3
4r3/1kp2p1p/p4p2/8/3Rn1PB/2p5/P1K4P/8 w - -,d4d7
2qr1rk1/1p3p2/p2p3p/4p1bQ/2b1P3/1NN3P1/PPn2PB1/R2R2K1 w - -,a1c1
r1bqkb1r/pp1ppppp/2n5/2pnP3/8/2P3P1/PP1P1P1P/RNBQKBNR w KQkq -,f1g2
8/4Rp2/2p2p2/2P2k2/5b2/2B5/2r5/4K3 w - -,c3d4
b3qbk1/6pp/p4n2/3pN3/1P1N4/2P2QB1/7P/6K1 b - -,f6e4
rnbqk2r/pp3ppp/4pn2/3p4/2Pp4/P1N1P3/1P3PPP/R1BQKB1R w KQkq -,e3d4
1rbq1rk1/p3ppbp/1p1p2p1/2p2n2/1PPn4/P1NP2P1/3BPPBP/1R1QNRK1 b - -,c8b7
3b4/8/1p6/p1k2N2/2P5/1P3K2/P7/8 w - -,f3e3
1rb2rk1/p1q1pp1p/2p3p1/3n4/N1BQ4/5P2/PPP3PP/2KR3R w - -,c4d5:h2h4
8/3nB3/5p2/1kb1p1p1/2p1P3/2P2P2/3K2P1/3B4 w - -,e7d8
8/pr3kpp/b1p1p1q1/2p1P3/2P1P2Q/P3P2B/6PP/3R2K1 w - -,d1f1
8/p4p2/1pK5/1P4kP/P7/8/8/3Bb3 b - -,f7f6
8/2R2p2/2P2kp1/7p/3K1P2/6P1/8/2r5 w - -,d4d5
r1b1nrk1/ppq3bp/2pp1n1B/5p2/2PPp2N/2N3P1/PP1Q1PBP/1R2R1K1 b - -,f6g4
r4rk1/ppp1q1bn/3p1nbp/3Pp2P/2P5/2N1B1N1/PP2BP2/R2QK2R b KQ -,g6e8
r1b2rk1/p1q1bppN/1p3n1p/4p3/3B4/2PB4/PPQ2PPP/2KR3R w - -,d4e3
2b1r1k1/1p3pbp/2pp1np1/2n5/1qPBP3/rP3NPP/N1Q2PB1/1R2R1K1 b - -,b4a5
3rr1k1/2pnq1pp/1p3n2/p3pp2/2P1b3/1P3NP1/PB2PP1P/2QRRBK1 b - -,e7c5
K7/6Rp/P6P/6Pk/8/8/1r6/8 b - -,b2b1
1k1r1b1r/ppp2pp1/4pn1p/2N2n2/3P1P2/4P3/PP1BKPBP/R1R5 b - -,c7c6
rn3rk1/pq3pp1/1p2p2p/2b5/2B1bB2/4PN1P/PP2QPPK/2RR4 b - -,a7a6
r1b1nr1k/4NppP/p3q3/1p4P1/1P1Q4/P3P3/1B1PBP1b/2R1KR2 w - -,e7c8
rn1qkb1r/pp3ppp/2p1pn2/8/3Pp3/2NB1Q1P/PPP2PP1/R1B1K2R w KQkq -,c3e4
rnbqk2r/pp3ppp/4pn2/3p2B1/1bPp4/2N1PN2/PP3PPP/R2QKB1R w KQkq -,e3d4
r4rk1/2q1bppp/b1p1pn2/p7/N1p5/1P4P1/P1Q1PPBP/R1BR2K1 w - -,b3c4
r3r1k1/pbpp2bp/2pq2p1/8/1PP1Bp2/8/1B1N1QPP/1RR3K1 w - -,b2g7
8/2b2pk1/2P3p1/1P2p3/3pB3/7P/5P2/6K1 b - -,f7f5
rn1qkb1r/pp2nppp/2p1p1b1/3pP3/3P3N/8/PPP1BPPP/RNBQK2R w KQkq -,e1g1
3rkr2/4np1p/1p1q1p2/7P/p2p1P2/P5QB/1PP1RP2/1K2R3 w - -,e2e7
r1bqkb1r/3n1ppp/pn1pp3/6P1/p2NP3/2N1BP2/1PPQ3P/R3KB1R w KQkq -,c3a4
r1r3k1/p2n1ppp/P1q1pn2/1p6/2pPPB2/2P2P2/3QN1PP/RR4K1 b - -,f6h5
