8/4k1p1/2p5/pP1PKPPp/7P/8/P7/8 b - -,c6b5
1b1r4/1p2k1pp/p7/4pp2/2R4P/2P3P1/PPN1KP2/8 b - -,b8d6
r1bqkbnr/1pp2ppp/p1n5/1B1p4/3P4/2N5/PPP2PPP/R1BQK1NR w KQkq -,b5c6
3r4/2q1k2p/4p3/p1P1p1p1/4Pp2/1P5P/P4QP1/3R3K w - -,d1c1
6r1/4kp2/p2p3b/1p1Ppp2/7P/N1PB1n2/PP3P1P/1K1R4 w - -,d3f5
r2q1rk1/1b2ppbp/n2p1np1/2pP4/8/2N2NP1/PP2PPBP/1RBQ1RK1 w - -,a2a3
r1bq1rk1/p2nppbp/1p1p1np1/2p5/2PP4/P1N1PN2/1P2BPPP/R1BQ1RK1 w - -,d4d5
r2r2k1/pb2qp1p/1p2pbp1/2n5/2PN4/4P3/P1B1QPPP/B1RR2K1 w - -,d4b3
r3kb1r/1pqb1p2/p2p1np1/4p2p/2P1PP2/1PN3PP/P2QN1B1/3RK2R b Kkq f3,c7b6
3qr1kb/pp1bpp2/3p1npB/2r1n2p/3NP2P/1BN2P2/PPPQ2P1/1K1R3R w - -,g2g4
8/r4p2/8/3pP2b/3P3p/3R4/6k1/3NK3 w - -,d1e3
8/5r2/1pp1R3/p2k1PK1/P7/1P6/2P5/8 b - -,b6b5
6k1/5pp1/2pBbn1p/1p6/2r1P3/6PP/R4PBK/8 w - -,e4e5
6k1/p5p1/1p5p/3p1q2/1Pr1p3/P6P/4QPP1/3R2K1 b - -,g8h7
R7/8/8/p3k1p1/4p1P1/r6P/3K4/8 w - -,a8f8
r6r/1b3kp1/2p1pp1p/4B3/pQ2p1PP/P7/1PP1q3/2K4R w - -,b4b7
r1b1r3/2p2pk1/p2b1npp/1p2n3/4P2B/1BN4P/PPP3PN/2KRR3 w - -,e1f1
8/7p/3Kp3/2P2p2/4kP2/2r3P1/3R3P/8 b - -,e4e3
2r3k1/1p4pp/3bb3/pP3p2/2nBp3/P1N1P3/4BPPP/R5K1 w - -,g2g4
8/1b2k2p/1p2nNp1/4p1P1/1PP2p1P/5P2/2B2K2/8 b - -,b7f3
r1bq1rk1/1pp1p1bp/n2p1np1/3P1p2/p1P5/1PN2NP1/PB2PPBP/R2Q1RK1 b - -,a6c5
6k1/pp1n1p1p/6p1/2P3P1/1P2p3/2Q3Pq/P7/5RK1 w - -,f1f4
8/5K2/7p/1k4p1/5P2/6P1/7n/8 w - -,f7g6
r2r2k1/p3p2p/4qnpQ/3p4/8/2N2P2/PPP3P1/2KR3R w - -,d1e1
r2q1rk1/ppp2pbp/4bnp1/4p3/4P3/2N1B3/PPP1BPPP/R2Q1RK1 w - -,d1d8
8/6pk/1pq1p2p/3pP3/3Pp2P/pP2P1P1/P2QR1K1/2r5 w - -,e2f2
r1bq1rk1/pp1nppb1/2pp1npp/8/2PP3B/2N1PN2/PP2BPPP/R2Q1RK1 b - -,a7a5
8/4kp2/5p1p/p2p4/2pP4/1r6/rPRRKPPP/8 b - -,a2a1
rnbq1rk1/ppp2ppp/3b2n1/8/2PPBp2/5N2/PP4PP/RNBQ1RK1 w - -,c4c5
4r1k1/1p2qpp1/p1pn2p1/P7/1Q6/4P1PP/1P3P2/R4BK1 w - -,a1d1
8/8/8/2p1B3/p4P1p/P3q2P/1P4RK/5k2 b - -,e3f3
1r3r1k/p2b1pb1/2q1pNp1/2ppP1Qp/5B2/1P1P4/P1P3PP/R4RK1 b - -,f8c8
8/8/7p/3k1p2/2p2P1P/2K2P2/8/8 w - -,h4h5
1rqr2k1/5pbp/2b1pBp1/1pP1pn2/1P6/PRN2NPP/4QPBK/4R3 b - -,g7f6
6R1/8/5pk1/1r5p/5K2/8/8/8 b - -,g6f7
rn2k2r/2q2pb1/pp1p2pp/3Pp3/P7/2N5/1PPN1PPP/R2Q1RK1 w kq -,d1g4
r3k2r/pp1b1ppp/n3pn2/1N2q3/Pb6/8/1PPNBPPP/R1BQK2R b KQkq a3,d7c6
6k1/bppr1pp1/4bq1p/pP2p3/P1P1P3/B4N1P/4QPP1/R5K1 w - -,c4c5
2r3k1/3q1pp1/3nbn1p/1p1p4/p2P1Q2/6NP/PP2NPP1/1B2R1K1 w - -,b1d3
1R6/8/3rp3/5p2/1kp2P2/5P2/4K3/8 b - -,b4c3
2rr2k1/5p1p/p4qp1/2Bb4/1P1N1n2/P4P2/3Q2PP/2R2R1K w - -,d2e3
3r4/6k1/3b2p1/4N3/1p2K1P1/5R2/8/8 w - -,e5c6
8/5k2/1R6/6pp/1P6/3n1KB1/2r4P/8 w - -,b6b7
rnb2rk1/ppq1p1b1/2pp2pp/2P5/3Pn3/5NP1/PP3PBP/R1BQR1K1 w - -,e1e4
r2qr1k1/pp3pbp/2n5/5p2/2PppPn1/PP4PB/1B1NP2P/R2QR1K1 w - -,h3g4
8/nr1r2kp/1p3pp1/p7/P2PP3/B1P2NPP/5K2/1R6 w - -,e4e5
4r1k1/5p2/1p4pp/2bR4/1pB5/1P4P1/2P2P1P/6K1 b - -,g8g7
3r1bk1/2q2ppp/1pp2n2/p1n1p3/P3P3/2N1B2P/BPP1QPP1/4R1K1 w - -,a2c4
4r1k1/1bp1r1bp/p1qp1p2/1p3p2/1P1QPB1P/1PP1R1N1/4R1P1/6K1 w - -,g3f5
8/p4k1p/1p2p1p1/1n1BP3/1P4PP/8/1P6/1K6 w - -,d5e4
r2qk1nr/bpp3pp/2n1bp2/p2Np3/2P5/PP2PN2/1B2BPPP/R2QK2R b KQkq -,g8e7
2r3k1/1r3p1p/2q3p1/pp3p2/2pPN3/P3P3/1PQ2PPP/3R1RK1 b - -,c6e4
5r1r/3bk1R1/2p5/p1PpPp2/B2P4/1p2P3/PP6/2K3R1 b - -,e7d8
3R1n1k/8/2p2Np1/p4B2/p5P1/7r/1P3P1P/4b1K1 w - -,d8f8
7k/7p/2p4r/8/pp2BP2/PPb5/6K1/1R6 w - -,b3a4
2rqk2r/pp1bnn1p/4p1pb/1P1pP3/NQ6/P2B1N2/1B3PPP/R4RK1 b k -,b7b6
8/1p4r1/p7/4kpr1/P1P1p3/1PP1R3/4R2P/7K w - -,h2h3
6k1/5q2/p1p3pQ/2P1P2p/1P1p3P/3b1PP1/5KN1/8 w - -,h6d2
r1b1kb1r/1pq2pp1/p1nppn1p/8/3NPP2/P1NB4/1PP2BPP/R2QK2R b KQkq -,f8e7
2r2b2/5p1k/pB2p2p/R1p1P1pP/1pP3P1/1P3P2/4K3/8 w - -,e2e3
4rrk1/p2qbppp/1pn5/2p1Pb2/2Pp1B2/1Q1P1B2/P2N1PPP/1R3RK1 b - -,e7d8
4r1k1/p1qn1ppp/1pr2n2/3p1N2/3PP3/P2Q1P2/4R1PP/2B2RK1 w - -,c1b2
8/8/pr2k3/7p/R5p1/8/5PK1/8 w - -,a4a5
1r1q1rk1/1p1bppbp/p1np2p1/2p2n2/P1P5/1PNPP1P1/1B2NPBP/R2Q1RK1 w - -,d1c2
r3r1k1/p2n1ppp/2p2b2/qp2P3/4P3/2P3B1/P1RNQPPP/3R2K1 b - -,d7e5
8/8/1p4p1/pR6/3k4/1K4P1/3n3P/8 w - -,b3c2
2Rr2k1/3r1pp1/1p5p/pq6/4P3/P5P1/1P5P/2Q1R2K w - -,c8d8
5rk1/p1p1n3/1p1qn1pp/1Pp1bp2/N7/B2P2P1/b3PPBP/2RQR1K1 b - -,f5f4
1r4k1/3q1p2/1rp1pnp1/p6p/P1RP1P1P/bP3QP1/5BK1/2RB4 w - -,c1a1
rn1qkbnr/pp3ppp/2p1p3/8/3PB3/5N2/PPP2PPP/R1BQK2R w KQkq -,c2c3
r4rk1/pp1nbppp/q1p1pn2/8/2pP1B2/1PNQP2P/P3NPP1/R2R2K1 w - -,d3c4
8/8/8/5K2/Q7/4q3/4k1p1/8 w - -,a4c2
5rk1/5p1p/4pq2/6p1/8/1PN1Qb1P/P4P2/3R1BK1 b - -,f3d1
8/7p/3p1p2/2rkpp2/7R/P3P1P1/1K3P1P/8 b - -,c5b5
4r3/4P1kp/2p1R3/6p1/3r1p2/2R2P1P/6PK/8 w - -,c3c6
5r1k/7p/3R4/5p2/B1q1p3/6PP/KP1Q1P2/8 w - -,b2b3
2rqr1k1/3bppbp/3p1np1/4n3/pP1NP1PP/2N1BP2/BPPQ4/1K1R3R b - -,a4a3
5r2/4R3/2b5/8/8/3k4/8/4K3 w - -,e7a7
8/1p1bk1pp/p3pr2/3p4/3P1P2/3BK3/PP4PP/5R2 b - -,h7h6
rnq1kbnr/pp3pp1/2p1p2p/3pPb2/3P3P/2N5/PPP1NPP1/R1BQKB1R w KQkq -,e2f4
6r1/ppp2k1p/4R3/5n2/2p5/2Pr2P1/P2B1P1P/2K1R3 b - -,g8d8
8/3n1kpp/8/3p1p2/3P4/4BKPP/2r2P2/4R3 b - -,d7f8
4k2r/rb1nbpp1/2n1p2p/q1p1P2P/ppPpBB2/1P1P2P1/PKNNQP2/4R1R1 w k -,e1a1
3r2k1/1p1qbppp/2n2nb1/rQ1p4/8/P1N1PN2/3RBPPP/R1B3K1 w - -,b5b3
5r2/p3qpk1/np1p2p1/3Pp1Np/1P1RP2P/4QPP1/P7/2R3K1 b - -,e5d4
