8/pp4K1/1kp1PQ2/8/8/P5q1/8/8 w - -,g7f7
2r5/p6p/1p6/1P3p2/P2Q2P1/6K1/2r5/2k5 w - -,d4f4
r4rk1/p1qn1pp1/4p2p/1ppn4/3P2PP/3Q4/PPPBNP2/1K1R3R w - -,g4g5
1k1r3r/pb1q1pb1/1p1pn3/2pN3p/1P2P3/P1PPN3/5RBP/R2Q2K1 b - b3,e6c7
r2q1r1k/2p1bp2/p5p1/1p1p1Q2/3P1P2/8/PP1N2PP/R4RK1 w - -,f5d3
2r1kb1r/3p1ppp/pnb1p3/1p2P3/4N3/3B4/PPP2PPP/R1B1R1K1 b k -,f8e7
2rqr1k1/pn1pbp1p/bpp3pB/3Pp2n/1PP1P3/2NB1PP1/PQ2N2P/3R1R1K b - -,b7d6
3r4/5k1p/p2bR3/2pp4/5p2/5K2/P6P/3N4 w - -,e6h6
8/R2b2p1/6p1/4Pk2/4r2P/5KP1/8/8 b - -,e4d4
8/p1r1kp2/1p1Nb3/PP2pp1p/1KP3rP/6P1/3R1P2/3R4 b - -,f5f4
3R4/8/3p1kp1/2nPp3/8/2n1P2P/4K3/8 w - -,e2d2
r4rk1/3p3p/2q1p1p1/2P1PpP1/p1PBb3/2Q5/2P3PP/R4R1K w - -,f1f2
1r4k1/1rppq1b1/6pp/p1p1P3/2P5/2NB4/1n1Q1PP1/B1K1R2R b - -,g7e5
r2q1k2/ppp2p1p/1n1bppb1/3p4/3P4/2P2N2/PP2PPPP/R1Q1KB1R b KQ -,c7c5
8/p4r1k/1pP1q2p/3Rn2Q/6r1/2B1p1P1/P1P1pP2/4R1K1 b - -,e5f3
2r1r1k1/1b1n1p2/1p4pn/p6p/2PPp3/P1B1P2P/4B1P1/2R1RNK1 w - -,g2g4
r2r2k1/4bppp/p2qbn2/1p2p3/2p1P3/2P2RNP/PP2QPP1/RNB3K1 w - -,b1d2
r3kb1r/pp3ppp/4pn2/1P1bN1N1/3n4/4P3/1P1B1PPP/R3K2R w KQkq -,e3d4
rnbqk2r/pppp1pbp/8/6p1/2P5/5P2/PP1B1PPP/RN1QKB1R w KQkq -,d1e2
rnbr2k1/ppp1ppbp/6p1/4P3/5Pn1/2NB1N2/PPP1K1PP/R1B4R b - -,b8c6
8/1p1Q1p1k/2p2P1p/p6q/4p3/1PP5/P5b1/3RR1K1 b - -,g2f3
5Q2/8/4r3/6k1/3K4/8/8/8 w - -,f8f1
2rqk2r/pp3ppp/2nbpn2/3pN3/3P4/1P5P/PBPNQPP1/R4RK1 b k -,e8g8
r1bqk2r/pp1n1pbp/2p1pnp1/3p2B1/2PP4/2N2NP1/PP2PPBP/R2Q1RK1 b kq -,h7h6
2r1rbk1/1b3p1p/p5p1/1pp1qPN1/4B3/P1P4P/1B2QR1K/R7 w - -,h2g1
2r3k1/1pq2pbp/p1rppnp1/8/PP2PP2/2NQ3P/2PB2P1/1R1R2K1 w - -,b1b3
7k/p1rb2pp/Pr1n1p2/1B1p1P2/1R1PpB2/2P3P1/2P4P/1R4K1 b - -,d7b5
5rk1/1p1nqppp/rpp2n2/8/3Bp3/1Q1P1BPP/PP3P2/R4RK1 w - -,d3e4
1r2kn2/2qn1r2/p3p2p/3bP1p1/1p1N4/3B4/PPP1Q1PB/1K1R1R2 b - -,f7f1
8/p7/8/4k3/7p/1P1K4/1P3b2/2N5 b - -,f2d4
rnb1k1nr/pp3ppp/2pb4/8/3p1B2/2PP4/PP2N1PP/R2NKB1R b KQkq -,d6f4
r1bq1rk1/p1p1bppp/2B1pn2/8/2pP4/6P1/PP2PP1P/RNBQ1RK1 b - -,a8b8
3QR3/5pkp/p2p2p1/1p1q4/1P2r3/2P4P/1P3PP1/6K1 w - -,e8g8
8/2B5/r7/5k1p/5P1P/8/7K/8 b - -,a6a3
2kr1bnr/1bqn4/p2pp1pP/1pp5/4P3/2NP1N1P/PPP3B1/R1BQ1RK1 w - -,f3g5
3q1nk1/pp5p/2p1bpp1/3p3P/3P1Q2/1BP3N1/PP3PP1/5K2 w - -,h5g6
2kr2r1/pp2bppp/2p1p3/4P3/3P1P1n/4B1NP/PP2KP2/R5R1 w - -,d4d5
r2q1rk1/pp3ppp/2P1nb2/1B1p4/8/2NQ3P/PPP2PP1/R4RK1 b - -,b7c6
8/5p2/p5p1/4K1P1/8/Pk5P/8/8 b - -,b3a3
4k3/4p3/3p2pp/2pPb3/2P1N2P/1r3PP1/3RK3/8 b - -,e5d4
8/p7/1p3k2/2p3pp/2PbB2P/1P1Pp1P1/P3K3/8 b - -,g5h4
rn1q1rk1/p2p1ppp/1p2p3/3bP3/3P4/2P2N2/P4PPP/R1BQ1RK1 w - -,d1d3
r2r1nk1/1bq2ppp/pp1p1n2/2b1p3/P3P2B/1N1Q1B2/NPP2PPP/R2R2K1 b - -,c7e7
rnb1k2r/1pp1qppp/3p1n2/p2Pp3/2P5/PPQ1PN2/5PPP/R1B1KB1R w KQkq -,c3c2
2r5/1p1k4/pR2Rp2/8/2r5/6P1/PPP5/2K5 w - -,b6d6
3r1kr1/pp3p2/1qb1pp2/7p/3nNQ2/1P1B4/PB3PPP/R4RK1 b - -,f6f5
r2qkb1r/1p1n1pp1/p2pbn2/4p2p/4P3/1NN1BP2/PPP1B1PP/R2QK2R w KQkq -,a2a4:c3d5
r2r4/pp3pkp/4b1p1/qB5n/8/P1N2P2/1P3QPP/3R1R1K w - -,f3f4
2r5/1p2kp2/4b1p1/p3p2n/2P5/1P2BPP1/P6P/3R1BK1 b - -,h5g7
4rr1k/6p1/7p/7B/p2p4/P1q3P1/5P1P/Qb3RK1 w - -,a1b1
r4rk1/1bq1bppp/pp1ppn2/8/PP1NPP2/2NP4/3BQ1PP/R1R4K b - -,c7d7
r2q1rk1/1p2bpp1/1np1bn1p/p2pN3/P2P3B/2NBP2P/1PQ2PP1/3R1RK1 w - -,c3e2
4r1k1/1p1r3q/p5pB/2pPpp1p/2Pb3P/1P4R1/P2Q1PPK/5R2 w - f6,h6g5
r4rk1/1p2qpp1/p1npbn1p/4p3/2B1P3/2N5/PPP2PPP/R1BQ1RK1 w - -,c4d5
1r3rk1/1p1q2p1/2p4n/3p3R/3P1p1P/1P1Q1N2/P4PP1/4R1K1 b - -,h6f5
8/p3r1p1/5k1p/3B4/2P2P2/1R3KPP/P7/3n4 w - -,b3d3
6k1/p1q2pb1/1p2p1p1/3rP3/1P1BR3/2P2R2/rP4P1/4Q1K1 w - -,e1b1
8/2p2p1k/6pp/8/NN2n1Pb/1P3Q1P/P2q2K1/8 w - -,g2g1
rn1qk3/1p5r/2pb2pp/p4p2/2b1pB1P/6P1/PP2PPB1/R2QK2R w KQq -,f4d6
2r2rk1/p1pNqpp1/1p2pn1p/3nN3/3P4/3BP3/PP3PPP/RQ3RK1 b - -,f6d7
4rrk1/1b2q2p/p2b2p1/1p1p4/1PnNn1BN/P5P1/2P4P/3RQRBK b - -,f8f1
r4rk1/2q2p1p/p1b3p1/2p1P3/2P1N3/5N2/2B2PPP/R1B2RK1 b - -,c7b7
8/p4ppk/8/4r3/4Q3/PP6/2P2PPP/5R1K b - -,e5e4
r6r/1p5p/1kpqN3/p2p1BQ1/3P2P1/4P3/P3K3/1R6 b - -,b6a7
r1bQ1rk1/pp3pbp/1nn1p1p1/3p4/3P4/2NNP3/PP1BBPPP/R1R3K1 b - -,f8d8
8/5k1K/3R3P/8/8/8/7r/8 b - -,h2g2
8/8/4p1k1/4bp2/5npp/8/2BR1K1P/8 b - -,f4d5
rn1q1rk1/pp2ppbp/3p1np1/2pP4/4P1b1/2N1BN2/PPP1BPPP/R2Q1RK1 b - -,g4f3
2r3k1/5ppp/p2bp3/q2b2P1/1Pr5/5P1R/NPPR1Q1P/1KB5 b - -,d6b4
3r1rk1/ppp1nppp/5q2/3Pp3/2P2b2/3B1PB1/PP5P/R2Q1K1R w - -,f1g2
2kr4/2p5/2P4p/p4p2/8/P3R3/7P/3R2K1 b - -,d8d1
r1bqk2r/3n1pbp/p3p3/1p1pn1P1/3N4/P1NBB3/1PPQ2PP/R3K2R w KQkq -,e1g1
1k5r/1pp4p/1nP5/2B1p3/4P3/5r2/2P2P1P/R4R1K w - -,a1a2
r4rk1/1p4p1/1qb4p/2p1p1b1/p1PpB3/PP4P1/1B1N1P2/1R1QR1K1 w - -,e4c6
8/5k2/1p6/p1b2PP1/Pr2R3/4pKN1/8/8 b - -,c5d6
5r1r/2p3k1/p3q1n1/Pp2p3/4Q3/2P2PP1/1P3PK1/3R3R b - -,c7c6
8/1kp5/6pp/1Q5n/3P4/2P3rP/1P3p2/7K b - -,b7a7
8/3r1pk1/p4q2/1p1Pr2p/1P1RpQ1P/6K1/3R1P2/8 b - -,f6g6
5rk1/3q1pbp/3R2p1/3p4/3pBBb1/3P2P1/r3PP1P/3Q1RK1 b - -,d7a7
1r3rk1/2qb2bn/1p6/2pPpn2/2P1PpP1/R2B4/1Q1NNBP1/1R3K2 b - -,f5e3
8/8/6P1/p7/k1K1p3/8/8/8 b - -,e4e3
r1bqrbk1/pp3ppp/4pn2/4n3/2Pp4/1P1P2P1/PB3PBP/RN1QR1K1 w - -,e1e5
