8/5pk1/6pp/8/2RN1P2/4pKP1/3b3P/r7 w - -,d4c2
2rq1r2/1p1n1pk1/p2p1np1/3Pp2p/4P3/3B3P/PPP1NQP1/R4R1K w - -,f2h4
6k1/pp2r1pp/3p1r2/2pP4/P3qP1P/2P2Q2/3B1R2/6RK b - -,e4a4
3rr1k1/1b3ppp/p4n2/3pnN2/P4P2/1BN4P/1PP3P1/3RR1K1 b - f3,e5g6
r1bq1rk1/pp1nbppp/2p1pn2/8/2NP4/6P1/PP2PPBP/RNBQ1RK1 w - -,b1c3
4r3/1p2qr2/p1p5/2PpBp1k/2nP1Pp1/3QP1K1/R6P/1R6 w - -,g3g2
rnbqk1nr/1p3pbp/p2p2p1/2pP4/4P3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,h2h3:a2a4
3r2k1/3r1ppp/5b2/1p2pP2/p1b5/P1P4P/1P3NP1/1B1R1R1K w - -,d1d7
5rk1/pr5p/4p1p1/3pP1b1/3P2P1/1N1K4/P5R1/1B6 w - -,d3e2
1r2k3/6q1/p2pQ3/2pP4/P7/5P2/5K2/7R b - -,e8d8
3r4/1R2R1pk/p2rn3/1p3p1p/8/P1N3P1/1P3PPK/8 w - -,c3e2
r3rnk1/1bp1qpbp/1p1p1np1/pP2p3/P1P5/3PP1N1/1BQNBPPP/2R1R1K1 w - -,e2f3
r2qr1k1/ppp2pbp/1n4p1/3b1p2/1P1P1P2/3BPN2/P1QB2PP/R4RK1 w - -,f3e5
1r1r2k1/3bq2p/1p1p2p1/p1pPbp2/PnP1P3/1PB3P1/3QN1BP/1R3RK1 w - -,b1e1
1r1qrb2/5p1k/p2p2p1/n1nPpN1B/Pp6/3P2QP/1P1B1PP1/R3R1K1 b - -,d8f6
r2q1rk1/3bbppp/p1p1pn2/3p2B1/N2P4/4PN2/PPQ2PPP/R4RK1 b - -,h7h6
3q4/3P2k1/6p1/1p3p1p/p6P/P5P1/3Q1P2/6K1 w - -,d2d5
3rr3/pkq3p1/1pp2p2/P1Q5/1R1P3p/2P4P/2P2PP1/1R4K1 b - -,b6b5
3r4/4k2p/8/4p1P1/1pppP2P/8/1P1K4/R7 w - -,a1a4
1qrr2k1/1p2b1pp/p7/3P4/2PBp3/1P3N1P/P4Qn1/2RR2K1 b - -,e4f3
2k5/pp3b1p/n1p2p2/5P2/2prP3/P7/1PK2N1P/5B1R b - -,a6c7
r1q2rk1/pp3ppp/2nbp3/3p1b1n/8/1QNPBNP1/PP2PPBP/R4RK1 w - -,a1c1
8/5rk1/5pp1/4p2p/PQ5P/1PP5/8/2KRq3 b - -,e1e3
r1b1qrk1/1ppn1pbp/n2p2p1/p2Pp1B1/2P1P1P1/2N2N1P/PP2BP2/R2QK1R1 b Q -,d7c5
2R5/1r3kpp/pr2pp2/1n1b4/B2P4/P4P2/1P3BP1/K1R5 w - -,c8c5
1n4k1/2q1pp1p/r2p2p1/3P4/2p1P3/2P3P1/3NQPKP/R7 w - -,a1a6
1k1r3r/1p6/p7/4R2p/3N3P/2P5/PP3KP1/8 w - -,a2a4
1r3rk1/2qbbppp/p1nppn2/1p6/3NPP2/P1NBB1Q1/1PP3PP/R4R1K b - -,b5b4
q1rr2k1/1b2bppp/pp2pn2/2p5/2P1P3/1PNRQNPP/P4P2/3R1BK1 w - -,f3d2
rn1qk2r/pbpp1ppp/1p2pb2/8/2PP1P2/2NB1N2/PP3PPP/R2Q1RK1 b kq -,b8c6
r2r4/p4pk1/2p3p1/1p5p/4P2P/2QP4/qPP2P2/2K3RR b - -,g7h7
7k/1p3Bp1/2p2n1p/2P2P1q/1P1P4/6Q1/7P/4R1K1 b - -,h5f7
6k1/pp3p1p/5P2/1Bbp4/7q/3R4/PP3P2/R5K1 w - -,a1f1
r1q2rk1/pp4bp/1n4p1/3Pn3/4P3/N3B2b/PP1Q2P1/R3KB1R w KQ -,a1c1
4r1k1/5pp1/5q1p/2Qn4/4p1PN/6P1/7P/4R2K b - -,f6e5
2r5/7p/4k1p1/4p3/1Pp5/2R3PP/5P2/5K2 w - -,f1e2
r2qk2r/p2nbppp/2n1p1b1/1p1pP3/2pP1P2/2P5/PP1NB1PP/R1BQNRK1 w kq -,g2g4
r2r4/1p1bnkpp/p1nb1p2/3p4/3N4/2PBBN2/PP3PPP/3RRK2 b - -,c6e5
6k1/6pp/P4n2/8/1Pr5/6P1/5PP1/R5K1 b - -,c4c8
2kr1r2/ppqbn1p1/4p3/2bpP2p/3N1PP1/P1P1B3/4B2P/R2Q1RK1 b - f3,g7g6
4k3/pQ6/4bq2/2p2r1P/1nPp4/5PB1/PP2R1KP/3R4 b - -,e8f8
r1b2rk1/p3ppbp/1qp3pn/3p4/3PP3/5N2/PP1N1PPP/R1BQR1K1 w - d6,e4e5
r1bqk2r/1p2npbp/p1npp1p1/8/4PP2/2NB1N2/PPP3PP/R1BQK2R w KQkq -,e1g1
8/2k1p3/p6r/4p1p1/1pB2n1p/5P1P/PPPR2P1/4K3 b - -,h6c6
3bk3/R4p2/4b3/2p4p/1p6/1P4PP/2P5/3R2K1 w - -,a7a8
1r1q1rk1/3bppbp/pp1p1np1/n1p5/P1PP4/1PN1PNPP/1BQ2PB1/R4RK1 b - -,d8c7
2b5/1p1pkp2/1R2pr2/rPP3P1/p5B1/6P1/P6P/2K4R b - -,f6f2
rn1qk2r/5ppp/p1p2n2/1p1pP3/1bP5/1PN1PQ1P/P2B1PP1/R3KB1R b KQkq -,b4c3
r1bq1b1k/ppp3rp/3P2n1/2P1p2n/N1B1P3/1Q3PB1/P5P1/3RNRK1 w - -,g3h2
r1bqk2r/pppp1ppp/1bn2n2/8/2BpP3/2P2N2/PP3PPP/RNBQ1RK1 w kq -,e4e5
rn2kb1r/p2pp3/b4p2/q1pP3p/2B1n1pP/4P1B1/PP1N1PP1/2RQK1NR b Kkq -,d7d6
r2qk2r/pppb1ppp/2n5/1B1pP3/Qb1Pn3/2N5/PP3PPP/R1B1K1NR w KQkq -,g1e2
8/7p/3k1p2/pBp5/P3PP1P/2K4b/8/8 w - -,b5d3
r3b2k/r5q1/1p1R4/1P1Bp3/4Pp2/6pQ/6PP/3R2K1 b - -,g7h7
3b4/N4pkp/P3b1p1/1B6/P3p3/r6P/5PP1/2R3K1 w - -,a7c6
r2qr2k/1pp2bp1/p6p/3PnB2/P1P2R2/8/1BQ3PP/1R4K1 w - -,c2c3
3Rk3/1b2qppr/p4n2/1pp1pP1p/4P2P/2N1QB2/PPP3P1/1K5R b - -,e8d8
3rr1k1/1p1n3p/2ppn1p1/q4b2/p1PB1P2/P4NPP/1P5K/2QRRB2 w - -,d4c3
r3r1k1/pp3pb1/2p3pp/7q/1P2P1b1/P1BP2P1/5QBP/2R1R1K1 w - -,c3g7
2rq1rk1/1p2bpp1/p1b1p2p/3pP3/4nB2/P1NBP3/1P2QPPP/2R2RK1 w - -,f1d1
r3k2r/1pp1qppp/p1pb1n2/4p3/4P1b1/1P1P1N2/P1PN1PPP/R1BQK2R w KQkq -,h2h3
5r1k/2p3p1/p6p/2P2pq1/3n4/P4P2/Q6P/4R1NK w - -,a2f2
8/4np2/6p1/2Pk2Pp/3P1KPP/8/8/8 w - -,g4h5
r4rk1/1ppq2bp/1n3pp1/p2p4/P2P4/2PN2P1/1P2P2P/R1BQ1RK1 b - -,f8e8
r2qkb1r/pppnpppp/3p1nb1/8/2PP3N/2N5/PP2PPPP/R1BQKB1R w KQkq -,h4g6
2rq1rk1/6bp/2npbnp1/p1p5/1pN4N/2PP2P1/PP4BP/R1BQ1RK1 w - -,g2c6
q1r3k1/3n2bp/r3pnp1/1NpP4/P7/5NP1/1PQB1PKP/R3R3 b - -,e6d5
6k1/5p2/4p1bp/7q/3P1B2/Q3PP2/2p2K1P/8 b - -,h5h4
r4rk1/ppqnbppp/2p1p3/3n4/3P2PP/2N2Q2/PPP2P2/1KBR1B1R w - -,g4g5
3r2k1/1b2qppp/p2r1b2/1ppP4/8/1B2PN2/PP1R1QPP/3R2K1 w - -,e3e4
r3rn2/ppq2pk1/2ppbnpp/8/3PPQ1N/2PB2NP/PP4P1/3R1RK1 b - -,f8h7
rn4k1/p1pp2pp/1p2pr2/7q/3Pb3/2P2N2/P1P1QPPP/R3R1K1 w - -,e2e4
r5k1/pp1bppbp/3p1np1/q7/2rNP2P/2N1BP2/PPPQ2P1/1K1R3R w - -,d4b3
2r3k1/1prnq1p1/p2p3p/P2Ppp2/1PP2P2/2R1Q1P1/3N3P/2R3K1 b - -,e7f7
rn1r2k1/1b2bppp/p3pn2/1p6/1P6/P2BPN2/1B2KPPP/RN5R w - -,b1d2
2r1r3/p5kp/P5p1/1Pp1qpQP/2Ppp3/6P1/5PK1/R3R3 b - -,e5f6
r2q1r1k/3nbppp/1pp1p3/8/2BPb3/1Q2PN1P/1P1B1PP1/R4RK1 w - -,f1d1
8/p4pkp/4p3/p3P1PP/5K2/P2R2P1/5r2/8 w - -,d3f3
2r3k1/pb1nrp2/1pPq2pp/3p4/P2P1N2/1Q2P3/5PPP/1BRR2K1 b - -,c8c6
2r5/1p2rpk1/pB1ppbp1/P6p/1PP1PP2/3B2PP/4N3/1K3R2 w - -,b1a2
rn2k2r/pbp1qppp/1p1ppn2/8/2PP4/P2BPN2/1PQN1PPP/R3K2R b KQkq -,b8d7
5br1/pk1r1p2/1n1p2n1/q4NPp/2pP3P/2P3BN/P2QR2K/1R6 w - -,f5e3
