8/8/2k3rp/pp6/3K2P1/P3RP2/8/8 w - -,e3e5
rnb1r1k1/pp1np2p/5pp1/4N3/2PP1P2/B7/P3B1PP/R3K2R w KQ -,e5f3
3r3b/1p1rqk2/p1p1ppp1/7p/2PP1B1P/1P1R2P1/P3QPK1/3R4 b - -,h8g7
1r6/1p3Rk1/5q2/p1b3pp/P1P1Q3/1R3n1P/1P3P2/2B4K b - -,f6f7
r3r1k1/pp1bqppp/8/2bpP3/3N1P2/4BQ2/PP4PP/R2R2K1 b - -,a8c8
1k6/1p4R1/p1n5/P2R4/3p1K1P/7r/8/8 w - -,h4h5
8/1R6/4p3/r2k4/5p2/4PP2/2K4P/8 w - -,e3f4
2r1r1k1/3n1pbp/q2p2p1/2pP4/pp2P3/1P2BP2/PN1Q2PP/2RR3K b - -,a4b3
r3k2r/pp1b1p1p/2n1pp2/3q4/8/4P3/PPQ1NPPP/R3KB1R w KQkq -,a2a3
2R5/1p2rq1k/3pN2b/P2P1p2/3BnP2/7P/1Q4P1/6K1 w - -,b2b6
r2rnb2/p4kpp/1p2np2/4pN2/6PP/1P2N3/PBP2PK1/3RR3 b - -,g7g6
6Q1/2kn4/1p1p4/pPpPp3/2P1Pp2/KP4nr/8/4R3 w - -,e1g1
6k1/5p2/p4n1p/P5p1/2PP1r2/4R3/6PP/3bBNK1 w - -,e1c3
r1bqk2r/pp2ppbp/2np1np1/2p5/4P3/2P2NP1/PP1P1PBP/RNBQ1RK1 w kq -,f1e1
3r1r2/p3ppkp/1p1q2p1/2pN4/2P3P1/2QP3P/PP3P2/5RK1 b - -,f7f6
r1r3k1/4pp1p/1qbp2p1/p7/4PP2/1P4PP/P2Q2BK/R1R5 w - -,c1c2
r3k2r/1pp2pp1/p1pb2n1/4p2p/2N1P3/3PBP1P/PPP2P2/RR4K1 b kq -,g6f4
r1bq1rk1/1pp1bppp/p1p1n3/4PN2/8/2N5/PPP2PPP/R1BQR1K1 b - -,e7g5
8/8/3pk3/p3p3/Pp2b3/8/1PPK1P2/8 w - -,c2c4
r2qr1k1/pbpn1pbp/1p1p2p1/6n1/2PP4/2N2N1P/PPQ1BPPB/3R1RK1 w - -,d4d5
2r3k1/3n1pp1/2r2n1p/1R1Np3/8/6P1/PB2PPKP/3R4 b - -,f6d5
4nk2/1pp3r1/1r5b/4Pp2/1P1R1P2/5R1P/7K/8 w - -,h3h4
5rk1/q3rpb1/2p1p1p1/2PpP1Pp/1p1P1N1P/pP1QP3/P2K1R2/5R2 b - -,a7d7
4rrk1/pbn4p/5p2/2bp4/2p2P2/P7/BP1N1NPP/4RRK1 w - -,d2f3
6r1/8/3k4/2pb1p1p/p4N1P/P1P2P2/1p2K1P1/6R1 w - -,g1b1
rn1q1rk1/p4ppp/4p3/3N4/P2N4/4P3/3Q1PPP/R4RK1 b - -,d8d5
1r2k2r/p2bnpb1/1qnpp1p1/2p3Pp/1p2P3/3PB2P/PPPQNPB1/R2N1RK1 w k -,h3h4
2rq1rk1/3b2bp/p2p2p1/1p1Ppp2/4P3/3BB3/PP1Q1PPP/2R2RK1 w - f6,f2f3
rn1q1rk1/ppp1ppbp/1n4p1/4N3/1PQP4/2N1P3/P4PPP/R1B1K2R w KQ -,c4b3
r2b2k1/2p1q1r1/1p1p4/pP1Pp2Q/P1P5/4B1R1/4KP2/7R b - -,g7g3
b1r3k1/5p1p/p2q1np1/1p1P4/2NQ4/P1N2B1P/1P4P1/3R2K1 b - -,c8c4
6k1/1pp2ppp/8/2R5/8/2Q1PP2/q4KPr/6R1 w - -,c3c2
r5kb/1R2pq1p/p2p1p2/3P1Qp1/PP1B4/5PP1/4P2P/6K1 b - -,h8g7
4rr1k/pb2q1pp/1p6/3pPp2/2pP4/4P1P1/PP1Q2BP/2RR2K1 w - -,d1f1
3rq3/1pR2rp1/p2n2pk/3PB2p/1P3PPb/P4Q1P/6B1/2R3K1 b - -,d6b5
1r2k1r1/2qbnp2/4p2p/pp1pP3/1P3P2/PNP5/3QB2P/R3K2R w KQ -,e1f1
3r1k2/1R3p2/1qB3pr/1Pn1P2p/1b1pN3/3Q1P2/6P1/5RK1 w - -,e4c5
r4bk1/1p1q1r1p/1B1p1np1/p2P4/P1P1p3/1PNQ4/5PPP/2R1R1K1 w - -,c3e4
r1b1kb1r/2qp1ppp/p1n1pn2/1p6/3NPP2/2NBB3/PPP1Q1PP/R3K2R b KQkq f3,e6e5
4r1k1/4qpp1/p1p4p/1pN5/1P1p1Q2/2n3P1/P1P2P1P/R4K2 b - -,e7e2
4r3/5pk1/7R/1p4Pp/1p5P/2P5/PP3R2/1KBr4 b - -,e8e1
8/1p5p/p1p1k3/P1Pr1p2/1BK1nPp1/1R4P1/1P5P/8 w - -,b3e3
8/8/4P2R/8/4r1p1/6k1/7p/5K2 w - -,h6h5
4r1k1/5p1p/p3q1p1/Q1P5/1P6/5N1P/5KP1/8 b - -,f7f5
rnbq1rk1/1pp2pb1/p3p1pp/8/P2PN3/2PBnN2/1P1Q1PPP/R3K2R w KQ -,f2e3
r2qkb1r/pp1n1ppp/2p1pn2/2Pp1bB1/1P1P4/4PN2/P2N1PPP/R1Q1KB1R b KQkq b3,h7h6
r4rk1/4bppp/P1b1p3/8/4pP2/1R2B1P1/1P4BP/R5K1 b - -,c6d5
2kr1b1r/pp1nn3/1qp1ppb1/3p3p/2PP3P/2N1B1N1/PP1Q1PP1/R3KB1R w KQ -,a1c1
r2qk2r/pp2pp1p/n1p2bp1/8/3P1Pb1/4BN2/PPP1B1PP/R2Q1RK1 b kq -,a6c7
r1bqk2r/pppp1pp1/2n2n1p/4p1B1/1b2P3/2NP1N2/PPP2PPP/R2QKB1R w KQkq -,g5h4
r1r3k1/p5pp/6b1/3p4/3Np1P1/1P1nP2P/P2R2B1/3R2K1 b - -,g6f7
r4rk1/1b2q3/3p2P1/4p1P1/2Pp3P/1P6/P2Q2B1/R3R1K1 b - h3,b7g2
r1bqk2r/p2nbppp/2p1p3/2ppP3/8/2NP1N2/PPP2PPP/R1BQK2R w KQkq -,e1g1
r1b2rk1/p5pp/2p1P3/q2p1p2/4n3/P2B1P2/2Q3PP/R1B2K1R w - -,e6e7
2r3k1/p6p/2p3pb/2B5/2n1r3/3B2P1/PP5P/1K1RR3 b - -,c4d2
rnbqk2r/ppp3bp/3ppnp1/5p2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b kq -,e8g8
7r/8/p4k2/8/2PK3P/R7/8/8 w - -,a3h3
r4r1k/ppq3b1/2bp1npp/1N6/8/1Q2B1PP/PP3PB1/3RR1K1 b - -,c6b5
r1bqkbnr/pp3ppp/2n5/2ppp3/8/3P1NP1/PPP1PPBP/RNBQK2R w KQkq e6,e1g1:b1d2
3q1rk1/pbr1bppp/1pn1pn2/3p4/2PN4/1PN1P1P1/PB2QPBP/R2R2K1 b - -,d8a8
r1bqk2r/ppp1bppp/2np1n2/4p3/2B1P3/2PP1Q2/PP3PPP/RNB1K1NR w KQkq -,c1g5
8/7p/1p2p1p1/p1k1PpP1/5P2/1P1P3P/1P6/2K5 w - -,c1d2
8/5bk1/7p/2R3pP/2Pp2P1/6K1/4BP2/3r4 b - -,d1d2
r3k2r/2q1bppp/p1p1bn2/1p2p3/4P1PP/2N1BP1B/PPPQ4/2KR3R b kq -,a8d8
4r3/1p1nq1kn/2pp2p1/p6p/P2PP1b1/1P1QB3/2P1N1B1/5RK1 w - -,c2c4
6k1/7p/RB4p1/P4p2/4n3/1r4PP/5P2/6K1 w - -,a6a8
1r2R1n1/2kr3p/3p4/p4P2/np3P2/8/PPP4P/1K2b1Q1 w - -,e8b8
8/5k2/5r2/8/4RP1K/8/8/8 b - -,f6g6
r4rk1/1pqbbppp/p2pp3/2P1n3/4NQ2/1N4P1/PP2PPBP/2RR2K1 b - -,d6d5
2b2k2/p6p/2p3p1/2P5/1P1b4/7P/P1KN3N/8 w - -,h2f3
8/8/p3k1pp/8/P1nBp1P1/4P2K/R3P2P/6r1 b - -,h6h5
4q1k1/5pp1/1Q1B2np/1b1B4/3P4/5P1P/6PK/8 w - -,b6b7
8/1k6/3K4/1P6/8/N7/1P6/8 w - -,a3c4
2r5/p4pk1/1pr5/5p1R/5P2/P7/1PR3P1/4K3 w - -,c2c6
6k1/B4p1p/q5p1/3n4/P2Q1P2/6PP/7K/8 w - -,d4d5
6k1/6p1/p1p3rp/5p2/1P1BpP2/P1P2b2/4q1PK/5QR1 b - -,g6g2
r4rk1/pp1bqpnp/3p2p1/2pP4/2PbPB2/2N2R1P/PP1QB1P1/R6K w - -,e2d3
6k1/5p2/p1p5/2Pp2P1/4b3/1PQ3P1/P2KN3/5q2 b - -,f1g2
r2qk2r/pp1n1pbp/2ppbnp1/8/1PPNN3/1Q1P4/PB2BPPP/R4RK1 b kq -,d8e7
r2q1rk1/pp1bpp1p/5bp1/2nP4/2B5/2N1P3/PP2NPPP/R2QK2R w KQ -,e1g1
2kr2r1/1pq4p/p1nbpp2/3p1p2/3Pn3/2PNBN1P/PP3PP1/R1Q1R1K1 w - -,d3f4
8/5Bpk/p4n1p/1p1b1N2/2p5/2Pr1P1P/P5P1/4R1K1 w - -,f7d5
