8/5k2/4p3/3bPp1p/1p6/4K1PP/PR6/8 b - -,h5h4
8/8/4k1p1/2Pn1p1p/1N1R3P/6P1/2r5/6K1 b - -,c2c5
3r4/4kpQ1/2p1p3/p2n2N1/3P1q2/P7/1r3PPP/R3R1K1 w - -,g5e6
1r4k1/p4p1p/3p1bp1/3Pp3/q3P3/Pp3NPP/1Pr2PK1/2RQR3 w - -,c1c2
3r2kb/4Q3/4N1p1/p7/8/6P1/4qP1P/6K1 w - -,e7d8
5r2/1pQ3k1/p4p1p/Pq6/6P1/2B1P3/1P3P2/4K3 b - -,f8f7
2r3k1/4p2p/p2pb1p1/1p4P1/q1P1PP1R/2PB2n1/PQ6/1K1R4 w - -,b2b3
rnb1k2r/1p1p1ppp/p3pn2/8/2PNq3/2P1BB2/P1Q2PPP/R3K2R b KQkq -,e4c2
3R4/5bk1/1r6/p7/8/2K3P1/1p6/1B6 w - -,d8d2
8/2R2Rpk/6rp/8/6P1/r4P1K/8/8 w - -,h3h4
rnb1kb1r/1p3ppp/p3p3/q5P1/3Np1Q1/2P1B3/PP3P1P/R3KB1R b KQkq -,b8d7
r3k1nr/ppp1ppbp/6p1/1P3b2/2P2N2/3n1NP1/P2P1PBP/1RB2RK1 w kq -,f4d5
r2q1rk1/2p1bppp/p1bp1n2/1p1B4/P3P3/2N5/1PP2PPP/R1BQ1RK1 b - -,f6d5
r3k2r/2q1ppb1/p2p1np1/1p4B1/2n1PP2/1NN5/PPP1Q2P/2KR3R w kq -,h1e1
8/2R5/p1pP4/1pPr1k2/1P2b3/5pB1/5K2/8 b - -,f5g4
8/R6p/6k1/8/1Pp5/5P2/P4PK1/2r5 b - -,c4c3
8/p2rnkp1/7p/R7/3N1Pb1/1N4P1/P4K1P/8 w - -,f2g2
8/5p1p/1pq3p1/1R1pk3/P4P2/6PP/7K/8 b - f3,e5d4
3rr1k1/1pp2p1p/2bp1qp1/p7/PnP1PPPP/2N2B2/1P1Q4/1K1R3R w - -,g4g5
1r1q1rk1/1b4bp/p1n1p1p1/P3Pp2/1p1p1P2/1N1B2Q1/1PPB2PP/R4RK1 b - -,d8e7
2kr1b1r/pb3p2/4pP2/1q1Pn1B1/Npp5/6P1/1P3PBP/R2Q1RK1 w - -,d1d4
5b2/3p1pk1/1r1n1np1/1NpP4/2P2BN1/2Q4P/q4PP1/4R1K1 b - -,d6b5
4rr2/3b1nkp/3p1qpn/2pPPp2/1pP2P2/pP1N3P/P2N1RBK/Q4R2 b - -,d6e5
3q4/5pkp/p5p1/1p2N1b1/2pn4/P6Q/1P3PPP/5RK1 w - -,g1h1
8/4R3/R7/P4bkr/8/8/8/4K3 b - -,g5f4
1r3b1k/p1R2p1p/4pNp1/4Pn1P/3P4/1P1KBP2/P4P2/8 b - -,h8g7
3rn3/5kpb/2prp2p/1p6/1p2P3/1P2RNPP/1P4B1/R5K1 b - -,e8f6
3r1r2/1p3pk1/p4pp1/2pP1n2/P2b3q/2N4P/BP1Q1PP1/2RR2K1 w - -,a2b3
r3rbk1/5p2/1qb2npp/np1pp3/1P2P3/2PB2N1/3NQPPP/R1B2RK1 b - b3,a5c4
r2q1rk1/1b1nbp2/2p4p/pp1p2p1/1P1P4/PQ1BPNBP/5PP1/R4RK1 w - -,d3f5
4B1k1/5p1p/3p2p1/2pPn3/3bP3/1R5P/rB3qP1/1R1Q3K b - -,d4b2
r4rk1/ppn1ppbp/6p1/8/P2P4/2P2N1P/3BKPP1/R6R w - -,h1b1
3r4/1pq3kp/p2p1pp1/P1pP4/4PQ2/1R3P2/1P3P1P/6K1 w - -,b3b6
8/1q4kp/3Rr1p1/5p2/2P2P2/Q7/Pr4bP/3R1BK1 b - -,e6d6
7k/1p2q1b1/p2r2pp/P2P1r2/2B2P1n/1P1R3Q/4NP1P/2R2K2 b - -,f5f8
7k/pp4p1/7p/8/2pRp3/P6P/1Pr2PP1/7K b - -,b7b5
2r2rk1/1pqbbppp/p1n1pn2/6B1/8/1NN2Q2/PPP2PPP/3RRBK1 b - -,f8d8
5rk1/7p/ppbr2p1/2p1q3/P3Pp2/1PNP1R1P/2Q3P1/4R2K w - -,c3e2
2r3k1/pp1R1p2/5P1p/8/4R3/5p1P/r5P1/6K1 w - -,e4g4
8/5b2/B2k1P2/2p2R2/P2p4/7r/3K4/8 b - -,h3h2
2Q5/4ppk1/6p1/4b1PP/1p6/1PP5/r2r4/1KR5 w - -,h5h6
3r1nk1/p1r2ppp/1pq1pR2/8/2PP4/P5P1/1B2Q1NP/2R3K1 b - -,g7f6
1r2r1k1/1p4b1/4p1p1/p4p1p/2P4P/4P1P1/P2R1PB1/5RK1 w - -,d2d7
r2r2k1/pp1nbppp/2p1pn2/q7/2BP4/PPN1PQ1P/1B3PP1/R2R2K1 b - -,d7b6
8/1p6/p1p1k3/b3P2p/P2P1K1B/1P6/8/8 b - -,a5d2
2rr2k1/pb3ppq/1p3b2/3nn3/6R1/P4N2/1B1N1PPP/1BR3K1 w - -,b1h7
r5k1/1p3p2/p3qb2/4pb2/2P3p1/B5P1/1PP2Q2/1K1R3R w - -,d1d6
r2q1rn1/pp5k/2np3p/2p1pP1P/4P1b1/3P2P1/PPPQ2B1/R3K1NR b KQ -,g8f6
8/p1r5/R1ppN1P1/3p4/1P4kp/P2B2P1/3K1P2/r7 b - -,a1a2
r1bqr3/pp1n2bk/2pBp1pp/4p3/2Q1N3/1P4P1/P3PPBP/R4RK1 b - -,d7b6
r2q1rk1/1b1p1ppp/p2b1n2/1p2N3/4P3/8/PPBN1PPP/R1BQ1RK1 b - -,d6e5
8/p1p3k1/B7/5pp1/P2r4/1P3P2/5K2/8 w - f6,f2e3
8/2p4p/1n1pk3/1P4p1/p2KP3/P2N3P/6P1/8 w - -,g2g4
4r1k1/1p3p2/p3q3/8/3R4/P1P5/1P3P2/K5rQ w - -,h1g1
6k1/pbb5/1p1q4/4pp2/4P1p1/1PB3P1/P4PN1/1BR3K1 w - f6,g2e3
4b3/3nq3/1p1kB1p1/p1pPp1Pp/2P1P3/1P2K1Q1/PB6/8 w - -,b2c3
6k1/5pbp/4r1p1/8/2N5/2n1B1P1/5P1P/4R1K1 b - -,e6e4
8/1p2kBb1/2p3Pp/4p3/4P3/PpK3PP/8/8 b - -,e7d6
7k/6b1/p2Bp3/Pp1r3p/4N3/8/1P4KP/6R1 b - -,g7b2
2rrn3/p2bq1bk/1p1n1ppp/2pPp3/P1P1P1P1/1P1N1N1P/1B3QB1/4RRK1 w - -,f2g3
2rqr1k1/pp3pp1/2n1bn1p/2bp4/5B2/P1NB1N1P/1PPQ1PP1/3RR1K1 b - -,a7a6
r1bqkb1r/pp3ppp/2pp1n2/2n1p3/4PP2/1BNP4/PPP3PP/R1BQK1NR w KQkq -,g1f3
3r3r/1pn1q1k1/p2p1p2/2p2Pp1/2P1Q1N1/5PP1/PP1R2K1/3R4 b - -,e7f7
3rr2k/1b6/p3q1pb/1p5p/2p1p1P1/2P2R1P/PPQ1RN2/4KN2 w - -,f3g3
6rk/1p2n3/p2pq1r1/4pp2/4PPnp/2P1Q1Pp/PP3N1K/4RNR1 w - -,f2g4
5rk1/5p1p/R3p1p1/2p5/1p2P3/4P2P/1PP3P1/7K w - -,a6c6
1r3rk1/1pp2pb1/p2pqnp1/7p/P1P4P/1PNQPPP1/1B5K/2R2R2 b - -,c7c6
2kr4/1b5r/2npq1pp/1p3p2/3BP3/2P1NP1P/3Q2P1/R2R2K1 w - f6,d4b6
rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/1P6/P1P2PPP/RNBQKBNR b KQkq d3,e7e6
8/3kbp2/R7/2pn4/7r/P3P3/4KP2/6R1 b - -,d5c3
8/4n2R/4rk1p/p6P/6P1/PP1K4/8/8 b - -,f6e5
3q2k1/1p3ppp/p3p3/2QnN3/3P4/P6P/1P3PP1/5K2 b - -,f7f6
4r1kb/p6p/6pP/2p2pP1/1pP1qP2/1P2NR2/P2r3K/1R1Q4 w - -,d1d2
3r4/pq1r1pkp/4p1p1/1PR5/Q2B4/7P/P4PP1/2R3K1 b - -,d7d4
3r2k1/3Rbpp1/p6p/Pp6/1Pp1PPPq/2P2B2/3Q2K1/8 w - -,d7d8
6k1/4q3/1Q4p1/p1pBnp2/2P5/2N3P1/PP1b1P2/6K1 b - -,g8g7
r3kb1r/pp2pppp/1qnn4/8/3P2b1/3B1N2/P1P2PPP/RNBQ1RK1 w kq -,c1e3
1k3r2/1pq1n3/p1nr4/3p2pp/Q2P1pPP/2P1pP2/PPN1B3/3KR1R1 w - -,g4h5
1R6/8/8/2k5/1p2p1N1/r7/P1P5/2K5 w - -,g4f2
8/6p1/4p1kp/4P3/5PK1/3r2P1/2r4P/5RB1 w - -,g4h4
8/2b5/3rpkp1/5p2/1R3P1P/1B2R3/2P3K1/3r4 w - -,e3e2
r3kb1r/pp2nppp/4p3/q2pP3/3N4/1PPQ4/P4PPP/RN2K2R w KQkq -,e1g1
8/7p/p1k3p1/1p1Pp3/2r3PP/2nKBP2/P2R4/8 b - -,c3d5
r1r2bk1/5p1p/2pQ2p1/1p4q1/3PB3/1PN4b/P4PPP/2R2RK1 w - -,d6e5
r2bnrk1/1q3ppp/ppbpp3/3N4/P1PQP3/1P3B2/1B3PPP/R3R1K1 w - -,d5b4
