8/R2k4/5K1p/8/4P3/8/8/7r b - -,d7e8
3rr1k1/ppq2pb1/5np1/1Q6/3n4/2N5/PPP2BPP/3R1RK1 w - -,d1d4
r3r2n/ppp1k1b1/7p/3QpR2/2B4q/P2PP2P/1PPK4/7R w - -,h1g1
r4rk1/2p3p1/3p1n1p/1P3p2/1P1N4/6P1/4P1KP/R4R2 b - -,f6d5
r1bq1rk1/pp2ppb1/6pp/3n2B1/3N4/5B2/PPP2PPP/R2Q1RK1 w - -,g5c1
r2q1rk1/pb2ppbp/1p1pn1p1/4n3/2PNP3/1PN1B2P/P3QPP1/1BRR2K1 b - -,e6d4
2rr4/1k3pp1/1np1p1p1/1p6/1b1PP3/3BBP1P/1PR1K1P1/2R5 w - -,e3f2
2r4k/2R3bp/p2p4/Pq1B1p2/1P1npP2/4N3/3Q2PP/1R5K b - -,c8c7
2kr4/1p4p1/2n2p1p/4pn1P/3rN3/5PB1/PP3P2/2R1R1K1 w - -,g1g2
r5k1/1p2pp1p/1bnpb1p1/1N6/1PP1P3/2B2PP1/P3B1KP/3R4 b - -,a8a2
1rbqk1nr/1p3pbp/p2pp1p1/2p5/4P3/2PPBBP1/PP1Q1P1P/R2NK2R b KQk -,b7b5
2r2k2/5p2/pp2r2p/2pR4/3p1B2/P2P2P1/7P/5BK1 b - -,c8e8
r2q1rk1/pp2bppp/2n2n2/2p4b/2Pp4/NP1P1NPP/PB3PB1/R2Q1RK1 w - -,a3c2
r1bq1rk1/pp1n1ppp/3ppn2/2p5/2PP4/2PBPN2/P1Q2PPP/R1B1K2R w KQ -,e1g1
2kr4/p1n2q1p/npb3p1/2p2p2/2P2N1P/1PB5/P4QP1/1BKRr3 w - -,d1e1
2r2rk1/p1p2pbp/bp4p1/2n5/2q5/3B1NQP/5PPB/R4RK1 b - -,c8a8
r3k1nr/pp1nbppp/1qp3b1/3p4/3P1B2/2N1P1N1/PP2BPPP/R2QK2R w KQkq -,d1d2
r2q1rk1/p1p2pbp/Q2p2p1/2p1n3/2P1P1b1/2N1B1P1/PP3PBP/3R1RK1 w - -,f2f3
r1bqk2r/pp2npbp/3pp1p1/2p5/3nPP2/2NPB1P1/PPP1N1BP/R2Q1RK1 b kq f3,e8g8
r1bqk2r/ppp1bppp/nn2p3/3P4/2P5/P1N2N2/1P2BPPP/R1BQK2R w KQkq -,e1g1
4kbnr/p2q1ppp/Q3p3/3pP3/2rP4/5N2/3B1PPP/1R3RK1 b k -,g8e7
r1q1r1k1/pp3p2/2p2np1/4b3/N1P1p2P/BP2PB2/P1QR1P1P/2R4K b - -,c8h3
8/8/2K5/8/1Q6/8/2p5/1k6 b - -,b1a2
r2qk1nr/ppp2ppp/2np4/1Bb1p3/4PPb1/2N2N2/PPPP2PP/R1BQK2R w KQkq -,b5c6:d2d3
2r5/pp1nbk1r/q3p3/5p2/P1pP1B2/2P2B2/1P3PP1/R1Q1R1K1 b - -,c8h8
8/1p2Q1p1/p1b1qnkp/P1B1pp2/2P5/2P2P1P/6P1/5BK1 b - -,e6e7
r5r1/pp2kp1p/2qp4/2n1p3/2PpPP1P/Q2P1B1b/PP1KNR2/R7 b - -,f7f6
8/8/1p5p/4kp2/8/1P1nPK2/P6P/3B4 w - -,a2a3
4r3/8/3n2p1/1pkPrp1p/p1p4P/P4BP1/1PR2P2/3R1K2 w - -,c2d2
1r4k1/3nq1p1/2p1bp1p/p3p3/2p1PP2/P2p1NPP/1r1R2B1/R1NQ2K1 w - -,f4f5
r1b2rk1/pp1nbppp/2pp1n2/q3p3/P1BPP3/2N2N1P/1PP2PP1/R1BQ1RK1 w - -,d4e5
8/1p2kpp1/p1p1n3/P3p3/4P2p/3R1P1P/1PP2KP1/8 b - -,e6d4
2r3k1/2q2pp1/2Nbpnp1/pp1rN3/5P2/2P2RPP/PP5K/2Q1R3 w - -,e1d1
r2qkb1r/1pp2ppp/p1n1b3/4pn2/1P6/P1N2NP1/1B1PPPBP/R2QK2R w KQkq -,e1g1
2N5/2k5/8/1K6/8/8/Pn6/8 w - -,c8e7
4r2k/pppb3p/1b1p4/3P2r1/P1B5/6B1/R4PP1/5RK1 w - -,g3h4
5K2/5P2/7k/8/8/7p/8/8 w - -,f8e7
rr4k1/3q1p2/2Rp2p1/3Pp1Pp/p1QnP2P/Pp3P2/1P3N2/K1R5 w - -,c6c7
rn2kb1r/1bq2ppp/p2ppP2/6B1/3N1P2/7Q/PpP3PP/2KR1B1R w kq -,c1b1
r1br2k1/ppp2pbp/n5p1/3Np2n/2P1P3/4BN2/PP2BPPP/R3K2R w KQ -,e1c1
r7/1b6/1p1k4/1P1pb3/P1p2p2/4P3/N3K3/3B3R b - -,f4e3
1r6/p2k1ppp/8/2pp4/1P6/2K1N3/P4PPP/4R3 b - -,d5d4
b1r1r3/p4k2/Pp4p1/1P4p1/1R2p1P1/4B2P/6K1/5R2 b - -,f7e6
8/5p2/4pk1p/r2r2p1/P2p4/3P1KP1/R6P/2R5 w - -,c1c7
r1bq1rk1/pp1n1ppp/2pbpn2/8/2BP4/4PN2/PPQ2PPP/RNB2RK1 w - -,b1c3
3r2k1/pb3p1p/4pp1b/2q5/Pp2P3/1P1B1NP1/2Q2P1P/5RK1 b - -,c5c2
2Q5/5pkp/4p1p1/2P5/p7/8/5PPP/q4BK1 b - -,a4a3
r1bq1rk1/ppp3pp/2Bp1n2/2b1p3/4P3/2NQ1N2/PPP2PPP/R1B2RK1 b - -,b7c6
2b5/2P1k3/1R6/6p1/4P2p/1P3P2/1K4n1/8 w - -,b6g6
r4rk1/1pq2ppp/p2pbn2/4p3/4P1P1/2N1Q2P/PPP2PB1/3R1RK1 w - -,d1d2
7k/pb3r1p/1p3N2/2n2pp1/8/4P2P/PP3PP1/2RR2K1 w - -,f6h5
8/3R4/8/p7/1P2b3/Pk3p2/6r1/2B2K2 b - -,e4c6
r2qkn1r/3bbppp/p3p3/n2pP2P/1p1P1N2/3B1NP1/PP3P2/R1BQR1K1 b kq -,d7b5
8/p4Bk1/2p2bPp/1p6/2Pq4/1P6/P3QPP1/6K1 b - c3,f6e5
4r3/1pp2q1k/4r1p1/1P4Rp/p6P/P1Q2P2/6P1/3R2K1 b - -,c7c6
r3r1k1/pb3p1p/1p4p1/3P4/8/2N5/PP1K1PPP/R6R b - -,b7d5
r1r3k1/p4pp1/2N1p2p/2nP2bP/2p5/5P2/PPK3P1/3RB2R w - -,c6e5
5rk1/pp3rpp/1np1N3/8/1P6/P5P1/5P1P/2R1R1K1 b - -,f8e8
8/5k2/5b2/5PB1/6K1/8/8/8 b - -,f6c3
8/8/5kp1/8/pp1K3P/1b2P3/1P6/1B6 w - -,b1d3
r1b1k2r/1p2qppp/p1pp1n2/4p3/8/1P2P3/PBPPQPPP/R3K1NR b KQkq -,c8g4
8/pp3pk1/3R3p/P5p1/8/5nBP/1r6/5K2 b - -,f7f6
8/6pk/3q1pbp/3Pr3/2Q5/6NP/5RPK/8 w - -,f2d2
r3rk2/1pp2ppp/1b2n1n1/1q1pP3/1P1P3P/2B1NNP1/3Q1P2/R3R1K1 b - -,g6e7
q5k1/5p2/6p1/8/P1RQP3/7P/5PK1/1r6 b - -,b1b8
1kqr4/1b2b3/p4p1p/1p1Pp1p1/4Q1P1/PN6/1PP4P/3R1R1K b - -,c8c4
3r1k2/ppbr1pp1/2q1pn1p/2p5/2P2P2/2BB2PP/PP1RQ3/1K2R3 b - -,a7a6
3r4/1p6/2br1nkp/p3p1p1/1q2P3/1PN1QB1P/P2R2P1/3R3K w - -,a2a3
3rr1k1/3b1pp1/3p3p/1pqPp1b1/4P1P1/1RPB4/4QPP1/R4NK1 w - -,d3b5
4Q3/1pr3pk/p6p/2nP1NqP/8/PP6/1B4P1/7K w - -,d5d6
R2br3/3k4/8/p1p5/P1N1p2p/2P4P/1P2K1P1/8 w - -,c4a5
r1r3k1/6p1/6Q1/8/3P4/8/5PK1/8 b - -,c8c7
8/r7/6k1/8/2KP2P1/4P2p/8/1R6 w - -,b1h1
r2r2k1/pp2ppbp/2bp2p1/q2P4/3B1P2/3Q1B2/PPP3PP/R4R1K b - -,c6d7
3R1b1r/5ppp/1n2pkb1/1B6/6P1/BP2P2P/P4P2/6K1 b - -,f8a3
5rk1/6rp/1p6/pP4p1/P3Rpq1/Q7/5PPP/2R3K1 b - -,g4d7
r3kb1r/1b1p1pp1/p1q1p3/1p5p/4PPnP/3B2N1/PPP3P1/R2QK1BR b KQkq -,g7g6
4r1k1/ppq2ppp/8/2P1n3/3R4/4P2P/P1BQ1PP1/6K1 b - -,c7c5
3r1bk1/1p3p1p/p3q1p1/3p4/1P1BnP2/P3P1P1/4Q1BP/2R3K1 w - -,g2e4
r3r1k1/1ppnqppp/2n5/8/p1P1p1b1/P1B1P2P/1PQ2PP1/R2R1NK1 w - -,h3g4
q4b1k/2rn1p1p/3pppr1/1N6/3Q4/1P3NP1/P3PP1P/2RR2K1 b - -,c7c1
5rk1/2B4p/2p3bb/3p4/prP5/1P5P/P2N1PP1/2RR2K1 b - -,a4b3
2kr3r/pp1b4/1q1bpn1p/n2p2p1/2pP4/P1P1N1P1/1P1N1PBP/1RBQR1K1 b - -,c8b8
