1B5k/7p/p5p1/1p6/8/7P/PP3PP1/6K1 b - -,h8g7
3rr1k1/p5pp/1pn2p1n/2q2P2/2P1P2P/3B2Q1/P5N1/3R1R1K b - -,d8d7
8/p2r1kb1/1p6/2p3Rp/P7/4B1P1/1Pq4K/4Q3 w - -,h2h3
8/PR6/4pk2/5p2/4rKP1/8/8/8 w - -,f4f3
5r2/4q1k1/pQ4p1/1p1pPR2/2pP4/4P3/PP6/5RK1 b - -,f8f5
1rb2k2/2pp4/p5pb/1p1Qn3/4P3/2P5/PP4PP/5K2 w - -,d5e5
r2qr1k1/6bp/3p1pp1/1p1bp3/2n1P2Q/P1PnB1PP/1P2NPB1/R4RK1 w - -,e4d5
r1b1k2r/pp3ppp/4p3/q2p4/1nPP4/PP6/3N1PPP/R2QKB1R b KQkq -,b4c6
1rb2rk1/2p2p2/2np1q1p/1pb3p1/4PpP1/1BPP1N1P/1P3PK1/R1BQ1R2 w - g6,d3d4
2q3rk/pp2p1b1/2p2r1p/2PpN3/3P1P2/1Q4P1/PP4K1/3R3R w - -,b3d3
r3r3/1b3pkp/3P2p1/p2pn3/P7/1N4PB/4P2P/1RR3K1 w - -,d6d7
5rk1/p4ppp/Q1p1q3/P1P2p2/2BPn3/1R2P3/5PPP/6K1 b - -,e6f6
1rr3k1/p2Rbppp/4p1b1/2q5/P1N5/2P1P1P1/3Q1P1P/2R2BK1 b - -,e7f6
rnb2rk1/ppq2pbp/2pp1np1/3Pp3/2P1P3/2N2N2/PPQ1BPPP/R1B2RK1 b - -,c6c5
8/2p3pk/3pb3/2pq2Q1/8/5PK1/8/6N1 w - -,g1h3
r2qkb1r/pp3ppp/4pn2/3p1b2/1P6/1P2p1P1/2P2PBP/RNBQNRK1 b kq -,e3f2
1rbqr1k1/ppbn1ppp/4pn2/8/2N5/1P3NP1/PBQ1PPBP/2RR2K1 w - -,c4e5
r4rk1/1pqnpp1p/p1p3pb/3PP2B/5P2/1QN1B2P/PP3P2/3RK2R b K -,g6h5
4r1k1/6pp/1n1bp3/1q3p2/1npP1P2/1pR3P1/1P1NQ1BP/6BK b - -,b5a6
3q2k1/5p2/3p3p/3P2p1/1P2Rp2/2Q2P1P/6PK/3r4 w - -,e4d4
1k1r4/ppp3p1/4p2r/2qnR3/3N3P/1PP4R/P2P1Q2/2K5 b - -,h6f6
2r1r1k1/p3b1p1/1q6/2p2b1p/Pp1pNP2/3P1BP1/1P2Q2P/2R1R1K1 w - -,f3h5
8/4k3/7R/8/4K3/6b1/8/8 w - -,e4d5
r1bq1rk1/4bppp/p1p1pn2/8/Pp1PN3/3BPN2/1P3PPP/R2Q1RK1 b - -,f6e4
r1bq1bk1/ppp5/3p1n1r/2PPp1p1/PPN1PpPn/B1N2P2/4B3/R3K1QR b - -,d8e7
8/8/2R1pp2/k1Np1b2/3P1P2/r7/5K2/3B4 b - -,a5b5
5rk1/2bb1r1q/4n1p1/p3p2n/1pPpP3/1P1P1PPP/3R2QK/R3BNN1 w - -,d2f2
r3r1k1/pp1q1pbp/5np1/4pP2/PnppP3/3P2Q1/1PPB2PP/RN1B1RK1 b - -,a7a5
3rnnk1/2p1qrbp/1pBp2p1/3Pp1P1/1PP1P3/4BPN1/R2Q2K1/7R b - -,f8d7
r1b1k2r/pp3ppp/2p1pn2/q2n2B1/1b1P4/2NBPN2/PP1Q1PPP/2R1K2R b Kkq -,c6c5
2k4r/pp2ppbp/2p3p1/1n2P3/2q1NP2/P1P4P/1Q4P1/1R3RK1 w - -,b2b4
1r6/p1pp2kp/b1p3pb/8/2P5/PP6/4N1PP/1R3RK1 b - -,h6e3
r1r3k1/7p/4N3/p2n3p/P1BP4/1P3P2/1P4R1/2K5 b - -,g8h8
6k1/4pp1p/r5p1/2r5/6P1/5PK1/7P/3B3R w - -,d1e2
2rr2k1/qb3ppp/p3pn2/Ppn5/1Q6/4NNP1/1P2PPBP/2R2RK1 b - -,f6d5
5rk1/ppp3pp/2n5/3r1p2/3Pq3/4P3/PB1bQPPP/R4RK1 w - -,e2d2
8/1R5p/1P4p1/6k1/4p3/7P/6PK/1r6 w - -,h2g3
r1b1k2r/qp1nbp2/2n1p2p/p1ppP1p1/3P4/1PPBBN1P/P3NPP1/R2Q1RK1 w kq -,f3e1
2k5/pp3p2/2pr3p/2b5/8/P1P2N1R/1P6/3rRK2 b - -,d1e1
r3R1k1/3B1p1n/pp4p1/6Pp/1b1p1P1P/8/P7/2R3K1 b - -,a8e8
3r1rk1/pb1Nbppp/1pn1p3/2q5/8/1P2P1P1/PB3PBP/R2Q1RK1 b - -,c5f5
2b1r3/2r1kppp/p1pR4/2N1P3/PPP5/7P/6P1/4R1K1 w - -,g1f2
2b2rk1/r4nb1/1pp1pq1p/p1p3p1/P1P5/1N1P1NBP/1P1QRPP1/4R1K1 b - -,f8d8
8/3k2pp/1b3n2/B2p4/2pP2P1/5P1P/1rN5/R2K4 b - -,f6e8
6k1/3r2b1/p7/4R3/2N3RP/3K4/PP5r/8 w - -,d3e4:d3e3
r7/8/6k1/3N3R/2bP3P/5PK1/8/8 w - -,h5g5
3r2k1/1b1r1ppp/p1npp1n1/1p6/1N2PP2/2N2BP1/PPPR3P/3R2K1 w - -,b4c6
2r2b1k/7p/4p1p1/ppn1P3/5P2/Pp6/5BK1/2RR4 b - -,a5a4
r2qkb1r/pb3p2/4pn2/1ppP2B1/2p5/2N3P1/PP3P1P/R2QKB1R w KQkq -,f1g2
4r1k1/pp1bppBp/3p2p1/q5Pn/2r1P3/2N2P2/PPPQN3/2KR3R b - -,h5g7
7r/p7/1pk1p3/2np4/5RKP/P7/7P/3R4 w - -,h4h5
4Q3/7p/3p1kp1/2p2p2/p1P5/P2PNqPP/8/6K1 w - -,e3d5
r1b2rk1/pp2ppbp/n2p1np1/q1pP4/4PP2/2NB1N2/PPP3PP/R1BQ1R1K b - -,b7b5
8/7k/8/6R1/1r5p/4BK2/8/8 w - -,g5a5
r1b3k1/4bpp1/ppq4p/r4P2/P1P1p1P1/4B2P/1P2B3/R1Q2RK1 b - g3,a5a4
4rbk1/p1q2p1p/1pp3p1/4P3/3r1PQ1/P6P/BP4P1/R3R1K1 w - -,e5e6
1r6/2nk2p1/3p1p1p/2p1p2P/4P1P1/4BP2/2PK4/R7 b - -,d7c6
2k5/1p2Bp2/p5pb/3pP2p/3P1P2/1P1b1NP1/3N3P/3n2K1 b - -,c8d7
2r2b2/7k/p3p2p/N3Pp1K/Pp1p1P1P/3P4/2P3R1/8 w - -,a5b3
r1q1k1nr/ppp1ppbp/2np2p1/8/2PP2b1/2N2NP1/PP2PPBP/R1BQK2R w KQkq -,d4d5
rnb2k1r/p3nppp/1p2p3/2ppP1N1/q2P2Q1/P1P5/R1PB1PPP/4KB1R b K -,h7h6
6R1/5pB1/1Rr2kp1/4p3/3n4/PBq2P1P/6PK/8 b - -,f6e7
6k1/p2p3p/1p2bRp1/6P1/P2R3P/1P6/4K3/r7 w - -,f6f3
6k1/qpr2pp1/2pr2p1/p3P1P1/P1Q1P1B1/bPP3P1/1R4K1/5R2 b - -,b7b5
8/r4k2/p4np1/2p1n1R1/B7/6NP/1P2r3/1K3R2 b - -,e2e3
r4rk1/pp1qppbp/2np1np1/8/Q1PP2b1/2N1B1P1/PP2NPBP/R4RK1 b - -,g4e2
rnbq1k1r/pp3pp1/4p2p/2ppP3/3Pn1QP/2PB4/P1PB1PP1/R3K1NR b KQ -,e4d2
rnbqk2r/pp1p1ppp/4pn2/2p5/2PP4/P4N2/1P1BPPPP/R2QKB1R b KQkq -,d7d6
2kr1b1r/ppqn1ppp/2p2n2/P2p4/3NP3/3BQ2P/1PP2PP1/R1B2RK1 w - -,e4d5
3r1k1r/2qb1pb1/p2p1n1p/P1p1p1p1/1pPnP1P1/1P1P1BNP/3B1P1K/R1Q1R1N1 w - -,f3d1
r2qkb1r/pp3ppp/2n1bn2/4p1B1/3p4/1NN3P1/PPP1PPBP/R2Q1RK1 w kq -,c3e4:c3a4
2brr2k/4q1bp/1pp1npp1/p1P1n3/P3P3/1NN1B2P/1P2BQP1/3R1R1K b - -,e6c5
5r2/2p1n2p/6pk/2P5/1Q2BpP1/r6P/8/6K1 b - -,f8a8
3r4/3p1p2/1p1P2kp/pBp4N/R4P1n/4P2b/P4K1P/8 w - -,h5g3
1n3k2/2q3pQ/2P2p2/p3r3/8/P5P1/5PBP/3R2K1 w - -,d1b1
1q6/1p4k1/p2p2p1/Pn2p3/1P2QNPr/2PR4/6K1/3R4 b - -,h4g4
q2r2k1/pb1r3p/1pnn1b2/2p1pp2/2P5/P2P1NPP/1BQN1P2/2R1RBK1 b - -,d8e8
r1bq1rk1/pp2n1pp/2p2p2/8/3PQ3/P1P3N1/2PB1PPP/R3K2R b KQ -,e7f5
r1bq1rk1/pppnbppp/2np4/4p3/4P3/1BPP1N2/PP3PPP/RNBQ1RK1 w - -,b3c2
6k1/2BR1ppp/1p6/5Pr1/p7/8/4r3/R6K b - -,h7h5
r1b1k2r/1pp2pbp/p1n2np1/4p1B1/P1B5/2N2N2/1PP2PPP/2KRR3 b - -,c8e6
8/8/4k1p1/1p3pB1/1P2nP1P/3K4/8/8 b - -,e6d5
r2q1rk1/ppp3pp/2pb4/2n2b2/5pN1/2NP3P/PPP3P1/R1BQ1RK1 w - -,c1f4
8/8/2B5/2K3p1/P3R1P1/3rn1k1/8/8 w - -,a4a5
8/b7/P5k1/5pp1/RP1r3P/7P/4K3/8 b - -,g5h4
