8/1p1k4/pK6/P7/2P1bB2/1P3p2/5P2/8 b - -,d7c8
1qr3k1/3bnpbp/2pp1np1/1r2p3/1PNPP3/5NP1/2QB1PBP/1RR3K1 b - -,f6e8
2k2b1r/2p1n1pp/pp3p2/2p5/4PB2/1N6/PPP2PPP/3R2K1 w - -,b3d2
3r1k2/2R3p1/P2p3p/3n1p2/1P1p4/3B1P2/3N2PP/3n2K1 w - -,c7b7
8/3Pk2p/4ppp1/pB2b3/1pK3P1/1P5P/5P2/8 w - -,c4c5
8/6kp/6n1/3P4/4Q2P/6PK/2Bq4/8 b - -,g7h6
r1b1k2r/pp2ppb1/q5pp/2pPn3/2P4B/4Pp2/PPQ3PP/1K1R1BNR w kq -,g2f3
3r1rk1/pp1n1pp1/3qbn1p/2p5/2P2N2/1Q3NPP/PP3PB1/R3R1K1 b - -,e6f5
4k2r/pb2bp2/1p2q3/1P1pPp2/2rP1Ppp/PQBN4/6PP/4RRK1 b k -,h4h3
r1nQ1b2/1b3qkp/1p3p2/p1p1pPB1/4P1N1/2P3P1/PP4BP/R5K1 b - -,f6g5
1k1r3r/2p1bp2/pp5n/3BP1p1/P4P1p/6PP/1P3BK1/2RR4 w - -,g3g4
2r2rk1/RQ4p1/2P3p1/4q3/3pp2P/4BbP1/5P1K/1R6 w - -,e3f4
rnbqk1nr/pp1pppbp/6p1/2p5/2P5/2N1PN2/PP1P1PPP/R1BQKB1R b KQkq -,g8f6
8/8/5pk1/2R5/7P/r1p2PK1/6P1/8 w - -,h4h5
r3r1k1/ppb2ppp/2p1bp2/2Pq4/1P1P3n/P5NP/1B3PP1/R2QRBK1 w - -,d1e2
r6k/1r1n3p/1B1p3b/3PpNn1/P3Pp1q/1Q3PpP/1PR3P1/4NBK1 b - -,h4h5
2r5/2r2pkp/p1pbqnp1/Pp1p4/1P1P4/1Q2P1P1/2RN1P1P/1RN3K1 w - -,b3d3
k2r4/1p4q1/p2PQ3/4P2p/7P/6P1/5R1K/8 b - -,d8g8
2r2rk1/pp1q2pp/1b2pP1B/3p4/1P4Q1/8/P4PPP/2R1R1K1 b - -,c8c1
rnbr2k1/1p3p1p/1q4p1/pPbB4/8/P5N1/1B2QPPP/2R2RK1 b - -,c5d4
r1bq1rk1/5ppp/p1p1pn2/2bp4/2P5/2N1P3/PPQ1BPPP/R1B2RK1 b - -,d8e7
3r2k1/1b2q1pp/p2r1p2/1p1PbN2/2p1P3/6Q1/P1BR2PP/3R2K1 b - -,e7f8
3rkb1r/pp3p2/2n3p1/2ppPn1p/1q3P2/1PN2N2/P4BPP/R1Q2RK1 w k -,a2a3
r5k1/2q2p1p/p1r3p1/2Ppp3/8/3N2P1/PQ3P1P/1R4K1 b - -,a8e8
r1q1r1k1/pb3pbp/1p3np1/2p5/2n1p3/2P1P1BP/PP2BPP1/R2QRNK1 w - -,e2c4
2r1r3/pb1k3p/4p1p1/1p1p2P1/8/1PB4B/PK5P/3RR3 w - -,e1e5
5r2/p1pk4/1p1p3p/1P4r1/P3Rp2/2P2P2/6PP/R5K1 b - a3,g5e5
rnbq1rk1/pp1p2pp/2p2n2/5pB1/1bPPp3/2N3PN/PP2PPBP/R2QK2R w KQ -,e1g1
r1bq1rk1/1pp2ppp/2n1pn2/p1bp4/8/P2P1NP1/1PPNPPBP/R1B1QRK1 b - -,e6e5
2r2rk1/p1qbbppp/4p3/1p1pN3/1P1P4/2P3P1/P4PBP/2RQR1K1 b - -,a7a5
1r5k/1p4p1/p2p1r1p/B2np3/8/5PKP/PPR5/2R5 w - -,c2d2
r3k2r/1p3p1p/1qn1P2p/2bp1b2/p7/PP1p1N2/3N1PPP/R2QRBK1 b kq -,f7e6
5rk1/1bq1r1pp/p1pbp3/1p2Np2/1P1PnP2/P3PB2/4Q1PP/2R1B1RK b - -,c7c8
2q4r/p5k1/1pn5/2p1b3/P1NpPpp1/1P1P1P1b/3BQ3/1R2R1K1 w - -,c4e5
r3r1k1/1pp2pp1/1n5p/pP1pb3/P6q/2N1PB1P/2Q2PP1/R2R2K1 b - -,a8d8
5bk1/1p1r4/3n1p2/1NBR2p1/p1P5/P2Q2Pp/1P3P1K/4q3 b - -,b7b6
1r1q1rk1/1p1bpp1p/p1np2p1/2pN1n2/2P5/1P1PP1P1/Pb1QNPBP/R4RK1 w - -,d2b2
r1bq1rk1/pppnppbp/3p1np1/8/3P1P2/2N1PN1P/PPP3P1/R1BQKB1R w KQ -,g2g4
r2qr1k1/p4pp1/b2p1n1p/1Nb1p3/P3P3/3P2PP/1P1B1PBK/R2Q1R2 b - a3,a8b8
rnbqkb1r/ppp1pppp/5P2/8/8/2P5/P1PP1PPP/R1BQKBNR b KQkq -,e7f6
q1r2rk1/p2ppp1p/np4pb/8/1P1Nn3/2P1P1P1/PB3PNP/2RQR1K1 b - -,h6g7
6k1/p2p2p1/3Br1np/3QPr1q/5p2/2R4P/P4PP1/4R1K1 b - -,g8h7
5k2/5n2/3b4/p7/7P/1PQ2N2/r7/7K b - h3,a5a4
4r1k1/pb1q3p/1p1Pp1p1/5rB1/1np4P/2N3Q1/PP4P1/R4RK1 w - -,h4h5
1r1q1rk1/4ppbp/p2p2p1/1ppP1b2/2P2Pn1/1PNQ2P1/RP1BP1BP/R5K1 w - -,g2e4
8/8/8/8/4K3/8/p2k4/B2n4 b - -,d1e3
2r2rk1/1q1n1ppp/pn1bp3/1p1pN3/3P1N2/1P2PP1P/PB1Q2P1/2R2RK1 b - -,d7e5
4r3/pp4kp/2p3p1/4n3/1P2P3/2P4P/P2R1KB1/8 b - -,e8e7
8/8/4K1k1/8/8/p7/Pb6/5R2 w - -,f1g1
4r1k1/ppb3pp/2p1b3/2Pq1p2/1P1P4/P2B3P/1B3QP1/4R1K1 b - -,g7g6
2r3k1/4n1p1/3Rp2p/BB2P1n1/p1P5/6P1/P4PKP/8 b - -,g5e4
3rr1k1/ppp2ppp/2n3q1/4pb2/2Pb4/2NP2P1/PBP1QPBP/R4R1K w - -,f1e1
8/4k2p/2p1Npp1/1pP5/pP2P3/P4PP1/3K3P/8 b - -,e7e6
r3r1k1/p1qn1p1p/2pp2pb/Pp6/3BPP2/1P4PP/2P1RQBK/R7 b - -,a7a6
1rbq1rk1/pp2n1bp/2np1pp1/2p1p1B1/2P1P3/2NP1NP1/PP3PBP/1R1Q1RK1 w - -,g5d2
r1bqr1k1/2pp1ppp/p2b1n2/np2p3/4P3/1B1P1N2/PPP1NPPP/R1BQ1RK1 w - -,e2g3
1k2r3/1b1n4/pq2p3/1p1pP1r1/2p2Np1/P1P3Pp/1PB4P/R2QRN1K b - -,d5d4
2r5/2Rbkp2/p7/1p2P1p1/1P1p4/1B6/P4KPP/8 w - -,c7a7
2R5/3k2pp/pn3p2/1p1p4/1P1P2P1/P4K2/5P1P/2B5 b - -,b6c8
r2qkb1r/1p2pppp/p1n2n2/3p4/3P2b1/P1N1PN2/1P2BPPP/R1BQK2R b KQkq -,e7e6
8/8/R7/8/1p2p1K1/2k5/p7/8 b - -,c3b2
1r4k1/5pp1/4q1b1/1p2p3/pPr1P1P1/P7/1BP4Q/R1R2BK1 b - -,c4e4
rnbq1rk1/p3ppbp/3p1np1/1ppP4/2P1P3/2N2N1P/PP3PP1/R1BQKB1R w KQ b6,c4b5
8/6p1/4p3/4P2p/5P1P/6P1/4rk1K/R7 w - -,a1a3
8/5k1p/p7/5pP1/1B2bP2/8/P2r3P/6K1 w - -,b4d2
rn1q1rk1/pp2ppbp/2p2np1/3p1b2/2P5/1P1PPN2/PBQ1BPPP/RN2K2R b KQ -,d5c4:b8a6
r1bqk1nr/pp3pbp/3p2p1/2pnp3/2P1P3/3PB1P1/PP3PBP/R2QK1NR w KQkq -,c4d5
7r/5p2/ppppk2p/5p1R/1PPK1P2/P5P1/4PP2/8 b - -,e6f6
r4k2/1p2q2p/p1p2np1/P3p3/1PQ1P3/1B1R1P2/6PP/6K1 w - -,d3d6
4r1k1/1pp1q1bp/3n2p1/1P1Ppp2/r7/2B3P1/1QN1PP1P/3R1RK1 w - -,d1a1
r1b2rk1/1p2qpp1/p1p2n1p/3pN3/3P4/P1Q1P3/1P2BPPP/R4RK1 b - -,f6d7
r4rk1/pp1n2pp/2pqp3/3p1p2/3Pn3/1P1BPN2/PQP2PPP/R4RK1 w - -,c2c4
r1bq1rk1/pp1pppbp/2n2np1/8/2Pp4/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,f3d4
rr6/2pbn2k/3p1qpp/3Pp3/p1P3P1/5P1P/PPKQ3N/3R3R w - -,d1e1
3r2rk/1Pp5/2P4p/3pp3/6nP/R3Pp1n/5P1P/4BR1K w - -,a3b3
8/2b3r1/2k5/1p6/1PppnP2/2P5/1NKB4/3R4 w - -,c3d4
1Q6/7n/4B1pk/4p2p/4Pq1P/5P2/6K1/8 w - -,b8d8
r2q2k1/4bpp1/4p1bp/2rnB3/p3p3/P3N2P/1PBQ1PP1/3RR1K1 w - -,d2e2
2r2rk1/p3npbp/bp2p1p1/nq1pP3/3P1PP1/5N2/PPN2BBP/R2QR1K1 w - -,b2b3
6k1/7p/pp2r1p1/1b1pBpP1/3P3P/2P5/P4R1K/8 b - -,e6c6
r4rk1/pbqnbppp/1p2p3/2p1P3/3P4/P1PB1N2/4QPPP/R1B2RK1 b - -,f8d8
4r1k1/2p1q1pp/1p1p4/pP4b1/2PPr3/4P1PQ/P3R3/2B1R1K1 w - -,h3f5
rn3rk1/pp1b2pp/4pq2/1B1p4/P2P4/8/1P1QNPPP/R4RK1 b - a3,d7b5
r1b3k1/pp3rpN/2nqp2p/3p4/3P2n1/3B2PP/PP2NP2/R2Q1RK1 b - -,e6e5
3q4/Q4k2/3P4/p4p1p/K4Pp1/6P1/P6P/8 b - -,f7e6
r4rk1/pb1qbppp/np1p1n2/2pPp3/1PP1P3/P1NB1NP1/2Q2P1P/1RB1K2R w K -,h2h3
