8/8/pp4pk/8/4nN1P/1P6/P2K1P2/3B1b2 w - -,d2e1
r5b1/1kp3bp/1ppn1pp1/5P2/1P1NP1P1/2NP3P/1K1B4/3R4 b - -,c6c5
rn2nrk1/pb2qpp1/3pp2p/2p5/2P1P3/2N2N2/PPQ1BPPP/3R1RK1 b - -,b8c6
6k1/p2n2pp/1pn1pP2/3p4/P2P4/3PBN2/4KPPP/8 b - -,g7f6
8/3k3p/2p3pP/1p3p2/b2P1P2/2K5/8/4R3 b - -,d7d6
r4rk1/pb4pp/1pn1p3/2b2p2/4B3/2P2N1P/PP3PP1/R1BR2K1 w - f6,e4c2
r1bqr1k1/5p1p/1p1p1bp1/pPpP4/2P1PQP1/3B1N1P/P1R2PK1/4R3 b - -,d8e7
5rk1/pb3pPp/8/2prP3/P3p3/1P6/1B4PP/R4RK1 b - -,f8d8
r1bq1rk1/ppp2ppp/2np1n2/4p1B1/2B1P3/2PP1N2/P1P2PPP/R2Q1RK1 b - -,d8e7
8/2p3kp/2Qb1pp1/8/P2B1P2/6P1/1P3K1P/3q4 w - -,c6c3
4r1k1/pp3pp1/4bn1p/4q3/3N4/4PP2/PP4QP/1B4RK b - -,f6h5
4r2k/1ppq2pp/1p1nNpb1/r2P4/1Q6/2N4P/PP3PP1/3RR1K1 b - -,a5a8
2rr2k1/p5pp/4pp2/3BN3/1n1P4/R1R1P1P1/1P3P1P/6K1 b - -,b4d5
5b2/1p6/p1p1k1p1/4pp2/2P1P1P1/1P1KBP2/P7/8 b - -,f5g4
3r2k1/r4ppp/3p4/b2PpP2/4P1P1/8/1Q4KP/3B4 b - -,a7a8
6r1/5p1k/4p3/P3Bn2/6p1/3B1P2/r6P/3R3K w - -,f3g4
2r1k3/1pq2p1p/p1b1ppr1/8/P7/2Q1BP2/1PP3PP/3R1RK1 w - -,c3b4
r7/1pB2k1p/p3b3/P3Pn2/5P2/5P2/P1P4P/1R4K1 b - -,e6d5
6k1/pqr1bppp/1pn2n2/3p4/1P6/P3PNP1/1B2QPBP/2R3K1 w - -,f3h4
8/3R2k1/1r4p1/4p3/4P3/8/6PP/6K1 b - -,g7f6
3r2k1/p6p/6p1/3q4/2p5/2P1B3/P3KP2/2R4R b - -,d5d3
8/8/2r4p/3kP1p1/3P4/8/1K5P/2R5 b - -,c6a6
2r2nk1/6p1/4p1bp/1B1pPN2/1B3P2/8/1P4PP/R6K b - -,g6f5
3b3q/5k2/4p3/PP1p1p2/3P1Pp1/1K2P1P1/3B4/4Q3 w - -,e1c1
r2r2k1/ppq2pbp/n1p1n1p1/4p3/2P1P3/PP4P1/1BQ1NPBP/R2R2K1 b - -,c7e7
5nk1/3b4/3P1Qpp/3P4/2r3P1/6KP/6B1/8 w - -,g2f3
r3k2r/pppn1p1p/6p1/2B1p3/4P3/2P2B2/PPK2PPP/R6R b kq -,d7c5
3r4/nBk3pp/P7/1bp1p3/4N3/8/2R2KPP/8 w - -,c2c5
8/7p/3p2p1/3Pk3/4P2P/6P1/2r2KB1/8 w - -,f2f3
2r1r1k1/pp3pp1/2p2n1p/2npN3/2P5/1PN1P3/1P3PPP/2RRB1K1 b - -,e8e5
8/1p2P1kP/8/1bP1KB2/3p4/8/8/8 w - -,e5d4
1rbq1r2/1p2p1bk/p1np2pp/3N1p2/2P1nB2/1P4P1/P1QNPPBP/2R2RK1 b - -,e4c5
1r3rk1/p1nn1pbp/2p1p1p1/q1Pp4/Np1P1PB1/1P2B2P/P4PP1/R2Q1RK1 w - -,h3h4
2Q5/5pk1/1b2r1p1/1P5p/8/5K1P/6P1/8 w - -,c8c3
r2q1rk1/p3bppp/np1p4/2pb4/8/P4NP1/1PQBPPBP/R4RK1 w - -,f3g5
r1b2rk1/ppqnbppp/2n1p3/2ppP3/8/2PP1NP1/PP2QPBP/RNB2RK1 w - -,c1f4
5bk1/1bB2ppp/p7/8/3NpPP1/2P4P/1r3nB1/4R1K1 b - -,f8c5
r1R5/3k1p1p/6p1/8/4P3/2p1bP2/4K1PP/3n4 w - -,c8a8
3r2k1/pp3p1p/2r5/8/8/1P2Pp2/PQ3K1P/8 w - -,f2f3
3r1k2/pp2b1p1/2nr1p2/2p1p2p/2Q1q1n1/1PP1BNP1/P4PBP/R4RK1 b - -,e4c4
4r3/4k3/4r2p/1R6/2nB2RP/6P1/5K2/8 b - -,e8f8
2b4r/pp3kp1/6p1/P2p4/P7/2p2PK1/2P2P1P/1RB5 w - -,c1e3
3qr1k1/2r2p2/p3p1pn/4P2p/2pPN3/5Q1P/PP2R1P1/5RK1 w - -,e4f6
4q1r1/p3Pp1k/1p4pp/2B5/8/5Q1P/P4PP1/4R1K1 b - -,b6c5
r3k2r/1ppqbppp/p2pbn2/4p3/P1P1P3/1PNQB3/2P1NPPP/R3K2R b KQkq -,e8g8
2b5/8/p1pk4/PpNp4/1P3Pp1/2P3P1/3KR3/6r1 w - -,e2e3
2r3k1/p2r1pp1/1p1Pn1p1/1P6/1B6/8/1KPR2PP/7R b - -,e6c5
1r3rk1/2p5/1p1p2p1/p3n1N1/P1P2P2/6P1/1P2R1K1/4R3 b - f3,e5d3
r5k1/p2rppbp/1p4p1/nN1P4/4P3/4B3/P4PPP/2R2RK1 b - -,a5b7
6k1/8/2q3p1/2p5/p1PbR3/3P1K2/Q7/8 b - -,c6f6
3rr1k1/4bpp1/pqn1bn1p/1pp1p3/4P3/P1PPNQNP/1BB2PP1/R3R1K1 b - -,g7g6
6N1/3n4/1k4p1/8/8/7P/4KP2/8 b - -,b6c7
r2N2k1/3n1p1p/p5p1/1ppP4/P3nB2/4P2P/1b3PP1/R3K2R w KQ -,a1a2
r2qk1nr/1ppBnpbp/p2p2p1/3Pp3/4P3/2P2N2/PP3PPP/RNBQ1RK1 b kq -,d8d7
r2q1rk1/1b2npbp/p2p2p1/npp5/3PP3/2N2N1P/PPB2PP1/R1BQR1K1 w - -,c1g5
3r2rk/pp3p1p/1qpn1b1B/4pP2/4P2P/1B2QR1K/PPP5/R7 b - -,d8d7
3rk2r/3p1p2/2pR2p1/p3P3/Pnb1P1BP/2N1K3/1P5R/8 b k -,e8e7
8/1N2ppkp/p5p1/r4b2/1n1r4/1P4PP/1P3P2/2R1RBK1 b - -,a5a2
r4rk1/3R2b1/p3p2p/3p2p1/2q5/6B1/5PPP/1B1Q1RK1 w - -,d1h5
6R1/8/p3qp1k/7p/8/5P2/6RK/8 b - -,e6e5
1r1nn2k/2q3bp/3p2p1/1pp2rN1/5P2/1QPP3P/1P6/RNB1R1K1 b - -,c7d7
1r2qrk1/p2n1pb1/1p1pp1p1/1P3nBp/PQ1P4/3P1NP1/5PBP/R4RK1 w - -,g2h3
3b4/p7/4k1p1/4p3/7p/P1p2K1P/2P5/5R2 b - -,d8e7
4qr2/1p3pk1/1P1p1br1/p2P1Q1p/P3P3/7P/5B2/4RR1K w - -,e1c1
2r3k1/4p2p/R1np2p1/4p3/1p2P3/1P3P2/1B1K2PP/8 b - -,g8f7
4rbk1/2qn1ppp/3p4/1r2P1P1/3BP3/7P/1P3QB1/3R1RK1 b - -,d7e5
3b4/5k2/8/5Kp1/6P1/4NP2/8/8 b - -,f7g7
2r2rk1/1b3pp1/1p3q1p/pPnp4/3N4/Q2BP2P/P4PP1/2R2RK1 w - -,d3b1
r1bqk1nr/bpp2pp1/p2p4/4n3/2P2N1p/2N1P1P1/PP3PBP/R1BQ1RK1 b kq -,h4g3
8/pp6/3pk3/2n1pp2/2P4p/1PN2P1P/P4KP1/8 b - -,c5d3
8/8/8/5k2/P4p2/2P1r1pK/1P1R4/8 b - -,e3e1
r1bqkbnr/1p1p1ppp/p1n1p3/2p5/P3P3/1P3N2/1BPP1PPP/RN1QKB1R b KQkq -,b7b6
1k2r1r1/pb2p3/1n1pN3/1PpPq3/P1P1P1p1/1K1B4/3Q4/6RR w - -,a4a5
r4rk1/p1n1ppbp/2pq2p1/5bB1/Q2P4/2N2N1P/PP3PP1/R4RK1 w - -,a1c1
5nk1/p2q1ppp/1p6/4PP2/1P1nQ3/P5P1/1B3R1P/3r1BK1 w - -,g1g2
rn1qkb1r/pbp2ppp/1p1ppn2/8/4P3/3P1NP1/PPP2PBP/RNBQK2R w KQkq -,e1g1
8/7p/3k2p1/p2n1p2/3K1P2/P4BPP/8/8 b - -,d5c7
8/7k/3nPb1p/3P1P2/6P1/8/5B2/6K1 b - -,f6e5
r2qrb2/5b1k/2pp2pp/p1p2p2/2PpP1P1/1PNP2QP/P4P1K/2BR1R2 w - -,c3a4
6k1/6p1/5p1p/1p1n4/3P4/5NP1/4KP1P/8 b - -,g8f7
6k1/p3r3/1p1p3p/1PpPb3/8/1P2pBPP/4K3/6R1 b - -,a7a6
3rk2r/1pp4p/4p3/pP2Pn2/2P1N3/P1B1b1P1/4K2P/R6R b k -,e3d4
r3k2r/pp1bnppp/2n1p3/q1ppP3/P2P4/2P2N2/2PB1PPP/R1Q1KB1R b KQkq -,a5c7
r2q2k1/p3rp1p/2Q3p1/8/P2Pn3/2n1B3/B5PP/R4RK1 b - -,c3e2
r1bqkb1r/3p1ppp/pPn5/2pQ2B1/8/8/PP2PPPP/R3KBNR b KQkq -,d8b6
1q3rk1/4npbp/4p1p1/1r1p1P2/1p2P1P1/4B2P/1P2Q1B1/R4R1K b - -,d5d4
8/7q/5P2/4Q1K1/8/4pkP1/3n4/8 b - -,d2e4
8/pp3kp1/2p1qpp1/8/7P/P1R3P1/1P3P2/K1R5 w - -,c1c2
