8/2Q2bk1/5pp1/7p/7P/6P1/q4PK1/8 b - -,a2c4
4k3/1p4pp/p1b2p2/4p3/PBr3P1/2P2PK1/7P/R2r4 w - -,a1d1
6k1/5pp1/1qb1p2p/2p1P3/rpBP3P/4PN2/3Q2P1/1R4K1 w - -,f3e1
8/5k2/8/1pK2n1p/8/2P2P2/5B2/8 w - -,c5b5
8/5kpp/5p2/pp2p3/1P6/P2rP1P1/2Rn1P1P/4K3 w - -,c2d2
3r1qk1/p4pp1/2p2n1p/P1n1pN2/1bB1P3/4BQ2/1P3PPP/R5K1 b - -,c5e4
r1bq1rk1/4npbp/2npp1p1/1pp5/p3P3/P1PPBNP1/1P3PBP/R2QRNK1 b - -,c6a5
5k2/ppq5/6pB/5p2/1b6/2n2QPb/P4P1P/2R3K1 b - -,f8g8
1r4k1/1r2ppbp/qn1p2p1/3P4/4RPP1/2P3KP/1R2N3/2BQ4 b - -,h7h6
2rq1knr/pp3p2/2b1pPpp/1N1pN3/3P2P1/8/PP1Q1P1P/1KR1R3 b - -,g8f6
6k1/4pp1p/3p2p1/1p1P4/3bPP2/1P3KP1/P6P/8 w - -,f3e2
2r2rk1/3q2n1/3p2pp/1p1PpPb1/pP4P1/4N2Q/P2B1P2/R3K2R b KQ -,g6f5
6r1/8/2k5/1pNpP3/2pP3p/2P4b/5RPK/8 b - -,h3c8
6k1/5ppp/8/1B2pP2/p7/P1P4P/1b4P1/7K b - -,b2c3
r1b2rk1/2qnbppp/pp1p1n2/4p3/P3PP2/2NB1N2/1PP3PP/R1B1QRK1 w - -,g1h1
r4rk1/1bq2pbp/ppnpp1p1/2n5/2P1P3/2N1BN1P/PP1Q1PP1/1BRR2K1 b - -,a8d8
r3k2r/pbppq1pp/1pn1pb2/8/3PN3/2PB1N2/PP2QPPP/R3K2R w KQkq -,e1c1
8/1p3k2/1R6/2r5/P7/2P2K2/7P/8 w - -,b6b7
3r4/5bR1/p2pk3/4p2p/PBp4P/2P1K3/2P5/8 w - -,b4a5
r1b1rk2/2q3b1/2p1p1p1/2P2p2/1p1P1PP1/1BB1P3/5QK1/1R3R2 w - -,c3b4
8/8/8/pK6/P1P2k2/8/7p/8 b - -,h2h1q
2q1rnk1/4r3/bp5p/p2P2p1/2P2p1P/3QP3/2BN1PPB/R5K1 w - -,a1e1
5rk1/r5bp/pq1p1np1/1p1Pp3/P5R1/1N1B1P2/1PP1Q2P/1K1R4 w - -,g4b4
1r1q1r1k/2n1b1pp/1n1p4/B1pPpp2/4P3/3B1NPP/1PQ2PK1/R2R4 b - -,d8d7
6k1/p3qpb1/2p4p/1p2P3/3Q2np/2NB3P/PP3PP1/6K1 b - -,g4e5
4rr1k/pp1q2bp/4b1p1/2p1p3/2PnP1P1/1PN1B1P1/P2QNRBK/R7 b - -,f8f2
8/3R4/2P3p1/3k1p1p/7P/5PP1/2r5/4K3 b - -,d5c6
8/ppkr2p1/2p5/3pPP2/3Pq3/2P4Q/PP6/2K2R2 b - -,d7f7
5r2/1bq3kp/p1n1pnp1/8/1p3P2/1N5Q/PPP1N1BP/5RK1 b - -,a6a5
r2qr1k1/1p1b1pb1/p2p1n1p/2pPn3/P3PB2/2N3NP/1P2B1P1/R2QR1K1 b - -,g8h7
r1b2rk1/2p3pp/p4q2/1pp1bp2/3p4/2P3BP/PPN2PP1/R2Q1RK1 w - -,g3e5
r1b2k1r/1ppn1pp1/p2b1n1p/4p3/P1B1P2B/2N2N2/1PP2PPP/2KRR3 b - -,g7g6
8/7p/8/p5P1/P6k/4K3/8/8 b - -,h4g5
2R2b2/5k2/5P1p/8/b7/3N4/2p1BK2/3r4 b - -,f8a3
2B5/8/2p2p2/1p5P/2k4P/4b3/P1K5/8 w - b6,c8d7
3rr1k1/1pqn1pbp/p1p1n1p1/2P1p3/4P3/4BNPP/PPQR1PB1/R5K1 w - -,a1d1
r3r1k1/p2p1p1p/1p3bp1/2pP4/2q4P/2B1PnP1/PP1K1P2/R2Q3R w - -,d1f3
2kr2nr/pp3ppp/2ppb3/8/3R4/1PN1P3/P1P1BPPP/2KR4 b - -,c8c7
7k/6b1/1p1q1rp1/pQpPp2p/P3B2P/6P1/1P2RPK1/8 b - -,d6d8
5k2/1p1Q2pp/5pn1/8/p1P5/P3NP2/1B3qPK/8 w - -,d7c8
r1b2rk1/pp2qpp1/2nbp2p/8/2Pp4/1N1P1NP1/PP3PBP/R2QR1K1 b - -,e7f6
1r6/bP1kpp1p/3p2p1/3P4/8/2NK1PP1/7P/1R6 b - -,h7h6
5bk1/5q2/p7/3Q4/1pP5/8/PPK3P1/8 b - -,f7d5
r2r2k1/2qn2pp/2p1np2/ppb1pN1b/4P3/P1B2NPP/1PP2PB1/R2RQ1K1 w - -,b2b3
r5k1/pp6/3p3p/2pb1qp1/5b2/3P1N2/PP4QP/4RR1K b - -,a8f8
1b6/1P3p2/5k1p/3p3P/8/8/5BK1/8 b - -,f6g5
1rr4k/3qB1pp/8/pp3p2/P1pPpP2/1nP1P3/Q5PP/1R1R2K1 w - -,e7a3
2br1rk1/1pq1bppp/p1n2n2/3p4/3N1P2/2N1BB2/PPP1Q1PP/3R1R1K b - -,f8e8
8/3r3p/4kp2/8/6K1/7P/3R2P1/8 w - -,d2d7
1r1q1bk1/5ppp/R2p4/p1nPpN2/Pr4P1/6NP/RP2QP1K/8 w - -,a6c6
8/5p1p/8/p1n5/1k1p1pP1/8/P3K2P/1N6 b - -,c5a4
r5k1/2p2ppp/1p1p1n2/2pq4/1PP2B2/3B1R2/1Q4PP/6K1 b - -,d5e6
6r1/1p2qn2/pB1p3k/P2PpR2/4P1pb/3N2P1/1P2B2P/7K b - -,h4f6
rn2kb1r/1bq3p1/p2p1pP1/2p1pP1p/1p2P1n1/3P3N/PPP1N1BP/R1BQ1RK1 w kq -,e2g3
1k1r1b1r/3b4/Pp2p2p/1p1pqppQ/2pN4/2P1P1P1/4BPP1/RR4K1 w - -,b1b5
r1b3k1/pp4bp/1qnp4/2p1p3/8/2P3PP/PPNP2B1/R1BQ1rK1 w - -,g2f1
r1bqk1nr/ppp2pbp/2np2p1/1B6/3Pp3/1P2P3/PBPN1PPP/RN1QK2R b KQkq -,d6d5
2r3k1/3bnp2/1q1p1b1p/2pPp1pN/2B3P1/4PP2/1PQ3P1/5RK1 w - -,h5f6
r2q1rk1/ppbn1ppp/2p1pnb1/3p4/7N/1P1P2P1/PBPNPPBP/R2QR1K1 w - -,h4g6
5r1k/5p2/p1pNp1np/4P3/8/1P4Q1/1KP3R1/5q2 w - -,g2f2
r4rk1/pp3ppp/4n3/3Q3b/8/P3PN1P/1q2BPP1/R4RK1 w - -,a1a2
4B3/8/pp5p/2k3p1/P3n3/5KPP/8/8 b - -,e4f6
r1b1r1k1/1pqn1pb1/2pp2pp/pP6/2P1n3/N1B1PN2/P1Q1BPPP/1R3RK1 w - -,c3g7
3r1r2/p1q2p1k/2bppb1p/2p2p1Q/2N2P2/2P1PN2/PP4PP/3R1RK1 w - -,f1f2
r3kbnr/1pqnpppp/p2p4/2p5/3PPBb1/2P2N2/PP1NBPPP/R2QK2R b KQkq -,h7h6
2r2rk1/1p2qppp/p3p3/4Q3/bP6/P1R3P1/4PPBP/R5K1 b - -,c8c3
r1q2rk1/2n1ppbp/pp1p1np1/2pP4/P1B1PP2/2NQ1R1P/1PP3P1/1RB3K1 b - -,a8b8
r2q2k1/ppp1nr1p/3pbbpB/4pp2/2P1P3/3P2P1/PP1QNPBP/R4RK1 w - -,b2b3
8/P7/2p4p/r7/5p2/R7/1PP2k2/3K4 b - -,a5e5
6k1/2p5/2p3p1/p2pP2p/6bP/P2N1rP1/1PPb4/1K1N2R1 w - -,g1g2
r3r1k1/pp3ppp/2p5/3p3n/3PPPq1/2NB1nPb/PPQ1NR1P/4R2K w - -,e1d1
8/1n6/2p2k2/PpP3Rp/2n1p2P/2K5/P5P1/2B5 b - -,b7a5
8/4rp1p/3k2p1/2R3P1/PP1K3P/4p3/8/8 w - -,c5c1
1rb1r1kb/1pq2p1p/p2p1npB/2pP3n/P7/2N2NP1/1P1QPPBP/1RR3K1 w - -,h2h3
1r4k1/5pbp/6p1/pB6/P7/8/1nrB1PPP/1R3RK1 w - -,d2e3
2R5/n2q1kpp/1p1Bp1n1/pP2Pp2/P2P4/4Q1PB/5P1P/6K1 b - -,d7c8
8/1R3pk1/6p1/7p/2r1PP1b/5K2/P4P2/8 w - -,e4e5
rn3rk1/1p2qppp/p2pbn2/2p1p3/3PP3/2P1PN1P/PPBNQ1P1/R4RK1 b - -,e6d7
8/p7/1p6/2p1k2p/2P1p3/1P4P1/P2r1PK1/7R b - -,e5d4
r3rbk1/1p1n1b1p/1qpp1pp1/p1n5/2PNPP2/1PN5/P2Q1BPP/3RRBK1 w - -,d4c2
3n4/p3pk1p/2pq1pp1/2p5/2P1Q1PP/1PN1P3/P4PK1/8 w - -,e4c2
1r2r1k1/p3qpp1/7p/2p1P3/2P5/5Q2/P5PP/4RRK1 b - -,b8b2
3r2k1/1p1P1pb1/1q2r1p1/p1pQp1Pp/4P3/5P2/PP2N2P/1K1R3R b - -,e6e7
2r2k2/5p1p/4pb2/rN3p2/2PR1P2/P5B1/KP5P/8 w - -,d4d7
