8/8/8/2k5/6K1/6P1/8/8 b - -,c5d5
r4rk1/1b2bpp1/p3pn1p/q7/Pp1P4/3BB3/1P2NPPP/2RQ1RK1 w - -,e2f4
r4rk1/pbq1ppbp/1p4p1/n1p5/P7/2PP1NP1/2QBPPBP/R4RK1 w - -,a1a2
r1q1k2r/3pbpp1/1np1p1p1/p3P3/2PPQ3/5N2/P1RB1PPP/4R1K1 b kq -,c8a6
r1bqr1k1/ppp2p1p/5pn1/3p4/1b1P4/2NBPN2/P1Q2PPP/R4RK1 w - -,c3d5
r5k1/5r2/2p2p2/3p4/1QnP1N1P/6q1/P3R1P1/4R1K1 w - -,e2e8
r1b1nrk1/pp1nqpb1/3p2pp/3Pp3/4P1PP/2N1BN2/PP3P2/R2QKBR1 b Q -,d7f6
r4rk1/pp3pp1/1qpp3p/5Pb1/4PP2/2N2n1P/PPPQ4/2KR1B1R w - -,d2d6
r2qr3/ppp1kppp/2n5/2Pp1B2/3P4/5b2/PP1Q1PPP/R4RK1 w - -,g2f3
r6k/1p4qp/2p1Q3/p2Rn2r/8/P3PpP1/1P3P1P/R4BK1 w - -,d5d6
4k3/5r2/ppQ5/2pPBn2/5P2/1P6/P2r1P1P/6K1 b - -,e8f8
8/7p/pk1p2p1/2pP4/1P4P1/1P6/4K2P/8 w - -,h2h4
5n1k/2q3p1/p2b3p/1p1Q4/3P4/1P1N4/P2n2PP/B4R1K w - -,f1c1
r7/7p/PRk3p1/P3p1P1/4Pp1P/5K2/8/8 b - -,c6d7
1k6/1p6/1Pp2p2/2P1bN2/P7/1K3r2/8/3R4 w - -,b3a2
7k/1b2r2p/1pp1p2r/p2pPp2/2P2R2/1P2PB1P/P5P1/2R3K1 b - -,h6g6
3r4/8/1p4pk/p3N2p/b3BP2/2P1K3/1P4PP/8 b - -,a4e8
r2qk2r/1p1bbppp/2np1n2/pB2p3/P3P3/1NN2P2/1PP3PP/R1BQK2R w KQkq -,c1e3
8/7p/1pBkp1p1/1P1n1p2/4K3/5PPP/8/8 w - f6,e4d4
1R6/p4pkp/5bp1/2pP1p2/5P2/1P3NP1/5K1P/r7 b - -,a1d1
5r2/3b2kp/p1p3q1/Pp1p1rp1/1P1PpP2/4P1QP/3N1RP1/5R1K b - -,h7h5
8/pR3p2/1b5R/1P4n1/Pk6/8/4P1K1/3r4 w - -,h6h4
1r3rbk/p1Q4p/3p3q/5pp1/3P1b2/2N4P/PP2RPB1/4R1K1 w - -,c7a7
rnbqkb1r/pppppppp/5n2/8/8/2P5/PP1PPPPP/RNBQKBNR w KQkq -,d2d4
3q1rk1/1Q3pb1/3P2p1/p1rR2Pp/1p2P1nP/8/PPP5/1KN2B1R b - -,c5c8
r2qr2k/n3b2p/p2p2pB/P1pnp3/4P3/2P4P/1PB2PP1/R2QR1K1 w - -,d1d5
2rr2k1/4bpp1/p2pbB1p/4p3/q3P3/4NB2/1PP2PPP/1R1QR1K1 b - -,e7f6
r3k2r/1pq1bppp/p1npbn2/4p3/P1B1P3/N1N1B3/1PP2PPP/R2QK2R w KQkq -,e1g1
7k/8/1p1q1Pp1/1P2n3/K3Q3/8/2B5/8 w - -,e4f4
2r2bk1/p4pp1/2p1p2p/3r3P/3P2P1/1P2BP2/P1K5/3RR3 w - -,e1e2
3r1rk1/4bpp1/2n1p2p/p3P3/3PNPP1/qB1Q3P/P4B2/5RK1 w - a6,d3c4
8/p2r2pk/3P1n1p/1p6/1P4N1/5pPP/8/3R2K1 w - -,g4e5
2r2r1k/2q1b1np/p3p3/1b1pPp2/1p1N2P1/4BR1P/PP1Q1R2/1B4K1 w - -,g4f5
rnbqkb1r/pp3ppp/2p1pn2/3p4/8/3P1NP1/PPP1PPBP/RNBQ1RK1 b kq -,f8d6
r3r1k1/p4pp1/2p2n1p/q2p1b2/2pP4/PPb3P1/3BPPBP/R3QRK1 w - -,d2c3
8/8/p2N1kB1/3p3P/1K6/4r1n1/8/8 b - -,e3e5
1kbR4/1p2r1p1/p1n2n1p/2N1pp2/2B4P/P7/1PP2PP1/1KB4R b - -,c6d8
rnbq1rk1/pp3pbp/2p3p1/4p3/B2PP3/2P5/P3NPPP/R1BQ1RK1 b - -,b8a6
r7/1r6/Q1p2pp1/2Pp1k1p/pB1PpNnP/P3PnP1/1R3P2/K6R b - -,a8a6
2rq1rk1/1b2bpp1/p2ppn1p/1p6/4P3/PPN2P2/2PQNBPP/4RR1K w - -,a3a4
r1bq1rk1/p2nbppp/1ppp1n2/4p3/P1BPP3/1PN2N2/2P2PPP/R1BQR1K1 b - -,c8b7:a7a6
8/r1p2pk1/6p1/2R2rP1/1KP5/8/8/4R3 w - -,e1e5
2k5/1p6/pRP3p1/P2p1p1p/6rP/4P1P1/5K2/8 b - -,b7c6
1r1r2k1/1b3pbp/1qn1p1p1/1pNpP3/3P1P2/2R2NP1/1P4BP/2RQ3K b - -,b5b4
r2qk2r/1b2bppp/pn2p3/3pn1P1/1p1NP2P/3BBP2/PPPQN3/2KR2R1 w kq -,e2g3
r2q1rk1/pb1Bppbp/1p3np1/2pp2B1/3P4/2P1PN2/PPQN1PPP/2KR3R b - -,f6d7
3r1k2/4rp2/1B4p1/p5Pn/PbQ1NP2/q7/7P/1R3R1K b - -,d8e8
1r6/1P5p/3p2p1/P2k1p2/8/K3pP2/1R4P1/8 w - -,a5a6
8/3b2pp/R7/1pk5/3pp3/1P5P/4K1P1/8 w - -,a6a7
r4rk1/3qbppp/p1n1p3/1pp2n2/4NP2/2P5/PPBPQ1PP/R1B2RK1 w - b6,e2h5
r4rk1/pppb1ppp/5n2/3pPP2/2q5/6NP/PPP3P1/R1BQ1R1K b - -,f6e4
2k5/1b1n1q2/p3p3/P2pP1p1/1QpP2B1/1p6/1P1B2PP/4K3 b - -,f7g6
1k1r3r/ppqn1ppp/2p2nb1/4p1P1/1bBP4/1NN1B2P/PPP1QP2/2KR3R b - -,b4c3
r1bq1rk1/1p1pbppp/p1B1p1n1/8/3NPP2/2N1B3/PPP3PP/R2Q1RK1 b - -,b7c6
2b2k2/2P4p/p3p1p1/2NpP1P1/1p5P/3P2K1/1P6/8 w - -,c5a4
1r3bk1/1p1q1pp1/p6p/3NR2P/P1P5/1P3QP1/5PK1/8 b - -,f8d6
2Rb4/B2rk1p1/1p5p/1P3p2/P7/5P2/5PKP/8 w - -,c8a8
6k1/8/5ppp/8/5P1P/8/b4KP1/3B4 b - -,g8g7
r1b1k2r/pp1nqppp/2pb1n2/3p4/3P4/1PN2NP1/P2BPPBP/R2QK2R w KQkq -,e1g1
8/5p2/5kp1/1R5p/4P2P/4KPP1/r7/8 b - -,a2a3
1r4k1/1bN2pb1/pp1q2p1/2p1r3/P1Q3p1/8/1P4PP/R1B2RK1 w - -,c4f7
6k1/p4p2/1p3npp/2qP4/5P2/1P5B/PQ4PP/5K2 b - -,f6d5
8/pp2kppp/2p5/3p4/3P1K2/2P2B2/PP3PPP/1b6 w - -,a2a3
8/ppb2R1p/8/3k4/5P2/2B5/PPr4P/7K b - -,c7b6
r3k1nr/1b1n1pb1/pq2p1pp/1p1pP1N1/2pP1P1P/2P2N2/PPB1Q1P1/R1B1K2R w KQkq -,g5f7
r2q1r2/p4pbk/1p4pp/3p4/3P2b1/6P1/PP1QNPBP/R2R2K1 b - -,f8e8
2rq1rk1/1p2bpp1/p1np3p/4p3/2P1P1b1/N1N1B3/PP1Q1PPP/R2R2K1 w - -,d1e1
r1bqk2r/ppp1ppbp/1nnp2p1/4P3/2BP4/2N2N2/PPP1QPPP/R1B1K2R w KQkq -,c4b3
b3r3/p3r3/2p2k2/3n3p/2B3R1/1P1Np1P1/P6P/4R1K1 w - -,e1f1
2Nn4/4kpp1/pb2p2p/1p2P3/5B2/8/PP3PPP/5K2 b - -,e7d7
r2r2k1/p3ppbp/5np1/5Q2/1pPP4/pP2BN1P/3R1PP1/3R2K1 b - -,g6f5
4r3/8/7P/4kPP1/1p6/3p1K2/1P1B4/8 w - -,f3g4
r6r/p1p3p1/5nkp/1Q6/2B1p1b1/3P4/PB1q1PPP/R4RK1 w - -,b2f6
r5qr/p2knpp1/np2p2p/3pP2P/b1pP1B2/P1P5/2PNBPP1/R2QK2R w KQ -,d2f1
3r2k1/p1q2pp1/1p3n1p/1P6/2B1pP2/2Q1P3/1P4PP/2R3K1 w - -,h2h3
4r1k1/6p1/p6p/4r2b/P6P/1P2N3/3R1PP1/2R3K1 b - -,e8b8
8/2q2p1k/p2p2p1/3Pr2p/R1P5/3Q3P/R3rPPK/8 b - -,e2a2
1kb4r/p1p2q2/1pnb1N2/3p2pN/3P4/2P3p1/PPQB1P2/1K5R w - -,f2g3
r1bq1rk1/pppnbppp/4pn2/3p2B1/3P4/3BPN2/PPPN1PPP/R2Q1RK1 b - -,b7b6:c7c5:h7h6
8/p4pk1/1p2p1p1/1P1p4/Pb1P4/1B2P1P1/4KPq1/3Q4 b - -,g6g5
bqrr2k1/3n1pbp/ppnpp1p1/1P6/2P1P3/PN2BP2/1N3QPP/1BRR2K1 b - -,a6b5
2r5/6kp/pB4p1/P1PNbp2/b3p3/6PP/3R1P2/6K1 w - -,d5e7
r1bqk1r1/pp2bp1p/4p3/2pp4/2P1PPn1/2NP1B1Q/PP3P2/R1B1K2R b KQq -,d5d4
r1bqk1nr/p2pp1bp/2p2Pp1/8/3B4/2N5/PPP2PPP/R2QKB1R b KQkq -,g8f6
1R3K2/1P6/4P3/8/6p1/8/1r4k1/8 b - -,b2f2
