8/8/3q2pk/5p2/2Br4/1P1N1Q1P/6PK/8 w - -,f3g3
8/1nk1n2p/RP1p2p1/3Pp1P1/2p3P1/4NK2/7P/8 b - -,c7b8
5k2/1R3r2/p6R/6rp/2P3p1/1K6/1P6/8 w - -,b7b8
5n2/1p5p/p1k2bp1/2p5/2P1N1P1/3P2KP/PP6/8 w - -,e4f6
2Nbk3/5pp1/n3p1bp/1p1p4/1P6/1K1PB1P1/4PPBP/8 w - -,c8d6
r2qk2r/p1pbbppp/1pnpp1n1/8/2PP4/2N2NP1/PPQ1PP1P/R1B1KB1R w KQkq -,f1g2
6k1/pp3r2/3pR3/6P1/4Pr2/2P5/2P5/2K4R b - -,f7c7
4r1k1/6pp/4r3/3Q1N1q/P3n3/2P3P1/1P3PP1/R4RK1 b - -,e4f6
r4rk1/pp1bq1p1/2n1pp2/2NpPn1p/3P3P/P4N2/1P2BPP1/2RQ1K1R w - -,e5f6
r1b1r1k1/pp3pp1/2p1pn1p/q2p4/1bPP1P2/2NBP3/PPQN2PP/R4RK1 b - f3,c8d7
r2qk2r/p1pb1pbp/1p2p1p1/3nN3/Q7/6P1/PP1PPPBP/1RB2RK1 w kq -,a4d7
8/1p2Q3/1k1p4/2q2P2/p3P3/6K1/8/8 w - -,f5f6
rn3rk1/p3qp1p/Qpp3p1/3N4/3p4/4PN2/PP3PPP/2R2RK1 w - -,a6d3
5r2/ppkb2p1/r3p2p/3pP1p1/2pP4/P1P1NP2/2P1K1PP/R6R b - -,a6b6
r1b2qr1/pp1pn1bk/2nNp1pp/8/2P1NPP1/4B3/PP1QB2P/3R1RK1 b - -,b7b6
k1b4r/1pq5/p1pr2p1/3p1p1p/PQ1P4/1R1BPPP1/1P4P1/1KR5 b - a3,h8e8
3r3k/8/6Pp/1R1pbp2/p2P4/P5K1/1P4P1/8 w - -,d4e5
3r2k1/2q2pp1/p1r1p2p/4P3/P1p5/2B1P1P1/1P1R1P1P/3Q2K1 b - -,d8d2
5k2/1R4p1/7p/8/6P1/8/1p3PK1/1r6 w - -,g2f3
1r1qr1k1/1p2npb1/1Pppb1pp/p3p3/2P5/P1NP2P1/2QNPPBP/1R3RK1 w - -,c3a4
5r1k/pb4bp/1p1p2n1/2p1P3/2P1p1P1/2NPB3/PP1R2BK/8 b - -,g6e5
5q1k/1B4bp/4Q3/r4p2/3p4/5P2/6PP/1R5K w - -,f3f4
6k1/p5pp/2p3n1/2N1p3/2P5/3r2Pb/P3RP1P/2R3K1 b - -,d3a3
2b1r1k1/pp5p/6q1/3N4/3R2p1/PP1QP3/5PPP/7K b - -,c8f5
8/5kp1/3p4/p2P3p/2Pp3P/1P4K1/2bN2P1/8 b - -,f7e7
r2q1rk1/ppp1bpp1/2npbn1p/3N4/2P5/1N4P1/PPQ1PPBP/R1B2RK1 b - -,f8e8
1r1r2k1/pB2qp1p/6p1/4p3/3nQ3/6P1/PR3P1P/2R3K1 w - -,c1b1
rn1q1rk1/pb2bppp/1pp1p3/3pB3/2PPP3/2N3P1/PP3PBP/R2Q1RK1 b - -,d5c4
r1q3k1/3R1pp1/Bn2r2p/3Qp3/4P3/2P2P2/6PP/2B2RK1 b - -,c8d7
r3r1k1/pppq2pp/1b3p2/3p1n2/3P4/P1PN2B1/1P3PPP/R2QR1K1 w - -,d1g4
r1bq1rk1/1p2p1b1/2p3pp/p1n5/2PP4/P4PPN/1B1Q2BP/R4RK1 w - -,a1d1
4r1k1/3n2qp/1p4p1/p2pP1R1/Pn1P1P2/1P5Q/2rBB2P/6RK w - -,e2d3
r1b2rk1/ppqnbppp/2pp1n2/4P3/2P1P3/2N2N2/PPQ1BPPP/R1B2RK1 b - -,d6e5
r4r2/1p2p1k1/p4bp1/2pPpP2/2P3p1/2NQ4/Pq4P1/1R2K2R b K -,b2g2
4r2k/2q4p/1p2Bb2/4nP2/1P2QB1p/3p4/6P1/4R1K1 b - -,e8d8
2kr4/ppp2ppp/2n5/3p1n2/1b1P2P1/2N4P/PPP1NP2/2KR3R b - g3,f5h4
rn1qkb1r/pbpppppp/1p3n2/8/3P4/5NP1/PPP1PPBP/RNBQK2R b KQkq -,g7g6:c7c5:d7d6:e7e6
8/5pk1/N1n3p1/1p1r3p/7P/1P5P/P3KP2/3R4 b - -,d5e5
8/5pk1/1pQ1p1pp/2n1q3/3bN3/5B1P/5PP1/6K1 w - -,e4c5
kr6/1p3r2/pPp5/2Pp4/P2b3p/1R1N3P/5pP1/1R3K2 b - -,b8e8
1rb4r/1pkn2pp/pNP2p2/4p3/1R6/6P1/1P2PPBP/2R3K1 b - -,b7c6
r2q4/p6r/n3pk2/1ppp2B1/3P4/1NP3R1/PP3PP1/R5K1 b - -,f6f7
7R/8/3k4/4p3/8/4B1Kp/5P2/5b1r b - -,d6d5
8/p4rkp/2n2pp1/8/2R4P/P2r2QK/1BR5/8 b - -,d3g3
2rq1rk1/p3npbp/bpnpp1p1/2p5/4PP2/2NP1NP1/PPP2BBP/R2QR1K1 w - -,d1d2
6k1/3R4/4P3/5P2/6Pp/8/r4K2/8 w - -,f2f3
3r4/1r3k2/4ppp1/pNbp3p/P4P1P/1BPK2P1/1P2R3/8 w - -,b3a2
1rb1r1k1/4q1bn/p1pp2p1/1p2p2p/2P1P3/1P1P1NNP/RPQB2PK/5R2 w - -,a2a1
r4rk1/pp1b2pp/1q1bp3/3p1p2/2PPnP2/1P1B1N2/P5PP/R1BQ1RK1 b - -,b6c7
1b2r1k1/p5p1/1p2Nr1p/3p4/3P4/2P2PPB/P2n2KP/2R1R3 w - -,f3f4
r5k1/p5p1/1p6/2qp1Q1b/8/P2B2P1/2P4K/8 w - -,f5h7
2R2b2/1pn2kp1/2p2p1p/p4P2/P6N/1r4PP/6K1/8 w - -,c8c7
3k4/R7/p5r1/8/2KP4/8/1P6/8 b - -,g6c6
8/5p2/4p1k1/2p1P2p/3bKPpP/6P1/R7/8 b - -,d4c3
3r4/5p2/2p5/ppPr1kb1/3P1p2/PP5R/3R1BP1/3K4 b - -,f5g6
r4r1k/pb2q1pB/1pnppb1p/2p5/2P5/1PN1P3/PBQ2PPP/3R1RK1 w - -,h7g6
6k1/1p3pbp/p5p1/n2P4/q3BP2/2r3PP/4QB2/5RK1 b - -,g7d4
2rqr2k/pp2p1bp/4Qp2/3P2p1/8/6P1/PP1B1P1P/3RR1K1 b - -,d8d6
8/2Q5/K7/P1P3pk/8/8/1q6/8 w - -,c5c6
1b1rrnk1/pp2qppp/2p2n2/2P1p2b/1PN1P3/P4NPP/1BQ2PB1/R4RK1 b - -,h5f3
Rbk5/1r6/3p4/1P1Pp1pp/K4p2/2BP1P1P/6P1/8 b - -,b7g7
3b4/3k1p1p/4pPn1/r3P3/p1RP4/Pn3K2/1P3B1P/3R4 b - -,a5d5
rn1qk2r/pb3ppp/1ppbpn2/3p4/2PP4/1P1BPN2/PB3PPP/RN1Q1RK1 b kq -,e8g8
r7/7k/2p3p1/p2p3q/1p2PP2/P1bK2Qb/7P/1R4R1 w - -,e4e5
2rqk2r/pb1pbppp/1pn1pn2/2p5/3P1B2/2PBPN1P/PP1N1PP1/R2QK2R w KQk -,e1g1
6r1/1pR2p2/p2ppP2/4b1k1/8/8/PP4PP/5RK1 b - -,g8f8
rn2kb1r/pp2npp1/1qp1p3/4PbBp/2BP3P/2N5/PP3PP1/R2QK1NR w KQkq -,d1d2
2kr1b1r/pb1n1p2/1qp1pP2/1p4B1/2pP4/2N3P1/PP3PBP/R2Q1RK1 b - -,c6c5
r1bqkb1r/pp3ppp/2n1p3/2p1Pn2/3p4/2PB1N2/PP1PQPPP/RNB2RK1 w kq -,d3e4
2kr1b1r/pp1b1p2/2p2P2/2N1Pq1p/2Pp1B2/P2P1B1P/1P1Q4/R4K1R b - -,f8c5
3bk3/6p1/p3ppr1/Np2P3/1P2Q3/P4PP1/3qRK2/8 b - -,d2g5
2rrq1k1/3b1p2/p1pBp1pp/1pPn4/P2PB1P1/8/1PQ2P1P/R3R1K1 b - -,g8g7
4r2r/ppk1q3/2n2n1p/4pQ2/4ppp1/1BP5/PP3PPP/2BR1RK1 w - -,b3d5
r2qkb1r/3n1pp1/p1b1p2p/3pP3/1p1B2P1/2N2P2/PPPQ3P/2KR1B1R w kq -,c3e2
r4rk1/3p3p/2q1p1p1/2P1P1P1/p1PBb2P/4QpP1/2P2R2/R5K1 b - -,c6b7
6k1/p4p2/1p1Q2p1/3P3n/7K/P3R3/5qPP/8 w - -,e3g3
r1b1kb1r/2q2ppp/p1p1pn2/8/Pp2P3/8/1PP1BPPP/RNBQ1RK1 w kq -,b1d2:e2d3
r2qk1nr/1p1b1p1p/p2pn1pb/2pNp2P/P1B1P3/2P2QN1/1P1P1PP1/R1B1K2R b KQkq -,e6g5
r3k2r/pbpnqppp/1p1ppn2/8/2PP4/3Q1NP1/PP2PPBP/RN3RK1 w kq -,b1c3
8/pp2r3/8/3K3p/2P3k1/1P4b1/P1N3R1/8 w - -,c2d4
1r6/2p3pk/1rnp1p1p/p1p1qP2/4P1R1/1PP3NP/P2Q2PK/1R6 b - -,b8g8
r4k2/8/5PK1/1R6/6P1/8/8/8 w - -,b5b7
3rn3/4k2Q/p2p2p1/P1pBq3/8/2P3P1/7P/3R2K1 b - -,e5g7
3Q2k1/6p1/7p/1P2p3/4qp2/P5P1/5P1K/8 b - -,g8h7
4rrk1/p4qbp/1p4p1/3P4/2p5/3nB2P/PPQ2PP1/2R1RNK1 w - -,e1d1
