1r2r3/6k1/2RP4/4b3/p7/2N5/P1K1R3/8 w - -,d6d7
r3k3/ppq1np2/2n1p3/3pP1p1/5P1r/2PBQ3/PP1N3P/R3K2R w KQq g6,f4g5
r1b2rk1/pp4pp/4pq2/2bpn3/8/2NB2B1/PPP2PPP/R2Q1RK1 w - -,d3h7
r1bq1rk1/pp2bppp/2n5/2P5/8/2P2N2/P3BPPP/R1BQ1RK1 b - -,e7c5
1r3k2/5pbp/p2p2p1/1p3n2/4RP2/2P4P/PP3P2/3R1K2 b - -,g7f6
r1b1r1k1/pp1nqppp/2pb1n2/3pp3/2PP4/1P3NP1/P1QNPPBP/R1BR2K1 w - -,c4d5
4k3/p2nnp1p/bpr3r1/4pN1P/2P1p3/P3B3/2P2PP1/2KR1B1R b - -,e7f5
2q5/1p3k1p/p7/3PQp2/5P1B/8/P5K1/8 w - -,e5f6
r2r4/p3ppkp/2p2np1/8/4PP2/5B2/PP3P1P/2KR3R b - -,g7h6
3q2rk/1p1r1p1p/1Bp5/4pP1n/p1B1PnNb/P3QP1P/1PP4K/6R1 b - -,d7d2
N5k1/1N1bb1pp/p3p3/5p2/1n1P4/4P1P1/PPr2PBP/5RK1 b - -,c2b2
1r4k1/5p1p/1r1p1np1/RppPp3/4P3/1PN2P1P/2P3P1/5RK1 b - -,f6e8
r3kb1r/p2npppp/2p1b3/8/2p3q1/2QBB3/PP1N1PPP/R3K2R w KQkq -,d3e4
6k1/4B1b1/p1b1p1n1/3p1p2/p1pP1P2/1rP2N2/1P5P/2Q4K w - -,e7b4
r3r1k1/pp1nqpbp/2p3p1/8/2PP1n2/2N4P/PBQ2PP1/R2R1B1K b - -,a8d8
8/5p2/4p1kp/3n4/1r1PKP2/R5N1/8/8 b - -,d5e7
1r5k/7p/6p1/3p4/P4P2/1P2Q1PP/1q6/2R3K1 b - -,b2b3
6K1/5RP1/2p1k3/1p1p4/pP1r4/8/P7/8 b - -,d4g4
3Q1bk1/1p3p1p/2p3p1/B7/P3nP2/1qP3PP/1P4NK/8 w - -,d8d4
7r/1b1nk3/p4prB/4p2R/qp2P2Q/3B3P/2R3P1/7K b - -,h8c8
4b3/1r4kp/R7/2KP4/p3BP1P/8/8/8 w - -,d5d6
2r2rk1/pp3ppp/8/2n1qN2/4p3/1P2P3/P1P1Q1PP/3R1RK1 w - -,d1d5
2rb1rk1/pp1qB1pp/3p4/nP2pp2/2P1P3/2NP1N2/5PPP/1R1QK2R b K -,d7e7
2r5/4qpk1/3Rp1pp/4P3/5P2/2r4P/5QPK/3R4 b - -,c8c7
4r1k1/2r2p2/6p1/p1pRp2p/1qP1P3/1P1R1P1P/6PK/6Q1 w - -,g1a1
r3k2r/pbqn1ppp/1p1bp3/8/3P4/2PB1N2/P2BQPPP/R4RK1 b kq -,e8g8
8/8/5k2/6p1/4p1P1/4B3/4BK2/q7 w - -,e2f1
4kr2/7P/b2p4/p3p3/3q4/4Q2R/P1p4P/4R1K1 w - -,e3d4
1n3rk1/r4ppp/p3pnq1/1p6/2pP4/2P1PB2/2QN1PPP/R4RK1 w - -,e3e4
2rq1rk1/pp1b2bp/3Pn1p1/4p3/4P3/1B2B3/PP1Q2P1/1K1R2NR b - -,a7a5
3r3k/1q6/p2pBnpP/1p1Pn3/8/1PR1B3/P3Q2P/6K1 w - -,e3d4
8/5p1p/6p1/r1kp4/1p3P2/1Pn2BPP/P2R4/6K1 w - -,g1f2
3r4/1pRbr3/pN1n1kpp/3P1p2/P4P2/1P1B3P/6P1/3R2K1 w - -,g1f2
rn1qk2r/1bpp1pp1/1p2pn1p/8/p1PP4/P1Q2NP1/1P2PPBP/R1B1K2R b KQkq -,e8g8
r1bqkb1r/pppn1ppp/4pn2/8/2QP4/2N2N2/PP2PPPP/R1B1KB1R b KQkq -,c7c5:d7b6
r1bq1rk1/1pppnpbp/p5p1/n2P4/B3P3/5N2/PP1N1PPP/R1BQ1RK1 b - -,d7d6
b6k/p6p/8/2p5/6p1/8/PP3PPP/3B1K2 b - -,h7h5
r1bq1rk1/1p3pbp/2pp1np1/p1nPp3/2P1P1P1/2N1B2P/PPB1NP2/R2QK2R b KQ -,c6d5
8/5k2/8/p3bBP1/p5K1/1r3P2/1PR4P/8 w - -,f5e4
r4rk1/5ppp/pq1b4/3n4/1PB3b1/P4N2/1B3PPP/R2Q1RK1 b - -,d6h2
6k1/3n1rp1/pr4Np/1p1p4/4P1P1/3B4/6KP/R3R3 b - -,b6g6
8/8/R5p1/5pk1/1P2p3/1N2n2P/Pr4P1/6K1 b - -,b2g2
r2r2k1/1pq1bppp/p2pbn2/8/P3PB2/2N3Q1/1PP1B1PP/3R1R1K b - -,c7c5
1r3rk1/p1n1pp1p/2bp2p1/2q1bPP1/1p1pPB1P/3P2NB/PPPQ4/R4R1K b - -,e5f4
3r4/3r2p1/1p2ppk1/p1p4p/2Pn1P1P/PP1P2P1/3R1K2/2N1R3 w - -,d2b2
3q3k/1p1r1ppn/p1nb3p/2p2P2/5BP1/2P2Q2/PP3P1N/4RBK1 w - -,f4d6
r3kb1r/pbpqpp1p/1pnp2pP/6Bn/3PP3/2PB1N2/PP1NQPP1/R3K2R b KQkq -,f7f6
8/8/2K3R1/2r5/2k5/2n5/8/8 w - -,c6d7
2r2rk1/p2N1pp1/2P1p2p/5q1n/1R6/8/PP2QP2/K1R5 b - -,f8e8
8/1p3p1k/3p2p1/1P1P4/4p1pP/1NQnP1P1/5q2/R1K5 w - -,c1b1
r3q2r/3b1pkn/pp1p1np1/2pPp1Np/P1P1P2P/2N1QPP1/1P2B3/2KR1R2 w - -,b2b3
rnb2rk1/pp1pppbp/1q4p1/3pP3/3P4/2PBB3/PP3PPP/1R1QK1NR b K -,d7d6
1r4k1/5pp1/1q1bpnp1/1n1p4/1P1P4/3B1PP1/4NB1P/Q1R3K1 w - -,a1a5
r1bqkb1r/pppnp1pp/3p1n2/5pB1/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq -,e2e3:d1c2:g2g4
8/5k2/ppnnpp1p/3p4/P2P2P1/1PN2N2/4KP1P/8 b - -,f7e7
5rk1/pbq1bpp1/1pp1p2p/2n1P3/2P2P2/2N1P3/PB2Q1PP/1B1r1RK1 w - -,f1d1
8/4rppk/7p/1bR5/p1pB4/P1P1KPP1/6P1/8 w - -,c5e5
2r2rk1/5p1p/p2p2p1/1p1P2Q1/7P/2P4q/PP4R1/5R1K w - -,h1g1
3r4/2qnppkp/1pbp2p1/r7/P3PP2/1BN5/2PQ2PP/1R3RK1 b - -,d7f6
R4rk1/1p3ppp/2b5/2npP1b1/1q1B2B1/1P2P3/3N2PP/4QRK1 b - -,f8a8
r1bq1rk1/pppp1ppp/2n2n2/2b5/2BpP3/2P2N2/PP3PPP/RNBQ1RK1 w - -,c3d4
2q2rk1/Rn2b1pp/3p4/3Pp3/5p2/1PPQB1P1/5PBP/6K1 w - -,e3b6
3r2k1/R1Q2ppp/1p2p3/1P4P1/1nP4P/8/3qBP2/6K1 b - -,d8f8
r1b1k2r/3p1ppp/2n1p3/1p6/4P2q/4N3/PPPQB1PP/R2K3R b kq -,h4e4
8/5p2/r6p/3R4/6k1/PK3pP1/5P2/8 w - -,d5d3
r2q1rk1/1p1bbpp1/p2ppn1p/7P/P2pPP2/1P1P4/1BPQN1P1/R3KB1R b KQ -,e6e5
r2q1rk1/pppb1ppp/3b4/3p3Q/3Pn3/3B4/PPP2PPP/RNB2RK1 w - -,h5d5
8/4kppp/n1p1p3/2P5/p7/5PP1/PN2P2P/4K3 w - -,b2d3
2r1k3/p5r1/1pp5/3pQ1nb/3P1Bqp/4Pp2/PP1N2P1/2R1K1R1 b - -,g7e7
6k1/p1qn1p1p/1p2p1p1/2b1P3/2P1QP2/4B3/P1B2KPP/8 b - -,g8g7
r1bqk2r/ppp1bppp/2n1pn2/3p4/4P3/3P1NP1/PPPN1P1P/R1BQKB1R w KQkq d6,c2c3
5rk1/p4pp1/2p5/Q7/2P5/1P1pR1PP/P3b3/3q2NK b - -,d3d2
2b1r1k1/1r3pp1/R2n4/3Pp1p1/2p1P1B1/2P4P/4R1PN/6K1 b - -,b7b1
r2r3k/6p1/2p4b/2P2P1Q/1p2n3/1B5P/P7/R5K1 w - -,a1e1
q3n1k1/p4p2/1pn1b1pp/2pNN1b1/2P1P3/PP4Q1/1BB2P1P/6K1 w - -,e5c6
1b5k/1p3p2/pr3Pp1/1P1pp3/1P4P1/2PBPK2/8/R7 w - -,e3e4
8/1pr1r2p/4pk2/P3Rp2/1pP2P2/1P5R/5KPP/8 b - -,c7c6
r1bq1k1r/ppp3bp/n2p1n1B/3Ppp2/2P4Q/2N2N2/PP3PPP/R3KB1R b KQ -,d8e7
6k1/5p2/p3p2P/P1p1p3/r7/4K3/8/1R6 b - -,g8h7
r2qkb1r/ppp2ppp/3p1n2/3Pp3/2PnP1b1/2N1BN2/PP3PPP/R2QKB1R b KQkq -,c7c5
rn1r2k1/pp2qpp1/1np1p1p1/P7/1b1P4/1B2P2N/1P3PPP/R1BQ1RK1 b - -,b6c8
r7/1pp5/1pn1bkpp/5p2/Pq2p2P/NP2P1P1/2P1QPK1/R2r1B2 w - -,e2d1
2k4r/1p3pp1/1pp1q2p/8/8/1P5P/PPQ2PP1/1K1R4 w - -,a2a3
3b4/3k3p/1N4pP/p3r3/8/8/8/3R3K b - -,d7e8
8/K7/P1k3p1/3p2p1/3P1pP1/5P2/7P/8 w - -,a7b8
2k4r/ppp2pb1/1q5p/4pPp1/3rN3/P2P2P1/1PPQ2KP/R4R2 b - -,h8d8
