8/6k1/1N6/8/3R2pP/2p1P1P1/5K2/2r5 w - -,d4g4
r1b2rk1/p2nqpp1/1p2p2p/2p5/3P4/2RBPN2/PPQ2PPP/4K2R w K -,d3h7
r4rk1/p4ppp/R2ppn2/8/1qPQ4/3b2P1/4PPBP/R5K1 w - -,g2a8
8/2rn1p1R/2Np1kpP/1n2p3/8/6P1/5PK1/8 w - -,c6d8
3r1rk1/p5p1/1pn2b1p/2pq1p2/P1R5/3PBN1P/2P2QP1/4R1K1 w - -,f3h4
r4rk1/5pp1/1B6/P1R1p3/4QbP1/2P5/1qP1KP2/3R4 w - -,e2f1
8/p3k2p/1p1rb3/4pp2/PP2B3/4P2P/5PK1/2R5 w - -,e4b7
r5k1/p3q2p/bp3rp1/3pn1N1/2p1p2P/2P1PP2/PP1N2P1/2KQ1R1R w - -,f3e4
r1r3k1/5ppp/8/p7/1pb5/P5P1/3BPP1P/2R1R1K1 w - -,a3b4
8/1pp1kppp/4pn2/1Nb5/Q1P2q1P/5P2/PP1rBP2/5K1R w - -,a4a5
r1br1nk1/pp2qn1p/2pp1p2/8/1PPPP1p1/P1N1N1P1/3QBP2/R2R2K1 b - -,h7h5
6k1/2p2rpn/1r2p2p/3pP2P/2bP4/qp1NQ1P1/1R3P2/1R3BK1 w - -,f2f4
r2r2k1/1bq1bppp/2nppn2/p7/P3P3/2PBBNNP/3Q1PP1/R3R1K1 b - -,c6e5
r1bq1rk1/1p2ppbp/2np1np1/p7/3NP3/2N1BP2/PPPQ2PP/1K1R1B1R b - -,a8b8
1Rn5/3r1k1p/5pp1/p7/2r2P1P/B3R2K/8/8 b - f3,c8d6
5rk1/2r2ppp/8/p3p3/1p1bP1P1/1B6/PPP1R1P1/1K1R4 w - -,g4g5
r5k1/1p2q1b1/p1pr1p2/2PnpQp1/4N3/4P1B1/PP3PP1/3R2K1 w - -,c5d6
7r/1N5p/3kpp2/3p4/1n3P2/3P4/6PP/R5K1 b - -,d6c6
r1b1r1k1/ppqnbppp/2pp1n2/8/2PpP3/2N1B1P1/PP1N1PBP/R2Q1RK1 w - -,e3d4
r1bqkbnr/1p1p1ppp/p1n1p3/2p5/4P3/2NP2P1/PPP2PBP/R1BQK1NR b KQkq -,b7b5:d7d6
6k1/1q3b2/3pp3/1p6/1P1bPQ2/P5B1/B5P1/6K1 w - -,g1h2
1q1r1bk1/1b3p1p/pQ4p1/1p2pN2/1P2nn2/PB4NP/5PP1/B4RK1 w - -,g3e4
8/ppq1r1pk/3b3p/2p5/2QP1P2/P5P1/1P4P1/4RRK1 w - -,e1e7
8/5K1k/4Q1p1/7p/3q1P1P/6P1/8/8 b - -,d4g7
r3b2N/pppk4/2pbp3/7P/6p1/1P5R/PBP2P1P/4R1K1 w - -,h3h4
r2qkb1r/1b1p1ppp/n4n2/2pN4/8/4P3/PP3PPP/R1BQKBNR w KQkq -,f1c4
4r3/2p2kp1/1nr5/p4p1p/2PP1P1P/P3p1P1/2R1K3/2R5 b - -,e8e4
r4rk1/1pq1ppbp/p5p1/4N2n/3R1B2/8/PPP1QPPP/R5K1 w - -,g2g3
2b2rk1/2qn1pbp/6p1/2p1p3/1rQ1P3/1B2BN1P/1P3PP1/3R1RK1 w - -,c4c2
b2rn1k1/2p1bppp/4p3/p1nPB1P1/pr2P2P/2N2N2/1q3PB1/3RRQK1 b - -,b2b3
r2qbrk1/pp2b1pp/2n1pn2/3pN3/3P1B2/3B2P1/PP2NP1P/2RQ1RK1 b - -,a8c8
1B6/5k2/p4p2/3p4/P1pPn2r/2P5/2P3K1/R7 b - -,e4c3
1r6/3q2kp/p2p2p1/2p2b1P/2Pp1P2/1P4P1/P3Q1BK/4R3 b - -,g7f8
r1bq1r1k/p4n1p/2pp1b2/2p2p2/5P2/2NP1N1P/PPP4K/R1B1Q1R1 b - -,c8d7
r3kb1r/1p1b1pp1/pqnppn2/6B1/4P2P/1NN5/PPPQ1P2/2KR1BR1 w kq -,d2e1
r1b1kb1r/pp1p1ppp/1qN1p3/8/8/8/PPPnBPPP/RN1Q1RK1 w kq -,b1d2
r1br2k1/pp2npbp/4n1p1/2p1p3/2P1P3/2N1BNPP/PP3PB1/R4RK1 w - -,c3d5
rnbqkbnr/pp2pp1p/2p3p1/3P4/8/4PN2/PP1P1PPP/RNBQKB1R b KQkq -,c6d5
r2qk2r/ppp1bppp/2np1n2/4p1Bb/2B1P3/2NP1N1P/PPP2PP1/R2QK2R w KQkq -,c3e2
1r6/2r2pkp/R5pb/P7/N1p1P3/2P2P2/1n4PP/3R1K2 w - -,d1b1
rq2kb1r/pQ2ppp1/7p/1n1P4/8/5P2/PP1B1P1P/R4K1R w kq -,b7c6
r2qrbk1/p1p2ppp/3p1n2/8/5PP1/4BQ1P/PPPN4/4RRK1 b - g3,d6d5
2r2rk1/p1pq1ppp/bn2p3/2Q5/2pPPB2/P5P1/P4PBP/R4RK1 w - -,a1b1
r3k2r/pp1qb1pp/4p3/3n1p2/4N3/P4Q2/1P1B1PPP/R3R1K1 w - f6,e4c3
6r1/2pr1k2/5p2/p3p2p/PpP4P/4BP2/4K3/2R5 w - -,c4c5
3r4/2p2pkp/1rB3p1/pPR2n1n/P1PpR3/3P4/5P1P/N5K1 b - -,d8d6
r2q1rk1/pp3pb1/2n1b1pp/2p1p3/5n1N/2PPN1P1/PP2QPBP/R1B2RK1 w - -,e2c2
rnbq1rk1/1pp2ppp/3ppn2/p7/1bPP4/5NP1/PP1BPPBP/RN1QK2R w KQ -,e1g1
2r5/5ppk/2P4p/p2r4/3N1RP1/8/5PP1/5K2 b - -,a5a4
8/2R2pk1/3r2pp/2p5/8/2K4P/P5P1/3n4 w - -,c3c4
1r3rk1/p6p/4pPp1/q3P3/2p2B2/2P1KP2/3Q4/nB5R b - -,b8b3
2r2rk1/p3p1bp/2n1n1p1/2p1Pp2/P1P2P2/1PB2N2/4N1PP/R2R2K1 b - -,c8b8
5r1k/8/pq1P1bp1/1pNQ1p1p/r7/4R1P1/PPPR1nBP/1K6 b - -,a4c4
r1bqk2r/ppp1bpp1/4pn1p/8/3P4/3B1N2/PPPB1PPP/R2QK2R b KQkq -,b7b6
8/pr4pp/5k2/R7/5PP1/8/P6P/6K1 w - -,g1g2
r4rk1/2q1bppp/p3pnn1/P2b4/1p1P4/1P3N1P/3N1PP1/R1BQRBK1 b - -,c7b7
r3k3/2q2p2/p1PbnBp1/1p2p2r/8/P2B4/1PP3QP/R3R2K w q -,d3e4
r2qrBk1/1p1n1p1p/2p1pnp1/1P1p4/P2P4/1Q1BPN2/5PPP/R4RK1 b - -,e8f8
rnbq1rk1/ppp1npbp/6p1/3pp3/2P4P/1PN1P3/PB1P1PP1/R2QKBNR w KQ d6,c4d5
8/8/2n5/8/2P3k1/2r5/4K3/1R6 w - -,e2d2
2rq2k1/5r1p/N1p3p1/1p1p4/PPnPp3/2Q1P2P/R4PP1/2R3K1 b - -,d8h4
5rk1/5ppp/1B6/1p6/8/1P4P1/1b3P1P/4R1K1 w - -,e1e7
4r3/1pn1b1p1/pNrp1pp1/P3k1P1/1BP4P/1P1RP1K1/8/3R4 w - -,g3g4
r7/1p3pp1/2p1b1k1/r1n1p1q1/PQP1P2p/2N2P1P/6P1/R3RB1K w - -,e1d1
6rk/pp1b1r2/2n1p1p1/3pP1b1/P2P1P2/1P1B2R1/3B3P/6RK w - -,g3g5
rnbqkb1r/p2p1ppp/1p2pn2/8/2PN4/5P2/PP2P1PP/RNBQKB1R w KQkq -,e2e4
8/kp6/p5Q1/5p2/4q2p/8/1PK5/3B4 w - -,c2c3
4K3/1R6/2P5/b7/p7/k7/8/8 w - -,e8d7
1qrn4/1p1b3k/pQ1p1p2/P2PpPpp/1R2P3/3BN1PP/1P5K/8 w - -,d3a6
rn2kb1r/pp1b1p1p/1n2p1p1/2p1P1NQ/8/1BPq4/PP3PPP/RNB1K2R w KQkq -,h5f3
1k1r4/pbpp2q1/1pn2r1p/2bB4/8/4NN2/PPP1QPPP/2KR3R w - -,h1e1
1r2r3/2k2b1p/2pp2p1/p1p2p2/2P3nP/1PKNP1P1/P2R1PB1/3R4 b - -,g4f6
3r4/1p6/p1p2kp1/P1P1np2/1P6/4K1P1/2B1R3/8 w - -,c2b1
r1b3k1/pp3pbp/6p1/n3p3/4P2q/2P2Q1P/PBNrBPP1/2R2R1K b - -,c8e6
r5k1/2B1qppp/6n1/1p6/4Q3/4P3/r4PPP/2RR2K1 w - -,e4d5
rn1q1rk1/pp2pp1p/6p1/2p5/4PP2/2P2N2/P1P3PP/R2QK2R w KQ -,d1e2
r5k1/1pp1nrpn/p2p2q1/2PPp1p1/1P4Q1/3N2NP/P4PP1/3RR1K1 b - -,e7f5
r1br2k1/ppn1qn2/2p5/2Pp1PP1/1P1bpB2/2N5/P2Q2BK/3R1R2 w - -,f5f6
br2k2r/2qnbp2/4p1p1/p3P2p/1pN1pP2/2P3QP/PP1BB1P1/R4R1K b k -,a8d5
5qk1/p5b1/1p1p2Q1/5P2/1P6/5K2/P6P/8 b - -,f8f7
4rk2/ppp5/3p1bn1/3P1N2/2P2P2/5K2/PP1B4/7R b - -,g6e7
r1b2rk1/p4pbp/2p3p1/q2p1n2/5P2/2N2B2/PPP2BPP/R2QR1K1 w - -,a1b1
8/1p5R/p1p5/P3P1k1/1P3p2/2Pr1K2/8/8 w - -,f3f2
5rk1/pbp3pp/1p1pp1r1/6qn/2PPPp2/P1PB1P1P/5QPK/2B1RR2 w - -,d4d5
1r1q1r1k/1b2ppbp/pn1p1np1/2pP4/P3PB2/2N2N1P/1PQ2PP1/R3RBK1 w - -,f3d2
r5k1/1bqnbrpp/pn2p3/2ppP3/1p4P1/1P1P1NNP/P1P1Q1B1/R1B2RK1 w - -,c1d2
r1bqkb1r/ppp3pp/2np1n2/4pp2/2P1P3/2NP2P1/PP3PBP/R1BQK1NR b KQkq -,f8e7
