8/5pkp/6p1/4P3/r7/p3K1PP/R7/8 b - -,g7f8
2q2rk1/p3p1Bp/r2p1np1/1p2p3/3NP1PP/1P3P2/P1PQ4/1K1R3R b - -,g8g7
r5k1/1p1qbr1p/p2pb1pn/4p2n/2P1N3/1P1BNPP1/PB2Q2P/3R1RK1 b - -,h6f5
r3r1k1/1b2qpp1/2p2n1p/p3n3/PpBNP3/1P3P2/2QR1BPP/3R2K1 b - -,e5c4
2br1bk1/r1Nq1p1p/pp4p1/3P4/1n6/1Q3N1P/PP3PPB/R3R1K1 w - -,a1c1
4R3/1p3rk1/2p3p1/4Qq2/2P5/1P5P/P4PK1/8 b - -,f5e5
1r1q2k1/3n1ppp/p4N2/8/P1r5/1p1N1PP1/1Pn4P/R2QBR1K b - -,d7f6
3r1k2/3q1b1r/p1pP3p/6p1/P1pQ4/2P5/5PPP/1R2R1K1 w - -,b1d1
4r3/4bkpp/2p2n2/p4R2/r1PN4/3P4/P5PP/2B2RK1 b - -,c6c5
6k1/pp1b1pbp/6p1/3P4/1BB1r3/8/P2N1PPP/2K4R b - -,g7h6
4kb1r/Q2n1pp1/3p1q1p/4pN2/4P3/2N5/PrP2PPP/R3K2R w KQk -,c3d5
2rk4/1q6/4Q3/1b1P4/1p2B3/6P1/1P5P/n6K w - -,e6g8
8/7p/2B5/8/2K2kp1/8/8/8 b - -,h7h5
r5k1/pp4qp/2p3p1/2n1rbN1/2P1p3/1P2R1P1/P3QPBP/4R1K1 w - -,g5e4
8/p4k2/6p1/1p2bpB1/4p3/P1P1K3/bP1N4/8 w - -,e3e2
r2qk2r/p3nppp/1pn1p3/3pP3/Q1bP4/P2B1N2/5PPP/R1B2RK1 w kq -,d3c4
8/8/6k1/4K3/4N3/5r2/8/8 w - -,e4d6
r1b1k1nr/pp3pbp/4p1p1/2q5/8/2P2N2/PP3PPP/RNBQR1K1 w kq -,c1g5
1r2r1k1/p4ppp/3b4/3q4/1P1P2Q1/4B1P1/5P2/1RR3K1 w - -,b4b5
8/5pk1/3pp1p1/2p2nP1/2Pq1P2/3P1Q2/8/5RK1 w - -,g1h2
r1b1kb1r/pp2pppp/2n2n2/2p5/4P3/2N3P1/PPP2PBP/R1BqK1NR w KQkq -,c3d1
r1bq1rk1/pp3pbp/n2p2p1/2pP4/8/P2BPN1P/1P3PP1/R1BQK2R b KQ -,a6c7
r1bqk2r/pp2bppp/2n1pn2/2p5/3PP3/3P1N2/PP2NPPP/R1BQKB1R w KQkq -,c1d2
8/5k2/5p2/3K1B1p/5p1p/5P2/6P1/8 b - -,h4h3
r2q1rk1/1b2bppp/p1npp1n1/P7/1p2PP2/1N1BB3/1PP1N1PP/R2Q1RK1 w - -,d1e1
r2qk1nr/pp2bppp/2n1p1b1/3pP2N/3P4/2P5/5PPP/RNBQKB1R b KQkq -,g6h5
8/K7/1Pk5/7p/8/8/R7/1r6 w - -,a2c2
3rr1k1/pp3ppp/2pq1nb1/5B2/2PP1R2/6N1/PP4PP/3R1QK1 b - -,d6b4
2Q5/5pkp/b2p2p1/3P4/5P2/2p4P/5qP1/7K b - -,f2f1
5nk1/1b2bpp1/4p2p/pB2P3/PpQ1PP2/1P2N3/1B1q2PP/6K1 w - -,c4c1
3bk3/7r/ppn1p3/2p1Pp1p/P1P2Pp1/1P4P1/2N1K1P1/1N1R4 b - -,d8e7
6k1/pp3p1p/4pp2/3p4/3N1P2/7P/PP2RKP1/3r4 w - -,d4f3
5B2/pb1k2p1/1b2p2p/5p1n/8/1P3P1P/P1BNK1P1/8 w - -,d2c4
8/1P5R/1r6/4k3/5p2/7P/2K4P/8 w - -,c2d3
5rk1/p2q2pp/1pp1rp2/3b4/3P4/P1PQ1PB1/1nPN2PP/R3R1K1 w - -,d3a6
7r/p1k4r/1bp2p2/4pN1P/4P2K/3b1QN1/1qnP1PBP/7R w - -,f3d3
5b1k/8/2qp2QB/4p3/8/8/3K1P2/8 w - -,h6f8
2r1k2r/1p3ppp/p3pq2/2bP4/8/1P2P2P/P2NQPP1/R4RK1 b k -,e6d5
r1bq1rk1/ppn1ppbp/2p3p1/2Nn2B1/3P4/1B3N2/PPP2PPP/R2QR1K1 w - -,d1d2
8/1p1k4/p2bp1bp/3p4/8/2PNK3/PP2B3/8 w - -,e3d4
rn1qk2r/pp3ppp/2pbpn2/3p4/2PP1B2/2N1PP2/PP3P1P/R2QKB1R w KQkq -,f4g3
3r1r1k/ppqn1p1p/8/3RPN2/5Q2/1P4P1/P4P1P/3R2K1 w - -,f4d4
1k1r1b1r/ppqb1p2/1n2p1p1/n2pP2p/2pP1P2/P1P2NP1/1PNBQ1BP/1R3RK1 b - -,f8h6
8/8/8/6r1/2k1K3/8/6p1/6R1 w - -,e4f3
5rk1/5ppp/R7/8/1q2PR2/7P/2Pr2P1/5QK1 w - -,c2c4
rn5r/1p2kppp/4pn2/1pb1N3/8/4P3/PP1N1PPP/R1B2RK1 w - -,d2f3
r3k2r/pppq1ppp/1b6/4p3/4N3/P2P2PP/1PPBNP2/R3K2R b KQkq -,f7f5
4r3/1pp1P2p/3bRk2/p5p1/P7/1K6/1P6/4R3 b - -,f6f7
8/2rB4/7p/8/4k2p/8/5PK1/8 w - -,d7e6
8/ppp1r3/8/7p/6N1/1KPR4/PP4k1/8 w - -,g4e3
r4k1r/pp2ppb1/2qp2pn/2p4p/1nP1NP2/1PN1P1PP/PB1PQ1K1/1R3R2 w - -,a2a3
4rb1k/1p5p/p1q1pp2/2p5/8/2NP4/PPP1Q1PP/5RK1 w - -,f1f6
2r2rk1/4bpp1/ppq1p2p/8/4N3/P1PR1Q2/1P3PPP/2R3K1 w - -,c1d1
r1b2rk1/1p4bp/2n1p1p1/p2p4/3q4/5NPP/PP1NK1B1/R1BQR3 b - -,d4b6
2kr4/q5p1/2nb2pr/5p2/1pPPp3/1P2Q1PP/7K/1B1R1RN1 b - -,d6e5
r3kb1r/1pqbnppp/p1n5/3p4/3N4/1P6/PBP2PPP/RN1QRBK1 b kq -,c6d4
r2qkb1r/pppn1ppp/4pn2/3p3b/2P5/1P1P1N1P/PB1NPPP1/R2QKB1R b KQkq -,c7c6
2r1r1k1/pp1n1pb1/6pp/3Pp3/1B6/5N2/PP3PPP/2RR2K1 b - -,e5e4
1br2rk1/1p3pp1/p4qnp/3Rp3/1P2P3/P4NPP/1B2QP2/R5K1 b - -,f6e6
8/p3kp2/3npp1p/8/r1pR1P2/P3P3/1P2BP1P/2K5 b - -,a4a5
r1bqkb1r/pp2pp1p/n1p2np1/3P4/3P4/P4N2/1PQ1PPPP/RNB1KB1R b KQkq -,c6d5
8/p4p2/2R2b2/5kp1/3p1PP1/4r3/PP2PK2/4N3 b - -,f5g6
rr4k1/4bppp/b2ppn2/p1q5/3NP3/2P1B3/1PB1QPPP/RR4K1 w - -,c2d3
r3r1k1/pp1Nq1pp/2p1bp2/8/3PpP2/2N1P2P/PPQ3P1/R4RK1 b - -,e7d7
r7/5pk1/p2Rpp1r/3b4/2P1pP1p/8/PP2B1PP/1K1R4 b - -,d5b7
8/2n3p1/2kp1p1p/1p3P2/1P1KP3/3N4/6PP/8 b - -,c7a6
r1bqr1k1/ppp2pp1/3p2np/4b2B/Q3P3/2NP3P/PP1B1PP1/R3R1K1 b - -,c8d7
8/1p4pk/2q2b1p/p7/P7/3Q3P/6P1/6BK b - -,h7g8
r4rk1/1p2bppp/p1b1pn2/3qN1N1/1n1P4/6R1/PP3PPP/RBBQ2K1 b - -,a8d8
8/5p1p/1p2p3/pB2P3/P3kP2/8/5K1P/8 w - -,f2g3
5rk1/4p2p/3p4/2pPn1p1/4P3/1P4P1/r3R2P/4R1BK b - -,a2e2
1r5k/6p1/8/4RP1p/7P/1P6/6PK/8 w - -,e5e3
r2qk2r/pb2bppp/5n2/3pp3/Q7/2N3P1/PP2PPBP/R1B2RK1 b kq -,d8d7
7R/3r4/p1p1kp2/2K3p1/p2PP3/8/1P3P2/8 w - -,h8c8
4rk1r/2qp1pn1/pp4p1/2pPp2p/2P1P1P1/4Q2P/PP2BP2/1K3R1R w - -,f2f4
2kr1bnr/pp4pp/2p2pn1/q7/2PPN1P1/6BP/P1P3B1/R2Q1RK1 b - -,g8h6
1r6/6p1/5p2/1k1p4/8/2p1P3/R4P2/3K4 w - -,a2a7
5rk1/r2qbppp/p3p1b1/1p1p4/3PnB2/1Q1BP2P/PPR1NPP1/R5K1 w - -,a1c1
2r2rk1/1bq1bppp/p3p3/4P3/1p1NnBPP/7R/PPP1N3/1K1RQ3 b - -,a6a5
3rr2k/1p2qpb1/pR5p/3bn2P/5B2/4P1R1/P2N2P1/3Q1BK1 b - -,d5c6
8/2r2pk1/6p1/6Rp/2P2R1P/6PK/2r2P2/8 w - -,g3g4
r3r1k1/1b4bp/2q3p1/p1p1pp2/2PpP2P/1P1B2P1/PN2QP2/4RRK1 w - f6,h4h5
2k5/7R/4n3/3pn1P1/7P/pp6/2P2r2/2KR4 w - -,c2b3
1r1q1rk1/1p5p/3p4/pPpPbp2/8/1P1PB1PP/4Q2K/1R3R2 w - -,e3h6
1r2r1k1/p1nq1p1p/3p2p1/2pP4/P1B1N3/1P5P/1bQ2PP1/R2R2K1 w - -,e4c5
r1bn1rk1/ppp1q1bp/3ppnp1/1P3p2/2BP1B2/1QP1PN1P/P2N1PP1/R3K2R b KQ -,h7h6
