8/6kp/1n3R2/3PppB1/1r6/7P/5PPK/8 w - -,f6f5
r5k1/pp2qrpp/2b1B3/4B3/3Q1P2/PP5P/6PK/R7 w - -,d4d6
8/3k4/6p1/r1p3Rp/b6P/1N6/2P2PPK/8 b - -,a4b3
2r3k1/5rp1/4Rp2/3q1P1Q/5BPP/1p6/5P2/6K1 w - -,e6d6
r2r2k1/pp3pp1/5n1p/1Nqp1b2/8/3BPP2/PP3QPP/4RR1K w - -,e1c1
r1b2rk1/ppq1pp1p/2p3pb/3pN2n/3P1P2/1QPB2PP/PP1N1P1K/R4R2 w - -,b3c2
r1bqk2r/pp1nbppp/2pp1n2/4p3/P2PP3/2N2N2/1PP1BPPP/R1BQ1RK1 b kq -,e8g8
2r3k1/p4p2/4bp1p/4b3/2P1B3/3p2N1/P1P2PPP/1r1R2K1 w - -,d1b1
r1b1k2r/ppq1bppp/2n1p3/3pP3/3Pn3/5NP1/PP3PBP/RNBQR1K1 w kq -,b1c3
5rk1/pp3r1p/1n1p1p1R/3P1P2/2PB4/1P4R1/P2K4/8 b - -,g8h8:f7g7
r1bq1rk1/pp2ppbp/2n2np1/2pp4/4P3/2PP1NP1/PP3PBP/RNBQ1RK1 w - d6,e4e5:b1d2
8/8/1k6/1p6/3KP3/3P4/2r5/1R6 b - -,b6c6
4r3/1p4p1/2p1r2p/pP1p3P/P4P2/1kPB2P1/3P1K2/R7 w - -,a1b1
8/8/8/4p3/1NRr3P/PP3KP1/5n2/4k3 w - -,b4c2
2rk4/7R/1n2p3/3bP3/3N4/B2K4/7P/8 b - -,b6c4
8/2k5/p1bp4/8/1rp1P1B1/2N1B3/P7/2K5 w - -,g4e6
4r3/kp6/1bpPp1pp/p1q5/P1P1QPP1/2B5/1P6/1K3R2 b - -,c5d6
4rnk1/1p1b1ppp/3p1n2/2qPp3/2P1P3/2B2NP1/2Q2PBP/4K2R w K -,f3d2
r1b2rk1/pp3ppp/2pb1qn1/8/3N1P2/2P1BB1P/PP4P1/3RQRK1 w - -,d4e2
4k3/p3n3/4Q3/4P2p/3q4/P7/5RP1/6K1 w - -,e6f7
4nrk1/2pRbppp/p3r3/1p6/2p2B2/2N5/PPP2PPP/R5K1 w - -,c3d5
6k1/5p2/p3p3/P1p1p2P/5r2/8/5K2/1R6 w - -,f2e3
2r1b1k1/1p2qp1p/p1n3p1/4P3/1P2N2P/P3QN2/5PP1/3rR1K1 w - -,e4f6
r1bqkb1r/pp2pppp/2n2n2/3p4/2PP4/5N1P/PP3PP1/RNBQKB1R b KQkq -,c8f5
2r3k1/pQ3pp1/4p1p1/P2n2q1/R2b2B1/3N2PP/1Pr1RPK1/8 b - -,d5e3
2r1n1k1/3r1pp1/p3q2p/1p3N2/3pPP1Q/P2p1R1P/2P3P1/R5K1 w - -,c2d3
2rr1k2/1p2bpp1/pq1p1n1p/8/2bpP3/P2N1B1P/1PP1NPP1/2QR1RK1 w - -,c1b1
r2qk1nr/pppnppbp/6p1/3p4/3P1P2/1P6/PBP2PPP/RN1QKB1R w KQkq -,b1d2
2r3k1/5pp1/5n1p/1p1P4/1PqP4/R1PpP1P1/5KP1/3Q1N2 w - -,f1d2
2r1rnk1/1pq3pp/2bbpp2/p7/2P1BP2/1P1N4/PB2Q1PP/2R2R1K w - -,e2f3
2rqnrk1/pb1nb2p/2p1p3/1pPp1p2/3P4/1PN2NPB/P1Q2P1P/R1BR2K1 w - -,d1e1
2rr2k1/pb2bppp/1pn5/3n4/4Rq2/P4N2/1B1N1PPP/1BRQ2K1 b - -,f4h6
5r2/1p6/2p2nk1/4R3/3r1B2/P4KP1/1P6/4R3 b - -,d4d3
8/1p2n1p1/2pk1p1p/3b4/3BB2P/1PK3P1/5P2/8 w - -,e4d3
8/8/3p1k1R/2pP4/5K1N/1p4P1/r2n4/8 b - -,f6f7
5k2/p3r2p/1p3rp1/2pBp3/2Pn3P/5PP1/PP1R2K1/4R3 w - -,d2f2
8/5kp1/5pNp/7P/4P1P1/3K2b1/8/8 b - -,g3d6
r3r1k1/1p3ppp/2pbbnq1/p1n5/1P2p3/P1N1N1PP/1BQPPPB1/R4RK1 b - -,c5b3
4rr1k/1p1Qb1pp/pq3p2/8/2P5/1P2P3/PB3PPP/3R1RK1 w - -,d1d5
r4r2/pbpn1qbk/np1p4/1N5p/2PP2pP/6B1/PP1N1QP1/4RRK1 w - -,f2f7
3r1rk1/p1q1b1pp/1p4b1/3PPp2/1P2pB2/8/P2QP1BP/3R1R1K w - -,d5d6
r1br2k1/pp2qp1p/2pb1np1/5p2/2BP4/2N1P3/PP1N1PPP/R2QR1K1 b - -,d6c7
1r3rk1/p4ppp/q1pp1b2/3n4/4R3/1N3Q2/PPPB1PPP/R5K1 w - -,c2c4
6r1/5p2/3qp1k1/p6p/2Q5/7P/P4PP1/4R1K1 w - -,c4e4
8/5p1p/6p1/1kbK4/8/8/6PP/4N3 b - -,f7f5
5r2/6k1/b1p1p3/p2p4/2P5/P7/1P3bPP/3NR1K1 w - -,d1f2
r1bqkbnr/ppp2ppp/4p3/3P4/3n4/3P4/PPP2PPP/RNBQKBNR b KQkq -,e6d5
5r1k/1p5p/p1p5/1PPp3q/P3pPp1/4P2r/3R1PQP/3R2K1 b - -,f8f6
2kr1b1r/1p1n1ppp/p3pn2/1BPp4/3P2b1/4PN2/1P1N1PPP/R1B1K2R w KQ -,b5e2
r2qkbnr/pp1n1p1p/2p1p1p1/3p4/4P3/2NP1QPP/PPP2PB1/R1B1K2R b KQkq -,f8g7
2r3k1/pp1q1ppp/7r/2p5/3p4/P2P2P1/1PR1PPKP/2R4Q b - -,b7b6
4r2k/ppp1q3/7p/1P2p1r1/P1B1Pn2/2P5/2Q2P1B/6RK w - -,h2f4
r1b2rk1/ppqn1ppp/2pb1n2/3p4/P2P4/2NB1N1P/1PP2PP1/R1BQR1K1 b - a3,d6f4
r5k1/p4rb1/3p1qpp/Qbp2p2/8/2P1PN2/PP1N1PPP/R4RK1 b - -,b5f1
r2q1rk1/pb1nppbp/1p4p1/3p4/3P4/3BPN2/PP1BQPPP/R1R3K1 b - -,e7e5
r3k1nr/ppqbbp1p/4p1p1/3pP3/3Q4/3B1N2/PPPB1PPP/2KR3R b kq -,f7f5
r1b1k2r/q3bppp/p1p1p3/1p1nP3/2P2P2/3B1Q2/PP1N2PP/R1B2R1K b kq -,d5e3
r3r1k1/1b3pbp/pq1p2p1/2p5/2Q1P3/3B4/PP3PPP/R1B2RK1 b - -,b6b4
r2r2k1/1p1qbp1p/p1n3p1/3pPb2/5B2/2PB4/P1PNQ1PP/1R3R1K b - -,f5d3
8/p7/k5p1/1p3q2/2R1BB2/1P6/P3K3/8 b - -,f5g4
r2qkb1r/pp3ppp/2n1bn2/1Bpp2B1/3P4/2P2N2/PP3PPP/RN1QK2R w KQkq -,f3e5
1rbq1rk1/p1p2pp1/1p1b3p/n3p3/3P4/2P1B1P1/P1PN1PBP/1R1Q1RK1 w - -,d1h5
3r1k2/p4pp1/1p5p/8/P3n3/2P5/6PP/2RN2K1 w - -,c3c4
8/8/8/3r2p1/2Np4/1P1Pp1B1/P3K1kP/8 b - -,d5f5
b2q2k1/p4rpp/1p3n2/4p3/4P3/3Q1P2/PPPb2PP/R3K2R w KQ -,d3d2
1r3k2/4p3/b2p1pnN/2pP1R2/P3PP2/1r5P/5RB1/6K1 w - -,e4e5
r1r3k1/3bp1bp/3p1np1/Pp1P1p2/8/1Nq3P1/4PPBP/1RBQ1RK1 w - -,c1d2
2kr3r/1bq2p2/p1p2bpp/1p2p3/n3P3/3BNNP1/PPPQ1PP1/1KR1R3 w - -,d2e2
2b1r1k1/1pB2p1p/p3pb2/5p2/P4P2/2P5/1P1RB1PP/6K1 w - -,g1f1
2bQ4/5k2/2p1pP2/1pP4N/1P2p1P1/7P/6K1/q7 b - -,a1b2
rnbq1rk1/pp4pp/2pbpn2/3p1p2/2PP1B2/2NBPN2/PP3PPP/R2Q1RK1 b - -,f6e4
2r1b3/p3kpp1/4p2p/NBbn4/P7/4P3/nPR2PPP/3NB1K1 b - -,a2b4
1n4rk/R3bRpp/2q1p3/4P3/3Q4/1PN5/6PP/7K b - -,e7c5
8/1p5p/2pkbpp1/4p3/p3P2P/2P5/1PNK1PP1/8 w - -,c2e3
r2qk2r/ppp3pp/2n1bn2/8/1b6/2N1P1P1/PP1BNPBP/R2QK2R b KQkq -,d8d7
r1b1kb1r/1p1nqp2/2p2n1p/p3p1p1/P1B1P3/2N1B2P/1PPN1PP1/R2Q1RK1 b kq -,f8g7
8/2k1n3/1p1n4/1P1pK3/N2P4/3B4/8/8 b - -,d6c4
qrb2r1k/3p2bp/2N2pp1/1p2p3/8/1Q1P2P1/P2BPPBP/1R3RK1 b - -,d7c6
rq3rk1/1bpnbppp/1p2pn2/1P6/2pP4/5NP1/2QNPPBP/1RB2RK1 w - -,f3e5
8/8/3b2p1/P1k5/8/3K4/8/1R6 b - -,d6c7
2b2rk1/3pQp1p/2p3p1/8/P7/6PB/q3PP1P/5RK1 b - -,a2a4
