8/2k5/KR6/8/1P6/8/8/7r b - -,h1a1
4kb1r/pb1p1pp1/1p2p1np/4P3/3PN3/PBN2P2/1P4PP/4R1K1 b k -,a7a6
r1b2rk1/pp1nppbp/2pp1np1/q7/2PPP3/2N2NP1/PP3PBP/R1BQR1K1 b - e3,e7e5
2rr2k1/1b2nppp/1q2pn2/ppp1N3/4P3/PP1P2PB/1QRN1P1P/2R3K1 w - -,a3a4
r2q1rk1/pp1n1pp1/2pbpn1p/4N3/3PNP1P/2PQ4/PP1B2P1/2KR3R b - -,f6e4
5nk1/2rq1pp1/Q1n1p2p/3pP2P/3P2N1/Pr3NP1/1P2RPK1/R7 w - -,e2c2
8/b3kpQ1/3p1n2/3PpP2/1r2P1P1/3B4/8/7K b - -,f6e8
r1bqkn1r/ppp3pp/2pb1p2/4p3/4PP2/3PB3/PPPNN1PP/R2QK2R b KQkq f3,c8g4
8/5n2/5Pk1/1p4p1/1R2N3/8/2q2N1P/5K2 b - -,f7e5
r2q2k1/pp4rp/2p2p2/4p3/3pP1bR/3P2N1/PPPQ1PP1/2K4R b - -,d8e7
6kn/6p1/2KB2r1/8/4Q3/8/8/8 b - -,g6f6
r3k2r/2p1qppp/p1b1p3/1p6/1QpPP3/2N3P1/PP3P1P/2KR2R1 w kq -,b4a5
r4rk1/2q2p2/3pbnpb/p3p2p/1p2P3/1N1BNPP1/PPP1Q2P/1K1R1R2 b - -,a5a4
r4rk1/pp2ppbp/1qn2np1/2p5/2bpNP2/P2P2P1/1PP1P1BP/R1BQ1RK1 w - -,d3c4
2r1n1k1/2q2rpp/p1p1bp2/1pQ1p1P1/4P2P/2N2P2/PPP1B3/1K1R3R w - -,h1g1
R1b5/1Rk2p2/3p1n1p/1pnPp1rP/2p1P1p1/2P1N1N1/1PBK1PP1/8 b - -,c7b7
rr2n1k1/1bp1qpp1/n3p2p/1pN1P3/p2P4/5NP1/P4PBP/RQR3K1 b - -,a6c5
2rqkb1r/pp1b1ppp/4pn2/3p4/1nPP4/1P3N2/P2NBPPP/R1BQ1RK1 b k c3,d5c4
r1b1r1k1/5ppp/pnp2n2/4pB2/1P4P1/P3PN2/1B3P1P/2KR3R w - -,f3e5
rnbq1rk1/pp3p2/5n1p/6p1/1bPQ4/2N2NB1/PP3PPP/2R1KB1R b K -,f8e8
r4rk1/pp6/2p1np2/3p1bpN/3P4/P3P2P/1P3PB1/R4RK1 b - -,e6g7
r1bq1rk1/ppp3pp/2np1n2/3Npp2/2P5/3P1NP1/PP1QPPBP/R3K2R b KQ -,c6e7
6R1/5p2/4n3/6k1/1r6/6p1/5PK1/8 b - -,g5f5
r1bq1rk1/pp2ppbp/3p1np1/n1pP4/2P5/P5P1/1P1NPPBP/RNBQ1RK1 b - -,b7b5:f6d7
3r4/p4pk1/1pp1nnp1/4q3/2P1P1Pp/1P5P/P5B1/1N2QR1K b - -,d8d3
r2q1rk1/pb3ppp/1pn2n2/3p4/1b6/PNN1P3/1PQBBPPP/R3K2R b KQ -,b4e7
8/1R6/8/8/3K4/k2N4/8/7r w - -,d3c5
8/p5k1/1r1q3p/4R1pP/8/P1Q5/5PP1/6K1 b - -,g7h7
r4rk1/ppp3pp/2pb1q2/5b2/2N5/3P4/PPP1QPPP/R1B2RK1 b - -,a8e8
1kr1r3/1p6/1n1n2p1/p2Ppp2/1q5p/1BN4P/PP1Q1PP1/K2RR3 w - -,c3a4
8/p5pk/1p2q1p1/3n3r/1B1Pp3/P3P1Q1/5PP1/2R3K1 w - -,b4d6
8/8/p3k1n1/1pp1p2n/4P2p/PP2NP1P/2P1NK2/8 w - -,e3d5
2r3k1/1b2p1q1/4P1pp/pB1p1pQ1/1p6/1P5P/P4PP1/4R1K1 w - -,g5f4
8/7R/3pk3/8/4K2B/8/8/3r4 b - -,d6d5
1n6/5p2/4pk2/pr1p2pp/N2P4/1PR1PK2/5PPP/8 w - -,c3c8
6r1/p1pk1r2/1p1b2p1/3Ppp1p/2P1P1bP/2P1B1P1/PK3R2/4RB2 w - -,f1d3
r1b2rk1/1pqn1pbp/p2p1np1/8/P1BP4/2N2N2/1P3PPP/R1BQ1RK1 w - -,c4a2
1rb2rk1/3q1pb1/p2p2p1/2pB3p/N1PnPP2/2B3PP/RP5K/R4Q2 b - -,d4c2
rn2k2r/pp2b1pp/2pq2b1/3pBP2/6P1/2N4P/PPP1Q3/2KRR3 b kq -,d6d7
4r1k1/6pp/2q5/p1Nnpp2/3P4/1P1Q1PP1/6KP/4R3 b - -,e5d4
2rq1rk1/1p2bppp/pn1p1n2/3Ppb2/PPP5/2N1BP2/3NB1PP/2RQ1RK1 b - -,b6d7
2r3k1/2rbqp1p/2Np2p1/1pnPp1b1/p3P1P1/P1B2P1P/1PB1Q1K1/3R1R2 b - -,d7c6
3r1rk1/p1q1b1pp/1pp3b1/4Pp2/2PPpB2/8/PP1QP1BP/3R1R1K w - -,d4d5
8/2R2pkp/4p3/p3P1p1/r7/5PK1/5P1P/8 b - -,a4b4
5k2/2r3pp/p1b5/1p1p4/1n6/4R3/PP3PPP/2R3K1 b - -,d5d4
8/5knQ/1p3qpP/p1p5/P5B1/3r1p1K/5R1P/8 w - -,h6g7
1r4k1/BP5p/Q2p2p1/3P2q1/4p3/1PN2pr1/P1R2P2/6K1 w - -,f2g3
2r4r/p4pk1/n2p2pp/3Pb3/2Q5/1RN5/2qB1PPP/3R2K1 w - -,c4a6
3r4/p1q1k2p/1pp1bnp1/5p2/2PRp3/1PN1Q1PP/P3PPB1/6K1 w - -,g3g4
r1bqkb1r/pp3ppp/2n1pn2/2pp2B1/3P4/4PN2/PPP2PPP/RN1QKB1R w KQkq -,f3e5
2k1rr2/1pp5/p1pb4/7p/3Pp1qp/1PN1RbPQ/PBP2P1K/4R3 b - -,c8b8
4rrk1/2pq3p/1p1p2p1/p3b3/2P5/P1Q3NP/1P2RPP1/4R1K1 w - -,c3d3
5rk1/6rp/1p2nq2/pP1bN1p1/P1BPpp2/Q7/2R2PPP/2R3K1 b - -,d5c4
r4r2/npqbb2k/p2p1n1p/4p1p1/PPN1Pp2/1BP4P/1B2QPPN/R2R2K1 w - -,c4d2
rnbq1rk1/5pbp/pp1p1np1/2pN2B1/2P1P3/5PN1/PP1Q2PP/R3KB1R b KQ -,c8e6
2rr2k1/1p1qbpp1/4bn1p/pP1p4/3Q4/P1N1PB2/1B1R1PPP/R5K1 b - -,c8c4
8/7k/5K1P/5P2/8/5r2/8/3R4 w - -,d1d4
R7/5ppk/pb1r3p/1p6/1Pp5/2B2PP1/1PP4P/5K2 b - -,d6d1
5rk1/R4ppp/4pb2/3pn3/2b5/P5P1/R2B1PBP/1r2N1K1 w - -,a2c2
8/4pBkp/4P3/2p1bppP/8/8/5K2/8 b - -,g7f6
5r2/1R3p2/p2ppb2/6k1/8/8/PP4PP/5RK1 w - -,g2g3
8/5k1p/p3rp2/1P3pp1/2N5/2B2PK1/1P6/8 b - -,a6b5
3k4/3bb2p/3p4/3Pp2B/1PP1Pp2/3N4/4KP2/8 w - -,e2d2
r4rk1/p1qnppbp/1p1p2p1/3b4/3BP3/1B6/PPP1QPPP/R2R2K1 w - -,e4d5
r1rq2k1/p3bppp/2n1pn2/1p1p4/2pP1B2/2P1PN2/PPQN1PPP/R3R1K1 b - -,f6h5
4kn2/R7/3p1p2/2pPpPpP/P1p1P3/1nP5/8/3B3K w - -,h5h6
r1bqk1nr/pp3pb1/2np2p1/2p1p3/2P1P1Pp/2NP3P/PP2NPB1/R1BQK2R b KQkq -,g8e7
8/pk6/8/3N4/1R6/3p2K1/PP2r1P1/4n3 b - -,b7c6
4r2k/pp4p1/1nb2r1p/7Q/8/2N5/PPB3qP/1K1R3R w - -,c3e4
8/prk2p1p/R1p1p3/1r4p1/RPKP2P1/7P/1P3P2/8 w - -,c4c3
r2qk2r/1b1n1pp1/pp2p1p1/3pP3/3N4/4RN2/PPPQ1PPP/R5K1 w kq -,a1e1
4r1k1/6b1/1p2n1N1/pP1P2P1/r3n3/6B1/4N1R1/5RK1 b - -,e4g3
2r3k1/5ppp/pp2p3/2r5/1P1NRnP1/7P/1PPR4/2K5 b - -,c5c4
8/1R6/1k1b1n2/7p/1p6/5BP1/1Nr1PPK1/8 b - -,b6a5
r6r/1p1nk1p1/p2bpn1p/2p1p3/4P3/1P1NBP2/P1P3PP/R2NK2R b KQ -,h8c8
rn5k/p4ppp/1p1Brb2/3p4/8/6PQ/PP3P1P/R5K1 w - -,d6f4
rq2r1k1/1b1n1pp1/pb1p1n1p/1ppP4/4PPPP/1PN5/PB3NB1/R2QR1K1 b - -,c5c4
r2r1bk1/5q2/5pp1/p1p1p2p/3NP1bP/2Q5/PPP3P1/1K1NRR2 w - -,d4f3
1r2q2k/3n1pp1/2Npb2p/1Pb1p3/2P1P3/R3N1P1/5PBP/3Q2K1 w - -,a3d3
2k3rr/pp1b4/5pnp/3p1P2/q1p3P1/P1P4B/2PB4/RQ3RK1 w - -,f5g6
2rr2k1/1pq1bppp/p2pp1b1/2n1n3/3NPN2/3BBP2/PPPQ2PP/R2R2K1 w - -,d3f1
1B6/8/8/bb1k1p1p/7P/5PP1/6N1/3K4 w - -,g2f4
5r2/qp1b2bk/2ppn1pp/1P1N4/2P1p3/1N2Q1P1/4PPBP/5RK1 b - -,a7e3
r1b2rk1/p3nppp/1q2p3/2bp4/8/1NP5/PP2BPPP/R1BQ1RK1 b - -,c5d6
r2q1rk1/pp1bnpbp/3pp1p1/2p5/2PnPP2/2NP2P1/PP2N1BP/R1BQ1R1K w - -,g3g4
7r/1p2k2p/2pN3R/p7/P2b1n2/1B5P/1P4PK/8 b - -,d4b2
2kr1bnr/ppp5/4q3/4Nbp1/3n1P1p/P1NP3P/1P1BP1B1/R2QK2R w KQ g6,e2e3
1brk4/1r1q1p2/R1p1p1p1/1pP3Pp/1P1PbP1P/6B1/R6K/7Q w - -,h1e4
6k1/p1pr2Pp/1p2p3/8/4pP2/4P3/PP1r2PP/2R2RK1 w - -,c1c4
