8/pbR4k/3r2pp/1B3p2/8/7P/P4PP1/6K1 b - -,h7h8
r4rk1/1bq1bppp/p2p1n2/2p1pP2/2P1P3/2NB4/PPN1Q1PP/3R1RK1 w - -,c2e3
r3kb1r/1b1n1ppp/p3pq2/8/Pp1p4/1P1BPN2/5PPP/R1BQ1RK1 w kq -,c1b2
5rk1/4q2p/1pnp2p1/2pR4/2P1P1Q1/1P4P1/6BP/6K1 b - -,c6d4
1rbq1rk1/4bppp/p1n5/2p1p3/P3N3/2pPP1NP/BP4P1/R2Q1RK1 w - -,b2c3
4b3/5kp1/2p2q1p/2Qp4/1P2p3/2P4P/4NPP1/6K1 w - -,e2d4
r1bqr1k1/1ppn1pb1/3p1n1p/p2Pp1p1/2P1P3/2N2NB1/PP2BPPP/R2QR1K1 b - -,f6h5
rkb1r3/p1p4p/1pP4N/3n3P/4p3/1P2P1P1/PB1K1nB1/5R1R b - -,f2h1
r2qk1r1/1bbn1p2/2p1p1p1/pp4P1/2n1NP2/P2QB2B/1PP5/2KR2NR b q -,b7c8
8/3k4/4pppB/b2p4/3P3P/2PR4/5PK1/4r3 b - -,e1e4
r1bqr1k1/ppb2ppp/5n2/2pp4/8/1PPBP2P/P2NQPP1/R1BR2K1 b - -,d8d6
3r2k1/p3bp1p/2p1p3/4P1p1/P7/1P2B3/5PPP/1R3K2 b - -,a7a6
R7/P4p2/4p3/4Pkp1/7p/7P/r3n1PK/1R6 b - -,e2g3
8/3k4/8/6NK/8/4b2P/6P1/8 w - -,h5g6
r2r2k1/ppp2ppp/2n1b3/3nP3/4q1P1/P1B2N1P/1P2PPB1/R1Q1K2R w KQ -,c1b1
1r1q1rk1/1pp1ppbp/p2n2p1/n1pP4/4PP2/P5P1/1PQ1N1BP/1RB2RK1 w - -,e4e5
8/r7/p4k2/2RP2p1/2N3Kp/8/5P2/8 b - -,a7d7
r1b2n1k/1p3nqp/p1p3p1/2P3N1/2Q2P2/2N5/PP4BP/3Rr1K1 w - -,d1e1
r1b2rk1/2q2pb1/p4np1/1ppPp3/4P3/2N1B1Pp/PP2BP1P/2RQ1RK1 b - -,f6d7
1r1q1rk1/4ppbp/ppnp1np1/8/P1NpP3/2P2BPP/1P3P2/R1BQ1RK1 w - -,c3d4
3r2k1/pbpP1ppp/1p1b4/1q6/R2Q4/1P2P1N1/P4PpP/2R3K1 w - -,a4a7
5rk1/6bp/3pn1p1/2pN4/1PP1PpPq/P4P1P/5PK1/1RQ1R3 b - -,e6d4
4R3/pp3Rbk/6pp/8/3p2P1/1P5P/P4P2/2q2K2 w - -,e8e1
1nrqr1k1/5pp1/p2p3p/1p1P4/2p1P3/P1P4P/BP3QP1/4RRK1 b - -,d8e7
r2qr1k1/pp3pbp/2p3p1/5b2/2P5/2NPQ1P1/PP3PBP/R2R2K1 w - -,e3d2
r1bq1rk1/pp1pnppp/3p1b2/6B1/2B1R3/5N2/PP3PPP/R2Q2K1 b - -,d6d5
r2r2k1/1p2qppb/1Bp2n1p/p3b3/P3P3/1P1R2P1/N3QPBP/2R3K1 b - -,d8d3
1rb5/4kpbp/p2pp1p1/2p5/P1N1P3/1P1BB3/2P3PP/2KR1R2 w - -,e4e5
3r2k1/p1Q2pp1/8/4P1p1/3N4/1P1qP1bP/P5P1/2R4K b - -,d8e8
1k5r/ppp3Rp/8/nB2N3/3B4/2P2P1P/8/1q2K3 w - -,e1f2
r1bq1rk1/pp3nbp/2n2pp1/3pP3/8/2PB1NB1/PP1NQPPP/R4RK1 b - -,f6e5
5r2/q2bb1k1/1n1p2pp/3Pp3/1pN1P2P/1P4P1/2RQB1K1/2N5 w - -,c1d3
r3kbnr/1pp2p1p/p2pbqp1/8/P1B1P3/4Q3/1PPN1PPP/R1B1K2R w KQkq -,e1g1
8/8/3k2N1/1p1n1K1P/5PP1/8/8/1r6 w - -,h5h6
r3bbk1/N5p1/p3pp1p/1p2n3/1P2P3/P3BP2/4B1PP/2R3K1 w - -,f3f4
8/8/6n1/3k3p/p1p2p2/B1P2P1K/8/8 w - -,h3g2
2bq1rk1/2n1bppp/2np4/1pp5/3PP3/4NN2/1PB2PPP/2BQR1K1 b - -,e7f6
5rk1/5pp1/2B2n1p/1Pq5/8/3R1QP1/5P1P/6K1 w - -,f3e3
8/pp6/3bpk1p/7P/4n3/P2K1N1N/1P6/8 b - -,e4g3
3r1rk1/pp3nbp/4p1p1/q3P3/4pPP1/7P/PP2Q1K1/R1B1RB2 b - -,g6g5
2r2b1r/pp1b1k2/3p1n1p/4p1p1/5p2/1NP1PN1P/PP3PPB/3RR1K1 b - -,h8g8
2r2rk1/1b2ppbp/6p1/pp1p1P2/2pPP3/2P3N1/PPB3PP/R4RK1 b - -,d5e4
2Qb3k/8/p2p4/3Pp1p1/3qb3/6P1/P2B3K/4R3 w - -,c8d8
r1b2rk1/ppq2pbp/1npp2p1/6B1/3P1QP1/1B3N2/PPP2P1P/2KR3R b - -,c8e6
2r1r1k1/1bq2pb1/pn1p1np1/1p2p1Np/3PP2P/1PPB2N1/Q4PP1/2BRR1K1 w - -,c1b2
8/8/R3p3/4kp2/7P/2r2K2/P5P1/8 w - -,f3f2
1n6/3q1pk1/1p2p1pp/3pP3/3P1P2/1NQ1K2P/1P4P1/8 b - -,d7b5
r3r1k1/b1B2p2/b1p2q1p/p1Np2p1/P2N4/5P2/1P1Q2PP/2R2RK1 b - -,a6c4
8/p3kp1p/1p3p2/3Pn3/2PK1B2/P6P/b3B3/8 b - -,e7d6
r1r3k1/1p3pp1/3bbn1p/p2pN3/3PP3/1B3PB1/P5PP/4RRK1 w - a6,e5g4
6R1/1r6/pk1P4/3KP1p1/3N4/r7/8/8 w - -,e5e6
4r1k1/1p4p1/3R1b1p/p7/4q3/P6P/6P1/1Q4BK w - -,b1b3
r7/1p5k/7p/1Pq2pp1/4b3/P4NP1/4PP1P/2Rr1BK1 w - -,c1c5
8/5p2/6pk/1p2Q1P1/2p5/2P2q2/1P1K4/8 b - -,h6h5
r4qk1/3nb1p1/2p4p/1pPp1p2/r2B4/2Q1PN1P/1P3PP1/2R2RK1 w - -,b2b3
r3r1k1/5pp1/1pp1bn1p/q3N3/2pP4/4PP2/P1Q2BPP/R1R3K1 w - -,e5c4
7Q/p1p1kqp1/4r1b1/1p2P1R1/4p3/2P1B3/PP3P2/2K5 w - -,h8c8
3Rr1k1/pbq2pp1/2p4p/1p2P3/5P2/2P3P1/P1Q3BP/R5K1 b - -,e8d8
rn3rk1/pb2bpp1/1ppPp2p/5q2/2PP4/P1N2NP1/1P3PBP/R2Q1RK1 b - -,e7d6
rn1qkb2/1p5r/2pp2pp/pN1b1p2/4pB1P/6P1/PPP1PPB1/R2QK2R w KQq -,c2c4
1r6/p3kpbp/2bp4/1p2p3/4P3/q1PQ2P1/P1P3BP/1K1R3R w - -,b1a1
6k1/4bpp1/1Q5p/4P3/1pP3qP/r4bP1/3B1PBK/4R3 b - -,f3g2
1r1q1rk1/R5p1/3p3p/1b1Pp1b1/1P6/NQ3PP1/5B2/4R1K1 w - -,a3b5
r2q1rk1/6bp/pp1p2p1/5P2/2Pp1n2/1P3Q1P/P1N2PP1/1R2RBK1 b - -,f8f5
1r1q1rk1/ppn1ppbp/3p1np1/2pP4/P3PP2/2NBBR1P/1PP3P1/R2Q2K1 b - a3,a7a6
1r1q1r1k/4b1pp/1pBp1nb1/pP1Pp3/P1N1p3/2Q1B2P/5PP1/2R2RK1 b - -,f6h5
6k1/1pp3b1/p2p2p1/3Ppr1p/1PP5/4B1P1/P3K2P/7R w - -,a2a4
r4r1k/pp1bq1pp/2p1pn2/bPPp1p2/P2PnP2/3BPNP1/1BQ1N2P/R4RK1 w - -,f3e5
2q2rk1/4b2p/r2pb1p1/6P1/p2RP3/P3B3/1PPQ1P2/3R2K1 w - -,g1h2
r2q1rk1/2p1bpp1/1p1p2np/P1nPp3/P1P1P3/2N2N2/2Q2PPP/R1B2RK1 b - -,a8a5
4rr1k/ppqn1ppp/2p5/4b3/3P2Q1/P1N4P/BPPB1PP1/4R1K1 b - -,d7f6
8/7k/1p1q2p1/3P4/3p2Pp/P2PbQ1P/6K1/5R2 b - -,e3h6
8/4k1p1/3p4/2nPp3/p3P1PP/1p6/3K4/1B6 w - -,d2c3
3r1rk1/pp4bp/2p1b3/2P1ppq1/1P1n4/P3N3/3R1PPP/BR1Q1B1K b - -,f5f4
r7/7R/B3p1kp/1P1n1pp1/8/4PP2/5P1P/6K1 w - -,h7d7
8/8/1P1pk1pp/1r2Pp2/8/7P/6P1/3R1K2 b - -,d6e5
r2q1rk1/ppp1n2p/3pbnpb/2PPp3/1P2Pp2/2N2BP1/P4P1P/R1BQ1RK1 w - -,d5e6
r4rk1/4p1bp/1n1p4/q1pP2p1/4P1n1/1PN3P1/P1Q3KP/2R1RNB1 b - -,g7c3
rr4k1/1pq2ppb/4p2p/2NpP3/1Q1P4/P1R5/5PPP/R5K1 b - -,c7e7
8/k2K3r/2P5/8/8/8/4R3/8 w - -,e2e7
6k1/p2r1p2/7p/1p1pPp1P/1PnP1P1b/P7/2R5/4B1K1 w - -,e1h4
r3k2r/1p1b1ppp/p3pn2/n1b3N1/P7/2P3P1/3NPPBP/R1BR2K1 w kq -,g5e4
1R6/5p1p/1P3k2/4pp2/2b2P2/1r4N1/6PP/6K1 w - -,f4e5
