8/6p1/1k6/p7/Pp6/1PnB4/1KPr4/4R3 b - -,d2d1
r1b1k2r/1pp1qppp/2np1n2/p3p3/2PP4/P2BPN2/1PQN1PPP/R4RK1 b kq -,c8g4
6k1/1p3ppp/p4n2/8/8/P7/1P3PPP/3N2K1 b - -,g8f8
3R3R/5p2/r3k3/1bp1P1Pp/rB3K1P/2P5/8/8 w - c6,h8h6
1r5k/1p1bq1pp/p2b1p2/1n1P4/8/3Q2P1/1B2NPBP/2R3K1 w - -,c1c4
2Q2bk1/8/1Bp1n3/4p2q/1P2Pp2/3P1P2/2PN2r1/2K2R2 b - -,h5g6
3rn1k1/1ppqrpbp/p4np1/3P4/P2Bp2N/1P4PP/1Q2PPBK/2RR4 w - -,b2a3
2rq1rk1/pp1nbppp/2p1pn2/3p4/2PP2b1/PP2PN2/1B1NBPPP/R2QK2R w KQ -,e1g1
r1bqrnk1/1p3ppp/2p5/1p6/4PB2/3P3P/PPQ1N1P1/R4RK1 b - -,f8g6
rr6/4kp1p/pn1p2p1/3Pp1P1/1P2Nn2/4RP2/PP5P/1K1R1B2 b - -,b6d5
3r4/p1n2p2/2p2Pkp/6p1/1PP1N3/2K5/P5PP/5R2 w - -,e4c5
8/4r1k1/6p1/7p/3R3P/5P2/6PK/8 w - h6,d4d6
r1b3nr/3kb1Rp/p2q1p2/1ppQ4/4P3/8/PPPN3P/2K3R1 w - -,d5a8
2kr4/Bbqn3p/R7/Q3p1p1/5p2/2P1p1P1/1P3P1P/R5K1 b - -,c7c4
r2q1rk1/ppp1npbp/2npb1p1/4p3/2P1P3/2NPB1P1/PP2NPBP/R2QK2R w KQ -,d1d2
2r1k3/1bq2p2/p2p1n1r/1p2pP2/2n1P1p1/P2Q2N1/1PPN2BP/1K1R3R b - -,e8e7
r1bq1rk1/3nppb1/p2p1npp/2pP4/2B1P3/2N1BN1P/PP3PP1/R2Q1RK1 b - -,a6a5
1rbq1rk1/2n1ppbp/pp4p1/2pPn3/P4B2/2N4P/1PP2PP1/R2QRBK1 w - -,f4e5
r2qkb1r/ppp1nppp/2n1b3/4P3/2Pp4/PP3NP1/4PP1P/RNBQKB1R b KQkq -,e7f5
2rr4/pbR3k1/1p1n4/5p2/1p2p1p1/P3B1Pp/4BP1P/2R2K2 b - -,c8c7
3r3r/Ppkn1pp1/2p4p/4p3/8/1P4P1/PB2PPKP/R1R5 b - -,d8a8
r3r1k1/pp1nqpp1/2p4p/5b2/3Pp3/P3P3/1PQNBPPP/R3K2R w KQ -,b2b4
r1b1r3/pp2qpkp/2p2np1/2p1p3/4P3/2NP1N1P/PPPQ1PP1/R3K2R w KQ -,e1g1
5r2/p1n1ppk1/2qp2p1/3RPb1p/7P/1Np2PQ1/PP4P1/2KR4 w - -,d5a5
r1bq1rk1/pp1nppbp/5np1/2pp4/2PP4/1P1BPN1P/P2N1PP1/R1BQ1RK1 b - -,b7b6
r1b2rk1/pp2qppp/2p2n2/4b3/2B5/2N1P3/PPQ2PPP/R1BR2K1 w - -,c4e2
r4r1k/4p1bp/2p3p1/p3Pq2/P1Q5/2N5/4RPPP/3R2K1 w - -,c4c5
6k1/1p3pp1/2nbr3/p2p1q1p/3Pb3/PP2Q1PP/1B3P1N/R4BK1 w - -,a1e1
5r2/4ppk1/3p2p1/3Pn3/1p2P3/6P1/5KBP/R7 w - -,f2e2
r1b2rk1/p1qn2bp/2p2p2/6p1/1p1PpPP1/4B2P/PPPQN2N/R3K2R w KQ -,d4d5
4k2r/1r2bpp1/p6p/1p1bB3/8/5N2/PP3PPP/R3R1K1 w k -,f3d4
4n3/2kp4/1p6/3Pp1p1/4P1P1/5B1r/4K3/2R5 b - -,c7b7
r2q1rk1/1p4pp/p2pp3/n1p5/P3P1b1/2P2N2/1P3PB1/R1bQRNK1 w - -,a1c1
8/p3k1pp/1p6/8/P1R2K2/1r4P1/1P5P/8 b - -,e7d6
r3kb1r/1bqn1p1p/p2p1p2/3P4/1p1N1PPP/5Q2/PPP5/2KR1B1R b kq -,e8c8
8/3Q2pk/4p3/4Pn2/1P5P/1q4B1/2r2P1K/3R4 w - -,d1d3
4rrk1/1p1q1p2/p2p4/2pPb1p1/P3P1Pn/7P/1P1QN1B1/4RRK1 b - -,f7f6
2rr4/1b2qpk1/p2p1npp/1p2p3/1P2P2N/2P1b1PP/P1BRQP1K/3R4 w - -,e2e3
4k3/6K1/3r2p1/8/5RP1/1b2B3/5P2/8 w - -,f4e4
r4rk1/ppq1pp1p/6p1/1Bn5/8/Q1P1P3/P4PPP/R4RK1 b - -,f8d8
8/pp3bbk/3R1N1p/4ppp1/7P/5P2/PPP5/1K6 b - -,g7f6
r2q1k1r/p1n1bppp/8/np1pN3/QP2N3/P7/5PPP/R1B2RK1 w - -,a4a5
r1bq1r1k/bpp4p/p1np3p/4pP2/8/1BPP1N1P/PP2RPP1/R2Q1NK1 b - -,c8f5
1r2r1k1/2p2ppp/1b3n2/4P3/8/5B2/1P3PPP/R1B2RK1 b - -,e8e5
3Rn3/1p3pk1/6p1/1rp4p/1p2PK1P/1P3PP1/P7/2N5 b - -,e8c7
r1b2rk1/1p2p1bp/p1npn1p1/4qp2/1PP1P3/2N1BP2/P1NQB1PP/2R2RK1 w - -,c3d5
R3b3/4k3/4p2p/7r/3KB1p1/8/8/8 b - -,h5g5
rnq2rk1/p1p2pbp/1p1pp1pB/8/2PP4/6P1/PP1QPPbP/R3NRK1 w - -,e1g2
6k1/1pqnr2p/p1n2bp1/P1p1p3/2Np4/3P2P1/1PPBQPBP/R5K1 w - -,h2h4
8/5pk1/4p3/3pP3/R2P2p1/P5P1/1r1r1PK1/5R2 b - -,b2a2
r4rk1/1pqbbppp/p2p1n2/4p3/3BPP2/P1N2B2/1PP3PP/R3QRK1 w - -,d4e3
5r2/2p2r1p/p2bR3/2pR1p2/1kp5/1P3P2/P4KPP/2N5 w - -,a2a3
R7/3q1ppk/N7/1pb5/4p1r1/P1P5/2P1QP2/5K2 b - -,g4h4
4r1k1/1p2rpb1/1q1p2pp/p1nP4/2Pp1B2/P2B4/1PQ2PPP/1RR3K1 w - -,b2b4
r5k1/pn2b1p1/1p3p1p/4p2P/8/P1N1P1B1/1P3PP1/3K3R b - -,g8f7
r4rk1/1p2qppb/4p2p/2P4P/p1P5/4Q1N1/nP2BPP1/3R1RK1 b - -,a2b4
1r4k1/2p1qp2/pb1p1n2/1p1Prb2/P3P2B/2N2Q2/1P3PPP/R3R1K1 w - -,h4f6
8/2B5/3r2kp/4pp2/2Rr2p1/P5P1/6KP/8 w - -,c4d4
r1r3k1/pb1n1qbp/1pn1p1p1/3pPpB1/3P3P/PP1BQNP1/3N1P2/R1R3K1 b - -,c8c7
3rr1k1/1pb5/p2q2bp/6p1/3Bpn2/2P3N1/PP1QN1PP/3R1RK1 w - -,d2e3
1Rb5/2r2pkp/p3n1p1/R7/8/P4PP1/4PK1P/8 w - -,b8b6
4k3/8/p1bpBB2/8/1rp1P3/2N5/P7/2K5 b - -,c6d7
8/8/5k2/3B3R/4P1Kp/8/6r1/8 w - -,g4h4
2b5/5p2/p1k2Npp/1p6/5PPP/P1nB4/5K2/8 b - -,a6a5
8/6bk/1p1pN1q1/2PP2pp/1P5r/3Q3P/5PK1/3R4 b - -,g6d3
2r5/5pkp/p1pR1n2/8/2P5/1PK3P1/P3R2P/8 b - -,f6e8
r3r1k1/2p1npp1/pp1pqn2/3Np2p/P1P1P3/1Q1P3P/1P3PPN/R4RK1 b - -,e7d5
4R3/3k1K2/5P2/8/8/8/8/6r1 w - -,e8e2
r2qrbk1/pp4p1/2n1pn1p/3p4/5P2/P1N1B1PP/1P2P1B1/2RQ1RK1 b - f3,d8a5
rn1q1rk1/1bp2ppp/4pn2/2Pp4/3Q1B2/P4NP1/1P1bPPBP/RN3RK1 b - -,d2f4
8/8/2k5/1R3p2/4p1pB/1P1nK1P1/5r2/8 w - -,b5b8
1r6/5KP1/3k4/8/8/8/8/8 b - -,b8b7
rnb1kb1r/1pqp1ppp/p3pn2/8/2PN4/P5P1/1P2PP1P/RNBQKB1R w KQkq -,b2b3
2b1k2r/r1p2pp1/p1N4p/Pp1n4/8/2P4P/1P3PP1/RN3RK1 b k -,a7a8
2b1r1k1/1p3pbp/1qpp2p1/2n5/1nPNP3/1PB2PP1/1r1QN1BP/5R1K w - -,c3b2
2r1k2r/1bq1bppp/p2pp3/1p2n1P1/4P3/PNN1BP2/1PP2Q1P/2KR3R w k -,e3b6
1Rr3k1/5p1p/pR2bnp1/2n5/2p1P3/2N2PP1/P3K2P/8 b - -,c8b8
3rr1k1/1p3ppp/1qp1p1b1/p2n4/2BPNP1b/2P3N1/PP3RPP/2QR3K w - -,c4d3
r7/bp3p1k/3R4/2P1pp1P/1p2pq2/1Q6/P7/4K1R1 b - -,a8f8
8/5p2/p4Pk1/R2P2p1/8/1P4PK/3r4/8 b - -,d2d3
