8/8/8/5pk1/3R4/1P6/P1p2p1r/2Rb1K2 b - -,d1g4
r5k1/1q1nbppp/1pp1pn2/2Pp4/1PbP4/r1NNPPB1/2Q1B1PP/1R3RK1 b - -,f6e8
8/2r1k2p/6p1/P2RPp2/5P2/r5P1/P2RK2P/8 b - -,c7b7
r1bqr1k1/1p1p1ppp/2p2n2/p7/1nP2N2/2N3P1/PP1QPPBP/R3K2R b KQ -,d7d6
8/6p1/8/4p3/1p1k2PP/4Nb2/3K4/8 b - -,d4e4
r1b1k2r/pppp1pbp/2n2np1/4q1B1/3NP3/P1N5/1PP1BPPP/R2QK2R w KQkq -,d4f3
8/p1r5/8/5k2/P1p1p2p/1PRbK2P/8/2R5 w - -,b3c4
r3r1k1/3b1p1p/3p1n2/1p1P1P2/3b4/2N3PK/1PBB4/4RR2 w - -,g3g4
2kr1b1r/1ppq1b1p/p1p2pn1/4p1p1/1P2P3/3PBP1P/P1PN2PN/RQ3RK1 w - -,a2a4
r4rk1/pp1bbppp/1qnppn2/8/2PN4/P1N1P1P1/1P3PBP/R1BQ1RK1 w - -,b2b3
2r1q1k1/p4pp1/1bN1p2p/8/2Q5/P5PP/1P3P2/2R3K1 b - -,c8c7
r3r1k1/5ppp/p1n1q3/4p3/8/P1B3P1/1P2QP1P/3RR1K1 b - -,h7h6
2r1k2r/1p2bpp1/pqbp1n2/4p2p/4P3/2B3P1/PPPQ1PBP/R2NR1K1 w k -,c3a5
2kr3r/1pqbn1b1/p1np2p1/4p1P1/4NP1p/2PQB2P/PP2N1B1/1R3RK1 b - -,d7f5
4r2k/1p5p/2b4r/p1pNPR2/2P2p1q/1P1R1Q1B/P7/5K2 b - -,c6d7
5r2/8/1R3pp1/4k2p/4P2P/5PK1/6P1/8 w - -,b6b7
rnbq1rk1/ppp1ppb1/3p1npp/8/3PPP1B/2N5/PPP3PP/R2QKBNR w KQ -,g1f3
2kn2rr/1pq1b2p/p3p3/2pp4/3PnR2/2P1N3/PPN1Q1PP/4BRK1 b - -,e7g5
r1bq1rk1/p3n1bp/2np1pp1/1pp1pP2/4P3/3PN1P1/PPP1N1BP/R1BQ1RK1 w - -,g3g4
8/3k4/5P2/1p2K1p1/p7/P1P5/8/8 b - -,g5g4
2n2k2/1r3b1p/rpqp2p1/5p2/PRP2P2/4N3/3R1BPP/Q5K1 b - -,f8g8
8/8/1p6/3Pkppp/2PN1n2/1P3P2/5K2/8 w - -,d4c6
1r2kb1r/3b1pp1/4p2p/q1ppPB1P/p4P2/2P2N1Q/PP4P1/1RB1R2K b k -,e6f5
2b1r1k1/4qpp1/3p4/2n3n1/2PQp3/2N1R1Pp/2N1PP1P/5BK1 w - -,c3b5
1r1r4/6kp/1n1P4/p3p1p1/NbB1Pp2/1P3PP1/2R3KP/3R4 w - -,a4b6
3r1k2/p4p2/2Brpq1p/6p1/QPR5/P7/4nPPP/4R1K1 w - -,g1f1
8/2p5/3p2p1/pP1Pp1k1/r3P2p/2R2K1P/6P1/8 b - -,a4b4
1r2k2r/2qpbppp/p1p1p3/4P3/2PB1n2/5B2/PP3PPP/R2Q1RK1 b k -,e8g8:c6c5
7r/2brkppp/5q2/1QP1p3/4P3/6P1/PP3P1P/R4RK1 w - -,a1d1
3q1rk1/5p1p/3p2p1/r2P1p2/P1Q5/2P4P/5PP1/R4RK1 b - -,d8a8
3r2k1/p4p1p/1qp1p1p1/8/3r4/1P6/P3QPPP/R4RK1 w - -,a1d1
r3r1k1/p6p/1np3p1/5p2/3B4/2PR2P1/5P1P/1R4K1 w - -,d4b6
6k1/1N3p1p/rn4p1/3Pp2n/1p2P3/5PP1/1P5P/2N1RK2 b - -,a6a7
r2qk2r/pppb2bp/5np1/1P1n1p2/2BPp2P/1Q2P3/PB1N1PP1/RN2K2R b KQkq -,c7c6
rnbq1rk1/ppp1bppp/4pn2/3p2B1/3P4/2PBPN2/PP3PPP/RN1QK2R b KQ -,b8d7
r5k1/pp3pb1/n1p2q1p/3b2pP/3N4/1PPQ4/2B2PP1/3RR1K1 w - -,c3c4
rnbqk1nr/1ppp1ppp/4p3/p7/2PP4/P7/1P1bPPPP/RN1QKBNR w KQkq -,d1d2
8/1pb2p2/2k3p1/3p4/P4P2/3K2Pp/7P/4B3 b - -,c7b6
3r1k2/R2Bbp2/6p1/1pp1n2p/8/4B1P1/1P3PKP/8 w - -,d7b5
5r2/p6p/1p1p1kn1/1PrP2p1/P1p1P3/2R2P1P/4BK2/R7 w - -,f2e3
r4r2/ppp3k1/7p/1P6/1PpN1nb1/6P1/1P1K3P/R7 w - -,g3f4
2r1rbk1/1p1qnp1p/pB1p1np1/P2Pp3/8/1P4PP/2P2PBK/R1NQR3 w - -,c2c4
8/1n2b2p/4kp2/3N1p2/1P6/5K1P/2r3P1/3RB3 w - -,d5f4
rnbqkbnr/pp3ppp/4p3/2pp4/4PP2/2N2N2/PPPP2PP/R1BQKB1R b KQkq -,b8c6:d5e4:a7a6:d5d4
6k1/p6p/4b1p1/2ppNP1Q/2p4P/6PK/Pq6/8 w - -,e5g6
2kr1b1r/p1pqnppp/1pn1p3/3pP3/3P2Q1/3P1N2/PP1BNPPP/R1R3K1 b - -,c8b7
1rbq1r1k/7p/2np2p1/p2N4/2B1pP1b/1PP1N3/7R/3Q1K1R b - -,g6g5
8/3R4/1rB1p1kp/1P3pp1/1n6/4PP2/5P1P/6K1 w - -,d7b7
1k6/1pp3p1/p3bp1p/3p4/7P/2PB4/PPP2PP1/1K6 w - -,b1c1
b5k1/pq2Bp2/1p2p1p1/3rb2p/1Q6/1P2P2P/P3NPP1/2R3K1 w - -,f2f3
8/5p2/7P/p2p1Np1/Pp4P1/1Pr2B2/4K3/2k5 b - -,c3c2
3r1k2/1p3pp1/2p2n1p/p3p3/Pq1rP3/1PNR1PP1/2P2QK1/3R4 w - -,c3a2
2r3k1/5p2/4p3/1p3q2/1N5p/3NP3/R3KP2/8 w - -,a2a1
8/4r1k1/6p1/p1p1qn2/PpP5/1P1R2pP/6Q1/6NK w - -,d3d5
2k4r/p7/4P2p/1p4pP/2p5/b4P1N/P2r1P2/2R1R1K1 w - -,c1c3
8/kpRb3p/4p3/5r2/3p3P/5B2/PPP2qP1/2K4R w - -,c7b7
r4bk1/pb1q1Rpp/1p6/2ppB3/3P2Q1/2N1P2P/PP4P1/R5K1 b - -,d7f7
r2q1rk1/pb2ppb1/1pnp2pp/8/P1NP4/2PB1N2/1P3PPP/R2QR1K1 w - -,c4e3
r6r/pp2k1p1/2nRb1pp/1B2P3/3P4/P7/3B1PPP/4K2R b K -,h8d8
2r1r1k1/p2b1pbp/5np1/q7/1p6/5N2/PP2BPPP/R1BQ1RK1 b - -,d7a4
7k/p4Np1/6p1/2nB4/8/4P1PP/7K/3n4 b - -,h8h7
3rr1k1/1p3ppp/pq6/3p4/6nP/1P1BP1P1/PQ3P2/R4RK1 w - -,b2d4
r1b2r1k/pp2b1pp/3p4/4P2q/2Qp1B2/6P1/PP4BP/R3R1K1 b - -,d6d5
8/8/2p1k1p1/p1P2p1p/P1PK1P1P/6P1/8/8 w - -,d4d3
n1b3k1/1p3rp1/2p4p/n1N1p3/p1P5/P2BP1PP/1R1N1PK1/8 b - -,f7f8
r1b2b1R/p4k2/2Np1Bp1/PP1P2P1/1P2pq2/8/5Q2/6K1 b - -,f4g4
r1q2rk1/1pp2p1p/2bp2p1/2n5/p2QPPP1/1P4NP/P1P3B1/3R1RK1 b - f3,a4b3
r3k2r/1bq1npb1/3p2p1/2pP2Pp/ppn1PB1P/5N1B/PPP4Q/2KNRR2 w kq -,e4e5
rn2k2r/pp2ppbp/6p1/q1pp4/2PP2bB/2P1PN2/P2Q1PPP/1R2KB1R b Kkq -,g4f3
8/r2n2rk/p1p1p1qp/P1P1Pp2/4pP2/4Q3/1R4PP/4BRK1 b - -,d7f8
r3k2r/pp1b1ppp/2n1p3/8/2B2P2/P3P3/1P3KPP/2R3NR w kq -,g1f3
r3k2r/1bqp1ppp/p1n1p3/6P1/3R1P2/2Q1B3/PPP4P/2K2B1R b kq -,a8c8
2r5/pp2k3/3p1pp1/PP2p3/2P1P2P/2RK1P2/7P/8 b - -,e7e6
5rk1/p1nq2p1/4p2p/2p5/2pb4/PPN1N3/1B2Q1PP/R5K1 w - -,b3c4
2Rrn1k1/pq2bppp/1p2p3/8/3B4/1P3NP1/PQ2PPKP/3R4 b - -,d8c8
r4rk1/pp3p2/6pR/4q3/6b1/2P5/P2QBPP1/R4K2 b - -,a8d8
2r3k1/p1qrbppp/4b3/2pnp3/N7/P5P1/1PQ1PPBP/2RRB1K1 b - -,e7g5
r1q2rk1/4Bpbp/2b3p1/1B2n3/P1P5/8/1P1Q1PPP/R2R2K1 b - -,f8e8
3rr1k1/1b3p1p/ppn1pp2/4q3/P1B1N3/1PP5/4QPPP/R2R2K1 w - -,f2f4
1r1q1r1k/1p1b2bp/3p2p1/pP1N1p2/2PB2n1/3PQ1P1/4P1BP/3R1R1K w - -,d4g7
1rq5/2pb1pkp/p1ppr1p1/3N4/P1P5/1P3PPP/7K/R2Q1R2 w - -,d5f4
4rrk1/ppp2pbp/3p1qp1/3Pn3/2PpP3/1N6/PP2BPPP/1R1Q1RK1 w - -,f2f4
8/2R3p1/p4pk1/rp4p1/4P2P/1K3P2/rB6/1R6 w - -,h4g5
8/R7/8/2p5/2B1k3/PPn1rbP1/4p2P/4R1K1 b - -,f3g4
2rr2k1/p3q1p1/1pb1pp1p/2p5/3PpP2/1NP1P3/PP3RPP/3RQ1K1 b - -,c6b5
