8/5R2/P7/1P3kPp/3K4/r4p2/8/8 b - -,f5g6
5k2/2p2r2/1p1p1b2/pP1N1rpp/P1P5/3R1PP1/6K1/4R3 w - -,e1h1
r3k2r/5pp1/2pb1P2/B4P2/4P1bp/1p1Q4/PPP3PP/2K1R3 b kq -,b3a2
5k2/2r3pp/p1b1R3/1p6/1n1p4/8/PP3PPP/2R3K1 b - -,c6d5
6k1/4bppp/3ppnn1/8/1pP1PP2/4Q2P/PBq3P1/R5K1 w - -,e3b3
r3r1k1/5pbp/p1N3p1/8/2R1p3/1P2P3/P3K1PP/7R b - -,g7f6
8/5p1k/6p1/1p5p/1P1Q3P/4KPP1/2q5/8 b - -,c2c7
8/R7/5kp1/P1pP4/1bB5/1P3K2/r7/8 w - -,a5a6
r1b2rk1/1p2ppbp/6p1/8/PNBN4/1P2P3/3n1PPP/R4RK1 w - -,f1c1
r3r1k1/pp1bqpp1/4p1np/2Pp4/3P4/2R2N2/PP3PPP/3QRBK1 w - -,b2b4
8/5pp1/2PR3p/8/3P1k2/8/2rr1PKP/5R2 w - -,d6d7
1k6/1pp5/p1p1pq2/P1Q3p1/2P5/3r1PPp/1P3RnP/R6K w - -,h1g1
r5k1/5pp1/P4n1p/2q5/2nNr3/1RP5/Q5PP/2BR2K1 w - -,a2a4
8/p5pk/1p6/4p3/1PPr3p/2R5/P6K/8 w - -,c4c5
8/5pkp/2p3p1/1p6/3Pqn2/R1P2N1P/5PP1/2R3K1 w - -,c1e1
2r5/1p3pk1/p2q2pn/3NRp2/P1P2P1p/1P4PP/3Q4/6K1 w - -,g3h4
r2qkb1r/1p2nppp/p1n1p3/4Pb2/Q1pN4/N3B3/PP2BPPP/R3K2R w KQkq -,a3c4
8/8/2n2kp1/4P1N1/2b2K1P/B7/8/8 b - -,f6g7
2k2b2/1p2p2p/p3P1p1/3RBP2/1P1KPP2/8/7P/2r5 b - -,b7b6
r4rk1/p2q1bb1/2p1n1pp/3ppn2/N1P2pP1/3PPN2/P1QB1PBP/1R3RK1 b - -,f5d6
4r3/1pk1q3/1pbr4/3n1p1p/P1Q3p1/4P3/1B2BPPP/R4RK1 b - -,e7g5
8/8/8/3k1p1R/p4P2/6P1/r7/6K1 b - -,d5e4
r2qkb1r/5ppp/p4nb1/2p2B2/Q1pP4/8/PP4PP/RNB2RK1 b kq -,f6d7
2br1r1k/pp2b1pp/2n1p2q/5p2/5P2/P1N1B3/BP2Q1PP/2R2R1K b - -,h6g6
2r3k1/p4p1p/7r/2N1b1q1/5p2/PP2pR1P/2R3P1/4Q2K w - -,c5e4
r1b2rk1/1pqnbppp/3N4/p1P1p3/1nPp4/B2P1NP1/P3PPBP/R2Q1RK1 b - -,d7c5
8/ppp2rkp/6p1/3B1p2/3P1r2/2P2N1P/PP3K2/6R1 b - -,f7e7
6k1/1p5p/2p1p1p1/2b3P1/2P2P2/2r3PK/4R1N1/8 w - -,e2e6
8/1p1n1p1p/p2pPkp1/8/1P1bPP2/8/P1KBB1PP/8 b - -,f7e6
1k1r1r2/2b4p/2b2p2/4p3/1n6/NP3NP1/1K2B2P/3RR3 w - -,f3h4
r2q1rk1/pbp1b2p/1p1p1n2/3Pppp1/2P5/2N1PPB1/PP1QB1PP/R2R2K1 w - -,f3f4
6k1/p2b1qBp/1p6/3R2b1/8/1NP2r2/P4RQP/7K b - -,f3f2
8/p7/8/4Q2P/8/3q1p2/PP2pk2/K1R5 w - -,e5h2
r2qr1k1/p2n1ppp/1ppppn2/8/2PPb3/PP3NP1/1B2PPBP/R2Q1RK1 w - -,f1e1
2qrb3/p3p1kp/1p3pp1/2pPbP2/2P1PN2/4QR2/P5PP/2R4K b - -,e8f7
2r5/p6p/1p2k1p1/5pn1/PbNB4/1P1RPP2/4K1PP/8 w - -,d4c3
r4r1k/pp1qn1pp/1bn2p2/2Np4/1PpP2b1/P3BNP1/3QPPBP/2R2RK1 b - -,d7c8
4r1k1/4ppb1/qp3np1/2nP3p/2P5/p3B1PP/P1QN1PB1/1R4K1 b - -,f6d7
8/3q2k1/1p1p1npb/pNpPp2p/P1P1P2P/1P1N1QP1/6K1/8 w - -,d3f2
3b4/p7/4k3/1Kp1p1p1/5p2/1P3BP1/P4P1P/8 w - -,b5c6
r1bqkb1r/ppp2pp1/4pn1p/6B1/3P4/5N2/PPP2PPP/R2QKB1R w KQkq -,g5e3:g5h4:g5f4:g5f6
1k2rr2/2pp2p1/qp5p/3P4/1R2NP2/P4QP1/1KB5/8 b - -,a6a5
r4rk1/p3p1bp/b3Npp1/1p1Pn3/2p1PB2/2P3Q1/q3BPPP/1R3R1K w - -,g3e3
2r3k1/P4p2/6p1/2Bb2P1/1Kp2P2/4R3/8/8 b - -,d5e6
8/5pk1/7p/pBp3p1/PpPbP1QP/1P1q2B1/6K1/8 b - -,d3e3
4r1k1/5p2/2ppq2p/1r3bp1/8/P1B3RP/3Q1PPK/R7 w - -,g3e3
r1bb1rk1/pp5q/1P1pn3/3Np2n/5Ppp/3PB3/P3PPBP/1RQ1RNK1 b - -,e5f4
r4r1k/1pp1qp1p/p1n2p2/b4b2/2BP1Q2/P1N2N1P/1P3PP1/R4RK1 b - -,a5c3
6k1/5Q2/4N2p/p7/Pb1P4/6P1/6KP/8 b - -,g8f7
3r4/pp3k2/2r3p1/3Nbp1p/P1P1p3/1P5N/3B4/1K2R3 w - -,e1c1
8/5k1p/3p2p1/p1pP1p2/P4Pn1/1P3Q2/4B3/3Nq1K1 w - -,g1g2
r1b1qrk1/1pp3pp/3p1p2/p2Pn3/2PbPR2/1P4PP/P1Q1N1BK/5R2 w - -,e2d4
1k4r1/pp6/7p/1P1pbqp1/1P6/7P/R2BNPP1/4K2R w K -,e1g1
8/8/4k3/1P5p/4KPp1/7n/2P5/8 w - h6,f4f5
8/p4ppk/4pn1p/1p6/1P6/P2NqPP1/2Q1P2P/6K1 w - -,g1f1
4kbnr/1p2q2p/p3p1p1/3pP1B1/2r5/2N2Q2/PP4PP/R4RK1 b k -,e7g7
r1b2rk1/p4pbp/2pqp1p1/6B1/3P4/4QN2/PP3PPP/R4RK1 w - -,a1c1
2krr3/ppq2pp1/2pbpn1p/7P/3P4/5NP1/PPPBQP2/1K1R3R w - -,f3e5:c2c4
1r3rk1/p3qppp/4p3/P1n1P3/2Q5/6P1/1P3PKP/RN3R2 b - -,b8b2
4r1k1/pp5p/2p1r3/3nNpp1/1P1P1P2/4P1P1/P2B2K1/R1R5 b - f3,g5f4
r4rk1/pb1n2pp/1ppqp3/3p1p2/2PPn3/1P1BPN2/PQ3PPP/RN3RK1 w - -,b1c3
r1b1k2r/2qp1ppp/p3pn2/1p6/1Q2PP2/2b1B1P1/PPP3BP/3RK2R w Kkq -,b2c3
3r2bk/4q1b1/7p/3p3P/1ppPprB1/4P1Q1/1P6/1N3RK1 w - -,f1f4
3q1rk1/p4pp1/1pb1pn1p/4N3/3P4/P5P1/1P2NPP1/3QR1K1 b - -,c6b7
r2q1rk1/1p1bppbp/p1np2p1/3N3n/2PNP3/4BP2/PP1QB1PP/2R2RK1 w - -,d4b3
r1b1k2r/2qp1ppp/p1p1pn2/8/Pb2P3/2N5/1PP1BPPP/R1BQ1RK1 w kq -,e2d3
rnb1k2r/1p2ppbp/p1p3p1/q1Pp4/3P1B2/2P1PN1P/P4PP1/R2QKB1R w KQkq -,d1d2
r2q1r2/2p1bpk1/p3pp1p/nb6/Np1P4/4PN2/PPB2PPP/2RRQ1K1 b - -,a5c4
4r2r/p5pk/8/1P3n2/5P2/P2P1Qpq/3B2R1/5RK1 w - -,a3a4
rnbq1rk1/ppp1nppp/4p3/3pP3/1b1P1P2/2N5/PPPB2PP/R2QKBNR b KQ f3,c7c5
3r4/pb3k2/1p3pp1/3npn2/3P4/P3BN2/1P2BPPP/2R3K1 b - -,e5d4
r1bqk2r/p3b1p1/2p1ppn1/2ppP2p/7P/3P1NP1/PPP1QP2/RNB1K2R w KQkq -,b2b3
r1qbr1k1/1p1n1pp1/p1p1pn1p/2Pp1b2/N2P1B2/1Q2PN1P/PP2BPP1/2R2RK1 w - -,f3e5
8/8/3q1kp1/1P1Bb3/4Q1P1/4P3/6K1/8 w - -,g2f3
8/1p3k1p/p2Q1pp1/8/1P2P2q/6N1/P2P1bPP/7K w - -,d6c7
r1b1k2r/1p1nq2p/p1p1p3/3p1p2/1PPPn1p1/NQ1BP3/P1R2PPP/R3N1K1 b kq -,h7h5
5rk1/5p1p/p2N1n2/bp2nPp1/6P1/PB1R3P/1BR3K1/4r3 w - -,b2e5
r1b1k2r/pp1qbpp1/1np1p2p/B3PB2/3P4/5N2/PP2NPPP/R2Q1RK1 b kq -,e6f5
r2qk1r1/pp2np1Q/3pb1p1/2pNp3/3nP3/3P2P1/PPP2PBP/2KR2NR b q -,e6d5
6k1/5p2/4p1pb/4P3/2BQ1P1P/1p4K1/1P6/2q5 b - -,h6f8
3q4/3r1ppk/1pQP2p1/p5P1/P1KR3P/8/5P2/8 w - -,c4b5
rnb1kb1r/pp1ppp1p/5np1/2q5/8/6P1/PPPNPPBP/R1BQK1NR w KQkq -,e2e4
rnbqr1k1/ppp1ppbp/3p1np1/8/3P1B2/2N2NP1/PPP1PPBP/R2Q1RK1 b - -,c8g4
r5k1/3nqp1p/bp2n1p1/p1p1P3/P7/4RNP1/1PQ3BP/4R1K1 w - -,c2e4
r2qk2r/1b2bppp/p4n2/1p6/2p1PN2/2P2Q2/PP1N1PPP/R1B1R1K1 b kq -,e8g8
2b3k1/1r4pn/p1p1pr2/q1bp2B1/7P/2NQ2R1/PPP1BPP1/2KR4 b - -,f6f2
2k5/6pp/2P5/1K3p2/4p3/8/R4PPb/8 w - -,g2g3
