8/6kp/5pp1/1r6/2B4P/6P1/4KP2/8 b - -,b5b4
r7/3k1p2/2p2bp1/p5q1/4Q3/PPB1P3/R4P2/4K3 w - -,a2d2
2k5/2p3pp/1p5r/2r5/4p2P/4N1K1/1R3P2/3R4 b - h3,h6f6
r1bq1rk1/pp3ppp/2nb2n1/3p4/2pP4/2P4P/PP2BPPN/RNBQ1RK1 w - -,g1h1
r4k2/1rp2p1p/3bp1p1/8/1P6/P2RBPP1/2R2P1P/6K1 b - -,b7b5
r3k2r/1bqpbppp/p1n1pn2/1p4P1/3NP3/2N1BP2/PPPQ3P/2KR1B1R b kq -,c6d4
1K4k1/1PQ3P1/8/1q6/8/8/8/8 w - -,c7d8
r2r1nk1/5ppp/bq2p3/3nP3/1b1N4/3B1N2/1P3PPP/R1BQ1RK1 b - -,a6d3
q3kb1r/1b1n1ppp/4pn2/1p1p4/2pP4/2P2NP1/1PQNPPBP/2B2RK1 b k -,f8d6
8/4k3/5R2/6K1/4P1P1/8/4r3/8 w - -,f6f4
2N5/7p/p2rb3/5k2/1P3P1P/8/5PB1/2R3K1 b - -,e6c8
r3k2r/4npb1/pp1pbqpp/2pB4/P1Q1P3/5N2/1PP2PPP/R1B2RK1 w kq -,c1d2
1r3rk1/p2n1ppp/3Qpn2/2Pp4/8/2NqP3/PP3PPP/R1B2RK1 b - -,f8c8
2r2rk1/pp1q1pbp/5np1/3ppN2/8/1PP5/PB1N1PPP/2R1QRK1 b - -,d7f5
2q2r2/pQ2p1kp/5np1/1RP2p2/5P2/P2P2P1/4P1K1/5R2 w - -,c5c6
2rq1rk1/1b2npbp/p1n3p1/2pp1P2/1p2P3/2PP1NQ1/PP2N1BP/R1B2RK1 w - -,c1g5
6k1/p4p2/6p1/1p2p3/1P1pP1PP/1PqPb3/1R2Q1K1/2r2B2 b - -,c3b4
8/4k3/2p2p1p/1p2r2b/1P1KP2P/3B4/2P2R2/8 b - -,h5f7
3r3k/p5pp/1p3n2/2p5/5P2/P4qPQ/7P/B3rRK1 w - -,f1e1
8/1p1P1pbk/6pp/3p4/8/B1N4P/1PqnQPPN/6K1 b - -,g7f6
r2q3r/pp3kpp/2p2bb1/1B1p4/8/2N5/PP1Q1PPP/4RRK1 w - -,b5a4
r3r1k1/5ppp/pbN5/3p4/1Pb5/2B5/P4PPP/R3R1K1 w - -,a2a3
r3k2r/1p1b1pp1/2pq1n2/p2p4/7p/1PQPPN1P/P3NPP1/2R1K2R b Kkq -,d7f5
4rr1k/pB1b1nbp/3p2p1/q1P1pp2/3N4/1P2P1P1/PB2QP1P/2RR2K1 w - -,c5c6
4rr2/2qn2bk/2ppbpp1/p3p2p/P1PPPP2/R2Q2PP/1BN3BK/5R2 w - -,f4f5
2r2rk1/5ppp/p1qp4/2nRpP2/6P1/1P2B2P/1PPQ4/1K3R2 b - -,f7f6
4k3/B2n1ppp/p1R1p3/1p6/8/b7/P5PP/6K1 b - -,a6a5
8/8/1p2B3/2pPp3/P3P2k/2P1N2p/6pK/5r2 w - -,e3g2
2r2rk1/2pbqpp1/1p1n3p/p2Pp3/4N3/PQ2P1P1/1P3PBP/2R1R1K1 b - -,d6b7
5r1k/R5b1/3N3p/2pP2p1/2N2p1r/5K2/1PP2P2/4R3 w - -,e1e7
r1b1kb1r/pp1n1ppp/2p1pn2/q2p2B1/2PP4/P1N1PN2/1P3PPP/R2QKB1R b KQkq -,f6e4
2r2r1k/1p4pp/p1bb1q2/3p4/5P2/4NBP1/PP4QP/3RR1K1 w - -,f3d5
4rrk1/3n2p1/p4q1p/1p1P4/2pR1p2/7P/PPB2PP1/3R1QK1 b - -,f4f3
r1bq3k/1pb1r2p/p1n2NpB/4p3/2P2PPQ/3p4/PP4BP/R3R1K1 w - -,f6d5
2rr2k1/p4pb1/1pnnq1pp/2p1p3/4P3/1PP1B1NP/P1Q2PPN/R4RK1 w - -,a1d1
2bq1rk1/r4ppp/p1np1n2/1p2p3/4P1PP/1NNB1P2/PPP1Q3/2KR3R b - h3,c8e6
2r4k/3npq1p/2rp1p2/3NbP2/p1R5/Pn2B2P/1P2B1P1/3R1Q1K b - -,c6c4
r3q1k1/1p1b2p1/p1p1pr2/2R5/3P1P2/P3Q1P1/1P4K1/1B5R w - -,c5h5
r4k1r/1pqb1pp1/p1nNp3/7n/4P3/2N2P2/PPPQ3P/1K1R1B1R b - -,a8d8
r1bq1rk1/pp1pbppp/2n1pn2/8/2PN4/P1N1P3/1P1B1PPP/R2QKB1R w KQ -,a1c1
1r3k1q/pr6/3p1nB1/1ppPp1bP/2P5/P5R1/3Q1P2/1R3K2 w - -,d2g5
1r1qr1k1/p1bb2pp/1pp1p1n1/1PPpPpP1/3N1P2/3BP3/PB2Q2P/1R3R1K b - -,b6c5
2r2k2/3p1pp1/3P4/p1P2p1p/q4P2/P3Q3/5K1P/6R1 b - -,a4c2
r1b1k2r/1pp1qppp/3p4/3P3n/1pPpP3/3B1P2/PPQ3PP/RN2K2R b KQkq -,e7h4
8/5p2/p4rp1/1pk4p/5P1P/1RK3P1/P7/8 b - f3,f6e6
8/3rkp2/4p3/6p1/1P4P1/2nB2K1/3R4/8 w - -,g3f3
r1bqkb1r/1p3ppp/p1nppn2/8/2PNP3/2N5/PP2BPPP/R1BQ1RK1 b kq -,f8e7
1r4k1/2r2p1p/3qp1p1/3pNn2/3P4/pPP2Q1P/P1RR1PP1/7K b - -,b8c8
r1q3k1/1b3pbp/6p1/2p1p3/p1P1P1NP/P5P1/2QR1PB1/6K1 w - -,g4e3
4r1k1/p4rpp/3Rp3/1p6/2p5/2P4P/PP3PP1/3R2K1 w - -,d1e1
r4rk1/pp4bp/2nq2p1/3p1p1n/P1P2P2/3B3Q/1P1BNP1P/R4RK1 b - c3,d5c4
8/8/p4pkp/1p6/1P3K2/P7/1PR3PP/1r6 b - -,h6h5
2r1r1k1/pp2ppbp/3p1np1/q2P4/3B4/1BP4P/PP2QPP1/3RR1K1 w - -,d1d3
6k1/8/8/p6K/6PP/5P2/8/8 b - -,a5a4
r3k2r/1q2bpp1/ppn1p2p/8/3NN3/P1P1Q3/1P3PPP/2RR2K1 b kq -,e8g8
2kr3r/1p1n1ppp/p1pbpn2/8/2PP2P1/1P2B2P/1P2NPB1/R3K2R w KQ -,e1c1
r1b1k2r/pp1nqpb1/2p1p1pp/3pP3/2PP1BP1/2N4P/PP1Q1P2/1K1R1B1R b kq -,a7a6
3r1kbQ/2R4p/p3q1p1/Pp3p2/4p3/4N2P/3P2P1/7K b - -,d8d2
7k/p7/1pn1R3/2pNnpPp/2P4P/1P1rB1P1/P7/5K2 b - -,d3d1
r2qr1k1/pp1b1pbp/2pp1np1/4n3/3NP3/2N1B1PP/PPP2PBK/1R1Q1R2 w - -,f1e1
r2q1rk1/1bpn1ppp/p1np1b2/1p2p3/P2PP3/NBP2N1P/1P3PP1/R1BQR1K1 b - -,e5d4:c6a7
4qrk1/1n1n2pp/p2p2P1/1ppPpr2/4N1RQ/1PP1B3/P2R1PK1/8 b - -,h7g6
7k/8/5K2/6R1/8/1b6/8/8 w - -,g5g3
1nn5/5k2/1q1p2p1/pNpPp1p1/Q1P1Pp2/1PN2P1P/4K1P1/8 w - -,a4a1
r2r2k1/p3qppp/1p2p3/8/1PP5/R4P2/1P4PP/R3Q1K1 b - -,d8d4
r4rk1/1q5p/p3p1p1/3n4/3bb1PQ/5N1R/PPN1BP2/1K6 w - -,f3d4
5rk1/pppqnrb1/3p3p/2PPp1p1/PP2N3/2NQ1PPP/6K1/R4R2 b - -,e7f5
r6k/6p1/p1nNr1p1/1p4B1/8/7P/PP3PP1/3R2K1 w - b6,g5e3
8/2pk1p2/p1p5/2B4p/3P1PrP/1P2pK2/r2bN3/7R w - -,e2g3
6k1/p4p2/6pp/1B1b4/3br2P/PP1R2P1/5P2/5NK1 w - -,f1e3
r2q1rk1/1b1n1ppp/2pbpn2/pp6/3P4/2NBPN2/PP1B1PPP/2RQ1RK1 w - a6,e3e4
2r2rk1/1b2pp2/3p1q1p/5Pp1/4P2P/2N5/PP1R4/4KQR1 b - h3,g5g4
2qr4/p4p1k/5p1p/5P2/1P2QR1n/P1b5/7P/3R3K w - -,d1c1
3r4/6pp/R3pp2/pP2k3/P3P3/4K2P/6P1/8 b - -,d8c8
r3r1k1/1bqn1ppp/pp1b4/3P4/8/NQ2BP2/PP1RB1PP/3R2K1 w - -,g1h1
3r1rk1/1pq2pp1/p1b2b1p/P1pBpP1Q/2P1P2P/R5B1/1P4P1/3R3K b - -,d8d7
r7/pp1q4/5kP1/4R3/3p1Q2/P2B4/1PP5/7K b - -,f6g7
r2q1rk1/p2n1pp1/2p1pn1p/1p6/3P1B1P/3Q2N1/PPP2PP1/2KR3R w - -,g3e2
8/2r2k1p/1r3pp1/1p2p3/1R4P1/3P1K2/4PP1P/1R6 b - -,c7c5
r1bq2k1/5p1p/p1n3pb/1pp1Pp2/3p1N2/P2P1NQ1/1PP3PP/4RRK1 b - -,g8h8
2k4r/1p2b2R/p1q1p3/2p1Pp2/3p1B2/3P2P1/PPP2K2/R2Q4 b - -,h8h7
8/4pk2/3p2pp/2pP4/2P2PPP/3R1K2/2rN4/2b5 w - -,d2e4
1n6/4N3/3Pk1Pp/1Bp1bp1P/8/5K2/6P1/8 b - -,e6f6
rnbq1rk1/pp3pbp/2p3p1/3n4/2BN4/1PN1P3/PB3PPP/2RQK2R b K -,d5b6
