2b5/8/8/3nBp1p/2k2P1P/8/3K4/8 b - -,c8a6
1k1r3r/p1pqnppp/1p2n1b1/1P1pP3/Q7/1NP1B2P/P4PP1/R3RBK1 w - -,b3d4
r1b1q1k1/p5bp/2p2pp1/2Bp1n2/3P4/1PNN1QP1/P1P4P/2K1R3 b - -,c8e6
1rr1b1k1/1q1n4/p2p2pp/B2Pp1b1/1PPnP1P1/1B1Q1P2/NK1N4/1R3R2 w - -,f1c1
rnbq1rk1/5pb1/pp1p2pp/2pPp2n/2P1P3/2N2NP1/PPQBBP1P/R4RK1 w - -,f3h4
5rk1/1b1rqp1p/1pnpp1p1/1Nn1b3/p1P1P3/P1N1BP2/1PR3PP/3RQB1K b - -,f7f5
2kr1b1r/pp1n4/2p1p1p1/5p1p/2B1PP1P/2P3B1/PPK2P2/3R3R b - -,d7c5
r1bq1rk1/1p1nbppp/p1n1p3/2ppP3/P2P1P2/2N1BN2/1PPQB1PP/R3K2R b KQ -,f7f6
3r1nk1/p3rpbp/1ppN2p1/2P5/3PN1P1/1P5P/P4PK1/2RR4 b - -,f8e6
r7/2k5/p3b1p1/P1p2p1p/5P2/1P5P/2P2K2/4RB2 b - -,c7d6
r1bq1rk1/pp2npp1/4p2p/4N3/P1BP4/2P5/4QPPP/R2R2K1 w - -,d1d3
r1b2rk1/pp3ppp/2p2n1q/3P4/5b2/4PNP1/P2PBP1P/R2Q1RK1 w - -,e3f4
r3r1k1/p2q1pp1/3b3p/4nN2/2p5/2P4P/P1QB1PP1/R4RK1 w - -,f5d6
1rb4r/3pk2p/p2Np1pn/2p1Pp2/2P2P2/2K3P1/PP4BP/R6R b - -,h6f7
5r2/1p4pk/pBn2p2/2N1p3/8/2P5/P3qPPP/1Q1R2K1 b - -,f6f5
r2qk2r/p5pp/1pnP1p2/5n2/1pP1b3/4BNP1/P4PBP/R2Q1RK1 w kq -,e3f4
8/4pp2/p1r2k1p/8/5R2/2P1K1PP/1P6/8 b - -,f6g6
6k1/1p2Q1b1/7p/5p2/p1P2P2/P2r4/7P/7K b - -,g7f8
rn1q1rk1/pp3pbp/3p1np1/2pP1b2/2P2B2/2N2N2/PP2BPPP/R2Q1RK1 b - -,f6e4
rnbqkb1r/pp5p/3p1np1/2pPpp2/2P1P3/2N5/PPQ2PPP/R1B1KBNR w KQkq -,g2g3
r1br2k1/ppq1bppp/2p2n2/2Pp4/3p4/P1N1P3/1P1NBPPP/R2Q1RK1 w - -,e3d4
r1b2rk1/pp1nqp1p/2ppn3/5P2/2P2P2/2N3PP/PP1Q2B1/R3R1K1 b - -,d7b6
8/8/3k1p2/B1b1p1p1/4B1P1/3KnP2/8/8 b - -,c5d4
4rbk1/p4bpp/1n6/3p1p2/3P4/6P1/P3PPBP/1RR3K1 w - -,c1c7
1rb1Bk1r/2p2q2/p4npp/3P4/P7/2Q3P1/1PP2PP1/3RR1K1 b - -,f7g7
8/P5pk/7p/r4b2/4Q3/2q5/5P1P/4R1K1 w - -,a7a8q
3rr2k/1pqn1pbn/p2p2pp/2pP2P1/P3PP1P/2N1BB2/1P3K2/R2QR3 b - -,b7b5
8/2p2p2/1pppk3/1r3R2/1P2P1p1/P2P3P/2P5/6K1 w - -,h3g4
r3r3/5bk1/p1p2p2/PpN2PpP/1P1PP3/8/3R1K2/4R3 b - -,e8h8
r1b2rk1/p3p1bp/6p1/2PqNn2/3p4/1P1Q3P/P4PP1/RNB1R1K1 w - -,d3c4
1r1r2k1/p3bppp/4b3/Qpqp3n/8/4P1P1/PP1BNPBP/R2R2K1 w - -,a1c1
r2qnrk1/pb2bppp/1p2p3/2ppPn2/5P1P/1PN2N1Q/PBPP2P1/2K1RB1R b - -,h7h5
8/6R1/p1kp4/1p5r/8/P1P5/1PK5/8 b - -,h5h4
r1b2rk1/2Rnbp1p/p3p1p1/3pP3/N2B1P2/P2B4/1P4PP/2R3K1 b - -,f8d8
1rb2rk1/p4p1p/3pp1pb/5P2/1pPpP1P1/3P1RqP/PP2Q1B1/1R3NK1 b - -,g3e5
q1rrn1k1/1b2bppp/p3p3/1p2p3/3B1P2/P1NB4/1PPR1QPP/5R1K w - -,f4e5
r1bq1rk1/pp1nbppp/8/3pP3/3Q4/1N3N2/PP3PPP/R1B2RK1 b - -,d7b6
3r4/3P2k1/p2RBp1p/1p6/n6P/8/PPP3r1/3K3R b - -,a4c5
4k2r/1b1rbpp1/4p3/qp2P2p/1p3P2/4nNP1/4N1BP/R1R4K w k -,a1a5
1qr2r2/1p1bbppk/pB1p2np/3Pp3/1Q2P3/3BN1PP/PP3P1K/R3R3 b - -,f7f6
2b2rk1/5ppp/p2Qp2q/8/Pr2B3/8/1PP2PPP/R3R1K1 b - -,b4b2
r1b2rk1/pppn2pp/3b1q2/1B1p2B1/2Pp4/5N2/PP3PPP/R2Q1RK1 b - -,f6g6
2r2rk1/2nn2p1/p1p2pbp/2Ppp3/1P3PP1/1NP3BP/4P1B1/R1R3K1 w - -,b3a5
r1bq1rk1/pp2p1bp/3p1np1/2pPnp2/2P5/1PN3PN/P3PPBP/R1BQ1RK1 w - -,c1b2
b5k1/B2nbppp/3ppn2/1B6/NP2P3/P4P2/5QPP/2r4K w - -,b5f1
r1bq1rk1/pp1n1pb1/2pp1npp/4p3/2P5/2NP1NP1/PP1BPPBP/R2Q1RK1 w - e6,b2b4
6k1/p4p1p/2pb4/6B1/3P4/5bP1/PP3K1P/4r3 w - -,f2e1
8/8/7p/4pp2/1b6/p1k1KP1P/P7/2N5 w - -,c1d3
3r4/pp1k4/4p1Nr/3pPp1p/b1pP3P/P1P3P1/1P1R1K2/4R3 w - -,g6f4
5rk1/p1pp1p1p/2p3p1/3Pr3/8/1P4P1/P4PBP/RN3bK1 w - -,g1f1
rnb2rk1/pp2qpp1/2p1p2p/3p4/2PP4/2R1PN2/PPQ2PPP/4KB1R b K -,b8d7
4n3/1Rr4p/2Pk2p1/N2p4/3K4/6P1/7P/8 w - -,b7b8
r4rk1/1p4bp/p1q1ppp1/2Ppn3/1P2PB2/3B2Q1/1P3PPP/R3R1K1 w - -,f4e5
4R3/2k5/2p4p/1p4pP/7q/6N1/8/4K3 w - -,e1f2
3r1rk1/1pqb1ppp/1bn1p3/p2pP2n/P5P1/1NBB1N2/1PPQ1P2/R3R1K1 b - g3,h5g3
r4rk1/3Rp1bp/p4ppn/n1B1P3/1p2NP2/5N2/PPP3PP/R5K1 b - -,f6e5
rn1q1rk1/pp2ppbp/4bnp1/3p4/3P4/1QN1PN2/PP2BPPP/R1B2RK1 b - -,d8b6
1r2k2r/1bnnbp1p/p2pq1pB/2p5/QpN1P1P1/7P/PP3PB1/RN1R2K1 w k -,c4b6
2r2rk1/1q1bbppp/p2pp3/1p5n/1P1BPP2/PNNP4/6PP/2R1QR1K w - -,e4e5
5rk1/pp4bp/b3Rnn1/P1P3Q1/8/1P1q1B2/3B1PPP/4R1K1 w - -,c5c6
rn3rk1/1p2q1pp/2p1pn2/p2p1p1b/P1PP4/1P3NP1/4PPBP/R1Q1NRK1 w - -,e1d3
3r1bk1/1b4pp/3p1n2/4N3/2p1P3/q1P4P/3R1PP1/3QR1K1 w - -,e5c4
r1bq1rk1/pp2n1b1/2npp1pp/2p2p2/2P1P3/2NPBNP1/PP3PBP/R2Q1RK1 w - f6,e4f5
r1bqr1k1/1p3pbp/2ppnnp1/4p3/1PP1P3/2NP1NPP/5PB1/1RBQ1RK1 w - -,c1e3
6k1/1p1n1rp1/p1b4p/3N4/1B2p1Pb/P7/1P2PPB1/3R1K2 w - -,g2e4
r1b1k2r/ppB2pp1/2npp3/8/2PPn3/5N2/PP2PP1P/R3KB1R w KQkq -,a2a3
1rbqr1k1/ppn2pb1/3p1npp/2pP4/P1P5/2NBBN1P/1P1Q1PP1/R3K2R w KQ -,e1g1
r1bq1rk1/p1pnbppp/1p2p3/3n4/8/1P3NP1/PB1PPPBP/RN1Q1RK1 w - -,b1a3
8/5k1p/1pp1p1p1/p1n5/2P2b2/1P3PqP/P1R1B1P1/6QK b - -,g6g5
1r1q1rk1/1p1bppbp/p1np1np1/8/2P5/1PN3P1/PBN1PPBP/R2Q1RK1 w - -,c2e3:c3d5
r1r3k1/1pnq1pb1/3p2p1/p3n1Pp/3pPNbP/1PP1B2N/P2Q2BK/2R2R2 w - -,c3d4
8/8/7k/8/8/8/PK6/8 b - -,h6g6
8/8/6p1/7p/8/4Q3/5Krk/8 w - -,f2f1
r4rk1/1pq1bppp/3p1n2/p2Pp3/P7/1P3b2/1BP2PPP/R2QRBK1 w - -,d1f3
rnbqk2r/1p2ppbp/p2p1np1/8/3NP3/2N1BP2/PPP3PP/R2QKB1R w KQkq -,f1c4:d1d2
r2qk2r/pp1n1ppp/2pbpn2/3p4/8/3P1BPP/PPPNPP2/R1BQ1RK1 w kq -,e2e4
2rq1rk1/4n1bp/1pn2pp1/pQp1p3/2P5/P1N1B1P1/1P2PPBP/R4RK1 b - -,c6d4
r1b1r1k1/1pp1qpbp/p2pnnp1/8/P1NPp3/Q1P1P2P/1P1NBPPB/R4RK1 b - -,h7h5
r1bqr1k1/pp1n1pp1/2p4p/2b4n/2P5/1QN2N2/PP1BBPPP/3R1RK1 w - -,b3c2
8/8/8/4b3/4P1kp/8/6K1/8 w - -,g2h1
5k2/p4p1p/2N3p1/1Pq5/4r3/R2Q4/7P/5K2 b - -,c5f5
2r1kb1r/pp2p3/1qn2p2/2Pp1bpp/4n3/2P1PNB1/PP1NBPPP/R1Q2RK1 b k -,e4c5
rn1q2k1/pbppb1pp/1p2p3/8/3PNr2/2P2N2/PPQ2PPP/R3KB1R w KQ -,f1d3
rnbq1rk1/pp2ppbp/2pp1np1/8/2BPP3/5N1P/PPP1QPP1/RNB2RK1 b - -,d8c7
