8/5pk1/2R3p1/7p/5P2/r4K2/6PP/8 w - -,f3f2
2rq1b1r/p3kppp/4p3/1Q6/8/2n2P2/PP3P1P/R1B2RK1 w - -,b2c3
8/p3Qpk1/1p2p1B1/r5p1/5p2/5P2/P4P1P/6K1 b - -,g7g6
n1rr2k1/1pq1b1pb/5p1p/p3nP2/P1pB4/1N1P2Q1/6BP/R1R1N1K1 w - -,d3c4
6k1/3R4/8/8/7P/4r1PK/8/8 b - -,g8h8
7r/2qbnkb1/4p1pp/3pP3/2pP1PP1/1rP1B1KN/R2Q2B1/7R b - -,h8g8
r4rk1/1p2p2p/2np2p1/1N3q2/p1P1QP2/3n1B2/PP3P1P/1R3RK1 b - -,d3f4
8/8/2R5/5P1p/4K3/r5P1/p1k5/8 b - -,c2d2
3R4/r5k1/1p2p1p1/1Bp3P1/2P1KB2/p1r5/8/8 b - -,c3c2
6k1/8/p7/Pp4p1/1R2p3/2PpP2P/5r2/3K4 b - -,f2f3
3r1rk1/1pp1q1pp/p1pbbpn1/8/2PQP3/1P2NN2/PB3PPP/R4RK1 w - -,d4c3
r1bqkbnr/pp1p1ppp/2n1p3/2p5/4P3/5NP1/PPPP1P1P/RNBQKB1R w KQkq -,f1g2:b1c3
rn1qkb1r/ppp2ppp/3p4/7b/3Pn3/5N1P/PPP2PP1/RNBQKB1R w KQkq -,d1e2
1r3rk1/2p3p1/2b1p2p/p2pPPq1/2p3P1/2P2B2/PP4QP/4RR1K b - -,g8h8
8/8/8/3N1p2/1P3P2/n2K2k1/8/8 b - -,a3b5
8/5pp1/1R5p/p6k/4PK1r/R4P2/6r1/8 w - -,f4e3
8/5pp1/4p2p/p3P2P/4P1P1/kP6/2K5/8 w - -,c2c3
4r3/1p1bk1p1/p3p3/P1rpPpNp/1P1P4/4P1K1/6P1/R7 w - -,b4c5
8/1B1n3k/pp1P2p1/2p4p/P7/4r2P/1P6/3R2K1 b - -,e3e8
6k1/pp3pp1/2p1pP1p/8/2Pq4/1PNn3P/P3Q1Bb/B4K2 w - -,e2f3
8/4bk2/1n2p1p1/pn1pP1Pp/2pP3P/P1P5/2K1N3/1NB5 w - -,e2f4
r1bqk2r/1p1n1ppp/p2bpn2/3p2B1/3P4/2NBPN2/PP3PPP/R2QK2R w KQkq -,e1g1
1n6/1P6/1K4p1/3k2P1/1B6/8/8/8 b - -,b8c6
r3r1k1/5pp1/2p2n1p/p4P2/2nRp3/1N5P/P1B2PP1/4R1K1 b - -,c4a3
r3kb1r/pp1n1ppp/1qn1p3/1B1pPb2/1P1N4/2P5/P4PPP/RNBQ1RK1 w kq -,d1a4
8/8/4R3/6k1/2n5/r7/3K4/8 w - -,d2c2
5rrk/4q2n/1p6/p1p1Np1R/3n4/PP1P1PP1/3QPK2/1R6 w - -,b1h1
r1br2k1/ppq2pb1/2n2npp/4p3/7B/4PN1P/PP1NBPP1/R2Q1RK1 w - -,d1c1
8/1p2B2p/8/5pp1/4p1k1/2P3P1/4KPbP/8 b - -,f5f4
2q1r1k1/1b2bppp/p4n2/1p2B3/4n3/1P1BNN1P/P4PP1/1Q2R1K1 b - -,e7b4
2q1b1k1/2p3bn/p1Pp3p/3Pp3/1P3rP1/2N4P/3N1BP1/1Q2K2R b K -,e8f7
8/6b1/4k3/1p1P2pp/2N3r1/2P5/1P6/5R1K b - -,e6e7
r1bq1rk1/pp2ppbp/2n3p1/2Pp4/3P4/2P1BN2/P3BPPP/R2Q1RK1 b - -,b7b6
r2qk2r/pp1nbppp/2p1pn2/8/2PP4/5N2/PPB1QPPP/R1B2RK1 b kq -,d8b6
2b3r1/1pR1B1p1/p1p1p3/3pPk1p/2PPp2P/1P2P1P1/P5K1/8 b - -,f5g6
rnbqkb1r/3ppp1p/pP3np1/2pP4/8/2N5/PP2PPPP/R1BQKBNR b KQkq -,f8g7
1rb2rk1/p1p1n1pp/2pb1pq1/4p3/2P1P3/2BP2P1/P2N1P1P/R2QK1NR w KQ -,d1a4
r1bq1rk1/ppp1bppp/2np1n2/8/2PN4/2N1P3/PP2BPPP/R1BQ1RK1 b - -,c6d4
1r6/1p6/1B4k1/1PP2ppp/P1K5/5B1P/6P1/6b1 b - -,g5g4
6k1/5pp1/1n5p/pqpQ4/2N1P2P/6P1/5P2/6K1 w - -,d5d8
r2q1rk1/pb2npbp/1p2p1pB/2pp4/2P1P3/3P2P1/PP1QNPBP/R4RK1 w - d6,h6g7
8/4kp2/4p1p1/3pP3/3N1PP1/1PK5/8/5b2 b - -,f7f6
r1bqr1k1/1pp2pbp/3p1np1/p1n5/2PNP3/1PN3PP/P4PB1/R1BQR1K1 b - -,a5a4:f6d7:c8d7
r3rbk1/p2n3p/2q3p1/Qbp2pB1/4p3/1PP3PP/P2NPPB1/3RR1K1 w - -,f2f3
8/2B5/5pk1/6p1/4p3/5nPP/r4P2/3R1K2 w - -,c7b6
r1b1k1nr/pppp1ppp/2n5/1N6/1b2q3/2N5/PPP1BPPP/R1BQK2R b KQkq -,b4c3:e8d8
3r1rk1/p4ppp/1p6/8/P3p3/1Bq1P2P/5PP1/1Q3RK1 b - -,d8d2
8/8/5k2/8/3p2Kp/3P3P/8/8 b - -,f6e5
3q1rk1/pb2np1p/1p4p1/3p2N1/3b1P2/8/PPQB2PP/R4R1K w - -,d2c3
8/7k/P1p5/1pPpP3/2bPp1p1/P5q1/4Pr1P/6RK w - -,g1g3
2r2rk1/5ppp/1n6/pQBp4/1p6/1P3BPP/P1q1R2K/3R4 b - -,c2c5
3b1rk1/5rp1/3p1p1p/2qNpP2/b1PnP1PP/1p2N1Q1/P4RB1/1R5K w - -,a2b3
6k1/1q3b1p/5Qp1/8/2R5/6PP/5P1K/3r1B2 w - -,f1g2
7k/3r1pp1/1pqPb2p/p1p1B2P/P4Q2/2P3P1/1P1R1P1K/8 b - -,h8h7
2r2nk1/1b4p1/p1q1p2p/1p6/3P4/1QP1PN2/P5PP/4BRK1 w - -,b3b2
3rr1k1/1p3pp1/q6p/p1np4/8/PP1bNNP1/1Q1RnPBP/4R2K w - -,b3b4
r5k1/pp1b2q1/2p1p3/4N1p1/2pPQ3/4P1P1/PP5P/5RK1 b - -,a8f8
8/8/3K4/4p3/4PkB1/2R2P2/r7/8 b - -,a2a8
2r1k2r/1pq1bppp/p3p1n1/3pP3/8/P1NR1NP1/1PP1QP1P/4R1K1 w k -,f3d4
8/5k2/4n2p/r2NPpp1/2R2P2/1P1KB1P1/8/8 b - -,a5d5
k5rr/pbqnb3/1pn1pp2/2ppP1p1/1P1P4/P1P1BNP1/4QPB1/R3RNK1 w - -,e5f6
4k3/R5p1/5p1p/p1p1bP2/1pp5/7P/PPK2P2/8 b - -,c4c3
2r2k2/1b3qpQ/pn3p2/2pp4/5P1P/1P3PP1/PBR1r1B1/3R2K1 b - -,f7e7
r7/1q1rkpp1/2bp1b1p/p3pP2/4P1QP/PPBR2N1/2PR4/1K6 b - -,b7b6
8/1pk5/2p2p2/2P3b1/1P1Nr1P1/1K1R4/P6r/3R4 b - -,e4g4
8/1R6/1p2ppP1/1Pk5/6r1/n1pK4/2P2P2/8 w - -,g6g7
2b1rbk1/5ppn/q7/4pN1p/1p2P3/1P2BP1N/1Q4PP/3R3K b - -,g7g6
8/4K3/2P5/8/3q4/6k1/8/8 b - -,d4c5
8/1r3pp1/7p/5k2/5P2/1p2KP2/1R5P/8 w - -,h2h4
r1bqk2r/1pp1bppp/p1p1n3/4N3/3P4/2P5/PP3PPP/RNBQR1K1 b kq -,e8g8
r1bqk2r/1p2bppp/p1n1p3/2pnP3/P1B5/2NP1N2/1PP3PP/R1BQ1RK1 b kq -,e8g8
1rbq1rk1/p2nppbp/2np2p1/1p4B1/4P3/P1N3P1/1PP1NPBP/R2Q1RK1 w - -,d1c1
r1br2k1/pp3p1p/3n2q1/2NB4/PP1Q1B2/6P1/4PP1P/R5K1 w - -,a1d1
r6k/1pp3bp/p2pB1p1/3Pp1p1/2PnP3/2N2q2/PP1QN2P/R5K1 b - -,a8f8
2r3k1/p4p1p/6p1/1p1qp3/Q2p4/3P1PP1/PP2P1KP/R7 w - -,a4a7
r2r2k1/pp1n1p1p/1qp1p1p1/4P1b1/3P4/2PBP1P1/P1Q4P/R1B2RK1 w - -,h2h4
1N6/5k2/p7/2p1p3/P3P2p/1P1n1K2/5P2/8 b - -,f7e6
r2q2k1/p4pb1/B5p1/3pp2p/P2P4/3QPP1P/6P1/1R4K1 b - -,e5d4
2rqr1k1/pp2bppp/2n2n2/3p4/N2B2b1/P3PNP1/1P3PBP/R2Q1RK1 b - -,h7h6
