1K6/6pk/P2Q4/8/6p1/8/2q4P/8 b - -,c2b2
3R2k1/p3bp2/5p1B/1pn1p3/6PP/2P5/PPB5/1K6 b - -,e7d8
r3kbnr/ppqn1ppp/2p1p3/3p3b/2PP4/1QN1PN1P/PP3PP1/R1B1KB1R w KQkq -,g2g4
4r1k1/p4nb1/2pp2p1/7p/3P1B2/PP1R1R1P/r4NP1/7K w - -,b3b4
2br1b1k/p3q3/1p1pP1pp/3B4/1B2pP2/1Q6/PP4PP/3R2K1 w - -,d1e1
2R5/5p1k/3P1p2/1p5p/7P/3r2P1/2p2PK1/8 w - -,c8c2
r4rk1/1p2bppp/1pn5/3bp3/8/P2P1NP1/1P3PBP/R1B1R1K1 b - -,e7d6
2k4r/1qr5/p1n1PRB1/1p1p3p/b2P4/b1P2Q2/3B2PP/1R4K1 w - -,d2f4
8/8/1R2Pkp1/1p5p/1r4p1/1P6/5P2/6K1 b - -,f6e7
2rq1r2/pp3pk1/2nb2p1/5p1p/2BP3P/4NQP1/PP3P2/3R1RK1 b - -,f5f4
r1bqr1k1/ppp2p2/3p1n1b/5ppp/1PPP1N1P/2N1P1P1/P1Q2PB1/1R3RK1 w - -,h4g5
8/8/3p1kp1/4n3/4P3/3pK1b1/3N4/7R w - -,h1g1
6Q1/p4r1p/4q2k/PP1p1p2/5Rp1/4P1P1/5PK1/8 b - -,e6g6
4rrk1/pp4bp/2n2pp1/2p4q/3pP3/3P1RPB/PPP4K/R1BQ4 w - -,c1f4
r1bqnrk1/1pp3b1/n2p4/p2Ppp2/2P5/2N3N1/PP2BPP1/R1BQK2R w KQ -,c1h6
1r3k2/5ppp/Pb1p4/2q1p3/R1P1P3/2Q1NP2/4K1PP/8 b - -,b6a7
2r2r1k/pp5p/5Bp1/5n2/5P2/3n3P/PP4B1/3R1RK1 b - -,f8f6
8/1p2b2p/p1k1n1p1/2p1B3/2P1N1P1/3P2KP/PP6/8 b - -,e6f8
3rr1k1/pp3pp1/2p1bn1p/2q5/2NpPQPP/1P3P2/1PP5/1K1R1B1R w - -,g4g5
8/2pk4/1r3p1p/4pn2/R3N3/1P4P1/2P2PKP/8 b - -,f5d4
1r1q1rk1/p1nb1pbp/2n1p1p1/3pP3/1P1P1B2/2N2N1P/BP2QPP1/R1R3K1 b - -,b8b4
r3r1k1/5ppp/bnpq1n2/3pN3/1p1P1P2/1Q1BP3/1P2N1PP/2R2RK1 b - -,a6d3
3rnk2/2q2pp1/2p4p/2P1pn2/2Q1P3/3R1BPP/5PK1/8 w - -,e4f5
2kr3r/p2q1p1p/1p6/2p1PR2/3pR2Q/1P1P3P/P1P2K2/8 b - -,c8b8
rn3rk1/1p2ppbp/1ppn2p1/5b2/3P4/1PN1PN2/P3BPPP/R1BR2K1 b - -,b6b5
1r6/2q1ppk1/3p1n2/2r3p1/7R/1B2QP2/1PP3P1/R5K1 w - -,h4a4
2q1rnk1/1p3pb1/3Q2pp/P2Np3/4P2N/6Pb/4rPBP/2R1R1K1 b - -,e2e1
2r5/3q1pk1/2r3p1/p2p3p/P2R3P/8/1P1Q1PP1/3K2R1 b - -,d7f5
3r3k/4qp1P/1rp1p1p1/p2nP3/3P1PQ1/2pb3R/6BP/2R3K1 w - -,h3d3
1rr3k1/3n1pbp/p2pp1p1/qp6/2Pp4/1P2PB1P/P3QPP1/B1RR2K1 w - -,a1d4
5rk1/N4pb1/1p6/n2bN1p1/6P1/1P2P1B1/P4P2/2R3K1 b - -,f7f6
1rr3k1/pp1bqppp/3p1nn1/P1pPp3/1PN1P3/2PBQ3/1R2NPPP/R5K1 b - -,b7b5
8/4b3/1P4k1/2R4n/3P3p/2P2P2/1R5K/4r3 w - -,c5c6
r2qkb1r/pp3ppp/2n1bn2/3p4/3Q4/2N2NP1/PP2PPBP/R1B1K2R w KQkq -,d4a4
r1bk1br1/1pqn3p/p2pP1p1/3Qp1P1/4P3/1P2B2P/P1P3B1/R4RK1 b - -,g8h8
8/8/1p2k2N/3p4/3K1P2/4P1n1/8/8 w - -,h6g4
8/1R4pk/8/8/1P5P/1r4P1/5PK1/8 b - -,h7g6
8/4k2p/p1b2pp1/4p3/P1K5/8/1PPR2PP/8 b - -,c6a4
rn3r2/pp2qpkp/2pp1np1/4p3/3PP2P/2N2P2/PPPQ1P2/2KR1B1R w - -,c3e2
3r2k1/5b1p/3P1bp1/2B5/PP3R2/5BrP/3R4/7K b - -,f6e5
2rq1rk1/1b2bppp/ppn2n2/2Pp4/8/PPN1PN2/1B2BPPP/2RQ1RK1 b - -,b6c5
r2q3k/1pp1b1pN/p2pb3/P2Qp3/2BnPB2/7P/1PP2PP1/R3R1K1 w - -,d5d4
rn1q1rk1/pbp1bppp/1p1ppn2/8/2P5/1P3NP1/PB1PPPBP/RN1Q1RK1 w - -,d2d4
8/p7/5pp1/1R2b1P1/2k5/4BK2/8/8 b - -,c4b5
2r3k1/1bq2p1p/1n4p1/4p3/2N1P3/2QB4/5PPP/5RK1 w - -,c3b3
1rb2rk1/1pq1npbp/p2pp1p1/2p3B1/P2nP3/2NP2PP/1PPQNPB1/1R3RK1 w - -,e2d4
8/2k3p1/4Rp1p/5P1P/2PP1r2/3K4/8/8 w - -,e6e7
2r3k1/1p1r1pp1/p3bn1p/2q5/Q2Rp3/P1N2B1P/1P3PP1/3R2K1 w - -,c3e4
r3rk2/pp5p/1n1pp1p1/2p1P3/q1P2P2/2PQ4/P3B1PP/R4RK1 w - -,d3d6
3qr3/r4k1p/1p3bpB/p1n5/3p1P2/1P3Q2/P5PP/1BR2RK1 w - -,f4f5
r2q1rk1/ppp2ppp/2bp4/8/3Q2P1/2P5/PPP1BP1P/2KR2R1 b - -,d8h4
5k2/R3b3/p2r1p1p/P3p3/8/3B2P1/2P4P/7K b - -,e7d8
6k1/5p2/2p1p2p/8/6P1/n1qB3P/4K3/2B2R2 b - -,a3b5
8/5kb1/1p2ppNp/p2p1P1K/P2P4/1P2P1P1/8/2N2b2 b - -,e6f5
r3rbk1/5pp1/p1b3qp/1p2p3/4N3/1PPPN3/1P3PPP/R2QR1K1 w - -,d1f3
8/3nkppp/p2Npnb1/1p6/4P3/1N3P1P/PP4P1/5BK1 w - -,d6b7
6k1/5p2/p4bp1/P5rp/1Pb1B3/R1P3B1/5K2/8 w - -,g3f4
r3k2r/1b1nbppp/pq1ppn2/1p4B1/3NPPP1/3B1Q2/PPP1N2P/2KR3R b kq g3,d7c5
r1q1rbk1/p1n2ppp/8/2ppB3/Q3nN2/4PN2/PP3PPP/R1R3K1 b - -,e4g5
8/3Q1k2/p5p1/4p3/1Pp1P3/P4Pq1/4K3/7q b - -,f7f8
2k5/ppp5/4r3/6p1/P2Pp2p/1PP4P/4R1P1/6K1 b - -,e4e3
1r6/ppR3Rp/2p5/5p2/5k1r/8/1P3K2/8 w - -,c7b7
r2qrbk1/1bp2p1p/1p4p1/3p4/1PnP4/1QN1PNP1/R4P1P/2R2BK1 b - -,d8e7
8/3q1p1k/3P2pp/3Q4/p1N5/1r1R1P1P/1P6/1K6 b - -,b3b5
r4rk1/4bppp/p3p3/1p1n3q/4N3/3R3P/PP1Q1PPB/R5K1 b - -,a8c8
8/3k1pp1/p1nbp3/Pr1p3p/1p1P4/1N1KP1PP/1P1B1P2/R7 b - -,e6e5
r1bq1rk1/pp3pp1/3p3p/3PnB2/1bp5/2N1P1N1/PP3PPP/R2Q1RK1 w - -,c3e4
8/1p6/p1p2k1b/2Pp4/PP2ppK1/8/8/4B3 b - -,f6e5
r2q1rk1/pp3ppp/2n1b3/bN1p4/1P2n3/P3PN2/4BPPP/R1BQ1RK1 b - b3,d8f6
3rr1k1/p1p2ppp/2p3b1/4q3/4PQ2/3B4/PPP3PP/4RR1K w - -,d3c4
8/1p4n1/p3k1np/3p1p2/P2P3P/1P3P1B/3K4/4B3 b - -,g6f4
rnbqkb1r/1p3ppp/p1p1pn2/3pN3/2PP1B2/2N5/PP2PPPP/R2QKB1R b KQkq -,b8d7
r1b2rk1/pp3pbp/2p3p1/4q3/2Q5/2N1PB2/PP3PPP/2R2RK1 b - -,e5e7
5rk1/2p2pp1/pb5p/3RP3/2q2B1P/2r1PQ2/6PK/5R2 w - -,f1d1
rn1q1rk1/pb3pp1/1p1p3p/4p3/2P2Q2/2P2NP1/P3PPBP/R2R2K1 w - -,f4d2
6k1/p3qp1p/1p1r2p1/2rP4/P3R3/3Q2P1/5P1P/3R2K1 b - -,e7g5
7n/8/1p6/pkpP2P1/4N3/4K3/8/8 w - -,e3d3
3r2k1/2r3p1/p1N1p2p/3p4/4P3/2NR4/PP5P/3R3K b - -,c7c6
4rrk1/p2b1pbp/3q2p1/8/2p1BNn1/P1P3PP/1PQ5/2B1RRK1 b - -,d6c5
2rqr1k1/pp2bppp/2n1bn2/3p4/3P4/2N2RPP/PPN1P1B1/1RBQ2K1 b - -,f6e4
2kr3r/1bq1bp2/p1npp3/1p4pp/4PPn1/PNN4Q/1PP1B1PP/R4RBK w - -,a3a4
r3r1k1/pp3p1p/6p1/5b2/q1P5/5BPP/3Q1P1K/3RR3 b - -,a4c4
8/8/4pkp1/r2n3p/5N1P/6P1/1R3PK1/8 w - -,f4h3
r1q1rnk1/pp3p2/2pbpnp1/4N2p/2PP1P1P/P5R1/1PBRQBP1/6K1 b - -,g8g7
2r2rk1/pp1qppbp/4b1p1/n1p5/3P1B2/2PQ2P1/P1N1PPBP/R2R2K1 w - -,d4d5
