7Q/4p3/pp1pq3/8/2P2k2/1P6/P5RK/8 w - -,h8h4
rn3rk1/pp3ppp/2pqpn2/5b2/3P4/1BN5/PPPQNPPP/3RR1K1 b - -,b8d7
r4rk1/1pn3bp/p2B2q1/4p3/2P1P1p1/6P1/P4PBP/2RQR1K1 b - -,a8d8
r3r1k1/1p2b1n1/p1p4p/4P1p1/1P1PNnq1/P1NB1pPb/2Q2B1P/3RR1K1 w - -,d3c4
8/Q4pkp/2p1p1p1/4q3/2P5/5BbP/5P2/6K1 w - -,f2g3
r2r2k1/pQ3pp1/4b2p/2p1q3/2P5/8/PP2BPPP/R3R1K1 b - -,a8b8
rnb2r1k/pp2b1pp/2p1p3/q2p1p2/2PPnBP1/2NBPN2/PPQ2P1P/R3K1R1 w Q -,e1e2
1rb1qrk1/p3p1bp/n1pp1np1/1p3p2/2PP4/PP3NP1/1BQNPPBP/R4RK1 w - b6,a1c1
1r2r1k1/3q1pbp/1p1pp1p1/pPn5/4P3/1P4P1/P2BQPBP/3RR1K1 b - -,e8c8
2br1r1k/ppp2qpp/2n1p3/8/2BP1b2/1P2N3/PB1Q1PPP/3R1RK1 b - -,f7h5
4B3/8/7p/7P/1b4k1/pK6/8/8 w - -,b3a2
8/8/p2bp3/3p4/3P3B/1P6/3K4/5k2 w - -,d2e3
2r1n1q1/pk5r/1p2pP1p/3p3P/b1pP1PpB/P1P1N3/2P4K/R2Q1R2 b - -,h7f7
r3kb2/4n2r/2q1PQ1p/pp1p4/2pP1B2/1PP5/P4PPP/1R3RK1 b q -,h7g7
r3k2r/1pqn2p1/p2b1pb1/P1pPp1Pp/4P2P/2N1B2B/1P3P2/R2Q1RK1 b kq -,f6g5
rn2r1k1/pb1qbppp/1ppp1n2/3p4/2P5/2N1N1P1/PP2PPBP/R1BQ1RK1 w - -,c4d5
6k1/R5p1/8/5P2/5K1p/p5r1/8/8 b - -,g3b3
1r3rk1/ppq1ppbp/2n2n2/2ppNp2/3P1P2/2P1P3/PP1NQ1PP/R1B2RK1 w - -,g1h1
rn1qk2r/pbp1bppp/4pn2/1p6/4p3/3P2P1/PPPN1PBP/RNBQ1RK1 w kq -,b1c3
8/2p5/1pPp4/1P1n1k2/4p1r1/6P1/5K1P/4R3 w - -,f2e2
8/1p4pp/5p2/1rk1p3/1p2PP1P/3K2P1/1R6/8 w - -,f4e5
5b1k/p6p/1p6/3B4/5P2/6P1/P5KP/8 b - f3,h8g7
1r1qkb1r/3bpppp/5n2/3PN3/1p6/1QN5/1P1P1PPP/R1B1K2R w KQk -,e5d7
6k1/2q2pp1/5b1p/p2Bp2Q/1p2P2P/P5P1/1P3PK1/8 w - -,h5f5
5r2/7k/1p1R1rp1/p1n1p1q1/P1P4p/1PQ2B1P/4N2K/3R4 b - -,f6f3
r1bq1rk1/pp1nbppp/2p1pn2/3p4/2PP4/1P3NP1/P1Q1PPBP/RNB2RK1 b - -,b7b6:f6e4:c6c5:a7a5:e7d6
8/2bPkp2/R4N2/5KP1/p7/8/5r1P/8 w - -,f5e4
5rk1/pp1q2r1/3p4/2pPb1pp/P1PpPp2/1P1B1P1P/3Q1KP1/6RR w - h6,d2a5
r3k2r/b4pp1/p1pP4/8/1PPqP1b1/P1N3P1/2K3Q1/1RB2R2 b kq -,d4c4
r3k2r/1bq4p/pp2pp2/2p1b3/2P5/2N3P1/PP3PBP/R2Q1RK1 w kq -,d1h5
8/1p6/p6P/7r/P1P1k3/1PP1pp2/8/4R1K1 w - -,e1c1
r5k1/6pp/p3pp2/8/1p1P3B/2nnP3/P1r2PPP/R3NRK1 b - -,d3e1
8/r1n5/k1p1pR2/P1P3p1/2NPK1P1/7P/5P2/8 b - -,a7a8
6k1/r6p/p3p1p1/8/p4P2/3P2P1/R3PK1P/8 b - -,g8f7
6r1/2p2k2/3r1ppp/p1N4P/2KPP1P1/PP1R1P2/8/8 w - -,h5g6
r4rk1/1b1n1ppp/p2q1n2/3p4/Np6/1B2B3/PP3PPP/R2Q1RK1 w - -,d1d4
2r3k1/1bq1pp1p/6p1/1Pp5/2B1P3/2Q2P2/6PP/2R3K1 b - -,c7d6
5k2/2p2pb1/3p4/p7/1r2P2N/1P4R1/6P1/5K2 w - -,h4f5
r4k2/ppp3p1/6pp/3P1N2/2Pb3q/P7/4R1PP/2BQ3K b - -,g6f5
2Q5/5qk1/r6p/5pp1/2pP4/2P4P/5PP1/6K1 w - -,c8a6
8/5nk1/2q1pp2/1p3bpQ/2p2P1p/2P4P/3rB1PB/4R1K1 b - -,f5g6
rnbq1rk1/pppp1pp1/5n1p/8/2PNp3/2P3P1/P2PPPBP/R1BQ1RK1 b - -,c7c5:d7d6
8/2r2pk1/1nb3p1/2r1p1P1/1q2P3/2N1QP2/BPRR4/1K6 b - -,c6a4
2r1k2r/pp2pp2/2bp1p1b/2q2P2/4P2p/2NQ4/PPP1B1PP/1K1R1R2 w k -,f1f3
3R4/1q3pkp/1p2prp1/pP2Q3/PbP2r2/8/3N2PP/2R4K b - -,f4f5
r1bq1rk1/pp2bppp/2n1p3/3n4/2BPN3/P2Q1N2/1P3PPP/R1B2RK1 b - -,b7b6
6k1/5p2/5PPP/3K1P2/7n/8/8/8 w - -,g6f7
2n5/p4p2/1p1k2p1/3P4/3N4/8/PP3KPP/8 w - -,f2e3
rnb2rk1/ppp1qppp/3p1n2/3Pp3/2P1P3/P1B2N2/1PQ2PPP/R3KB1R w KQ -,g2g3:f1e2
5k2/7K/1p1pP1BP/8/2Pb4/8/8/8 b - -,d4f6
3r2k1/ppqr1pb1/2p4p/2P1p1p1/1PNnPn2/2N3B1/PQ1R1PPP/5RK1 w - -,f1d1
8/8/3p1kP1/3P4/5K2/3B4/8/2r5 w - -,d3e4
5r1k/3pP1bp/p4qp1/1p6/2p1PP2/Pn4B1/RP4K1/3Q3R b - -,f6e7
r3b3/1p2k3/2pNp3/2P2pr1/Pp1P4/1P2P3/4R2P/R5K1 w - -,e2g2
rnb1k2r/pp3ppp/4pn2/q1p3B1/2pP4/P1P1PN2/5PPP/R2QKB1R w KQkq -,g5f6
2r3k1/5pp1/p2p4/3Pp3/P3P1P1/1Pp1qP1p/2Q3K1/2NR4 w - -,g2h3
r4rk1/1b3p1p/1qn2p2/p1bp4/1p3P2/1P4P1/P1P1QNBP/R2RN1K1 b - -,g8h8
6q1/1R4bk/3Q2pp/4N3/p2P3P/5pP1/1P3P1K/4r3 b - -,g8e8
r4rk1/1b1n1p1p/p4np1/1p6/2p1Pq2/2N2N1P/PPQ2PP1/2RR1BK1 w - -,a2a4
8/5k2/1prnrp1p/3Rp1p1/p3P1PP/P1P1BK2/1P6/3R4 w - -,d1h1
r1b1nrk1/1p3qb1/n2p2pp/1NpPpp2/1PP1P2B/5P2/3NB1PP/1R1Q1RK1 w - -,b4c5
8/4k3/3pN1p1/p1pPn3/2P1P2K/1P6/3bB3/8 b - -,e7f6
r1b1r1kb/1p1n1p1n/p2p2pB/q1pP4/P3P2p/R1N2P2/1P1QB1PP/4KN1R b K -,f7f5
rnb2rk1/pp2qppp/4pn2/8/Qbp5/2N3P1/PPN1PPBP/R1B2RK1 b - -,b8a6
3r2k1/pp1q1pp1/5n1p/4r3/3p4/P1PQ1B2/1P3PPP/3R1RK1 b - -,e5e6
3n4/3k3N/4p1pB/4P3/n1b5/7P/6P1/6K1 b - -,d8f7
r1rn4/5k2/3bp1p1/3p1p2/2nP1P1p/2PN1B1P/5RP1/2B1R1K1 w - -,f2e2
2r5/Q1b2p1k/2N3pp/1P6/4pP1q/4P2P/6P1/2R3K1 b - -,h4g3
2rq1rk1/p2nbppn/bpp4p/3p4/2P1N3/1PN3P1/PB3PBP/1R1QR1K1 w - -,c4d5
3r3r/P1p1k1pp/R1q2pn1/8/1b1BP3/8/2P1QPPP/3R2K1 b - -,g6f4
2r3r1/pp2kpbp/3q4/6P1/2Pp3B/8/P2Q1P1P/2RR2K1 w - -,h4g3
r3kb1r/ppqn1p1p/2p1ppb1/8/2BP3N/2P5/PP1BQPPP/R4RK1 b kq -,e8c8
2b2rk1/2R4p/2p1N1p1/2P1p3/7N/6P1/r4P2/4R1K1 b - -,c8e6
4B3/p4R1p/4N3/P3p3/4P1pk/r7/2r5/6K1 w - -,f7f1
7r/1N6/Pkp5/4Pp2/1p3K2/1P6/8/R7 b - -,b6a7
1r3nk1/4n1bp/3p2p1/2p2pPP/1p3P1N/1P1PNq2/2P3K1/2B1R3 w - -,h4f3
r1bq1rk1/1p2ppbp/1np2np1/p7/P1pPP3/2N2NPP/1P2QPB1/R1B2RK1 b - -,e7e5
1r3rk1/p2b3p/3pp3/2p1b1q1/2P1BP2/2NPPQ1p/PP1B4/1R2K3 b - -,g5h4
5rk1/2r1p1np/p3P1p1/1q1B4/1p6/4Qn2/PPP4P/1KNR3R w - -,d5f3
r1b2rk1/2q2pbp/pp2pnp1/4p3/P3P3/N1P1B1P1/1P3PBP/R2Q1RK1 b - -,c8d7
r1b1kb1r/pp3ppp/2nq4/2pnp3/Q7/N1PP1N2/PP3PPP/R1B1KB1R w KQkq -,a3c4
