8/6k1/7p/8/pR4KP/P7/1P5r/8 b - -,h2f2
r2q1rk1/pbpn1ppp/1p1ppn2/6B1/2PPP3/P1N5/1PQ2PPP/R3KB1R b KQ -,h7h6
r1b2rk1/ppqn1pbp/6p1/2p1p3/2PP4/3BPN2/P4PPP/1RBQ1RK1 w - e6,d4d5
1r6/3bkpp1/4p2p/8/2N1Pn2/1pK5/P4PPP/2R2B2 w - -,a2b3
r3k2r/1qbn1ppp/2b2n2/1p2p3/1Bp1P2N/3PNQP1/1P3PBP/R4RK1 b kq -,a8a4
r1bqkb1r/pp1n3p/2pp1np1/4ppB1/2PP4/2NBPP2/PP2N1PP/R2QK2R b KQkq -,f8e7
rnbqkb1r/pp1ppppp/2p2n2/8/2PP1B2/8/PP2PPPP/RN1QKBNR b KQkq -,d8b6:g7g6:d7d6:d7d5
1b2q1k1/r2BBrp1/ppbP2Np/2pnp3/P1Q1p3/1P2P3/5PPP/2RR2K1 b - -,a7d7
8/R5p1/1r3k2/6p1/8/6K1/6P1/8 b - -,b6e6
2Q5/1K4pp/5k2/5p2/8/6P1/4Rp1b/8 w - -,c8d8
3r1rk1/3nppb1/1p6/p3P2q/PpPpNPp1/1P1P2P1/2Q3KN/3RR3 b - f3,g4f3
1r2r1k1/5ppp/3p4/5P2/p5Q1/P1q1B2P/5P2/1B1RK3 w - -,e1f1
1qbrk2r/1p2np2/2p1p1pb/p2pP1Np/PnPP1P2/2N1B2P/1P4P1/2RRQBK1 w k -,g2g4
r1bqk2r/1ppnbppp/p3pn2/8/2Q5/5NP1/PP1PPPBP/RNB2RK1 w kq -,c4c2
r1nq1rk1/1p1nbppp/p1p1p3/P2pPb2/3P4/1N2BN2/1PP1BPPP/R2Q1RK1 b - -,c8a7
8/5k2/6p1/5PKp/4b2P/1pB5/1P6/8 w - -,f5g6
5bk1/6p1/Q4p1p/7P/3N2P1/1q3PK1/8/8 b - -,b3b8
r7/1q1nppk1/r2p2p1/2pP3p/2NbPB2/1P1Q2PP/P1R1RP1K/8 w - -,f4g5
1kb3rr/pp3p2/2p4p/4p3/B3P2q/2P2Qn1/PP3P1N/3RR2K w - -,f2g3
3r3k/pb4pp/8/1Pqnpp2/8/PQ3PP1/1BrNR2P/4RK2 b - -,e5e4
r2qk2r/p1pnbppp/1p2pn2/4N3/Q1pP4/2N3P1/PP2PPbP/R1B2RK1 w kq -,g1g2
r1b2rk1/2q1bpp1/p2ppn1p/1pn5/3NPP2/1BN5/PPP1QBPP/R4R1K w - b6,f2h4
r2qkb1r/pb1p1ppp/1p2pn2/8/1nBPP3/5N2/PP1N1PPP/R1BQK2R w KQkq -,a2a3
8/3k2p1/3p1p1p/3PpP1P/4P3/1PR2B2/3K4/6q1 b - -,g1f2
rn1qkb1r/p4ppp/1p2pn2/3p1bB1/3P4/1QN1PN2/PP3PPP/R3KB1R b KQkq -,f8e7
r7/P7/8/2p1p1p1/1k6/1R1K1P2/P5P1/8 b - -,b4a5
r3r3/pp1b2kp/n4np1/qNp2p2/N1Pp4/6P1/PP2PPBP/2QR1RK1 w - -,b2b3
r4rk1/ppqbbppp/8/4p3/2P5/PQ2B3/1P2BPPP/R4RK1 b - -,d7c6
8/4b3/2k1p1p1/4p1P1/4N3/3K4/8/8 b - -,e7d8:c6d5
r7/2pn1kpp/1p1p4/p4p2/2PP4/P1B2PP1/1P2r2P/4R1K1 w - -,e1e2
2brr1k1/1p2qnbn/p2p2p1/P2P4/1R2pP1p/2N1B2P/3QBNP1/4R1K1 w - -,c3e4
3qr1k1/1b2rpbp/pp1p1np1/2pP4/P4B2/2N3PP/1P2PPB1/R2QR1K1 b - -,f6h5
6k1/p2q1p2/bpr1nPp1/1N1p2Pp/P1nP3P/3B1PB1/4RQ1K/8 b - -,c4d6
8/3rk3/R3pn2/8/5P2/4K3/P7/1B6 b - -,f6d5
8/5RP1/2p5/2b2P2/4k1r1/2P5/3BK3/8 b - -,g4g2
5rk1/p4pp1/Bp5p/3p1b2/P2P4/qP2QPP1/7P/2R3K1 w - -,a6b5
r3r1k1/1ppq1pp1/p1np1n1p/4p3/3PP3/1PP1PNN1/1P4PP/R2Q1RK1 w - -,d1c2
r2q1rk1/pb2bppp/1pn1pn2/2pp4/2PP4/1P3NP1/PB1NPPBP/2RQ1RK1 b - -,a8c8
1r1q1rk1/pp1bnppp/2n1p3/8/Q1Pp4/N2P1NP1/4PPBP/RR4K1 w - -,a4c2
8/4k3/4b3/6R1/p1rB2P1/P1P5/3K4/8 w - -,g5e5
r1b2rk1/ppp3b1/4p2p/N5p1/3P4/2P1n1P1/PPQ1N2P/R3BBK1 w - -,e1f2
5nk1/1p2Brqp/4p1pR/p2pP1P1/P2P1NP1/5R2/3Q4/1r4K1 w - -,g1g2
4r3/2p1k3/2p3pq/p2p4/Pr6/Q5R1/4NKRP/8 w - -,g3g6
r4rk1/1p3pbp/p2P2p1/4P1q1/P2pQ1P1/3B4/1P5P/R4R1K w - -,e5e6
r4nk1/p3rQp1/1np1p3/2N1p3/1P1P3P/PN6/5P2/R4KR1 b - -,e7f7
r1b2rk1/p1q1ppbp/1pp2np1/5n2/2PPN3/1B3N1P/PP1B1PP1/R1Q1R1K1 w - -,d2f4
3rr1k1/1pqn1pb1/p1b3pp/P1p1p3/2N1P3/2BP4/2PN1PPP/R1Q1R1K1 w - -,c1b2
2r3k1/3r3p/pB2b1p1/Pq2pp2/1P6/2P4P/R3QPP1/4R1K1 b - -,e6a2
4r1k1/4rp1p/p6B/1p1q1pPP/8/2P2P2/PPQ1p3/K3R3 w - -,b2b3
r2qrbk1/5pp1/p1npbn1p/1pp1p3/P3P3/2PP1NNP/1PB2PP1/R1BQR1K1 w - -,d3d4
5k2/5p2/1p3rpp/2nP4/2P1B3/4KP2/5P1P/R7 w - -,a1a7
r2q1k1r/5p1p/p2pb1p1/4p1b1/QN2P3/2P5/1P3PPP/R3KB1R w KQ -,f1a6
1rr5/3k2b1/3p1np1/pp2pp1p/4P2P/2PN1PP1/PP1BR1K1/4R3 b - -,f5e4
r2q1rk1/p1n3b1/bp1p3p/2pPp1p1/1PP1PpP1/P1N2P2/2Q1N1BP/1R3RK1 w - -,c2d3
8/5p2/6k1/pR5p/6p1/2P3PP/rP3KP1/8 w - -,h3g4
3r1rk1/p4ppp/8/8/1b1p4/8/PP2NPPP/R2R2K1 b - -,d4d3
2k5/7p/2P3p1/2K3P1/7P/8/8/8 w - -,c5d6
5bk1/R4p2/4p1p1/4P1Pp/1PQ2P1P/K7/NBb5/1r5q b - -,h1f3
8/Rbk2Np1/2p5/1pPp1PP1/1P1PrK2/8/8/8 w - -,f4f3
6k1/5pB1/4p3/3q3p/Pb5P/5PP1/2Q3K1/8 b - -,g8g7
r1b2rk1/qp2bpp1/p1n2n1p/3p4/N2N1B2/P3P3/1P2BPPP/R2Q1RK1 w - -,a1c1
r2q2k1/p5r1/2pPpbp1/1p1n1p2/3P1P2/1P3NP1/P5KQ/R1B4R w - -,f3e5
r1q1r1k1/1b1nbpp1/pp2p2p/8/2N5/2PB2B1/PPQ2PPP/3RR1K1 b - -,b6b5
r1b2rk1/pp3pbp/2n2qp1/4p3/5B2/P4N2/1PPQPPPP/1K1R1B1R w - -,f4g5
r1bq1rk1/3nbpp1/pppp1n1p/4p3/P1BPP3/2N1BN1P/1PP2PP1/R2QR1K1 w - -,f3h4
r1b1k2r/p4pb1/3pp1pp/q1p1P3/1p1P4/3PB1P1/PP2QPBP/1K1R3R b kq -,a8b8
k1r3r1/1p1bn1pp/p3p3/q2pPp2/3N1P1P/2NRQ3/PPP3P1/1K1R4 w - -,d4b3
8/2B2p1p/2p3p1/Pk6/r7/1K4P1/5P1P/8 w - -,b3c3
8/1b3R2/8/2p5/k1Pp4/1r1P4/r4BPP/3R2K1 b - -,a4a3
3rk3/p2prpbp/1p1R2p1/1Bp1P3/5PKP/P5P1/1P6/3R4 b - -,g7h6
4r3/p5k1/1n3qpp/3p2r1/4p3/1P2N2P/P2QRPP1/3R2K1 b - -,h6h5
rn1qkbnr/ppp1pppp/8/5b2/2pP4/4PN2/PP3PPP/RNBQKB1R b KQkq -,e7e6
rnbqkb1r/pp3ppp/2n1p3/8/2Pp4/3P1NP1/PP3PBP/RNBQ1RK1 b kq -,f8e7
r2r2k1/ppp1ppbp/q1n2np1/8/3P2b1/5NP1/PPPBNPBP/R2QR1K1 w - -,d1c1
2b5/p1p2p2/2p2kp1/4p3/N3P1P1/1P3P2/P1PR2K1/2r5 w - -,a4c5
2r1r1k1/3nppbp/p2p2p1/1p1b4/2P1P3/1P2BP2/P2R2PP/2R2BK1 w - -,e4d5
r1bq1rk1/6pp/p2p2n1/1ppP1P2/5P2/6bP/PPB3PN/R1BQ1RK1 b - -,c8f5
2Q1k3/6pp/8/7P/1pp1N3/3n2P1/1P3PK1/3q4 b - -,e8e7
r5k1/1p3pp1/2p1b2p/r1n1p3/PQPqP3/2N2P2/4R1PP/R4B1K w - -,e2e1
1r6/7p/4k3/5pB1/2n1p3/P1N3P1/1P3P1P/6K1 w - -,b2b4
2r2rk1/pp2p1bp/3ppnp1/q3n3/4P1P1/2N1BP2/PPPQB2P/1K1R3R w - -,c3b5
1kr4r/1b2b3/p2pPp1p/1pq1p3/4P3/2N3P1/PPP1Q2P/2KRRB2 w - -,c1b1
6R1/8/3k4/7p/1P1BPnp1/6r1/8/5K2 w - -,b4b5
1r3k2/4p3/b2p1pnN/2pP1R2/Pr2PP2/1P5P/3R2B1/6K1 w - -,d2f2
8/1Q2ppkp/2P3p1/2Prb3/8/3B2PP/1q3P2/3R2K1 w - -,b7e7
5rk1/1p1q1b2/1P1p4/2rNbppp/2P1p3/Q3P2P/4BPP1/1RR3K1 w - -,c1d1
r1q1r1k1/5pbp/3p2p1/3R4/4PP2/2N5/PP3QPP/4R1K1 b - -,g7c3
