8/8/8/K5Q1/P4pp1/1p3k2/8/8 w - -,g5d5
r4qk1/1pr2pp1/p2p3p/P2P4/1P1Q2R1/7P/5PPK/4R3 w - -,e1e3
r1bqk2r/ppp1nppp/2n5/1B1p4/1b1PP3/2N2N2/PP3PPP/R1BQ1RK1 b kq -,b4c3
rnb1k2r/p3ppbp/1q1p1np1/1BpP4/Pp2PB2/1NP2N2/1PQ2PPP/R3K2R b KQkq -,c8d7
r3kb1r/pp1N2p1/1qb1pp2/2pp3p/3P1P2/1P2P3/PBP1Q1PP/RN3RK1 b kq -,c6d7
r2q1rk1/pp4pp/1bpP2n1/3nPp2/2N5/2P3Q1/PP2BPPP/R1B1K2R w KQ f6,c1g5
8/1p3pp1/2k1p2p/pr5P/2KP1PP1/2P5/1P2R3/8 b - -,a5a4
r1b2r1k/ppq3pB/3b1n2/3pn1N1/8/5N2/PP3PPP/R1BQR1K1 w - -,f3h4
rnbqkb1r/ppp1p1pp/5B2/3p4/3Pp3/2N5/PPP2PPP/R2QKBNR b KQkq -,e7f6
8/8/5R2/P3p3/4k3/6P1/1r2KP2/8 w - -,e2f1
2r1r1k1/2pn1p2/b2Nn1pp/p1p5/3PP3/P4PB1/3R2PP/1R3BK1 b - -,c7d6
r1bqk2r/4pp2/1n1p3b/2pP4/4NPn1/1P2N1P1/P1Q3B1/R1BR2K1 w kq -,e3g4
6k1/5pp1/8/1p4P1/8/1Pr5/2P2R1P/5K2 b - -,g8h7
8/1rnk2p1/1bNp3p/1P3p2/R7/6PP/3B1PK1/8 b - -,c7b5
r6k/pp3rp1/2nq3p/3p4/3PpNb1/6P1/PP1Q1P2/RB3RK1 w - -,b1c2
2R5/8/8/2b5/1p1k4/5K2/P7/8 b - -,d4d5
8/1p6/p3k2p/2p1p3/5r1P/1P1P2K1/1PP5/R7 b - -,h6h5
rnbq1rk1/pp3ppp/2pbpn2/3p4/2P5/1PN1PN2/PB1PBPPP/R2QK2R b KQ -,b8d7:e6e5:a7a6:b7b6
r1b2rk1/pp1nb1pp/1qn1pp2/3pP3/3P1P2/5NPB/PP5P/R1BQ1KNR w - -,f1g2
8/5kp1/7p/4Rp1K/P2r1N1P/4p1P1/8/8 b - -,f7f6
r4rk1/1pP3p1/1b6/5p2/p1q2B1Q/7P/P1B2PP1/2R3K1 b - -,b6c7
8/1R6/8/p2r3p/Pbk5/7P/4KP2/8 w - -,f2f4
r3k2r/pp1bbpp1/1q6/3pPpBp/1PnP3P/P4N2/4NPP1/R2QK2R b KQkq -,f7f6
r1b2r2/2q1bp1k/p4p1p/P3p3/1pB1P3/1NP5/NP2Q1PP/3R2K1 b - -,c8e6
rn1qkbnr/pp2pppp/8/2pp4/6b1/1P2PN2/P1PPBPPP/RNBQK2R b KQkq -,b8c6
8/8/8/5Kr1/8/3k4/8/8 w - -,f5g5
r3k2r/4b1pp/pnqppn2/4p3/4P3/2N1B1PB/1PP2P1P/R2QK2R b KQkq -,d6d5
r2q1rk1/p3bppp/1p2p3/2npN3/1n1N1P2/1P1PP3/PB4PP/R2Q1RK1 b - -,f7f6
6k1/pb3rbp/8/1p1q2p1/2pPp1P1/2P4P/PP2Br1K/4NRQ1 w - -,f1f2
rn2kb1r/pp1n1pp1/4p3/3qP3/2PpN2p/4BQ1P/PP2BPP1/R4RK1 b kq c3,d5e5
3RN2k/7p/p7/8/2B1bp2/P6P/2r5/5K2 w - -,c4b3
8/5N2/p6p/5P2/k3K2P/8/bb6/8 w - -,f7h6
2r2rk1/qp1bppbp/p1np1np1/8/2PN4/1PN1P1PP/PB3PB1/2RQ1RK1 w - -,f1e1:c3a4
3r3k/2r3pp/1q6/1p1pPp2/pPnQ1P2/P1P5/R5BP/3R3K w - -,d4b6
8/p1R2n1p/1p1kbpp1/3pp3/5P2/1P1PPNPP/P2K2B1/8 b - -,d6c7
8/pR4b1/1p3ppk/2p5/6P1/2P3N1/PP3PK1/1r6 w - -,b2b3
r1bq1rk1/ppp1npbp/2np2p1/8/3NP3/2N1B3/PPPQ1PPP/2KR1B1R w - -,h2h4
r1b2rk1/4qpnp/p2p2p1/1ppPb3/4P3/P1N1BB1P/1P1Q1PP1/R3R1K1 w - -,b2b4
2k1r3/ppp4p/1n1b2pB/3pNb2/5P2/2PB4/PP3P1P/2K1R3 b - -,f5d3
3q1rn1/1b1r2k1/p4pp1/1p6/5Q1P/5NN1/P1P3P1/4RR1K b - h3,b7f3
r1bq1rk1/1p2b1pp/ppn1pp2/8/2NPN3/4P1P1/PP3PBP/R2Q1RK1 b - -,c6b4
r2qr1k1/pb5p/1p3bp1/2p1p3/3pP1B1/1P4Q1/PB3PPP/R4RK1 w - -,a1e1
5Q2/8/p4k2/5pp1/4q1P1/P1P2p2/1P6/K7 b - -,f6e5
3r2k1/2R2p2/p7/4rB2/2p3P1/7P/PP5K/8 b - g3,e5e3
5r2/6p1/3P2k1/1pP5/1P2R3/5p1P/8/6K1 w - -,g1f2
1r4k1/p4pbp/1p1p2p1/3P4/1PPp1N2/P2Pq1P1/2R3K1/3Q4 b - -,e3e7
r2qkb1r/1b1n1pp1/p2p2Pp/4pP2/P1p1P3/2N1B3/1PPQN2P/R3K2R b KQkq -,d7f6
3q1rk1/5p1p/3pb1pQ/4p3/rp2P3/3R1PN1/1PP3PP/2K4R w - -,b2b3
1r2n1k1/2rb4/3p2pp/qP1Ppp2/PRB1P3/3QP2P/1R1N2P1/6K1 w - f6,d3e2
r1b2k1r/1pq1nppp/p3p3/1BbP4/4N3/5N2/PP3PPP/R1BQ1RK1 b - -,e6d5
2rr2k1/pb1qppb1/1pnp1npp/2p5/2BP4/P1P1PN1P/1P1N1PPB/R2QR1K1 w - -,d1e2
2r5/1ppb2kp/8/3P1p2/1P2pP2/8/rP2BP1P/1RR3K1 b - -,a2a4
3q4/pQ4p1/1p1r2p1/1kp5/3p2B1/2n5/2PK1P2/1R5R b - -,b5c4
3r1rk1/2pqb1pp/p4pn1/1pP5/1PbN1P2/P3Q1NP/1B1R2P1/4R1K1 w - -,b2c3
8/2k2p2/p1r3p1/R3K1P1/4P3/8/8/8 b - -,c6e6
2r5/2P1kp2/5p2/4p3/ppR3PP/8/P3P3/6K1 w - -,c4b4
8/1kp4p/p3qpp1/1p6/P1r5/5P1P/6P1/1R1Q3K b - a3,b5b4
3rr3/ppq2Qpk/2pbp2p/4Pp2/1PP1pP2/P3P1P1/1B5P/R3R1K1 w - -,f7c7
8/8/8/pp2PR2/1r6/4kP2/KBr5/1R6 w - -,e5e6
3rr1k1/1b2qpp1/np1pp2p/p1p5/2PPPP2/1PQ2NP1/P5BP/3RR1K1 w - c6,d4d5
Qn2r1k1/p2b1pbp/6p1/q2P4/4nB2/2p2NP1/PP1NPPBP/R3K2R b KQ -,c3d2
1rb1k2r/2q2ppp/p1pbp1n1/8/5P1P/2NB2P1/PPP1Q3/R1B1K2R b KQk h3,g6e7
8/5pk1/r5pp/3R4/5N1P/6P1/5PK1/8 w - -,d5b5
3r2k1/4bpp1/4p2p/4P3/2rBNPP1/1B5P/P7/3R2K1 b - -,d8d4
r3kb1r/1b3ppp/p2ppn2/q1n5/Np1NP1P1/1P2BP2/P1PQ3P/2KR1B1R w kq -,a2a3
8/8/8/4k3/2K5/4n3/8/6R1 w - -,c4d3
r2qk2r/pp1nbppp/2p1pn2/3p3b/4P3/1P1P1NPP/P1PN1PB1/R1BQ1RK1 b kq -,e8g8
5rk1/p3qp1p/4b1p1/3pP3/3N4/P3Q3/1r3PPP/R3R1K1 b - -,e7b7
r2q1rk1/pp3pbp/3p2p1/2n2b2/5B2/Q1N3P1/PP3PBP/3R1RK1 b - -,f5d3
1rb2rk1/pp4pp/2n1pn2/3p4/3B1P2/2N5/PPPR2PP/1K3B1R b - -,c6d4
3b4/8/3k4/1P6/3NKN1P/8/8/8 w - -,h4h5
8/8/6p1/7k/7p/1r5P/6RK/8 b - -,b3e3
4n1k1/ppqn2bp/2p1bpp1/4p3/P1N1P3/BP3NP1/2P1QP1P/5BK1 w - -,e2d2
1r3rk1/3bbp1p/p1n1p1p1/qpBpP3/5P2/1PPB1N2/P1R2QPP/5RK1 b - -,e7c5
1Q2B3/8/7k/7P/2P1p3/4K3/p7/3n4 w - -,e3e4
1k2q3/8/1p3pb1/Pnp1p2p/3bP3/1PB2BP1/2Q2PK1/7R w - -,c3d2
8/8/8/2R4p/1p4p1/1B2r3/P3k1PK/8 w - -,c5h5
q4rk1/5ppp/4p3/pQPpn2n/1p6/1P2B1P1/P3PPBP/1R4K1 w - -,e3d4
2r3k1/pbrnqpp1/1p2p2p/2p5/1PN5/P2PP2P/1QR2PP1/2R2BK1 w - -,b4b5
r4rk1/1pqbb1pp/p2ppn2/6B1/3QP3/1BN5/PPP3PP/R4R1K b - -,g8h8
3r2k1/pp4bp/3P4/7B/3nNp2/8/PP3PPP/3R2K1 b - -,g7e5
r3k2r/1pp2p2/p1np3p/6pn/2BPP3/5qB1/PP1Q1P1P/2KR3R b kq -,h5g3
5k2/1p5p/3N4/pP3p2/1n2p3/1Bb1P1PP/5P2/6K1 b - -,b7b6
2r4k/p5p1/7p/8/Q1P3q1/8/PP6/K1R5 b - -,h6h5
3b4/3P4/8/4k3/2K3B1/7P/3r4/8 b - -,d2c2
