8/8/8/2p5/2k5/6R1/4r3/3K4 b - -,e2f2
8/8/r1kp2p1/P1ppnp1p/R7/1N1PP1PP/P1P1K3/8 w - -,c2c4
8/7p/4N3/5pP1/n1P3kP/6P1/1pK5/8 b - -,g4g3
2kr3r/p3n1pq/1pn1p2p/3pPp1P/b1pP2P1/P1P1N3/2PQBP1B/R3K1R1 b Q -,h8f8
r2q1rk1/ppp1n1bp/2np2p1/4pb2/2P4N/2NP2P1/PP3PBP/R1BQ1RK1 b - -,f5e6
4rk2/pp3p1Q/7p/2p1q3/2Pp4/P2B3P/1P1b1PP1/3R2K1 b - -,e8e6
r1b2rk1/p4pb1/1pp3pp/2p1PnQ1/8/2NP3P/PPP2BPN/4RRK1 b - -,h6g5
r3q2k/pppnp1bp/2b1Q1p1/5rB1/5P2/2N5/PP2P1PP/3RKB1R w K -,h1g1
r7/1p6/1P1p4/2k5/3pp1pP/PR6/5K2/8 w - -,f2g3
r4rk1/pppq2pp/2nb1pn1/3p4/1P1P2bB/2PB1N2/P4PPP/RN1QR1K1 w - -,h4g3
8/4R1pp/8/P7/4kp2/1P5P/2r3PK/8 b - -,e4d4
r7/5p2/3Nk1pp/2Kp4/p4PPP/P2B4/2P5/8 b - -,a8d8
8/1pk1p2p/2n3p1/3bP3/8/P2R2K1/6PP/8 b - -,e7e6
r4r1k/p4p1p/1qn1pp2/2p5/6Q1/P4NP1/1P2bPBP/R3R1K1 b - -,e2d3
5rk1/pbp2npp/1p1b1n2/3p3q/1P1P3P/P2B1NP1/1BQ1RP2/5NK1 w - -,f3e5
r2r2k1/p4qpp/4p3/3pB3/2bPp3/4P2P/PR1Q1PP1/1R4K1 b - -,h7h6
7r/p7/1p2k2p/P1p1p3/2n5/2P3P1/R4BKP/8 b - -,c4a5
8/2r3k1/p2N2p1/8/5pK1/7P/6P1/8 w - -,d6e8
r1bqkb1r/1pppnp1p/p1n3p1/8/B2pP3/2N2N2/PPP2PPP/R1BQK2R w KQkq -,c3d5
7k/1p2Qq2/p2p2pP/2p5/4b1P1/5r1N/PPP5/1K5R w - -,e7f7
rnbqk2r/p3ppbp/2pp1np1/1p6/3PP3/2NBB3/PPPQ1PPP/R3K1NR w KQkq -,e3h6
1r4k1/2qbppb1/p2p1np1/2pP4/P1P1P3/1rNQ3P/3BN1P1/R4RK1 w - -,f1d1
5rk1/pp3pp1/q3p2p/6r1/4Q1N1/1P6/P4PPP/R4RK1 b - -,f7f5
5n1k/4b3/p3p1Pp/2p1P3/2P2P2/1r2N2K/R7/6B1 b - -,f8g6
1rr3k1/p4ppp/2R1b3/3p4/8/2Q3P1/PP2qPBP/2R3K1 b - -,c8c6
8/6k1/1P3np1/5p2/2Q1p3/P6P/4B1P1/1r5K w - -,h1h2
5nk1/1p2r3/p6P/P4K2/1PQ5/8/8/8 b - -,g8h7
r1b2r2/pppn2kp/5qp1/2P2p2/1P1np3/6P1/P1NNPPBP/R2Q1RK1 b - -,d4c2
r2r1k2/p3b1p1/4p2p/2Bn1p2/1P2N3/P5P1/2R1KP1P/2R5 w - f6,e4c3
rn1q1rk1/1p2bppp/p2pbn2/4p3/4P3/1NN1BP2/PPPQ2PP/R3KB1R w KQ -,f1e2:g2g4:e1c1
r1b1kb1r/p4ppp/2p2n2/1p2p1B1/4P3/PBN5/1PP2PPP/R3K2R b KQ -,b5b4
8/8/7p/5p1P/2pk1P2/5P2/2K5/8 w - -,c2d2
7k/6b1/5nQq/8/4p3/2P5/PP5P/1K4R1 b - -,e4e3
4rr2/6bk/1p1q2pp/pNp1pp2/P1B1P3/3P1NPP/1P1B1PK1/4RR2 b - -,d6b8
3rn1k1/p2rbppp/1p2p1q1/2p5/2P5/1P1PQ1PP/PB3PK1/2NR1R2 w - -,a2a3
3q1rk1/2p1bpp1/7p/2Pp4/2bBnNQ1/5N2/p4PPP/4R1K1 b - -,e7f6
2rq1rk1/p3bp1p/2n2np1/1p1p4/1P1P4/2P2B2/P2N2PP/R1BQ1RK1 b - b3,c6b8
r2qk2r/3n1ppp/b1p1p3/pp2Pn2/PbpP2Q1/2N2N2/1P1B1PPP/R3KB1R w KQkq -,a4b5
6k1/3q1p2/4p1pp/bpQpP3/p2P2P1/P2NP2P/1P3K2/8 b - -,g8g7
1k1r1q1r/ppp4p/2n1B3/4bQ2/4p3/2PbB3/PP1N1PPP/R3K2R b KQ -,f8d6
r1bqk2r/pp1pnpbp/2n1p1p1/2p5/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 b kq -,e8g8
r4rk1/p4p1p/bp2pp2/3p4/1P6/P1N1P3/2P2PPP/2KR3R w - -,e3e4
4rr1k/ppp3pp/3P4/8/2B1nP1q/P1P1Pb2/2Q4P/R1B2KR1 w - -,d6c7
8/5pk1/p6p/P1R4P/3r1p2/8/5PP1/5K2 w - -,c5c6
r4rk1/1b3ppp/p3pb2/1pq3B1/3RB3/2P5/PP2QPPP/5RK1 w - -,e4h7
8/p7/1p1k3p/6n1/PPB1K1P1/8/8/8 w - -,e4f5
2r1r1k1/p2q4/3bp1p1/1p3p1p/3P1B2/2P1RQ2/P4PPP/4R1K1 b - -,b5b4
2rqrbk1/3b1pp1/1pn2n1p/p3p3/P1NpP3/3P3P/1P1BBPPN/R1RQ2K1 w - -,f2f4
r3k2r/1b3p1p/p4Pp1/3pb3/8/1PpR4/P1P1B1PP/3KB2R b kq -,e5f6
r1r5/p7/2b1k2p/1p1p1Bp1/2pP2N1/4PP1P/PP3K2/2R3R1 b - -,e6f5
3r1rk1/pp2nppp/4b3/q1b5/2pB3N/P5P1/1P2QPBP/R2R2K1 w - -,e2e5
1r3rk1/2nqbpnp/p2p2pB/1PpPp3/2P1P3/1PNQ1PPN/6KP/R4R2 b - -,a6b5
r5k1/1br1qpb1/3n2p1/1Ppp3p/8/3BPN1P/5PP1/1RRQB1K1 w - h6,d3f1
8/4r3/P2p3p/2k3p1/3RP1P1/4K2P/8/8 w - -,d4d5
3q2k1/p1r1rpp1/Bp2pn1p/P7/3P4/2P2QP1/5PP1/R1R3K1 w - -,a5b6
8/p5pp/1pr1k3/8/8/1R3KP1/PP3P1P/8 b - -,e6e5
r2qkb1r/pp2npp1/2p1b2p/3n4/2BQN3/8/PPP2PPP/RNB1R1K1 w kq -,e4c5
r1b2rk1/2q1bppp/3p1n2/pp2p3/1n1PP3/1N2BN1P/PPB2PP1/R2QR1K1 w - -,c2b1
r2r2k1/ppq2ppp/3bp3/2n5/2P5/2B5/PPB1QPPP/R3K2R w KQ -,a1d1
rnbqr1k1/pp2bppp/3p1n2/2p5/4P3/1NN5/PPP1BPPP/R1BQR1K1 b - -,b8c6
8/p7/1b1K4/3P4/2R1kr2/2P5/8/8 b - -,e4e3
rnbq1rk1/p4ppp/1p1bpn2/2ppN3/3P1B2/3BP3/PPPN1PPP/R2QK2R w KQ c6,c2c3
r4rk1/1ppnqpp1/1b1p1nbp/3Pp3/1PP1P3/2N3PP/4NPB1/1RBQ1RK1 w - -,g1h2
8/1p3k2/p1p2P1P/P1P3K1/1P6/3r2B1/7P/8 w - -,g3d6
8/3k1P2/3P4/5K2/4N3/8/8/5r2 w - -,f5g6
Nn3rk1/1p1b2bn/3p2q1/3Pp2p/1P2Pp2/2N2P2/4BRPP/1R1Q2K1 b - -,g7f6
2rr4/1p2kppp/4p3/p1b5/5B2/P1P5/1P2KPPP/R2R4 b - -,a5a4
4rk2/2P2ppp/6b1/1R6/1p6/3P3P/B1P3PK/8 b - -,e8c8
8/p2B2k1/5pp1/5n1p/5R2/4r1P1/8/5K2 b - -,e3g3
R7/8/1pn5/3k4/6B1/1P3P2/P1K3P1/2b5 b - -,c1e3
rnb1r1k1/pp2qppp/2pp1n2/4p3/2PP4/2N2NP1/PP1QPPBP/R4RK1 w - -,e2e3
rnbqkb1r/pp2pp1p/3p1np1/2pP4/2P1P3/2N2N2/PP2BPPP/R1BQK2R b KQkq -,f8g7
r2q1rk1/1bpnbppp/pp1p1n2/4p3/P1BPP3/1PN2N1P/2P2PP1/R1BQR1K1 b - -,c7c6
r3k1nr/ppqnbppb/2p1p2p/3p4/4P3/1P1P1NP1/P1PNQPBP/R1B1R1K1 b kq -,d5e4
1r5k/p5p1/1p2B1np/2b5/4NP2/8/PP4KP/2RR4 b - -,g6f4
3Q4/1p1n1p1k/2p2P1p/p6q/4p3/1PP4b/P5B1/3RR2K w - -,h1g1
5b1k/2p2pp1/2r1q2p/p2rp2P/2Q3R1/P4P2/1PP5/1KB3R1 w - -,c4b3
5K2/3k4/5P2/8/2p5/8/4r2p/7R w - -,f6f7
5k2/q7/7p/3p1Q1P/3P2p1/4P3/2N3K1/8 b - -,f8e8
1rr3k1/pp1bppbp/3p1np1/q7/3nP1PP/2N1BP2/PPPQB3/1K1R3R w - -,e3d4
r4rk1/pp2bp2/2bppn1p/q5p1/3QP1PB/2N2N2/PPP2P1P/1K1RR3 w - g6,h4g3
r1bqnr1k/ppp1npbp/3p2p1/8/2PpP3/2N1B1P1/PP2NPBP/1R1Q1RK1 w - -,e3d4
r2qk2r/pbpn1pbp/1p2p1n1/3p2N1/4P3/3P2P1/PPP1QPB1/RNB1K2R b KQkq -,h7h6
7r/1bn1kpp1/p2R4/1pB1P2p/4p1P1/PP5P/2P2PB1/6K1 b - -,c7e6
r3qk1r/1p2bp2/pN3p2/2P2b1p/7P/8/PPP1Q3/2KR1BR1 w - -,e2g2
2rrb3/1p2k2p/1n1pp1p1/p4p2/2P1PPPP/PPN1K3/3RB3/3R4 b - -,f5g4
