8/2K4p/2p4P/P6k/2PPb3/4Qp2/1r6/8 b - -,f3f2
4r3/1b1p2kp/p1qP2p1/npp1p3/4Nr2/5N2/PP3PPP/R2QR1K1 w - -,f3d2
2rqkbnr/6pp/p3bp2/np1pp3/8/1BN1PN2/PBPP1PPP/R2Q1RK1 b k -,a5b3
2r1r1k1/pp3pp1/1qn3p1/3p4/B7/5P2/PP3QPP/3R1RK1 b - -,e8e2
4r1k1/p1q2ppp/6r1/2BR4/2n2P2/2P1P3/P3Q1PP/5RK1 b - -,c4b6
3r4/p2nrqk1/1pB1p1pp/8/2pP3P/2P1Q1P1/PP3P2/R3R1K1 w - -,c6d7
6k1/q2b1pp1/2p1rn1p/4pN2/1P2P1PP/5P2/3Q2K1/B2R4 b - h3,d7e8
1k2q2n/8/Q2rp3/1p3p2/4b3/1P5B/2P5/1K1R4 w - -,d1d6
5rk1/4q1pp/3b4/2n5/3pP3/B5P1/P1rNR1KP/R5Q1 b - -,c2d2
rn3rk1/pb3pp1/1pp4p/3pq3/Q3P3/2N3P1/PP3PBP/R4RK1 w - -,e4d5
8/1p6/2p2k1p/3n1pP1/3P4/4BKP1/rP1R1P2/8 b - -,h6g5
r1bqk1nr/pppn1pbp/3pp1p1/8/2BPP3/2N2N2/PPP2PPP/R1BQK2R w KQkq -,e1g1
R7/6r1/8/4n1K1/4k3/8/8/8 w - -,g5f6
6k1/5p2/6p1/PR6/8/r7/5PK1/8 w - -,g2f1
2r1k3/1p3p1p/p3p3/4Pn2/2P1r3/1P1R4/P4B1P/R4K2 w - -,a1e1
2r2r1k/p3b1pp/1p2bp2/1qp5/P2p4/N2P2P1/1P2PPBP/2R1R1K1 w - -,a4b5
r4r1k/ppq4p/3N4/1BP1b3/1P6/P2Q1p2/5P2/1RB2K2 w - -,d3e4
2kr1b1r/pp1np1pp/1qp1Bnb1/6B1/3Pp1P1/2N4P/PPPQ4/2KR2NR b - -,c8b8
8/5pk1/p6p/1b3qp1/1Q6/1P4P1/2R2K1P/8 w - -,f2e3
3r2k1/p4pp1/q7/2P4p/7Q/P4N1n/1P4B1/4RK2 w - -,e1e2
7k/4b2p/pp2p3/4P3/2P1NP2/PP1r4/6KP/2B5 w - -,b3b4
2br2k1/R4p2/1p4p1/3n1rNp/1P5P/P4BP1/5PK1/4R3 b - -,b6b5
8/p1p1R1pk/2p3rp/5q2/2P2n2/2B1QPP1/PP5P/5K2 b - -,f5h3
2Q5/5ppk/1p3q1p/8/1P1Np3/3bP2P/5PP1/6K1 w - -,b4b5
r2q1rk1/4nppp/p1nb4/3p1b2/2pP4/B1P2N2/P2NBPPP/R1Q1R1K1 w - -,e2d1
2rqk2r/1p3p2/p2ppn1b/3Nn1pp/2P1P3/1P6/PB2BPPP/R3QRK1 w k -,d5f6
2kr1b1r/1ppn1pp1/p7/5q1p/8/4BB1P/PPP2PP1/R1QR2K1 b - -,f8d6
2rqr1k1/pb3p1p/1p2p1p1/3PN2n/1bP2P2/2N5/PB3QPP/3R1R1K b - -,d8e7
8/pp5Q/4q3/4p1p1/5p2/6kP/6P1/5R1K w - -,f1f3
8/5k2/p5p1/2b5/1p3Pn1/2B1r3/PP4P1/5R1K w - -,c3e5
8/2RR4/5k1p/6p1/2p1rpP1/r7/5PKP/8 w - -,d7d6
r4rk1/1bqnbppp/pp1ppn2/8/2P5/1PN1PNP1/P2BQPBP/R2R2K1 w - -,d2c1
2q2rk1/p2R1ppp/4p3/1QP5/5P2/P3P3/5P1P/b1B3K1 b - -,a7a6
rn1qkb1r/pbpp1pp1/1p2pn1p/8/3P3B/4PN2/PPP1BPPP/RN1QK2R b KQkq -,g7g5:d7d6
4r1k1/2R2p1p/4rPp1/8/2P5/B4Q1P/2q2PP1/3R2K1 b - -,e8a8
4r1k1/2Q2pb1/6pp/4P3/3R3P/qp3NP1/r4PB1/1R4K1 w - -,h4h5
r5k1/1p3B2/p1P4p/6pn/1P1B1nq1/P1N2pP1/2Q3bP/3RR1K1 b - -,g8f8
1rbq1rk1/4npbp/p2p2p1/1ppPp3/4P3/1P1P2P1/PB1QNPBP/R4RK1 b - -,d8b6
4rr2/2q3bk/p5pp/Pp1R1P2/2p5/2P4P/2P2Q2/R4BK1 b - -,f8f5
3r2k1/1pq2ppp/4bn2/1P5r/3P1P2/R2B4/N5PP/Q4RK1 w - -,a2c1
r1b2rk1/b1p2ppp/5qn1/1p1p4/3PPn2/4BN1P/1PB2PP1/R2QRNK1 w - -,e4e5
3r1r2/p6p/1p2ppk1/2p3p1/2Pq2P1/3P2NP/PP1Q1P2/3R2K1 b - -,f6f5
8/8/4k3/R7/P4P1p/8/5K2/7r b - -,h1a1
r2r2k1/pb2b1pp/1p2p3/2p1Pp2/2P5/4PP2/PB4PP/1BR2RK1 b - -,e7g5
4R2k/2Q3p1/7p/8/1q5P/5rP1/8/6K1 b - -,f3f8
2R5/8/8/2b5/1p1k4/8/P2K4/8 b - -,d4c4
r1bq1rk1/pp2ppbp/2n2np1/2pp4/2P5/1P1PPN2/PB2BPPP/RN1QK2R w KQ -,e1g1
8/p2b2kp/2pq1rp1/8/2P4Q/7P/Pr3PP1/3R1RK1 b - -,b2d2
8/p5p1/B1k4p/5p2/2K1bP1P/4P3/8/8 w - -,c4b4
3rr2k/pbq2p1p/1p3pn1/7N/3PP3/P2B4/1B1Q2PP/4R1K1 w - -,d2h6
1nkr3r/1pp3pp/p2q4/2p1p3/4P1P1/1P1PB1QP/1PP5/2KR3R w - -,h1f1
5rk1/ppnn1p1p/2p1p1p1/4P3/P5Q1/1PqP2PP/5PB1/1R2R1K1 w - -,g4c4
8/p4p1p/2k2Pp1/2B5/2K5/r5P1/5P1P/8 b - -,a3a1
3rrbk1/1p4qp/pQpnP1p1/P4p2/4p3/BP2P1P1/5P1P/2RR1BK1 w - -,d1d2
r2q1rk1/1bpn1ppp/p2ppn2/8/2pP4/PPQ2NP1/4PPBP/R1BR2K1 w - -,b3c4
6k1/6pp/p1r2p2/3p4/3P4/1P2R3/P4PP1/6K1 b - -,c6c1
5r2/4nr1k/1q5p/1pNP4/1P5N/R5Pb/5P2/Q3R1K1 b - -,e7d5
rn2kb1r/pp3pp1/2p2np1/q3P3/8/6N1/PPPB1PPP/R2QKB1R b KQkq -,a5e5
1r1q1rk1/1b2bppp/1nn1p3/p1p1P3/1pP1NQ2/3P1N2/P4PPP/BR2RBK1 b - -,b6d7
1r2k2r/p2p2pp/8/3BPp2/3b4/P5P1/1P3P1P/1RB2K2 b k -,b8b5
r3r1k1/pb2Qpp1/1p3n1p/3p4/3P3B/P2nPP2/1P1KN1PP/R6R b - -,e8e7
4rb2/R6p/2pk2p1/8/1P1B2P1/P3PK2/8/8 w - -,a7h7
r4rk1/4b1pp/1pp5/3p4/p2P1P2/P1NR4/1P4PP/n1B2RK1 w - -,c1e3
rnbqkbnr/3p1ppp/p3p3/1p6/3NP3/2NB4/PPP2PPP/R1BQK2R b KQkq -,d8b6:c8b7:d7d6:b5b4
rnbqk2r/pp1p2pp/2p1pn2/5p2/1bPP4/2NBP3/PP3PPP/R1BQK1NR w KQkq -,g1e2
r5k1/1p3p1p/4b1p1/1BBn4/p7/P1b2P2/6PP/1R3R1K b - -,a8a5
8/8/3pNkp1/p1pPn3/2P1P2K/1P6/3bB3/8 w - -,e6d8
rnb1kb1r/pp2pppp/1qp2n2/3p4/3P1B2/5N2/PPP1PPPP/RNQ1KB1R w KQkq -,e2e3:b1d2
r1b1kb1r/pp3ppp/2N5/4p3/2P1q3/4B3/PP3PPP/R2QKB1R b KQkq -,e4c6
3r1rk1/R4p1p/2p2p2/1p1n4/3P2b1/PB6/1P3PPP/R3N1K1 b - -,d5f4
6k1/3qp1b1/3p1n2/2pP1p2/1pP2P2/1P3BP1/2Q1R3/rN5K b - -,f6e4
r3rbk1/1qn2ppp/p4n2/Q2p4/1PpN4/P1N1P3/1BR2PPP/3R2K1 b - -,a8b8
3r4/3r1pkp/4p3/1p4p1/3P1nP1/1B2KP1P/1P1R4/3R4 w - -,h3h4
2r1r1k1/2q1bppp/p1bp1n2/1P2pP2/2R1P3/2N1B3/BPP1Q1PP/5R1K b - -,a6b5
8/5k2/4N3/4K1Pp/7P/8/8/3b4 w - -,e6d4:e6f4
r2q1rk1/pp2ppbp/5np1/2ppB3/6b1/1P2P1P1/P1PP1PBP/RN1Q1RK1 w - -,d1c1
1q3rkn/4rbp1/p1pp1p1p/1p3P2/3PPN2/6QP/PPB3PK/R3R3 w - -,c2b3
8/2R2k2/3pN1p1/3P1pP1/1p2PP2/1Pb2K1p/2p4P/8 b - -,f7e8
r2b2k1/5ppp/2pp4/4p3/PqP1P3/6P1/P3QP1P/3R1BK1 b - -,d8b6
2rq1rk1/1b2bppp/p1nppn2/8/1p2PP2/P1NB1NQ1/1PPB2PP/R4RK1 w - -,a3b4
3r2k1/1p2qpp1/2p2n1p/r3p3/4P3/1BP1QPPP/P5K1/R4R2 b - -,f6d7
2n2r1k/p4b1p/p1Nn3q/3Q1pp1/1P6/4P1P1/5PBP/2R1R1K1 w - -,d5d4
