8/1pN2k2/3p3p/3PpP1n/1pP5/P7/4K3/8 w - -,a3b4
6k1/5p1p/p3pp2/1p1BP1P1/1qp2P1P/8/1KP2Q2/8 w - -,b2c1
8/5pkp/5n2/4q3/3R4/5BP1/P2QPPK1/1r6 w - -,d2f4
2br1qk1/p4pbp/n2p2p1/1rpP4/4NB2/3Q2P1/1P2PPBP/R3R1K1 b - -,b5b6
rnbqk2r/1pp2ppp/p2Bpn2/8/2QP4/5N2/PP2PPPP/RN2KB1R b KQkq -,c7d6
rnbqkb1r/pp2pppp/2p2n2/8/2PP4/2N5/PP3PPP/R1BQKBNR b KQkq -,c8f5
8/p7/P7/1n6/4pP2/1k6/1Np5/2K5 b - f3,b5c3
rn1qbr1k/4b1np/3p1p1Q/p1pPp1p1/P1B1P3/5NPP/1P3P2/R1B1RNK1 b - -,f8g8
r2qk1r1/2p1bpBp/p3b1n1/1p1p4/8/2P5/PPB2PPP/RN1QR1K1 w q -,c2g6
2rq1rk1/pp1n1ppp/3b1n2/2pp4/3P4/1P2PN2/PB2QPPP/RN3RK1 b - d3,c5c4
5rk1/3bppbp/3p2p1/1p1Pn3/4NB2/3P2P1/r1N2PBP/1R2R1K1 b - -,a2c2
r5r1/1pq2pkp/2p1n1b1/p3p3/4Pb2/2P1NQ2/PPB2PP1/R1B1R1K1 w - -,e3f5
R4Q2/5rpp/p2pqnk1/1p2n3/3Bp3/1P2PpPP/P2N1P1K/8 w - -,f8d8
r1bqrbk1/pp1n1ppp/2pp1n2/4p3/3PP3/P1N2N1P/1PP2PP1/R1BQRBK1 b - -,b7b5
3r2k1/1p4b1/p1n3pp/1NB1pb2/qP6/P4N1P/2P1QPP1/2R3K1 w - -,b5d6
2rrnnk1/1bq1bppp/pp1pp3/6P1/2PN1P1P/1PN1P3/PB3Q2/2RR1BK1 b - h3,g7g6
8/pp1rn3/2p1pkp1/4P3/P4P1P/1P2PN2/4K3/2R5 b - -,f6f5
r1bqkb1r/pp1ppppp/2n2n2/8/3pP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,f3d4
3r1bk1/pp3bpp/5q2/1Pppr3/Q4N2/6PP/PP3PB1/3R1RK1 w - -,a4a7
8/4P2p/7k/3P4/8/2N5/Pr3R1P/7K b - -,b2f2
Q7/1p6/1kr2p2/p2R4/1q1P3P/6P1/5PK1/8 b - h3,b4e1
r3kn1r/pp1q1pb1/2np2p1/2p1p2p/4P2P/1BPP2N1/PP1B1PP1/R2QK2R w KQkq -,g3f1
6k1/5ppp/pp6/4PP1P/3p4/6n1/PP4K1/2B5 b - -,g3f5
3qnrk1/3npp1p/3p2p1/1QpP2B1/4P3/2P2NP1/5PKP/R7 w - -,a1a7
r1b1k2r/2q2ppp/p1pb1n2/1p2pP2/4P3/3B4/PPP1Q1PP/RNB2R1K w kq b6,a2a4
2rq1rk1/pb1n1ppp/1p1ppn2/2p3B1/2PP4/P1QBPN2/1P3PPP/R4RK1 w - -,c3c2
3r4/8/p1b2kp1/Pp2p3/1P2P1B1/2P1R1K1/8/8 b - -,f6g5
2r1r1k1/5pbp/pqb2np1/3p2B1/1P6/1N3P2/P4QPP/2RR1BK1 b - -,b6b4
5k2/ppp1r1b1/b3p1B1/3q2Q1/6NP/6P1/5P2/4R1K1 w - -,g5f4
1rbq1rk1/p4pb1/3pp1p1/2p1n3/1pP1P1pP/3PB1P1/PP2QPBN/1R2R1K1 b - -,f7f5
8/8/2kBr1b1/2P5/3K2R1/8/8/8 b - -,g6f5
r4bnr/3k2pp/p1n1b3/1p3pN1/4pB2/2N5/PPP1BPPP/R3R1K1 b - -,f8b4
3r2k1/1p3pp1/2pqpn1p/4N3/2PP1Q2/1P1R3P/r4PP1/4R1K1 b - -,d8f8
8/8/2k5/R7/3B2r1/4K3/8/8 w - -,e3d3
1r1q1rk1/3nbp1p/b3p1pP/3pP3/p2p2N1/P2P2P1/2P2PB1/R1BQR1K1 w - -,c1d2
8/8/r6p/P2k1p1P/R1p5/2K1P3/5P2/8 w - -,c3b4
2r4r/pp2kpp1/2npbn1p/4p3/4P3/P1N1BP2/1PP3PP/2KR1B1R b - -,a7a6
r2q2kr/1np2pN1/p2b1n1p/1p2p3/4P2B/2P4Q/PPB2PPP/R2R2K1 b - -,g8g7
r2qkb1r/pp1n1ppp/2p1bn2/4p3/3PP3/2PB1N2/PP4PP/RNBQ1RK1 b kq -,f8d6
1r4k1/4pp1p/3P2p1/2nP4/r7/p1B3PP/R4PB1/6K1 b - -,e7d6
1r3k2/1prb2p1/1R3p1p/p3p3/2P1B3/1P6/PK3PPP/3R4 w - -,d1d5
r5k1/p3brP1/b1p1p2p/3p4/2P2PN1/6R1/PP1B2PP/4KR2 b - -,f7g7
r7/p1qnn1kp/3p2P1/1ppP4/2N5/2P3PB/PP2Q2P/5RK1 b - -,e7g6
r2qr1k1/ppp2ppp/2nbbn2/3p2B1/3P4/2NB1N2/PPPQ1PPP/R3R1K1 b - -,d6e7
8/pp2r2p/6p1/2kp4/P4RP1/3P3P/5K2/8 b - -,a7a5
rn1q1rk1/pp1b1pbp/4pnp1/3pN1B1/3P4/2N3P1/PP2PPBP/R2Q1RK1 b - -,d8b6
2r5/8/1p1rp1kp/p5p1/P1PP4/1PN3P1/4R1K1/8 w - -,c3b5
8/p7/1p6/2p1k1pp/1PP1p3/2P1K1P1/P6P/8 b - -,a7a5
1kr4r/pp1bbp2/3ppp2/8/1q2PPPp/1PN1QB2/PP5P/1K1R1R2 b - -,c8c7
3rr1k1/q5p1/3pbp1p/1ppNn3/8/PPR3PP/4PPBK/2QR4 b - -,e6f7
1B6/5p2/P3p3/8/r2n4/3B1k2/7P/5K2 w - -,b8g3
7r/2rNkppp/pp2p3/2b5/N1P5/1P4P1/P4PKP/R2R4 b - -,c7d7
6k1/5ppp/1ppb4/p7/P3P3/1P4NP/2Pn1PP1/3N2K1 w - -,d1c3
r1b1kb1r/3n1ppp/pqn1p3/3pP3/1p1P1P2/4BN2/1PPQN1PP/R3KB1R w KQkq -,f4f5
r2r2k1/1q3ppp/p3n3/1p6/P1ppP1P1/7R/1PP1QPP1/2B2RK1 w - -,f2f3
8/1p5k/p3p1p1/2KbQr1p/5P1P/1P4P1/P7/8 w - -,e5c7
2r2Bk1/5qbp/p5p1/1p6/2n1pP2/1N5R/PP4QP/6RK b - -,c8f8
7r/Pr1nkp2/4pp2/2p5/2N1Pb1p/7P/2P1BPP1/1R4K1 w - -,b1b7
rnq1k2r/pp2ppbp/2p1b1p1/6N1/P1pPn3/6P1/1PQ1PPBP/R1B2RK1 w kq -,c2e4
3r4/1p1nbp1k/p1b1p1p1/4p1P1/2B1P3/P1N1BP2/1PP5/2KR4 b - -,h7g7
rn1qk2r/1b2bppp/p2ppn2/1p6/3NPP2/1BN5/PPP3PP/R1BQ1RK1 w kq -,e4e5
8/7p/3p2p1/3k4/1p3bP1/1P1P1N2/6K1/8 w - -,g2h3
4r2r/ppk1q3/2n2n1p/4pQp1/4pp2/1BP5/PP3PPP/2BR1RK1 b - -,g5g4
3k4/pp3p1p/4p1p1/1B2b3/8/2P1P1P1/PP5P/6K1 b - -,d8e7
r1bqkb1r/ppp1pppp/5nn1/3P4/4PP2/2N2N2/PP4PP/R1BQKB1R b KQkq -,c8g4
8/3r1kpp/1p1P1p2/pNn1p3/P7/1PR1P3/2r3PP/3R1K2 b - -,c2c3
r3kb1r/pp3ppp/1qn1pn2/1B1p1b2/Q2P1B2/2N1P3/PP3PPP/R3K1NR w KQkq -,g1f3
1r1q1rk1/p2bppbp/2np2p1/1np2P2/1p2P1P1/3PB2P/PPPQN1B1/R2N1RK1 w - -,e2g3
3r1k2/1p5p/1pp1b1p1/4b3/4P3/P1p3P1/1P1B2BP/2R3K1 w - -,d2c3
r5k1/pb1nrp1p/1p4p1/4b3/4p3/1PN1P3/PB1N1PPP/R4RK1 w - -,d2c4
8/7p/1n1k2p1/2p2p2/ppP2P2/1P1KN1P1/P6P/8 b - -,a4a3
5rk1/2rp1ppp/p3pn2/1bb1N3/4PP2/P2P4/1N4PP/R1B2R1K w - -,a3a4
r3k2r/pbqnbppp/1p2pn2/1Ppp4/4P3/P1PP1N1P/1BQN1PP1/R3KB1R b KQkq -,e8g8
8/5pk1/1P4p1/1r1N2P1/4K3/4B3/8/8 w - -,e4e5
8/6k1/1p1rpp2/p3p2p/1bP1P2P/1P3P2/P3RNK1/8 b - -,g7f7
2k5/1p3pp1/4pb1p/p1q5/P1P1Q3/1P3P2/K2B2PP/8 w - -,e4e3
r3kbnr/pppq1ppp/2n1b3/8/2Pp4/5NP1/PP2PPBP/RNBQ1RK1 w kq -,b1d2
r2qrnk1/pp2bppp/4p3/1b1pP3/1n1P1PP1/P4N2/1P2N2P/RBBQ1R1K b - -,d8a5
r3rnk1/p2b1ppp/1qpb1n2/1p1p4/1P1P4/P2BPPN1/2QBN1PP/R4RK1 w - -,g3f5
2rr2k1/p3bpp1/5n1p/2pbN3/4q3/P1B1P2Q/4BPPP/2R2RK1 b - -,e4a4
2kr3r/1ppq1pp1/p1npbb1p/8/3N2P1/2P1B2P/PPPQBP2/1K1R2R1 b - -,c6d4
r4r2/pp4bk/6pp/2qP4/P1B2P1n/3Q4/1P2NP1P/R4RK1 w - -,a1c1
r2q1rk1/1p1b1pb1/p2p1np1/2pPn3/P3P2p/2N1BP2/1P1QB1PP/R4RKN b - -,h4h3
