8/1p6/1q6/kP2Q3/p1P4p/P6P/4Kp2/8 b - -,b6h6
5r2/p7/3kp1p1/1p2N3/2pP3Q/2P5/PPB3K1/8 w - -,c2e4
6k1/8/5p1p/3n4/1b1P3P/5N2/5PK1/8 w - -,g2g3
2rq1rk1/ppn3bp/4b1p1/2Bppp2/1P2P3/P2P2P1/2Q1NPBP/2R2RK1 b - -,f8f7
r5k1/1bqnbp1p/4p1p1/1pp1P1N1/1BpP1P2/2Q5/r1B3PP/1R3RK1 w - -,d4c5
r3r1k1/p2q2pp/1pn1n3/2pp1p2/3P1P2/P1PP1N1P/R5P1/2BQ1R1K w - -,c1e3
8/1b2k3/1r2pp2/6p1/R1prP3/2N1KPP1/1PR5/8 b - -,d4d3
3r4/pp1r1p2/2p1ppkp/8/PPPP2P1/5K1P/3R1P2/3R4 w - -,f3e4
7r/8/6R1/k7/2K5/8/4N3/8 w - -,g6c6
rr3bk1/p1q4n/3p2p1/4p1PN/4P2P/3PB3/P7/R2Q1RK1 b - -,b8b2
5r2/1p4kp/p5p1/2P5/2P1Qp2/1P5P/P2r1qP1/R3N2K b - -,f4f3
5k2/1p3pp1/p3qb1p/8/2P5/PP1Q1NPP/5P1K/8 b - -,e6b6
4r1k1/1p2rpp1/p1p1p1np/P1Qq4/1R1P1P2/2P3B1/1P4PP/4R1K1 w - -,c3c4
5rk1/1pqr1pp1/2p1p2p/pPP1Pb2/3P4/4Q1P1/P5BP/3R1RK1 b - -,c6b5
r3brk1/4bppp/1q2p1n1/p2pB2Q/3P4/2P1RN1P/RPB2PP1/6K1 w - -,e5h2
3r4/1q6/p3pk2/4bpp1/1p1N4/1P2PPnP/P2B1KP1/3QR3 w - -,d1c2
2kr1b1r/p1pp3p/b5p1/B3Pp2/2Pp1P2/1P6/P5PP/3RKB1R b K -,d8e8
6k1/p4pp1/2pn1b1p/8/5K2/1B3P2/PP5P/R1B3q1 b - -,g7g5
8/5kp1/4p3/2p5/1r2p2p/8/4NP1P/4K1R1 w - -,e2c3
8/2b5/2B2k2/p1n2pp1/P1N2PP1/4PK2/8/8 w - -,g4f5
rnb1kbnr/pp2ppp1/7p/8/3Pp2B/q7/P2N1PPP/1R1QKBNR w Kkq -,d1c2
2r1r1k1/Q2q2bp/2p3p1/2Bp4/6n1/3P2P1/P4PBP/1RR3K1 b - -,d7a7
4r1k1/1p3p1p/2bp3Q/r7/1qPB2n1/1PN4P/4B2K/2R5 w - -,e2g4
rn1q1rk1/ppp2ppp/3bpn2/3p4/2PP2b1/1PN1PN2/PB2BPPP/R2Q1RK1 w - -,c4c5
8/1n4p1/1p3k1p/3P1p1P/2p2r2/P4N2/1P3PK1/2R5 w - -,b2b3
r1q1r1k1/1ppb2bp/1nn3p1/p1p2pB1/3P2P1/PPN2N1P/4BPK1/2RQ3R w - -,d4c5
3k4/R7/8/4K3/5B2/8/5r2/8 b - -,f2f1
r1b1kb1r/ppqp1ppp/5n2/1B2p3/3NP3/8/PP3PPP/RNBQ1RK1 b kq -,e5d4
2r5/2pk1p2/p2p2p1/3P2pP/r3PK2/5P2/P1R5/2R5 w - -,f4g5
5n1k/7p/2NP1bpn/1bNB4/2p3P1/r5BP/6K1/5R2 b - -,a3a2
rn1qk2r/pp2ppbp/2pnb1p1/6N1/P1pP4/6P1/1PQNPPBP/R1B2RK1 b kq -,d8c8
r4rk1/pp2ppbp/5np1/2p5/3qPP2/2NB1Q2/PPP3PP/R4R1K b - -,a8d8
4B3/6k1/1p3r2/2n1R3/8/6P1/4PPK1/8 w - -,f2f4
1k1q1rr1/pp1bnpp1/4p2p/3pP2P/n1pP2BN/P1P4R/2PB1PP1/2Q1R1K1 b - -,e7f5
8/1N4p1/8/8/3n4/kp6/5P2/2K5 w - -,b7a5
3qk2r/R2n3p/3r1Pp1/1p1p2N1/1bnP3P/3B1QP1/8/2B2RK1 w k -,f3e2
8/3bb1k1/p1p1p1p1/PpPp4/1P1PpP2/4K1P1/2BN4/8 w - -,c2d1
4r1k1/1Rp1q1p1/3b1pbp/2r5/P2RP3/3BQN2/5PPP/6K1 b - -,g8h7
5k2/8/8/p1p5/P6p/1P5P/5KP1/8 b - -,f8f7
r1r3k1/3nbppp/p2p1n2/q2Pp3/Pp6/4NB1P/1PP2PP1/R1BQR1K1 b - -,d7b6
4r2k/pp1q2bp/4b1p1/2p1p3/2PnP1P1/1PN3P1/P2QNBBK/R7 b - -,d4f3
5qk1/1b1n1ppp/pp3n2/3pN3/Q2P4/1P2P2P/P3NPP1/6K1 b - -,f8d6
8/p2r2kp/8/1p3p2/1P2p2P/1P1P2P1/5P2/2R2K2 b - -,e4d3
1rbr4/1pq1ppkp/p1p2bp1/P1QP4/2N5/4PB2/1P3PPP/2RR2K1 b - -,c8d7
1r3rk1/p1p2pbp/2Ppq1p1/2n1P3/2Q2P2/BP6/P2N2PP/2KR1R2 w - -,c4e6
r7/1kp3pp/p7/2NR4/Pr1P2P1/4P1K1/5P1P/8 b - -,b7b6
1r5k/7p/5ppb/2RNp3/1P6/7P/4KPnB/8 b - -,h6f4
6rk/pp5p/2n4B/3p2Q1/3q4/7b/P4PP1/1R2R1K1 w - -,b1b7
r2q1rk1/pp4p1/6pp/3pb3/3P2P1/N1P4P/PP3PQ1/R1B2K2 b - -,e5f4
2n5/3k1pp1/3bp2p/1p1p4/1P1P1P2/2PNN3/4K1PP/8 w - -,d3e5
2rr2k1/1b2qppp/p1pbpn2/1p6/3PB3/1P2PN2/PB1RQPPP/2R3K1 w - -,e4b1
r4q2/ppk2p1r/2p1p1p1/2RnP1B1/Q2P3P/1R4P1/PP3P2/1K6 b - -,f8e8
r1b1kb1r/1p1q1pp1/p2p1n2/4pNp1/4P2P/2N5/PPP2P2/R1BQK2R w KQkq -,c1g5
r3k2r/1p2bppp/p1n1p1b1/2Ppq1B1/1P5N/2P5/P2QBPPP/R4RK1 w kq -,g5f4
1r1r2k1/p4p1p/1q2p1p1/1P6/PR1b4/2pB1Q2/2P2PPP/4R1K1 w - -,b4c4
2r1r1k1/1bq2pbp/pp1ppnp1/2n3B1/2P1P3/2N5/PPQNBPPP/R4RK1 w - -,e2f3
1r3n2/2n2k2/p2p4/1pPPp1Rp/4Pp1K/2N2P1B/P7/8 b - -,f8g6
rn1q1rk1/ppp1bppp/4pn2/3p1b2/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w - -,b1c3
1r1r2k1/2p2p2/2p3pp/1q1Pb3/pBn4P/P1NR1P2/1PP3P1/1KQ4R b - -,b5a6
r1b1kbnr/pp1ppp1p/1qn3p1/8/2P1P3/1N6/PP3PPP/RNBQKB1R b KQkq -,f8g7
2k5/1p2bp1r/p3p2p/q1p1P1p1/8/1PN1R1B1/P1b1QPPP/6K1 b - -,c2f5
8/5p1k/6pp/3pPp2/1P1P4/6NP/1R3nPK/r7 b - -,f2d1
8/p6p/P1nn1pp1/3k4/5BPP/Nb3P2/5K2/5B2 b - -,b3c4
8/5r1k/p2Bp1p1/3n1rPp/4R2P/P7/6K1/4R3 b - -,f5f2
r1r3k1/1p2bpp1/p1q1pn1p/8/2P5/1P2BN1P/P3QPP1/R2R2K1 b - -,e7c5
rnbqkb1r/ppp2ppp/4pn2/3pP3/8/2N2N2/PPPP1PPP/R1BQKB1R b KQkq -,f6d7:f6e4
8/2R5/5kpp/2p5/p1b5/P1P2N2/4rKPP/8 w - -,f2g3
5rk1/p3qppp/1N2p1n1/8/Q3P3/6P1/P4PKP/2BR4 b - -,a7b6
r3k2r/6p1/p1ppqb2/1p2nR2/3QPB2/1PN5/1PP3P1/R5K1 w kq -,d4b6
2r1k2r/1p1bbppp/p1nppn2/q7/2PN4/1PN3P1/PB1QPPBP/2R2RK1 w k -,f1d1
rnb1k2r/1pqp1ppp/p3pn2/8/1b2P3/1NNB4/PPP1QPPP/R1B1K2R w KQkq -,c1d2
r2q2k1/p2n1p1p/1p1pr1p1/2p5/2P1P3/2P1B3/P3QPPP/1R1R2K1 w - -,f2f3
2r2rk1/ppqb1ppp/1b2p3/4n3/4P3/PNNn2P1/1P2QPBP/R3BRK1 w - -,a1d1
rn1qkb1r/pb3ppp/1p1ppn2/8/2PP4/2NB1N2/PP3PPP/R1BQ1RK1 b kq -,b8d7
r3k2r/1ppb3p/pn4p1/2q2p2/P7/1BP1pP2/2PN2PP/R2QR2K w kq -,f3f4
rr1n4/3bq2k/2p1p1p1/ppPpPp1p/3N1P1P/PP2P1P1/2Q3R1/2RB2K1 b - -,a8a7
6k1/1p4pp/5p2/p1n1p3/2P5/PP3PB1/2Q1K1PP/q7 w - -,b3b4
2b1r1k1/2q1rp1p/2p3p1/1pP1n3/pP1R1P2/P1Q1P1PP/4N1B1/5RK1 b - f3,e5c4
r2q4/3n1pk1/B2p3p/3Pp1p1/1P1bP1P1/5PP1/R2BQ1K1/8 w - -,a2c2
rr4k1/2nnppbp/1q1p2p1/2pP4/P3P3/2N2NP1/1P1BQPKP/RR6 w - -,d2e1
4nnk1/p3rp2/2Pp3p/1p2p1p1/1P2P3/P4PP1/1B3K1P/2R2B2 b - -,a7a6
2rqr1k1/1p2bppp/p2pbnn1/4p3/P3P3/2N1NBP1/1PP2P1P/R1BQR1K1 b - -,e7f8
r2k1b2/pp3Pp1/4p3/8/3Pn1q1/1P6/PB2KP2/RN1QR1r1 w - -,f2f3
r3k2r/pp1q2bp/4pnp1/3p4/8/5N2/PPPPQ1PP/R1B2RK1 b kq -,e8g8
2b1r1k1/r1q2ppp/pQ6/2NBp3/2Pn4/8/PR3PPP/3R2K1 w - -,c5e4
6k1/1r4pp/p1p5/3p1r2/PPn1p3/1R2P1B1/5RPP/6K1 b - -,b7f7
8/8/3p2k1/2b1p1p1/4p3/1Q6/PB1K1q1P/8 w - -,d2d1
3rr2k/pp1nqbpp/2pn1p2/3p1P2/3P1QP1/2NBPN1P/PP6/4R1RK b - -,d7b6
