8/8/5Kp1/5b1k/8/8/8/6R1 w - -,f6e5:g1g2
r1b2rk1/pp1nqppp/2p5/4P3/1bB1NP2/4P3/PPQ3PP/R1B2RK1 b - -,d7b6
8/6bP/1p4k1/1P1pP3/3K1B2/8/8/8 b - -,g6h7
r2q4/pb3Bkp/1p1p2p1/2r1P3/P4P2/1Q6/2R3PP/2R3K1 w - -,c2c5
r3k2r/qp2bppp/p1n1p3/3pPn2/N2P4/P3BN2/1P2QPPP/2RR2K1 b kq -,e8g8
2kr3r/pppqnppp/2n1b3/3p4/3P4/P1PB1Q2/2P1NPPP/1RB2RK1 b - -,e6f5
4R3/2q3k1/2P2bp1/p7/1pp5/5QP1/P2r2BK/8 w - -,e8e6
2r1k3/1bq1pp2/p2p1npb/1p5r/2nNP2P/1BN2P2/PPP3Q1/1KBR3R w - -,f3f4
8/pp1r3k/2q3p1/3p4/3R4/P4QP1/P4P2/6K1 b - -,h7g7
r5k1/p1rnqpp1/1p3n1p/4p3/1PP1b2Q/4PN2/1B2BPPP/R2R2K1 w - -,b2a3
8/4r1k1/p5p1/1pp2q2/2Pb1PQp/1P2p2P/P3R3/5R1K b - -,b5c4
2r1qrk1/pp3ppp/3p2n1/3P4/2PP1p2/1P3Q2/P5PP/R1B2RK1 b - -,e8d8
2r5/p2q1kp1/Q3p2p/2ppPn2/5N2/5P2/PP1B4/1K4R1 w - -,g1g6
8/3r4/1R1p2R1/r2Np1p1/4P1P1/1K4k1/8/8 b - -,g3h4
3r2k1/1pBb1p2/1Np2q1p/p1P3p1/P1P1r3/6P1/7P/R4RK1 w - -,f1f6
1r2rbk1/2q2pp1/p2p1n1p/1NpP4/2B1PRP1/1P2QN1P/P7/R5K1 b - -,a6b5
2r5/4kp2/3n3R/1pp1pP2/pP4P1/P2B1K2/2P5/8 w - -,b4c5
3r3k/1p1r1p1p/p4p2/3Bp3/1bP4N/1R5P/PP2bPP1/2R3K1 b - -,a6a5
8/pp1rp1bk/2p1q1pp/5p2/3P4/1P2PP1P/PBR1Q1P1/7K w - -,c2d2
2r1r1k1/1pQ1ppbp/p5p1/1q4N1/2PPbB2/4P3/P4PPP/R3R1K1 b - -,b5g5
r2r2k1/1bq2pbp/p1B2np1/3P4/1ppB4/5N1P/PP1Q1PP1/3RR1K1 b - -,b7c6
8/8/R2P1kBp/p3p3/2rn4/8/1P4PP/6K1 w - -,d6d7
5rk1/3nbppp/p2p4/4p3/4b3/4B3/PPp2PPP/2R1NRK1 w - -,e1c2
1k1r1b1r/pp1P1p2/4p1p1/7p/8/2R3P1/PP3PBP/2KR4 b - -,h5h4
7r/4B3/6p1/5k1p/5p2/8/5PK1/3B4 b - -,g6g5
2r5/6k1/R4bp1/5p2/1P2p3/Pb2P1P1/5P2/5BKR w - -,g1g2
5B2/5p2/2k1p1p1/4P2p/1PK2P1P/8/8/3r4 b - -,d1c1
2r1rnk1/pb1npp1p/1p4pb/1N2N3/q1PP4/P1B5/2B1QPPP/3RR1K1 b - -,a4a6
3k3r/pp2p2p/3p2p1/3Qp3/6P1/2qBK3/7P/1r5R w - -,h1b1
6r1/6P1/5P2/4B3/8/2K2k2/8/8 b - -,f3e4
r1b1r1k1/pp3p1p/2p3p1/q2nn1B1/1bBPN3/8/PPQ2PPP/R4RK1 w - -,c4d5
r2q1rk1/1pp1ppbp/p3bnp1/4B3/3P3P/2N5/PPPQBPP1/R3K2R b KQ h3,h7h5
r1b2rk1/pp3ppp/2q2B2/2bp4/P7/4P3/R2QBPPP/1N3RK1 b - -,c6f6
2rr2k1/2q1nppp/1p1p1b2/p3pP2/4P1P1/2PQNN2/PP5P/3R1R1K b - g3,g7g5
r3r1k1/p3bppp/b2p4/q1nP2P1/5B2/P1N2N2/2Q2P1P/R3KB1R w KQ -,f1a6
2b2r2/pn4k1/1p3pp1/2pPr2p/2P1P1qP/3B4/P3N1PQ/2R2RK1 b - -,b7d6
5rk1/p2p3p/2p3p1/3prp2/8/1PN2BP1/P4P1P/3R1K2 b - -,f8e8
3k4/8/2Bp3b/p2P4/1pP1Kp2/1P6/1P6/8 w - -,c6a4
r3rnk1/1bB1b1p1/p1p1q2p/1p1pN3/1P6/5Q2/5PPP/1BR2RK1 b - -,e7b4
r3r1k1/p4pbp/4n1p1/3Rp3/8/4BN2/PP3PPP/5RK1 b - -,e5e4
q4rk1/2p1ppbp/2p2np1/8/r1NP4/1Q4P1/PB2PP1P/R4RK1 w - -,c4e5
2r4r/1b1kPQ1p/p2p2p1/2q3P1/1p6/3R4/PPP1R1PP/2K5 b - -,c5g5
4r1k1/1p1bppbp/3p1np1/qppP1P2/4P2Q/2PB1N1P/1P4P1/2B2RK1 w - -,f5g6
r4rk1/p3p3/3q1p1p/3P1Rp1/4P3/6P1/1n2BPP1/3QR1K1 w - -,d1d4
6k1/2q2ppp/1pb1p3/4P3/nPPQ4/5NP1/6BP/6K1 w - -,g1f2
4r1k1/3nnpb1/p1b1p1p1/3pP2p/p1pP1PPB/1rP2N1B/1P5P/2Q1R2K w - h6,g4h5
8/5p2/8/4p1p1/3nP3/4kbK1/8/8 w - -,g3h3
7Q/3r2p1/p5kp/3n1p1P/Pp1Bq3/4P1P1/2r2P2/3R1RK1 b - -,g6h5
8/5p2/1k1p4/2p1p2p/2P1P2P/1K3P2/8/8 b - -,b6c7
r2r4/1p3pkp/p5p1/3R4/8/2P5/PP3PPP/4R1K1 w - -,e1d1
r1bqk2r/1p2bppp/p1nppn2/6B1/3NP3/2N5/PPPQ1PPP/2KR1B1R w kq -,f2f4:h2h4:f2f3
2rrbbk1/2q1nppp/p2pp3/1p4PP/1P2PP2/P1NBB3/1P4Q1/1K1R3R w - -,d1c1
2rq1rk1/1p2bppp/p1npb3/P1pNp3/2B1P3/1P1P1Q1P/2PB1PP1/RR4K1 w - -,b3b4
r1bqk2r/1p1nbppp/2n1p3/3pP3/p2P4/3B1N2/PP1N1PPP/R1BQR1K1 w kq -,d2b1
3r2k1/1p2bpp1/1P5p/1qpPp3/1rN1P1PP/3Q1R2/7K/2R5 w - -,h2g3
8/1p2kp2/nq1rp1p1/pB1p3p/P2P3P/1PQ1P1P1/2RK1P2/8 b - -,e7f6
rn1qk2r/ppp2ppp/5n2/3p3b/1b1P4/2NB1P2/PPP1N1PP/R1BQK2R w KQkq -,e2f4
r1r2bk1/1q3ppp/4p3/2npP3/1p1B4/1P3PP1/P2R3P/1QNR1bK1 w - -,d1f1
2R5/8/8/3r4/8/1k2K3/1p6/8 w - -,c8b8
r1b2rk1/1p1nbppp/p2ppn2/q7/3NP3/1BN1B1Q1/PPP2PPP/R4RK1 b - -,a5h5
rnbqkb1r/ppp1pp1p/3p1np1/8/4PP2/1P6/PBPP2PP/RN1QKBNR b KQkq f3,f8g7
r1b1kb1r/pp3ppp/2p1qB2/3p4/4P3/2P3P1/PP3PBP/RN1QK2R b KQkq -,g7f6
1r4k1/R1R5/6rp/1bN3p1/3pPp2/1P3P1P/3K2P1/8 w - -,e4e5
8/4Pk1p/7P/4KN2/8/8/8/4r3 w - -,e5f4
r1b1kb1r/pp2nppp/1qn5/3p4/2pP4/2P1BN2/PPQ2PPP/RN2KB1R w KQkq -,b2b3
1r4k1/p3Qpbp/3p2p1/2pq4/P4P2/5N2/bP4PP/2B2RK1 w - -,e7a7
rn1q1rk1/ppp1ppbp/1n1P2p1/8/2PP2b1/2N2N2/PP2BPPP/R1BQ1RK1 b - -,c7d6
8/2r1kppp/2P5/R2p4/Pp1P1P2/1P6/5P1P/6K1 b - -,c7c6
8/8/5R2/1K2pP2/7k/8/7p/8 b - -,h4g5
rn3rk1/1p2bbpp/2P1p3/q2p4/p1PPp3/P1N1P1P1/Q4PBP/BR3RK1 b - -,b7c6
2r1rbk1/1q3ppp/pp6/2nn4/3N3Q/1PN2PP1/PBR4P/3R2K1 w - -,c3d5
r1b2rk1/p3npp1/2p4p/1p2B1qP/3PP3/2PB4/3Q1PP1/2R1R1K1 w - -,f2f4
rnq2rk1/pp2ppbp/6p1/N1pn2N1/8/1Q1P2P1/PP2PP1P/R1B2RK1 b - -,b8c6
r3qrk1/2p2p2/p2p1bp1/n2Pp3/1p2P2P/1P5R/P1PQN3/1NKR4 b - -,c7c5
4r1k1/pppbr2p/3p4/2nP1pP1/2P4P/2b2Pq1/PP1QB1N1/3R1KR1 w - -,d2f4
8/1pk2pp1/4p3/1Pr1P2p/P3RK1P/5P2/6P1/8 b - -,c5c2
8/8/8/p1P5/P4k2/3Bpb2/8/4K3 w - -,d3e2
rnbqk2r/pp3ppp/4pn2/2bp4/2P5/5NP1/PP2PP1P/RNBQKB1R w KQkq -,f1g2
r2q1rk1/1p3ppp/2p2n2/p1n1p3/P2bP3/2B2BP1/1PP2P1P/RNQ2RK1 w - -,f1d1
8/8/4k3/8/P6R/r7/3K4/8 b - -,e6d5
rnbqk2r/pp3pbp/3p1np1/2pP4/5B2/2N2N2/PP2PPPP/R2QKB1R w KQkq -,d1a4:h2h3:e2e4
