5b2/8/R7/4kppp/8/p4K1P/5P2/8 w - -,a6a5
3r1b2/8/1r2kpBp/pPp1p2P/P2pK1P1/3P4/2R2P2/2R5 w - -,f2f4
r2q2k1/pb1p1pbp/1pn1B3/2p5/2P1np2/NQ2PNP1/PP3P1P/R2R2K1 b - -,f7e6
r4rk1/pbqnppbp/1p4p1/8/3pNP2/2P1QNP1/PP4BP/3R1RK1 w - -,f3d4
1rr3k1/7p/3p2p1/3R4/Pp3P2/4b1P1/4N1KP/1R6 b - -,c8c2
r4rk1/1b2q1p1/p3p2p/1pb1Bp2/8/1QP2N1R/PP3PPP/R5K1 w - -,f3d4
r1bq1r2/2p2pbk/pp1p1npp/n2Pp3/2P1P3/2NBBP2/PP1Q2PP/R1N1K2R w KQ -,c1e2
b1r2r1k/p2pq1p1/1p1p3p/1P1Pp3/2P2PB1/P5P1/7P/2RQR1K1 b - -,a8b7
2rr2k1/2q1bppp/8/3bn1P1/P2B3P/2P5/3QBR2/R2N2K1 w - -,d2e3
1k3r2/1p6/3pB3/P2P4/5q2/2p3Q1/4KP2/8 w - -,g3f4
1r2k2r/p2nqp2/b3p2p/n2pP1p1/P1pP4/N1P1QN2/2B2PPP/R4RK1 b k -,a5b3
r1bqk1nr/ppp1ppbp/3p2p1/3PN3/2P5/6P1/PP2PP1P/RNBQKB1R b KQkq -,g7e5
r1br2k1/pp2bppp/4p3/q1P1n3/1P1N2n1/P1N1BB2/2P2PPP/RQ2K2R b KQ b3,a5c7
2qrr1k1/pp2ppbp/4bnp1/2p1N3/2PP1B2/3BQ2P/PP3PP1/R3R1K1 w - -,d4c5
rn1q1rk1/p4ppp/b4n2/2Pp4/8/P1NBPP2/6PP/1RBQK2R b K -,d8a5
rnbqkb1r/pp2pp1p/2p2p2/3p4/2PP4/4P3/PP3PPP/RN1QKBNR b KQkq -,c8f5
r1b2rk1/1p5p/pn1bpqn1/3p1p2/3N1P2/2PB2P1/PP4NP/R1BQ1RK1 b - -,b6d7
6k1/5p2/pNq1p1p1/1p1b3p/3Q1P2/8/PP2K3/8 w - h6,e2d2
3r2k1/nB4pp/3pb3/P1p5/4P3/8/3R2PP/1N4K1 b - -,g8f8
r3kb1r/1pqb2pp/p1n1p3/2ppP3/8/2P5/PPN1BPPP/R1BQR1K1 w kq -,c1f4
2rqkb2/3b1p2/p2pp1rp/1p5R/3BPPn1/2N5/PPP1N3/2K2Q1R w - -,f4f5
3r1r2/pp1P4/1b2B1k1/4P1pp/1P3p2/2BR1K1P/P7/8 b - -,b6c7
8/5R2/6rk/2K2p2/p1N2P2/P2b2P1/8/8 w - -,c4e5
8/6p1/2k1P2p/Pp2Bp1P/3K4/b7/6P1/8 w - -,a5a6
8/pN3pkp/2p3p1/8/4P3/r5P1/1n5P/2R2BK1 b - -,a3b3
r4rk1/p3bppp/2p1pn2/8/P1BR4/4PP2/1PQBKP1q/R7 w - -,d2a5
r1b1kb1r/pp2pp1p/2np1p2/6q1/4P3/1NN5/PPP2PPP/R2QKB1R w KQkq -,c3d5
r4rk1/1bqnbppp/pp1ppn2/8/2PNPPP1/1PN5/PB2Q1BP/3R1RK1 b - -,g7g6
r2q1rk1/pb1nppbp/1p3np1/2Pp2B1/3P4/2PBPN2/P2N1PPP/R2Q1RK1 b - -,b6c5
3r1rk1/R4p1p/2p2p2/1p6/3P1nb1/PB6/1PN2PPP/R5K1 b - -,f4e2
1r1b2k1/7p/4p1p1/pq1pNp2/2pP4/1rP1P1PP/RP1RQP2/5K2 w - -,f1g2
r1b1rbk1/2pn1ppp/p1pq4/8/2PPp3/1N2BN1P/PP3PP1/R2QR1K1 w - -,f3d2
rn1q1rk1/pb1p1pbp/1p2pnp1/2P5/2P5/1P1BPN2/PB3PPP/RN1Q1RK1 b - -,b6c5
3r4/4k1R1/1p3n2/1Bp4p/P6P/8/1P6/6K1 b - -,e7e6
4k3/p1rprpp1/1p5p/3Bn3/8/PP2P1PP/3R1PK1/3R4 w - -,f2f4
2r1k2r/1bqnbppp/pp1ppn2/8/2P1N3/PP1BPN2/1BQ2PPP/R4RK1 w k -,e4f6
2br1rk1/pp2ppb1/1qn3pp/2N5/3P2P1/PB2B2P/1P2QP2/3R1K1R w - -,e2c4
r4rk1/2qnbppp/pp1ppn2/6B1/2P5/2N1PN2/PP2QPPP/R2R2K1 b - -,f8c8
3q1rk1/1b1rbp2/p2ppnp1/1p5p/3BPP2/P1NBR2Q/1PP3PP/5R1K w - h6,e3g3
1r1q2k1/1p1b1npr/p2p1p2/3PpN1p/1P2P2P/5QP1/P4PBK/R1R5 b - -,g7g6
8/3k4/4p3/3pPp2/P3n3/4PNPp/7P/5K2 w - -,a4a5
3rr1k1/3q3p/p3p1p1/2n1Bp2/2P2P2/1P5R/1Q4PP/R5K1 w - -,h3e3
6k1/1rq2pb1/4b1p1/Qpp1P3/3pB2R/5NP1/PP3P2/2K5 w - -,a5a8
8/8/8/4p1R1/3k2p1/1r4P1/4PK2/8 b - -,b3b8
r1b2rk1/pp1p2pp/2nNpq2/8/8/8/PPPQ1PPP/2KR1B1R w - -,f2f3
5rk1/1N1p1ppp/4p3/4P2n/1pP5/7P/rP2RPP1/3R3K b - -,h5f4
r2q1rk1/1b2bppp/p3pn2/np2N3/3P4/2N5/PPB1QPPP/R1BR2K1 w - -,c1g5
r1bqr3/1pp2pbk/p2p1npp/3P4/8/1nN1BB1P/PPP2PP1/R1Q1R1K1 w - -,a2b3
r1b1r1k1/pp1n1ppp/2p1pn2/3pN3/2PP1P2/PP1BP3/1B1q2PP/R3K2R w KQ -,e1d2
r2q1rk1/pb4bp/1p1p2p1/2pn4/P2nPP2/4N3/1PP3BP/R1BQ1RK1 w - -,e3d5
2q5/Q3k1p1/p1rp1p1p/1p1R3P/4PP2/5PK1/1P6/8 b - -,c8c7
rn1q1rk1/pbpp1ppp/1p2p3/8/2PPn3/P1B2NP1/1PQ1PP1P/R3KB1R b KQ -,e4c3
r4rk1/p2nbppp/4p3/qp1pP3/3Q1B2/2P2B2/PP3PPP/1R2R1K1 w - -,a2a3
2r1bbk1/rpp2pp1/4pq1p/p7/2QPP3/5NP1/PP3PBP/R2R2K1 w - -,a1c1
8/R4pp1/4p1kp/3nB3/7P/4P1P1/2r2P2/4b1K1 w - -,h4h5
5rk1/pppnbrpp/2npp1q1/4p3/1P2P3/P1PP1NNP/5PP1/R1BQR1K1 b - b3,h7h5
r2qr1k1/1b1nbppp/pp1ppn2/8/2P1P3/NQN1BP2/PP2B1PP/R2R2K1 w - -,d1d2
2R5/5p2/1K2k1p1/8/7P/8/8/8 b - -,e6e5
Q7/8/8/1K6/8/2P4p/8/6k1 w - -,a8h8
r1bQ1bk1/pp1R1p1p/6p1/5p2/4nP2/2P5/PP4PP/2K5 b - -,c8d7
3rr1k1/1p3p2/4pqp1/1PPp4/2nP1N1p/2Q3PP/5PBK/3R4 b - -,d8a8
rr4k1/3nppbp/2p3p1/Pq3b2/NPpPp3/B1Q3P1/5PBP/R2R2K1 w - -,a4b2
r2q1rk1/ppp1bppp/1nnpp3/4P3/2PP2b1/1PN1BN2/P3BPPP/R2Q1RK1 b - -,d6e5
3r1b2/3r4/1p2p1k1/p2p4/P1P3R1/BP4P1/5P2/3R2K1 b - -,g6h5
3q1rk1/1p3ppp/3pb3/8/1P1Q4/6P1/4PPBP/r4RK1 w - -,f1a1
r6k/pp2P2p/5qp1/P1n5/3N1B2/8/1P5P/3R1RK1 b - -,f6e7
1r1knr2/2q1b2R/p2p2p1/3P1bP1/1ppB4/N1P2P2/PP1Q4/2K1RB2 w - -,c3b4
r2r1nk1/p3pp2/2p3pp/1p6/3BP2Q/PP1n1P1N/2q3PP/1R3R1K w - -,d4e3
r2q1rk1/pp1n1pp1/2p4p/5p1P/3Pn3/3Q1N2/PPPBRPP1/1K1R4 w - -,d2c1
6k1/7p/r3p3/1p3r2/b2N1P2/8/2PK2PP/RR6 b - -,f5f4
8/p7/8/p3p1k1/P3P1p1/1PbN2K1/8/8 b - -,g5h5
2r1r2k/1n3pnp/pq1p2p1/1p1P4/1P2PP2/2NB3P/P4QP1/2R2RK1 b - -,b6f2
8/1b3kp1/1pq1p2p/8/P2b2B1/B7/5PPP/5Q1K b - -,c6a4
6k1/pp2rpp1/6bp/3pP2N/3P3P/PP6/5RP1/6K1 w - -,h5f4
r5k1/5p1p/1p4p1/3pPp2/1P1KbP2/2P5/4N2P/3R4 b - -,g8f8
r1b1r1k1/1pqn1pbp/p2P2p1/2p1p3/PnP1NP2/N1B5/1P1Q2BP/R4R1K b - -,c7d8
5bk1/n4p1p/4p1p1/pq1pPP2/1p1P2P1/1P1N4/P2QN2P/6K1 w - -,h2h4
2nrr1k1/1p2qbp1/2p2p1p/p7/P2PPP2/3B3P/4NQP1/1R3RK1 w - -,f2e1
rnbqk2r/1p2bppp/p2ppn2/6B1/3NP3/2N5/PPP1QPPP/2KR1B1R b kq -,b8d7
4r1k1/q7/2pRb1p1/p3r1p1/N3P2p/1P5P/P1PQB1P1/6K1 w - -,g1h1
r2q1rk1/pbpn1ppp/1p3n2/3p4/1b5N/2NP2P1/PP2PPBP/R1BQ1RK1 w - -,c3b5
1kr4r/np2q1pp/p1b1p3/4P3/1P1pBN1b/P7/3BQ1PP/1RR4K w - -,e4c6
3n1rk1/3Q3p/1q3p2/4rN2/4P3/8/p5PP/K1R1R3 b - -,d8f7
