3R4/8/8/4k3/1K2n3/8/8/8 w - -,b4c4
8/5pk1/4pp2/r1p4p/P6P/2Q1P1P1/3q1P2/2R3K1 b - -,d2c3
4rr2/pbnq1kbp/3n1pp1/1pp1pP2/3pP1PP/P2P1NN1/1PPBBR2/R4QK1 w - -,f3h2
8/8/4KP2/6k1/3R2p1/5r2/8/8 w - -,f6f7
1b1r4/6k1/R7/4p3/8/4KP2/P4N2/8 w - -,a2a4
3r2k1/p1b2ppp/4p3/3n4/1Pp5/P3BBPb/5P1P/2R1R1K1 w - -,e3a7
7r/6pp/1p2bpk1/8/rB1R1P2/8/1PP3PP/1K5R w - -,b4c3
7k/7r/p2p3R/3Pp3/2p1P3/2Nn1P2/P1r5/K5R1 w - -,h6d6
r2qkbnr/pp1npppp/2p5/3p4/6b1/3P1NP1/PPPNPPBP/R1BQK2R b KQkq -,g8f6:e7e6:e7e5
1q4k1/5pp1/1r3n2/2ppp3/r3P2p/P4Q1P/BP2RPPK/1R6 w - -,g2g3
2b5/p3knpp/P3rp2/1p6/1P3P2/2N3P1/6BP/R5K1 w - -,c3b5
r1bqkb1r/pppp1pp1/2n2n1p/4p3/2P5/2NP2P1/PP2PPBP/R1BQK1NR b KQkq -,f8c5
r3rbk1/2qn1p1p/bnpp2p1/p2Pp3/2P1P3/3BB1NP/PR3PPN/2RQ2K1 b - -,h7h5
3r2k1/1Rb2p2/6p1/p2B3p/7P/6P1/P4P2/6K1 b - -,d8d5
6k1/3n1pb1/2q1r1pp/5p2/2pPb3/2P2N2/2NB1PPP/3QR1K1 w - -,c2b4
4r2k/pp4p1/5n1p/2b5/7P/P2R2P1/1PP5/1K3R2 b - -,e8e2
2r5/6kp/p2q2p1/2p2p2/1PQp4/2n1P1P1/P4P1P/2R1R1K1 b - -,c8c6
8/8/1p6/pP3kpp/3P1n2/1P1K4/7P/4B3 w - -,d3c4
6k1/1p4p1/p6p/7P/5PP1/RR1rN1K1/3rb3/8 w - -,b3c3
r2qr1k1/1p1n1pp1/2p1pn1p/p2p4/2PPb3/1P2NNP1/P3PPBP/R1Q2RK1 w - -,c1c3
r2qr1k1/1bpn1ppp/pp1bpn2/3pN3/P2P1P2/1P1BP3/1BPN2PP/R2Q1RK1 b - f3,f6e4
1n6/1kp2p2/1p6/2p2Bp1/P5P1/7P/2P2K2/8 b - -,b7c6
4r3/1p4p1/3k1p1p/1r6/pNnPR1P1/P1P5/1P3K1P/4R3 b - -,e8e4
1rbq2rk/2nn1p1p/pp4pQ/2pPR3/P1P2B2/3B3P/2P3PN/R5K1 w - -,a1e1
r5r1/pp1qkp1p/3pbn2/4p3/2PpPP1P/1Q1P1B2/PP2N3/R3K2R b KQ -,d7c6
8/2R5/4b3/4kp2/2pp3P/5B2/5K2/r7 b - -,a1a2
r2q1rk1/pp1b1ppp/4pnn1/2p5/1bBP4/2N1PN2/PPQB1PPP/3R1RK1 b - -,c5d4
8/8/k7/5p1K/1R5P/8/6r1/8 w - -,b4b1
5k2/r5pp/1N2bp2/p3p3/7P/1P2P1P1/R4PB1/6K1 b - -,e6b3
rnbq1rk1/ppp1ppbp/3p1np1/8/4P3/3P1NP1/PPP2PBP/RNBQ1RK1 b - -,c7c6:c7c5:e7e5:b8c6
r2qnrk1/pb1nbppp/1pp5/3pP3/3P4/5NP1/PPQN1PBP/R1B2RK1 w - -,f1e1:f1d1
6k1/q5p1/4p2p/3n1p2/1pR5/1N3P2/rPP2QPP/6K1 b - -,a2a1
3rr1k1/ppq1bppp/2n2n2/2Pp2B1/1P4b1/2PQ1NP1/P4PBP/RN1R2K1 b - b3,c6e5
4B3/7p/4p3/3bPp2/4pP1P/4P3/1k1K4/8 w - -,e8a4
r1bq1rk1/pppp1pbp/2n2np1/4p1B1/2B1P3/P1NP1N2/1PP2PPP/R2QK2R b KQ -,h7h6
r1bqk1nr/ppp2pb1/2npp3/8/3PP1Pp/2PN3B/PP3P2/RNBQK2R b KQkq e3,e6e5
8/6kp/pn2R3/3R3P/3P1r1N/2PK4/P4P2/1r6 w - -,d5c5
r1bqk1nr/pp1pbppp/2n1p3/2p5/4P3/2N3P1/PPPPQPBP/R1B1K1NR b KQkq -,d7d6
2r3k1/1p1b2pp/8/p1Pp4/3Pp2P/4P1P1/P4P2/2R1K2R w - -,c1b1
8/3k1p2/q3bP2/p2p2P1/8/Q3B3/5K2/8 b - -,a6d6
1rb2r2/3n2kp/pPR2pp1/8/3P1q2/1Q1B1N1P/P4PP1/5RK1 b - -,c8b7
8/R7/7k/2N1P3/1p4P1/p7/5P1K/r7 w - -,a7a4
r3k3/6pp/p1R2p2/8/p1BP1Pb1/5N2/P4KPP/8 b - -,a6a5
5rk1/1p1nr1p1/1qpbpn1p/p2p3P/5P1Q/P2PPN1B/1PP5/R1B2R1K w - -,f3d4
5r2/6k1/3p2p1/p1pP4/P1P1p1q1/1pR1P1P1/1P4Q1/6K1 w - -,c3c1
r1n4r/2k1bpp1/2p3p1/p2p2P1/1n1P1R1P/1PN1Pp2/1P6/R2KBB2 b - -,c8d6
2r1r1k1/5p2/p6p/1p2p1p1/1Bn5/2PR1PP1/P3R1KP/8 b - -,a6a5
5rk1/3qn3/R2p1b1p/3P1pp1/4pP2/1QP1B3/1P4PP/5RK1 w - g6,a6a7
2q3k1/4prnp/p2p1n1Q/1p1P1p2/7R/2rB4/1PP2PPP/4R1K1 w - -,b2c3
rnb2rk1/pp3p1p/5pp1/3P4/3P4/8/PP1K1PPP/R4BNR b - -,f8d8
3r1rk1/ppn1bp1p/2b1pnp1/q3N1B1/3P3Q/2N5/PP3PPP/1BR1R1K1 b - -,c7e8
rnbq1rk1/1pp1ppbp/p2p1np1/8/3PP3/2NQ1N2/PPP1BPPP/R1B2RK1 b - -,b8c6
5rk1/ppq1prb1/4P1QB/3pn1N1/8/2P5/P4PP1/2R1R1K1 w - -,g6h7
5rk1/pRp5/3p1bq1/3P4/2P1rPQ1/8/P3N1R1/4K3 b - -,g6g4
8/p3qpk1/1p1p1bpp/2pQ4/2B1PP2/2P3PP/PP4K1/8 b - -,e7c7
8/7p/3pk3/2p1pp2/2Pb3P/6P1/1R1B1PK1/8 b - -,d4b2
3r1rk1/1p1n2p1/p2pb1n1/3Np1Pp/1NP1Pp2/5P2/PP1KB2P/R6R w - -,h2h4
r2q1rk1/2ppnpb1/b1p3pp/p7/2P5/1PN3P1/P2BPPBP/R2Q1RK1 b - -,e7f5
r1b2rk1/pp3pbp/2n2Bp1/q3P3/8/4PN2/P3BPPP/R2Q1RK1 b - -,g7f6
3r2k1/p1pr2pp/4p3/1P6/4Pp1P/B3nP2/P3BKP1/2R5 w - -,g2g3
1R6/r7/2k5/2n5/2B5/P1K5/8/8 w - -,c4b5
r2r2k1/p4pbp/q1n3p1/2pP4/8/5N1P/PP1QRPP1/R1B1K3 b - -,c6b4
4nrk1/1p4p1/pB2bp2/6p1/3pN3/8/PP2R1PP/6K1 w - -,b6d4
8/1p6/p5k1/3Rp3/4p1qr/P1P1BrN1/1P3P2/3QK3 w - -,d5d6
4r1k1/pp4Pp/4p2Q/n2rP1B1/5pq1/4R3/P4PP1/R5K1 w - -,e3e4
4k3/4b3/p3P2p/2pKB3/2P5/1r6/3R4/8 b - -,a6a5
2r2r2/pp3pk1/4b1pp/7n/nP1NPP2/P2PR2P/4N1B1/5R1K w - -,f4f5
8/8/4k3/4R3/5KP1/8/6q1/8 b - -,e6d6
2r5/2qb1kb1/3p1pp1/pp1P3p/1QpB3P/1P3BP1/P1P2P2/4R1K1 w - -,b4d2
5nk1/pb5p/1p2p3/1Q1pNp2/3P4/1P4P1/P1q2K1P/3R4 w - -,b5e2
r3r1k1/5ppp/ppnq4/1pp1pPP1/4P3/3P4/PPP3KP/R1BQ1R2 w - -,f1f3
1nb3k1/2p1q2p/1p1p4/3P2p1/1PP1Pp2/5B1P/4Q1PK/1R6 w - -,b1a1
r5k1/pp2ppb1/1q5p/3p1p2/3PnP2/3QPN1N/PPR3PP/6K1 b - -,e7e6
8/1p3p2/p1p1k1p1/2P1P3/P3KP2/4N3/5b2/8 w - -,e3c4
3R4/2pr2k1/1p4p1/1PnB1p1p/5K1P/6P1/8/8 w - -,d8g8
r2qr1k1/1ppn1p2/p5p1/2PPPnNp/1P5P/2Q5/P5B1/4RRK1 b - -,d7f8
4Qnk1/5rpp/p1p3q1/P2p1b2/1P1B4/2P4P/3N1PP1/4R1K1 w - -,e1e3
r2q1rk1/1p1b1pb1/3p1npp/p1nPp2P/4P1P1/2N1B3/PP1NBP2/R2QK2R b KQ -,b7b5
2B5/1p4p1/p4r2/1b5p/4k2P/3pPpP1/PP3K2/6R1 b - -,d3d2
q5k1/3nppbp/b2p1np1/2pP4/1rP5/4P2P/N1QNBPP1/B4RK1 b - -,b4b6
1r1qrbk1/1b1n1p1p/2p2np1/1p2p3/4P3/2N1BPPP/1PPQ2B1/2NR1RK1 b - -,d8c7
2k2r2/2p2pp1/Q2n4/1P5r/3R4/4qNP1/P6P/5R1K b - -,c8b8
5r1k/8/2P1p1p1/3pPq2/3Q1P1P/5RK1/7R/2r5 w - -,d4d3
2R5/5pkp/4p1p1/2n1P3/5P2/6PP/2r3B1/6K1 b - -,c2c3
r4rk1/1b2p1bp/pn4p1/1p1qPpN1/3Pp3/1P2B1NP/P2Q1PP1/2R2RK1 w - f6,g3e2
2r4r/pp1bkp2/2p1pn2/4R3/3P2N1/2P5/PP2BPP1/2KR4 b - -,f6d5
r1bq1rk1/pp2ppbp/2n3p1/3p2Bn/3P4/2PB1N2/PP3PPP/RN1QR1K1 b - -,d8d6
