8/2R5/8/4r1p1/1p4P1/1P5k/1KP5/8 w - -,c7c4
6k1/1p2Rpp1/6q1/3Q3p/1P5P/6P1/2r3K1/8 w - -,g2h1
b4r2/p3r1k1/P2q1b1R/1p1P4/1Pp1Bp2/2B3P1/3Q2K1/3R4 w - -,h6g6
rnq1k2r/p1p1b2p/1p2ppnB/3p3Q/3P3N/2P3N1/PP3PPP/R3K2R b KQkq -,h8g8
r3br2/1p4k1/1pp1p2p/3pP3/P3pP2/7P/5KB1/R2R4 b - -,f8f4
3r1rk1/pp2qppp/2n1bb2/4p3/3PN3/1N4P1/PPPQ1PBP/3R1RK1 b - -,c6d4
6k1/1pB2pp1/2p4p/2P5/PPn5/7P/4r1P1/1R4K1 b - -,c4e3
8/3bk2Q/2p2p2/2bp4/8/6PP/6PK/4q3 b - -,e7e6
4rrk1/ppp3pp/2pq4/2n2b2/6N1/2NP3P/PPP3P1/R2Q1RK1 w - -,g1h1
r6r/p2R1pk1/1p2pqp1/7p/2P3P1/8/PP1Q1P1P/3R2K1 w - h6,g4g5
r1b2r1k/1p2b1np/1npp1p1B/p3p1p1/P2PP1Nq/2N4P/BPP1QPP1/3RR1K1 b - -,f8d8
2k1r2r/1pbn1pp1/pqp1p2p/7P/1BPP4/Q4N2/PP1R1PP1/1K2R3 b - -,h8g8
rn2brk1/ppq3bp/3p4/2pP1p1n/8/1QN1BN2/PP2BPPP/R3K2R b KQ -,h7h6
r4rk1/pp2pp1p/3pb1p1/3N4/3nPP2/8/PPP3PP/R2B1RK1 b - -,e6d5
r7/pq4b1/1p2Q3/2p5/8/2pkp1P1/PP5P/5RK1 w - -,f1d1
r2qkb1r/ppp1pp1p/1nn1b1p1/3p2N1/3P4/1B6/PPP2PPP/RNBQK2R w KQkq -,g5e6
3rr1k1/5pp1/R3bqn1/1p2p3/7p/1BPP2PP/4QP1K/5RN1 b - -,g6f4
rnbq1rk1/p3p1bp/3p2p1/1ppP4/2P1BN2/6P1/PP3P1P/R1BQK2R b KQ -,a7a6
1qr2rk1/pb1nppbp/1p1p1np1/8/1PPN4/P3PB2/1B1N1PPP/2RQ1RK1 b - -,d7e5
8/5k2/1p3P2/4N1P1/P7/8/1pK5/2b5 b - -,f7e6
2kr1b1r/1ppq2pp/p3p1b1/3n4/2nPpBP1/2N3QP/PPP1N1B1/2KR3R b - -,e4e3
3r1r1k/2p2p2/p3p1pp/4P2P/q1N2P2/2Q5/P3B1P1/5RK1 b - -,a4a2
5rk1/6pp/4R3/p2n4/8/P5P1/1r4BP/2R3K1 b - -,d5f6
r4b1k/1p3qpp/1nr1p3/1N1p1n2/p4B2/P2B1P2/1PPQ2PP/1K1RR3 w - -,f4e5
r4rk1/p1q1npbp/bp2p1p1/1NnpP3/P4P2/2P3P1/1P2N1BP/R1BQ1R1K b - -,c7d7
r4r2/pp4kp/2nNpp2/5b2/1PB2P2/P5P1/5K1P/R2R4 w - -,g3g4
r1b2rk1/1pqp1ppp/p1n1pn2/8/2PNPb2/2N1B2P/PP1QBPP1/R4RK1 b - -,c6d4
rnbq1rk1/pp3ppp/2p1pn2/8/1bpP4/2NBPN2/PP3PPP/R1BQ1RK1 w - -,d3c4
8/2k4p/p2p1q2/2pr1p2/1P3R2/P5P1/2P1Q1KP/8 b - -,f6c3
6k1/pp2p2p/1bp3p1/8/2P2rn1/1PNR4/P1Q2PBq/4BK2 b - -,b6f2
2r3k1/pp4p1/1q2p2p/n2p1rPQ/3Pp3/5N2/PP3P1P/1R4RK w - -,h5g6
r1bq1r1k/ppp3np/3p2n1/3P4/1PP1B3/5pP1/P2QNPNP/2R2R1K w - -,e4g6
2kr4/pb1n1p2/1p1p1n2/2pPq3/2P5/P1PBP1NR/1KQ2pP1/3R4 b - -,d8g8
1Rb5/2P2ppk/p7/P3pq1P/5r2/5Q1P/6B1/6K1 w - -,f3c3
r1bqr1k1/1pp1bp1p/p1n1p1p1/8/3PR2P/2PB1N2/PPQ2PP1/R1B3K1 b - -,f7f5
8/5pB1/6p1/3kP2p/r6P/5PK1/6P1/8 b - -,a4a2
4rbk1/1R2p3/3p3p/4rpp1/3N4/7P/5BP1/5R1K b - -,f8g7
r4rk1/2p2pp1/p6p/4pq2/2Q2b2/2PP1N2/P4PPP/1R3RK1 w - -,b1b7
3r1rk1/pp1n1ppp/5n2/q1p1bp2/2BP1P2/1QP5/PP4PP/R1B2R1K w - -,f4e5
5r2/N5kp/1p1Pp1b1/1P4P1/2r5/5R1P/P2K1R2/8 b - -,c4c2
4r3/2R2pk1/1pp1r1pp/p1n1p3/P1P3P1/1P2N2P/4PPK1/3R4 b - -,e8e7
r1bqk2r/pp3ppp/5n2/2b5/3n4/2N3P1/PP3PBP/R1BQK1NR w KQkq -,g1e2
r1bq1rk1/ppp1n1bp/3p2p1/3P1pN1/1PP1Pp2/2N5/P3BPPP/R2QR1K1 w - -,a1c1
8/p4pk1/8/1p4b1/2N1K2p/P6P/1P2R1P1/1r6 w - -,c4e5
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/5NP1/PP2PPBP/RNBQK2R b KQkq c3,d5c4:e8g8
3n2k1/3r4/1p2p1P1/p2p3P/5p1K/8/B5P1/2R5 w - -,h4g5
8/2p4p/p1kbRK2/1p2P3/2p2Q2/6P1/PP6/1q6 w - -,e5d6
2r2rk1/3qbpp1/3pp2p/p2n4/2NP4/P5BP/1P2QPP1/3RR1K1 b - -,a5a4
r1b2k1r/pppp1p2/2n2qpp/1B3P2/3N4/8/PPP2PPP/R2QK2R w KQ -,b5c6
3r1rk1/p3bppp/2q1bn2/Q2p4/N1p2B2/1P1B3P/P1P2PP1/3R1RK1 w - -,d3e2
4r1k1/1pp3pp/p1p1r3/8/8/1PNnBP2/P1R3PP/3R3K b - -,e6e3
3r2k1/pp3pp1/1b2qn1p/8/3P4/2N2N2/PP3PPP/2RQ2K1 w - -,d1a4
r1r3k1/p2qbppp/2n1p3/1p1pP3/3P4/P1R2N2/1P1B1PPP/3QR1K1 w - b6,c3d3
r1bqk2r/pp2bppp/2n1pn2/8/2Pp4/1P1P1N2/PB1N1PPP/R2QKB1R w KQkq -,a2a3
r2r4/1n4pp/3p1k2/1p1PppN1/1P6/2P5/5PPP/R4RK1 w - -,g5e6
6k1/1p1r1p1p/p2pp3/5b2/8/3P4/PP1R2PP/1KR5 w - -,c1c3
4r1k1/4r2p/6p1/p2R1p2/1q6/1P5P/Q4PP1/2R3K1 w - -,c1d1
5bk1/5p1p/2b1p1p1/1pNp4/3P4/3BP2P/1n3PP1/1N4K1 w - -,d3c2
2r2rk1/pppnppbp/6p1/5b2/1PBP1B2/P3PN2/3K1PPP/2R4R b - b3,d7b6
8/1p6/4ppk1/8/6P1/5PR1/1r2r1P1/5RK1 b - -,e6e5
1r6/2pbk1pp/2pp1p2/p7/1r1PP3/1P2PK1P/PN1R2P1/2R5 b - -,b8a8
rn2k1nr/pp3ppp/4p3/q1NpPb2/8/8/PPP2PPP/R1BQKBNR w KQkq -,c2c3
2r1n1k1/1q3p1p/p1rpb1p1/2n1p1B1/4P3/2N1R2P/1PPQBPPK/1R6 b - -,c6b6
8/1p2kp1p/1R2b3/rpP1P3/1R2P3/2N5/7r/1K6 b - -,a5a3
3r3r/4kn2/pq1pp2p/1p3p1P/1P1R1Q2/5pPB/5P2/4R1K1 b - -,f7g5
rn2kb1r/ppq2pp1/2p1pn2/3p2p1/2PP4/1Q1BPP2/PP1N2PP/R1B1K2R w KQkq -,d2f1
8/r4k1p/5bp1/4Bp2/2Pp4/1n5P/4RPP1/1K1R4 w - -,e5f6
2r3k1/2n3p1/1B5p/8/R1P5/4K3/6PP/8 w - -,b6c7
2r2nk1/2q2ppp/1p2p3/p1b5/2P4P/1PBR1BP1/P1Q2PK1/8 w - a6,c2d2
r1b2rk1/1p2qpb1/2p3pp/p1P1pn2/P2P3P/2N1PN2/1P3QP1/1B1RR1K1 b - -,h6h5
r3r3/pppn2bk/P1np3p/5p2/5P1q/1PN1BB1P/2PQ2P1/3RR1K1 b - -,a8b8
r6k/1p2q1p1/1Qn4p/r3p3/4PpbP/P1P2N2/1P3PP1/2KR3R w - -,h4h5
2r2rk1/5pp1/1p2p2p/p2n4/3R4/P3PNP1/1P1RQPKP/1q6 b - -,c8c1
3k4/6p1/1n1P2p1/1B6/3K4/8/7P/8 w - -,d4e5
r1bqk2r/pp3ppp/2n1p3/1B1n4/1b1P4/1QN2N2/PP3PPP/R1B1K2R b KQkq -,c8d7
8/pN6/1p3pk1/4np2/1B6/P7/2rR4/5K2 b - -,c2c1
4r1k1/1p3pb1/p3bn1p/2p1N1p1/Pn6/2N4P/1PPRBPPB/5K2 w - -,e5c4
rn1q1rk1/pb2ppbp/1p1p1np1/2pP4/2P1P3/2N2NP1/PP3PBP/R1BQ1RK1 b - e3,b6b5
1q1r2k1/3r1pp1/3p3p/pNn1p3/4P3/5P2/PPBR1QPP/3R2K1 b - -,b8b5
2r5/8/p2p4/1p4R1/2q4Q/2Pk4/PP6/1K6 w - -,g5g3
8/2b5/2b5/5p1N/2k2B1P/5PP1/8/2K5 b - -,c7a5
7r/5ppk/p2Pp2p/3pP3/1q6/3Q1P2/P4P1P/R4R1K b - -,g7g6
1r1qr2k/1ppb1pp1/2n1pb1p/p1P5/3PB3/P1B2N2/1PQ2PPP/3RR1K1 b - -,c6e7
r3kb1r/p2b1ppp/2p1p3/3q4/Q3B3/8/PP3PPP/R1B2RK1 b kq -,d5c5
