8/6k1/3Q2p1/2pPp2p/2P4P/4P3/5q2/7K b - -,f2h4
r1bqk2r/p3bp2/2pp1nnp/1P2p1p1/4P1P1/2NB1N1P/P1P2P2/R1BQ1RK1 b kq -,c6c5
4b3/R3p2k/4pbpn/2N4p/P7/4BP2/5KPP/r4B2 w - -,c5e4
1rbqk2r/pp2ppb1/3p1np1/2p4p/2P3P1/1PN1PQ1P/PB1P1PB1/R3K2R w KQk h6,g4g5
8/7p/5kp1/2pP4/1p2pPP1/4P2P/5K2/8 w - -,f2e2
r1bqkb1r/1p3pp1/p4n1p/4pN2/4P3/2N5/PPP3PP/R2QKB1R w KQkq -,d1d8
2rqr1k1/1b1n1p2/p2pp1p1/6pn/1PP1PPP1/3B1R1Q/1N5P/5R1K w - -,g4h5
1qr1r1k1/p4pp1/2pbbn1p/3pp3/N1P5/1P1BP2P/PBQ2PP1/2RR2K1 w - -,d3f5
2rb1rk1/1pqbnppp/p3pn2/8/2P2P2/1NN1B2P/PP2BQP1/2RR2K1 w - -,g2g4
8/8/p1p5/P1P2p2/bP4k1/4K1B1/7P/8 w - -,g3e1
7r/1p1b1pk1/6p1/p1nNp3/2P1P3/1P2K2P/P2R2B1/8 w - -,d5b6
r3k1r1/pppqbpBp/4b1p1/4p3/2P5/2P1Q3/P3BPPP/R3K2R w KQq -,g7e5
8/5kpp/5p2/p3p3/1pbqP3/5P1P/PPQ3PK/1B6 w - -,a2a3
r1bqk2r/pp2pp1p/2n3pB/3p4/4n3/1NP2P2/P1P1Q1PP/R3KB1R b KQkq -,e4d6
3r4/3r1k1p/4pbp1/2pn4/2Q1BP2/P2RP2P/1q4P1/3RB1K1 b - -,f6e7
r1b1k2r/2q1bpp1/p1p3n1/4p3/Pp2P1Pp/4B2P/1PP2PB1/RN1QR1K1 b kq -,e8g8
2r2rk1/1pq1ppnp/p5pb/P7/1PBBP3/N5Pb/4QP1P/R2R2K1 b - -,g7e6
8/8/8/5pk1/2R5/5PK1/2P5/2r5 b - -,f5f4
3q3k/p4prn/1p4p1/6Q1/3PN3/2P4R/P4P2/6K1 b - -,d8g5
r2q1rk1/pp2bpp1/1n2p2p/4P3/4N3/1P3QP1/PB3P1P/R4RK1 b - -,g8h8
rnbq1rk1/ppp2ppp/4pn2/3p4/1bPP4/2N1PN2/PP2BPPP/R1BQK2R b KQ -,c7c5
r1q2rk1/bb2nppp/p3pn2/1p6/1P5P/P1N1PN2/1BQ2PP1/1B1RK2R b K h3,e7d5
r4b1r/3k2pp/pqp1p3/2p5/2QpP3/1P1P1R2/P1P3PP/R1B3K1 w - -,c1a3
R3nk2/8/5P1p/4K3/1P2B3/8/P3r3/8 b - -,h6h5
r2q1rk1/p3bppp/1p2pn2/2p5/3PRB2/2P2N2/PP3PPP/R2Q2K1 w - -,e4e2
8/5pkp/2n1p1p1/p1r1N3/P1P2P2/6P1/3R3P/6K1 w - -,e5c6
2R3k1/pr1n1pp1/4p2p/4n3/P1B4P/1P4P1/3N1P2/6K1 b - -,g8h7
r4nk1/pb3ppp/1p6/7q/4p3/Q3B1P1/PP2PP1P/3R1BK1 b - -,b7d5
8/5B2/8/4p3/5pP1/2k1nP2/4K3/8 b - g3,c3d4
r1rq2k1/1p3pbp/3pb1p1/pPn5/4P3/P1P1B2P/2B2PP1/RN1QR1K1 b - -,a5a4
r4rk1/ppp1qpp1/2n2n1p/3p4/2PPpN2/P1QbP1P1/1P1N1PBP/R3R1K1 b - -,d5c4
6k1/1p1r1p1p/p3p1p1/Pr6/R2P1R1P/2P3P1/5P2/6K1 w - -,c3c4
r3q1k1/pp1n1ppp/2pb4/7b/3P4/2PB1N1P/P4PP1/R1BQ2K1 w - -,c1d2
8/1pk2pp1/2pRp2p/1r2P2P/5PP1/1P6/P7/1K6 w - -,d6d4
3rk3/r3bp1p/2R1p1p1/1p1n4/3P4/1B2BP1P/1P2KP2/2R5 w - -,c1d1
7k/1r1BK2P/8/8/8/8/3R4/8 w - -,d2d4
r1b1rnk1/1pq2pbp/p1np2p1/3N1pP1/4P2Q/1N5R/PPPB2BP/R5K1 b - -,c7d8
8/p1n1k3/6p1/Pr1P3p/4P2P/3N1BP1/5PK1/8 b - -,b5a5
r2q1rk1/pp2p1bp/1n1p2pn/2pP1P2/P4P2/2NB1R2/1PP3PP/R1B1Q1K1 b - -,h6f5
r1bq1rk1/p2pp1Bp/2p1npp1/4P3/2P4Q/5N2/PP3PPP/RN2R1K1 b - -,g8g7
5k2/p5pp/1p1npp2/8/1PP5/P4N2/4KPPP/8 w - -,e2d3
8/8/4bB2/7p/2k3pP/6P1/pK6/8 b - -,c4d3
6k1/8/p4b2/Pppr3p/6bP/1P1P1N2/3BPK2/1R6 w - -,d2g5
3k4/1p6/pB6/Pb2R3/1P4r1/1K6/2P5/8 b - -,d8d7
2rq1r1k/pp1nbppp/1np1p3/3pP3/3P2Q1/1NPN4/PP3PPP/R1B1R1K1 b - -,c6c5
r1bb2k1/5ppp/2p2P2/p1p5/8/2P2NN1/P4PPP/2R3K1 w - -,f6g7
8/4k3/R7/6N1/4K3/8/8/5r2 b - -,f1e1:f1b1
3r3r/pp1k1ppp/4p3/8/3PnB2/2P5/P4PPP/R4RK1 w - -,c3c4
5kr1/1pq2p1p/p2pp3/4b3/2r5/6N1/PP1Q1PPP/3RR1K1 b - -,g8g6
2q1rbk1/1p3pp1/7p/1P1p4/1n1P1BP1/1Q5P/2bN1PB1/3R2K1 w - -,d1c1
6k1/p4pp1/5np1/8/8/8/Bn1qNPPP/R3R1K1 w - -,e2g3
r2q1rk1/pp2bppp/4pn2/8/2PB4/3Q3P/PP2BPP1/R2R2K1 b - -,d8c7
8/5k2/p2b2p1/5p2/P1PN2p1/4P3/6P1/7K w - -,h1g1
1r3r1k/1p4bp/2Ppb1p1/qN2pp2/1p6/3PP1P1/3B1PBP/1R1Q1RK1 b - -,a5b5
1kr2r2/npqb3p/p3p1pP/3pN3/1P3P2/P1N1Q3/1KP3P1/3RR3 b - -,d7e8
2rqr1k1/3bppbp/p1np1np1/1p6/1P2P3/P2BBNNP/2PQ1PP1/3RR1K1 w - -,c2c4
2R5/pr4k1/1p1p2q1/1P1Np3/P3P1p1/1Q1PBpP1/2K2n2/3r4 b - -,d1d3
r2r2k1/p3pp1p/2p1b1p1/q1Qn4/N7/1P3P2/P1P3PP/2KR1B1R b - -,a5c7
1kr4r/1bq1npb1/p2p3p/PpnPp1pP/2p1P1N1/2P3P1/1P1NQPB1/R1BR2K1 b - -,c8f8
3r1rk1/1p3pp1/2q4p/pN1p1Q2/3Bn2b/7P/PP2B1P1/3RK2R w K -,g2g3
3r4/p6p/4k3/p1p2p2/2P2P2/1P2BK1P/1b2N3/8 w - -,e3c5
5r1k/2q3p1/p1rpb2p/8/pRPQPp2/N4P2/2R3P1/6K1 b - -,c7a5
r4r1k/p5pp/3q4/3bppP1/3Pp2P/P3P3/1P1N1P2/2RQ1RK1 w - -,d2c4
r2r2k1/p1q3pp/4p3/1p2Pp2/3Pb3/BP6/P5PP/R2Q1RK1 w - -,a3d6
b7/p1p3pp/3r1k2/2ppN3/8/1PP2P2/P4K1P/3R4 w - -,e5d3
3r2k1/1b6/p3N1pp/4p1p1/1p2n3/1PP2R2/1P2N1PP/7K b - -,d8e8
8/2BP1Qbk/1r4pp/8/q1p5/p6P/5PP1/6K1 b - -,a4d1
2r2rk1/1pq3p1/p2ppbnp/4p3/1P1PP3/2P2N1P/1B3PP1/1R1Q1RK1 w - -,d1b3
8/8/5K1k/8/3p4/3P4/2n5/8 b - -,h6h5
5n1k/p3R1p1/1p5p/1Prp4/8/8/5P1P/4R1K1 w - -,e7a7
8/k5rr/3P1Q2/Bpq4p/6p1/6P1/2p3BP/4R2K w - -,a5d2
5bk1/pp3p1p/2p3p1/2n1p3/2N1n3/4B2P/PPP2PP1/3B2K1 w - -,c4e5
5k2/p3bpp1/8/2p1PB2/1r6/6P1/1P2RPKP/8 w - -,e2c2
r3k1r1/p2n1p1p/4p3/PN6/1B2p3/2P5/q1P2PPP/2Q1KR2 b q -,a8b8
1qrrbbk1/1p1n1ppp/3Bp3/1P6/2PQ4/2N3P1/4PPBP/2RR2K1 b - -,f8d6
5rk1/1p1r2p1/2npq3/pB2pb2/P7/2P1B1QP/1P1R1PP1/3R2K1 w - -,g3h4
6r1/p1r1qkp1/Pnn1p2p/1QNpPp1P/1P1p1P2/8/2PB2P1/R3R1K1 w - -,b5e2
r2qk2r/pb1p1ppp/n3pn2/b1pP4/2p1P3/P1N3P1/1P2NPBP/1RBQK2R b Kkq -,e8g8
8/p4kpp/1n1rp3/1Bp2p2/P7/5bP1/2P2P1P/2R1B1K1 b - a3,a7a6
8/8/P2p2p1/4b3/1R2Pk2/r2B4/5PK1/8 w - -,d3b5
