8/8/6B1/4k1p1/1p6/1n4Kp/5P2/8 b - -,b3d2
1r1q1nk1/1pp2rbn/p2Pp3/6p1/1P1PB3/5NB1/P2Q1PP1/3RR1K1 b - -,c7d6
5rk1/6p1/4p1n1/p7/Pb1Pp2p/5N1P/5PPB/R4K2 w - -,f3g5
2r3k1/1pqr1bp1/p4bnp/P1N1pp2/1PP5/4BP2/6PP/R1R1QBK1 b - -,d7e7
1n3r1k/1b2p2p/p5p1/1pnq4/8/2P5/P3BPPP/R1B2RK1 w - -,f2f3
5k2/2p2p2/3p4/p1p3P1/3b1NP1/8/r4P2/5RK1 b - g3,a5a4
r6r/1bq1bpk1/p2p2pp/4p3/B1P1n1N1/P3B2P/1P2QPP1/3R1RK1 b - -,a8c8
2r1k2r/pp1bn3/5bp1/3Ppp2/4P2P/4B3/PP2N1BP/R4RK1 w k -,a1c1
5rk1/p4p2/1b5p/6p1/3nQ3/2q2NBP/P4PP1/4R1K1 b - -,d4f3
4r1k1/pp3ppp/3Rn3/3Q4/1r2p3/q1N1P2P/PP3PP1/1K5R w - -,b2b3
3b4/3k1B2/1np1p2B/p1PpPp2/3P1P2/1K5P/8/8 w - -,c5b6
8/p2Rn1k1/5pp1/4B2p/P6P/1P2P3/2r2P2/6K1 b - -,g7f7
r1bq1rk1/1pp1nppp/p2p1n2/2b1p3/4P3/1BPP1NN1/PP3PPP/R1BQK2R b KQ -,e7g6
n1r2rk1/1pq1bpp1/p1p1bn1p/2Pp4/NP1Pp3/P1B1P1NP/3QBPP1/2R1K2R b K -,f6h7
8/1R2p3/p1nb1k2/8/2p1BP2/4pK2/1P6/8 b - -,c6d4
r4rk1/5pb1/p3n1pp/1ppqp3/6nP/4BN1N/PP2BPP1/R1Q1K2R w KQ -,e1g1
4n3/2q2n1k/p1N2pp1/1p1Pp2p/1P2P1bP/6N1/P2Q2PK/3B4 b - -,g4c8
r3kbnr/1p1b1ppp/4p3/3pP3/p2P4/PpP2N2/1P3PPP/R1B1RNK1 w kq -,f1g3
3r1rk1/pp2n1pp/1bn1bp2/1B2p3/4P3/1NP2N1P/PP2QpPK/R7 w - -,b3c1
6k1/4Rp2/6p1/3P2Pp/2P4P/4QPK1/Pq6/3r4 w - -,e7c7
r2qk1nr/p4pp1/2pbp1p1/2p5/6P1/2N4P/PPPP1P2/R1BQ1RK1 w kq -,d1f3
4r2r/pp1b2kp/3bppp1/2qp4/6NQ/2PnPP2/PP1N2PP/1R3RK1 b - -,d6e7
5k2/1p1rbppb/1rpnp2p/p2p3P/P2PPB2/2P2BP1/RP1N1PK1/4R3 w - -,g2g1
3qrbk1/1p2p2p/2rpbpp1/p2N4/P3P2Q/1P1RB3/1P3PPP/5RK1 w - -,f1d1
r2qk2r/1p1bbpp1/p2p1nn1/2pPp2p/P1P1P2P/2N1BPP1/1P1QN3/R3KB1R b KQkq -,d8a5
r2q1rk1/pp1bppbp/2n3p1/6B1/3PP3/Q2B1P2/4N1PP/2R2RK1 b - -,f8e8
r1bqkb1r/pp3ppp/2nPpn2/8/2B4Q/2P5/PP3PPP/RNB1K1NR b KQkq -,f8d6
r2qk2r/pp1b1ppp/3b1n2/2pP4/1n6/2N2NP1/PP3PBP/R1BQR1K1 b kq -,e8f8
5k2/2rb4/p2p1n1q/1p1Pp3/1P2P1p1/P2BNpP1/3Q3P/4R1K1 w - -,e1c1
1r4r1/8/2b4p/ppNpqk2/1P6/P1P5/3Q1K1P/R5R1 w - -,d2h6
r2qkb1r/pp1n1pp1/2p1pn1p/7P/3P4/3Q1NN1/PPP2PP1/R1B1R1K1 b kq -,f8e7
r5k1/pp2n1bp/2nqprp1/3p4/P2P4/3BB2P/1P1N1PP1/R2Q1RK1 w - -,d2b3
3r4/6k1/3np2p/p1pbN3/5PPP/1P1BK3/P1R5/8 b - -,d8c8
1r5k/2p2np1/3b3p/R2qp3/7P/2Q1B1P1/1P3P2/6K1 b - -,d5e4
6k1/pb1Q1pp1/1p2nn1p/8/8/P3NP2/1P3BPP/5BK1 b - -,f6d7
6k1/1p4pp/5p2/2P5/1P1QK3/1q3P2/6P1/8 b - -,b3e6
2r2bk1/1p1n2pp/r7/1N1P4/nPP3p1/4Q3/6PP/2R3K1 w - -,c4c5
8/8/7p/1B1bppk1/2p5/2P2PP1/1P4K1/8 w - f6,g2f2
1R6/5ppk/4p1p1/2n5/P5P1/1PB1P2P/1r3P2/6K1 b - -,b2c2
8/6p1/6k1/8/pr6/7R/2K5/8 b - -,b4b8
8/1pk2p2/p3p2p/5p1Q/P4P2/1Pq3P1/2P4P/1K6 b - -,c3g7
8/p5r1/2b2k1p/4b3/4Pp2/2p2B2/P1R1NP1P/7K b - -,g7c7
6r1/1p4P1/1k6/3p4/p5Q1/P2KP3/1P6/2r5 b - -,c1c6
4rrk1/p6p/1p2p2q/6p1/1PPQ4/5bP1/P4PNP/R1R3K1 b - -,e6e5
5n2/5p2/4pN1P/1k1pP1p1/2pP4/2P1K3/5PP1/8 w - -,g2g3
2r3k1/2r1bppp/pq2pn2/3pN3/Pp1P4/1P1Q3R/1BP2PPP/2R3K1 b - -,g7g6
6R1/2pk1p2/1p1p1P2/2p3P1/2P1P3/4K2b/2P1B1r1/8 b - -,h3g4
r1bqr1k1/ppp1ppbp/1n4pB/8/2nPP3/2N2P2/PP1Q2PP/1K1R1BNR w - -,d2c1
q3r1k1/1pp1ppbp/2n1b1p1/8/r2P4/P3PNP1/1B2QPBP/R3R1K1 b - -,c6a5
r2q1rk1/p3ppbp/1p4p1/3b4/3P1B2/P1P1QN1P/5PP1/2R2RK1 b - -,a8c8
r1bqkb1r/ppp2ppp/2n5/4p3/8/2P3P1/P1PP1PBP/1RBQK1NR b Kkq -,f8c5
3q1r1k/1b2Np1p/p1n3p1/2p1p3/P3N1QP/2PrP3/B5P1/3R1RK1 b - -,c6e7
4r2k/pp1qrp2/2p4P/3n1pp1/3P4/3Q1BP1/PP3PK1/3R3R w - -,h1h5
rnbq1rk1/p3p2p/1pp3p1/3pP3/3P1b2/1P1B1N1P/P1P1Q1P1/RN3RK1 b - -,a7a5
rnbq1rk1/pp2ppbp/2pp1np1/8/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b - d3,c8f5:d8a5
3q2k1/p4p1p/Q4bp1/5p2/1P1r4/P2B3P/5PP1/3R2K1 b - -,g8g7
2q1r1k1/pp2b1pp/4Pp2/5N2/4p1P1/1Q1nB2P/PP3P2/5RK1 w - -,b3d5
8/ppp1k2p/2p1p1p1/4P3/2P4P/1P3P2/P4RPK/r7 b - c3,a1e1
r3kb1r/pp1b1ppp/1q2p2n/3pP3/8/3BBN2/PP3PPP/R2Q1RK1 b kq -,f8c5
5rk1/2R3pp/1q2p3/1N1pP3/Pn6/1PQ4P/6P1/5rRK w - -,c3d4
8/2n5/8/3pk3/6p1/3BK3/8/8 w - -,d3e2
8/5p2/6pp/pp1b4/3Pp2P/kP4P1/P4P2/1K1B4 b - -,a5a4
8/1p1r4/p1n5/2P2pk1/3PnN2/P4Q1P/1P4P1/6K1 w - -,f4e2
5nk1/5p2/4pp1p/8/8/3r1NPP/3B1PK1/8 b - -,g8h7
r4rk1/p3qpp1/1np1pnp1/8/1bBP4/1QN1P2P/1P3PP1/R1B2RK1 w - -,c4a6
3r4/7p/3Pkbp1/1pB1pp1P/bP2p1P1/R3P3/5PB1/6K1 w - -,h5g6
1r2r1k1/2q2p1p/b1p1n1p1/p1P1p3/1P2P3/Q3B1PP/1P3PB1/2RR2K1 b - -,a6e2
r2q1rk1/pb4pp/1pp1p3/3pPp2/2P1n3/2NBP2P/PPQ2PP1/R2R2K1 b - -,e4c5
1r1q1rk1/4bppp/3pb3/4n1P1/P3P2P/2Q1B3/2P1BR2/R2N2K1 b - -,b8c8
r4rk1/pp3ppp/2p1b3/4B3/3P4/3R1B2/P1Pb1PPP/1R4K1 b - -,d2a5
r1bq1rk1/1p2b1pp/2pp4/p2Pp3/1nP1Q1P1/5N2/PP2PPBP/R1B1R1K1 b - -,c6d5
7k/p5pp/1p6/8/4rr2/5B1P/P1P3P1/5R1K b - -,e4c4
rn1qkb1r/p2p1ppp/bp2pn2/2pP4/2P5/P4N2/1P2PPPP/RNBQKB1R w KQkq -,d1b3:d1c2
6k1/p4rpp/8/2P4P/8/1P2R1K1/8/8 b - -,f7c7
2b1r2k/1pq1r1pp/p1n1pn2/3p4/5P2/PNN3P1/1PPQR1BP/4R2K w - -,b3d4
r1bq1rk1/pp3pbp/2np2p1/2pnp3/2P5/2N1P1P1/PP1P1PBP/R1BQ1RK1 w - -,c3d5
5rk1/p2q1rbp/1pnpp1p1/2p5/4PPP1/2PQBRNP/PP4K1/5R2 w - -,f3f2
8/8/2kb4/8/4RP1P/r3N3/6K1/8 w - -,e3c4
8/R4pk1/8/3B2p1/6P1/6K1/8/5r2 w - -,d5f3
6k1/8/6p1/pp1p4/2pP1R2/2P1Pp1r/PPK2P2/8 b - -,g8g7
r2qrn2/1pp3kp/p2p4/P2Pp1pR/4P1P1/8/1PPQ1P2/4R1NK b - -,h7h6
2r1r1k1/p1qb1ppB/2p4p/4b3/8/1P3NP1/P1Q2P1P/2R1R1K1 b - -,g8h8
1q4k1/r5b1/p7/3PpQR1/n7/6P1/PP2B1P1/2K5 w - -,f5e6
5rk1/1r2n1b1/3p2p1/1pqP2BP/4Pp1P/8/RpQ1B2K/5R2 w - -,a2b2
