8/8/1R6/P6p/5r1k/7p/5P1K/8 w - -,h2g1
r4rk1/1p3pb1/1p3n1p/2nPp1p1/1P2P1b1/2N5/P2NBBPP/R3K2R b KQ b3,c5d7
8/1p1k1p2/p4P2/3p1b2/3K4/6B1/PPP4P/8 w - -,c2c3
r1b2rk1/2p1q1b1/1p1p3p/p2Pp3/2P1BpPP/5P2/PPQ2B2/2KR3R b - -,c8d7
8/p2r4/2p1p3/R1Pp2kp/1r1P1p2/5K2/PP1R1PP1/8 b - -,g5f5
r4rk1/1p2ppbp/p2pbn2/6pq/1PP2B2/2NQ1PP1/P3P1BP/2R2RK1 w - -,f4d2
4r1k1/1pq1bpp1/4pnp1/p1pr4/3P1P2/2PN1RPP/PP6/2QR1N1K w - -,f1e3
6r1/pp6/3pk2p/8/1P2np1N/2PBb2P/PK4P1/4R3 b - -,e6e5
r1r2k2/1p3p1p/3pb1p1/7n/pPP1P2P/5P2/P2B2P1/2RR1B1K w - -,a2a3
2rr2k1/1bq1bppp/pp1ppn2/2n5/2PNPPP1/2N5/PP3BBP/2RQR1K1 w - -,g4g5
rn1q1rk1/pb3ppp/1p2pn2/8/1bBP4/2N2N2/PP2QPPP/R1BR2K1 b - -,b4c3:b8d7:h7h6
4qr1k/2pbb1pp/1pn2pn1/r2Bp3/pP2P3/2P1BN2/P3QPPP/2NRR1K1 b - b3,a4b3
r2qr1k1/1bp1bpp1/p3pn1p/1p6/2pPPB1P/PnN2NP1/1P2QPB1/3R1RK1 w - -,f1e1
r1b2rk1/pp3pbp/5np1/4p3/3Nq3/2P5/PP2BPPP/R1BQ1RK1 w - e6,e2f3
r4rk1/pq2bppp/1p2pn2/P1p1N3/1nP5/3P2P1/1B1NPPKP/R2Q1R2 w - -,d2f3
8/2k5/p1P2Pp1/3pn1P1/3N4/p1P1P3/Pr6/5RK1 b - -,e5f7
rn1qk2r/pb1n1ppp/1p2p3/2bpP3/3N1P2/6P1/PPP1N1BP/R1BQ1RK1 b kq -,e8g8
1r2k2r/2q1bp2/3p2p1/2P1n2p/pp2PBP1/6QP/P1P5/1NKR3R b k -,b8c8
1rb3k1/2p1qrbn/p2p1pnp/2PPp1pP/4P1P1/1NN1BP2/P1Q1B3/2KR3R b - -,g6f4
8/6p1/4p1Np/3kP2P/1bpp1Bn1/3P4/1KP5/8 w - -,f4g3
4r1k1/3nr1pp/pq1p1p2/2pPnP2/2P2Q2/1PN1R2P/2B3P1/4R1K1 b - -,d7f8
8/6p1/p3r1k1/P1R1P3/7P/4r1P1/5K2/3R4 b - -,e3e4
r3k2r/pppqnpp1/2nbb2p/3p4/1P1P4/2PB1N2/P2N1PPP/R1BQR1K1 b kq b3,e6f5
2r2rk1/1b1Nq1pp/p1nbpp2/1ppp4/5P2/1P2PNP1/PBPPQ1BP/R4RK1 b - -,e7d7
r2q1rk1/1b2bppp/p3pn2/1pp1R3/8/1PNB4/PBPP1PPP/R2Q2K1 w - -,d1e2
8/8/8/3NK1P1/4b3/8/3k4/8 b - -,e4h7
1r6/5Qbk/1Nb3pp/2B1p1qn/2BnP3/5P2/R5PP/5RK1 w - -,a2a7
2r2rk1/4bppp/pp2p3/1n1pP3/1P1P4/Pb2BN2/5PPP/1NR2RK1 b - -,b3c2
2b5/4ppk1/3p2p1/2pP3p/n1P1PP2/1N1Q2PP/4B1K1/1q6 b - -,c8h3
r3r1k1/p4pb1/3p1np1/2qP3p/2p1PP2/5BNP/1P4P1/R2QR2K b - -,a8b8
r4rk1/pp2ppbp/n3b1pn/1Np1P3/2B2B2/2P4P/PP1N1PP1/R3K2R b KQ -,e6d7
4r3/3b1rkp/p1p2npq/Pp1p1p2/1P1P1P2/3BP3/3NRQPP/4R1K1 w - -,h2h3
rn1qkb1r/pp1bp2p/5pp1/2pn4/8/1P3N2/PBPP1PPP/RN1QKB1R b KQkq -,e7e5
r2qr1k1/4bp1p/p2pnnpB/1pp1p3/4P3/P1PP1NNP/1P3PP1/R2QR1K1 b - -,f6d7
8/2r1k1p1/2P2p2/1RPBp2p/3p1P1P/6PK/3r4/8 w - h6,f4f5
2r1r1k1/p2nqp2/1b1p2pp/3P4/4N3/3QP1NP/5PP1/R4RK1 w - -,d3a3
2r1kb1r/1p1b1ppp/p3p3/4N3/3nP3/1P6/1P1BBPPP/2RR2K1 w k -,e2c4
r5k1/ppq1b1pn/2pp2np/3Ppr2/2P5/2N1BNPP/PP2QP2/3RR1K1 b - -,a8f8
r2q1rk1/pp1n1pp1/2pbpnp1/3p4/2PP4/1P2PN1P/PBQN1PP1/R3K2R w KQ -,e1g1
rn1qk2r/pp5p/2pbbpp1/3p1p2/3P4/2PBP3/PP1NNPPP/R2QK2R w KQkq -,d1c2
2bR4/1p3pkp/p7/2r2p2/P7/2P2B2/1P2K1PP/8 b - -,b7b5
r1b2rk1/1p2ppbp/p2p1np1/q1n5/2PBP3/2N2P2/PP1QB1PP/2NRK2R b K -,f6h5
r1b1k2r/pp1nqpbp/2pp1npB/4p3/2P5/2NP2PP/PP2PPB1/R1Q1K1NR b KQkq -,e8g8
8/3k2pp/p7/5r2/4K3/7P/P1R3P1/8 b - -,f5a5
Q1K5/4r3/8/1k6/8/8/8/8 b - -,e7e8
r1b2rk1/1p1nqppp/p2p4/2p1n1P1/4P3/3P1N1P/PPP3B1/R1BQ1RK1 w - -,c2c3
8/6r1/1k6/1P5R/7p/7P/5KP1/8 w - -,h5h4
r1b2rk1/2q1bppp/p1np1n2/1pp1p3/4P3/1BPP1N2/PP3PPP/R1BQRNK1 b - -,c8e6
b4rk1/r3bppp/p1nqpn2/P1N3B1/1pBP4/5N2/1P2QPPP/R1R3K1 w - -,g5e3
r1b2rk1/1p1nb1pp/1q2pP2/pB1p4/P4B2/2P5/1P1N1PPP/1R1Q1RK1 b - -,e7f6
7r/8/5p2/1p1p1kp1/pB1P1b2/P2R3P/1P3P2/5K2 b - -,f5e4
rn2k2r/pp3pbp/1qp1pnp1/3p4/3PP3/1BN1BP2/PPPQ1P1P/R3K2R w KQkq -,h2h4
1r2kb1r/p4ppp/4p3/3pPP2/1p6/1N1nB3/PP4PP/R4RK1 w k -,f5e6
3r4/5kp1/R3Q1q1/5p2/8/P2r2P1/1P2R1K1/8 b - -,g6e6
r1bq1rk1/pp2ppbp/2p3p1/3n1n2/Q2PN3/2PB3P/PP1N1PPB/R3R1K1 b - -,g7h6
8/8/3kR3/2pP1p1N/2n1p3/2Pr4/5PK1/8 b - -,d6c7
r1bq1rk1/1pp1n1b1/2np3p/4pp2/2P3pP/P1NP2P1/3BPPB1/1RQ1NRK1 b - -,f5f4
r3kbQ1/p4p1p/Bq2p3/3pn3/P7/8/1P1B2PP/2RK3R b q -,b6a6
r3qrk1/2pbn1pp/p1p2p2/1pQ5/3NP3/4B3/PPP2PPP/3R1RK1 b - -,f8f7
6k1/1R4pp/5p2/p2r4/8/1P3K1P/P5P1/8 b - -,a5a4
8/6p1/8/1kp2K2/8/P4RP1/1P2r3/8 w - -,f3b3
8/8/p3r1p1/P1pk3p/5P1P/3K4/8/1R6 w - -,b1b8
2kr1br1/1p3p1p/5pb1/p1P1p2B/3n4/1P1NB3/P4PPP/2KR2R1 w - -,h5g6
r3k1r1/p1q2p1R/1p2p1p1/3bP1B1/2p1pQ2/2P1P3/PP3PP1/2KR4 w q -,f2f3
rn1qk1b1/pp4p1/5P2/1Pp2pp1/2P4r/1QNpP1b1/PB1P2PP/R2K1B1R w q -,f6g7
8/7p/p2pN1pk/3Pp3/4P3/6P1/r6P/1r3RK1 b - -,b1f1
3k4/1R6/6B1/8/3b1KPP/4p3/1p2r3/8 w - -,g6d3
R5nr/1pk1ppb1/3p2pp/1Bn5/3NP1b1/1PP1BP2/6PP/4K2R b K -,g4e6
7R/4R3/1p4p1/pPbB3p/P1P2rk1/8/6K1/8 b - -,c5e7
8/1p3r2/pnppkp1R/4p1p1/1P2P1P1/1PPPP3/6K1/5R2 b - -,d6d5
6k1/1r3p1p/6p1/p1R5/P1p4P/2P1P3/5PP1/6K1 b - -,b7b2
1r2b1k1/4r1p1/5b1p/2ppNB2/5PP1/P6P/1P2R3/1R4K1 b - f3,g7g5
5k2/R5n1/4p3/7p/3PPp2/5P1P/5K2/8 w - -,d4d5
r2q1rk1/pp2bppp/2n1b3/3p4/3P4/P1N1B3/1P2BPPP/R2QK2R w KQ -,e1g1
1r1qr1k1/pb3pp1/n2b1n1p/2pp4/N4B2/1P1N2P1/P3PPBP/2RQR1K1 b - -,b8c8
r3k2r/1pqbbp1p/1n2p3/3pPp2/p1pP2P1/PnP1B3/1PB1N2P/1R1QNRK1 w kq -,g4f5
3r2k1/p4pp1/3bpn1p/8/1p6/4P1P1/PP2BP1P/2R1B1K1 w - -,e2a6
8/8/4pkp1/1q5p/1p1p3P/1PrNbPP1/P5K1/1Q1R4 w - -,g2h3
5rk1/p6p/1pq1p2p/4p1bN/2Pp2P1/3Q1P1P/PP4K1/3R4 b - -,g5e3
5b1r/pkp2qp1/1pbr4/3pRpBp/3P1N1P/2P5/PP2QPP1/4R1K1 w - -,f4e6
2b2r1k/5r1p/3p4/1p1Pp3/5bBq/2P5/1PN1Q2P/R5RK b - -,f4g3
2k5/3R4/p1B1p3/8/5PP1/P1pp4/2q1NK2/2B5 w - -,d7d3
r1bq1rk1/pp1p1ppp/4pn2/8/1bP1n3/2N2NP1/PPQ1PPBP/R1B1K2R w KQ -,e1g1
8/1R6/5K2/8/1r6/1k6/8/8 w - -,b7b4
8/1p1k4/8/p5p1/P5P1/3K4/1P6/8 b - -,d7e7
