7k/R6p/1p6/4b3/1P6/3Bp2P/P2r4/6K1 w - -,d3b5
r2r2k1/1p3pp1/1qb1p3/4N2p/1PP1n3/3B3P/3Q1PP1/2R1R2K w - -,c4c5
4r1k1/pp2Bpbp/3p2p1/8/1r6/6P1/PP2PP1P/1RR3K1 w - -,e7d6
4rrk1/1p4pp/p1p2b2/2PpP2b/1P1P1p2/2R2P2/1P1B3P/3B1RK1 b - -,f6d8
r1bq1rk1/pp3ppp/n2p4/2pNp1b1/2P4P/P3PN2/1PQ2PP1/R3KB1R b KQ h3,g5e7
rnbqk2r/ppp2p1p/4pb2/5p2/3P4/2N2N2/PPPQ1PPP/R3KB1R b KQkq -,c7c5
3rk3/p1Rn1ppp/P3p3/1r6/1p6/4PP2/1P3P1P/3RB1K1 w - -,c7a7
r4rk1/p1q1n1bp/1Pp1b1p1/4p3/4P3/2N1B1P1/PP2Q1BP/1R3RK1 b - -,a7b6
8/8/RK2k3/p2r4/P7/8/8/8 b - -,e6d7
2r3k1/3P1r1p/p5q1/2p1p1p1/4N1Pn/2RQ1p2/P4P1P/4R1K1 b - -,c8d8
r2r2k1/pp1np1bp/2p1p1p1/4P3/2P2P2/2N1B3/PP4PP/3R1RK1 w - -,h2h4
1r6/p1r3k1/qp1n1pp1/2pPp2p/P1P1P2P/4RNP1/2Q2PK1/2R5 w - -,c2c3
3rn1k1/1b2q1pp/p3pr2/1p5Q/3N1R2/1PN1R3/1PP3PP/6K1 w - -,h5e5
8/8/6k1/pR4p1/1p4Pp/7r/8/2K5 w - -,b5a5
1r6/2R1kp1p/p3p1p1/8/1P6/P3P2P/1P4P1/6K1 b - -,e7f6
1b5k/pp3p2/2R4p/3q4/3P3Q/P3PN1P/6P1/7K b - -,d5c6
8/p7/P4k2/3P3P/2p1pK2/2P5/8/8 b - -,e4e3
8/8/1p6/p2Pk3/P3p1B1/NPnbP1K1/8/8 b - -,e5d5
8/5n2/1p3k2/1PpPb2p/2P3pP/3B2P1/3B2K1/8 b - -,e5d4
5r2/2ppk2p/1p2n1p1/p2BBn2/5P2/1P4P1/6KP/3R4 w - -,g2f3
1r1q1r1k/pppbnpb1/3p2pp/8/3P1B1P/2PBNQ2/P1P2PP1/1R2R1K1 b - -,d7c6
4k2r/1b1n1ppp/pr1B1n2/8/1p2PQ2/3R1B2/P1q3PP/3R3K w k -,e4e5
2r5/p2N1k1p/2p3p1/3b4/5P2/1P4P1/P6P/2R3K1 w - -,g1f2
2n1r3/6k1/1p2r1qp/pPp5/P1N1p3/2QP2p1/1P4KP/4RR2 b - -,g7h7
8/3B4/1p5p/6kP/P5P1/4r1PK/8/8 b - -,e3e4
4r1k1/3Rrpp1/5q1p/2p5/1pP2PQN/p1n3P1/P5PK/5B2 w - -,f1d3
2kr3r/2q2p2/b2bp2p/p1pp3P/Pp1n2N1/2PP2P1/1P3PB1/R2QRNK1 b - -,d4c6
r3k2r/ppq3pp/3pp3/n1p1n3/b1P5/P1PB1N2/3B1PPP/RQ3RK1 w kq -,f3e5
1r3rk1/2qbppbp/p2p1np1/1pnP4/2pNP3/2P1BP1P/PPB2RP1/R2Q1NK1 b - -,a6a5
2r3k1/7p/p2p2p1/2pPr3/1pP2p1q/1P1Q3P/P2B1PP1/5RK1 b - -,c8e8
r4n2/pp3kp1/2p2n1p/3p1b2/3P4/2N5/PP3PBP/R4RK1 b - -,f8e6
r2q1rk1/2p1ppbp/p1n1b1p1/1p1nP3/3P4/2N2N2/PP2BPPP/R1BQK2R w KQ -,e1g1
4b1k1/p4q2/1b2pPp1/1p1pB3/1P4P1/3B1P2/P5K1/2Q5 b - -,f7d7
1R6/8/1P6/5p2/5kp1/1r6/5PK1/8 b - -,b3b2
r5k1/p3b2p/R1P1p3/2PpNb2/3P1Pp1/2N1K3/6rP/2R5 w - -,a6a2
R7/1r3p2/5kp1/1p3p1p/1P6/P5PK/6P1/8 b - -,f6e5
8/8/8/2n5/p3n2P/P3bN2/2R3P1/1K2k3 b - -,e1d1
6b1/8/7p/1KN5/3r2Pk/R6P/P7/8 b - -,g8c4
7r/1p3pk1/1N4p1/p2Rp3/2P1P3/1n2K2b/P5B1/8 w - -,g2f3
R7/3K3k/P4r1P/8/8/7P/8/8 b - -,f6b6
4nr2/p2bppk1/2qp2p1/3RP2p/1p2N2P/1N3PQ1/PPK3P1/4R3 w - -,e4c3
8/3R4/6P1/4pn2/3b1P1P/7K/4k3/8 b - -,e5f4
r4k1r/ppp1nppp/3qbn2/1N6/4pQ2/P7/1PP1BPPP/R1B1K2R b KQ -,d6f4
8/pp1k2r1/2p2R2/2n5/8/P1N4K/1PP3P1/8 w - -,g2g4
1r4k1/4p2p/1p1bp1p1/1R6/2P5/4P1P1/4BP1P/6K1 b - -,d6c5
r4rk1/pp2bppp/1q2pn2/3pB3/2pPP3/2P5/PPQN1PPP/R3K2R w KQ -,e1g1
8/1p6/k1pB4/p1P3p1/P6P/1P6/KQn1q3/8 b - -,g5h4
r3n1k1/pp1b1r2/2p1p3/2PpBppp/PP1P4/3BPP2/3K2PP/R1R5 w - h6,b4b5
2r5/p3k3/b3pp1p/3pP1pB/R1pP1P2/P3K3/2P3PP/8 b - -,c8c6
r7/1b3rk1/p3p2p/6p1/2pRP3/6PP/PP6/1B4RK b - -,a8c8
4r3/rp1N3p/2p2k2/p1P1bp2/5p2/1B3P2/PP4PP/2K1R3 b - -,f6g7
r2r1Bk1/1p3p1p/p1q1p1p1/3nP3/P5R1/2N3Q1/1PP3PP/R6K b - -,g8f8
2rr2k1/pp1qbPpp/8/3p4/3n1Pn1/2N1B3/PP2Q1PP/2R2RK1 b - -,g8f7
rnb2r1k/p3b2p/2pp1n2/5p2/2PPpP1q/2N1P1N1/P5BP/R1B1QRK1 w - -,c3e2
8/5KP1/8/8/4p3/8/5k2/8 b - -,e4e3
1r3r2/3bppbk/3p1npp/1P1P4/4P3/5PN1/N2n2PP/2R1KB1R w K -,e1d2
8/1PR5/5p2/5k1p/5P1K/1r5P/8/8 w - -,c7g7
r4rk1/1b1qppbp/3p1np1/1pnP4/1N1NP3/1P2B1PP/2Q2PB1/R4RK1 w - -,b4c6
r1bqr1k1/pp3p1p/2p3pb/3n4/N2p4/1Q1P2P1/PP1NPPBP/2R1R1K1 w - -,c1d1
1kr5/1bq3p1/p1Bb1pNp/3pp3/3P4/PQ2P1P1/1P3PP1/2R3K1 w - -,c1c3
8/1kr3R1/2p2Q2/1pPp1p2/rP1P4/4P2P/1B2q3/7K b - -,e2e1:e2f3
1qr2rk1/1b1pbppp/p3p3/8/Pp1BPP2/1P2Q3/1P2B1PP/2R2RK1 w - -,e2c4
8/8/N7/8/5p1K/4k2P/8/8 w - -,a6b4
1r1qr1nk/3n1pbp/3p4/2pPP3/Np3p2/1P3B1P/R4BP1/3QR1K1 w - -,e5d6
rnbq1rk1/ppp3p1/3pp2p/5p2/2PPn1P1/P4N2/1PQ1PP1P/R1B1KBR1 b Q -,d8f6
r1bqrbk1/3n1ppp/1pp2n2/p2p4/3P4/PPN1P1P1/4NPBP/R1BQ1R1K w - -,f2f3
1n1r1rk1/1bp1qpb1/p2p1npp/1p2p3/P2PP3/2P2NN1/1PB1QPPP/R1B1R1K1 b - a3,c7c6
3r2k1/2r1bppp/p1bp4/1p2pP2/4P3/P1NR1B2/1PP3PP/5RK1 w - -,f1d1
6r1/2p1b1k1/8/2PQp2p/4P1rP/6B1/PP3PP1/6K1 w - -,d5e5
3k3r/p4pp1/Qpp1p1p1/8/2P3P1/5q1P/PP3P2/2K1R3 w - -,e1d1
1rbqr3/2n2pbk/p2p1npp/PppP4/4PNP1/2N1BP2/1P1QB2P/R3K2R w KQ b6,a5b6
2k5/2b3R1/3p4/3r2Bp/7P/P1p3P1/4K3/8 w - -,g5e3
4rrk1/pb3n1p/1p1p2p1/2pPp1Q1/P1P5/6P1/1P3PBP/3NRRK1 b - -,f7g5
8/1r2k1pp/p1R5/1P1pP3/2K1P3/8/1P4PP/8 w - -,e4d5
r2q1rk1/1p3pb1/n2pbnpp/p3p3/8/2NPBNPP/PP2PPBK/R2Q1R2 b - -,a6b4
4rk2/1p2nppp/2p5/1p6/5P2/2P1NKP1/PP6/3R4 b - -,e8b8
r4rk1/pp1bnppp/3qp3/3n4/3P4/3B1N2/PP3PPP/R1BQ1RK1 w - -,f3g5
1q3rk1/3p2pp/1p1b4/3bp3/1P2B3/5N2/4QPPP/R5K1 b - -,b8b7
r2q3r/1b3k2/p3Rp1p/2b2B1Q/Ppp5/5N2/1P3PPP/R5K1 b - -,f7f8
4rnk1/r5pp/2p1pq2/1pP2p2/3P4/1B2Qb2/P2R1PPP/4R1K1 w - -,e3f3
r1b3k1/2p3pp/1p2pq2/p1bp4/5P2/P2K1N1P/1P4P1/2RQ1B1R w - -,c1c5
6k1/pR1N2pp/4pp2/1p6/1P1b4/5KP1/P2rPP1P/8 w - -,e2e3
5rk1/1pqbbpp1/p4n1p/8/2pN3B/3QP3/3N1PPP/1R4K1 w - -,d3c4
5rk1/1r2p1Bp/p3p1p1/1q1P2Pn/1p6/1B3n2/PPP2Q1P/1KNR3R b - -,h5g7
1rbr1k2/p5bp/1p2n1p1/4pp2/P7/1NPBBP1P/1P4P1/3RR1K1 b - -,c8d7
3r4/p3qpbk/1p3npp/2p1p3/4P3/1PNR4/PP3PPP/2BQ2K1 b - -,d8d3
