6R1/8/1P4p1/2K5/8/4p3/4k3/1r6 w - -,g8g6
5Q2/5p1p/p3pNp1/4P3/2P2P1k/7P/q5r1/3R3K w - -,f8h6
rnb1k2r/pp6/3ppq1p/2p2pp1/1bPP4/2NBPNP1/PPQ2PP1/R3K2R w KQkq -,a2a3
r4rk1/1p3pp1/p1nqpnp1/3p4/3P4/2NNPPP1/PP4P1/2RQ1RK1 w - -,g3g4
r1b3k1/pp4p1/1q2pn1p/2b5/B7/6B1/Pp3PPP/R2QR1K1 w - -,a1b1
8/4k3/6pp/1B3b2/3R4/2r2PK1/8/8 w - -,g3f4
r5k1/2nqp1bp/npp1b1p1/p2pP3/P2P2P1/1NP1BB1P/1P1QN3/5RK1 w - -,e2f4
8/5ppk/8/8/8/4KpP1/2p4r/2R5 w - -,e3f3
r4rk1/1p1b3p/1p2p3/3pP1p1/3Nn1P1/4K3/PP2P1BP/R5R1 b - -,f8f4
r4rk1/2q1bpnp/p3p1p1/1p1pP1P1/3N1P2/4Q3/PPP1B2P/1K1R2R1 b - -,b5b4
2rr2k1/p4ppp/2p2n2/2qp4/Q1N1p3/6P1/PP2PPBP/R1R3K1 b - -,d5c4
2q2rk1/3n1ppp/pr1ppb2/2p5/2P1P3/2B2P2/PP1QB1PP/R4RK1 w - -,c3f6
r1b5/pp3k2/2p4p/2Pp2p1/6P1/1PPB1P2/P2b1BK1/4R3 w - -,e1h1
r2qr1k1/1bpn1pbp/p2p1np1/1p2p3/PP2P3/1BPP1NNP/3B1PP1/R2QR1K1 b - -,c7c5
8/7p/p2rp1p1/R7/2P2Pk1/4K1P1/7P/8 b - -,g4h3
r1bq1bk1/1p3r1p/p1n2p2/1N1p1np1/3P4/P2B1N1P/1P3PPB/R2QR1K1 w - -,d1c2
2rr2k1/pb1n1pp1/1p3q1p/3P4/7P/5N2/P2Q1PP1/1B1RR1K1 w - -,e1e4
6k1/p6p/b1p3p1/2P5/1P1b1r2/5N1P/P1KN2rR/4R3 b - -,g2h2
r4rk1/p3q1bp/1np1ppp1/3n2B1/3P2Q1/P1NB4/1P3PPP/R3R1K1 w - -,c3d5
r1b2rk1/1p3pp1/nq1p3p/3pp3/pPP1P1PP/Pn2NPN1/5K2/1R2QB1R w - -,e4d5
8/1p1b1pp1/3k3p/3p4/1P1N1P1P/P5P1/8/6K1 b - f3,g7g6
r2qr1k1/ppp2pbp/2np2p1/5b2/2P5/1P3PP1/PB1QPNBP/R4RK1 b - -,d8e7
1rbqr1k1/1p1n1pbp/p2p2p1/2pP3n/P3P3/R1NBB2P/1P1N1PP1/3Q1RK1 w - -,a4a5
3r4/1p6/1pp1bk2/4npp1/P3p3/1PN1P1P1/1QPq1PK1/R4B2 b - -,d2d6
2k4r/ppp3pp/2n2n2/3N1p2/1b2P1b1/4BN2/P1P2PPP/1R1B2K1 b - -,f5e4
rnbqk1nr/pp3ppp/4p3/2b1P3/3p4/B4N2/P1PP1PPP/RN1QKB1R b KQkq -,d8b6
3r2k1/2p1rppn/p4n1p/1p2p3/4P2P/P1P1B3/1PB2PP1/3RR1K1 w - -,d1d8
r5k1/p4p2/1p4pp/2pPq3/Q7/7P/P5P1/3R2K1 w - -,d5d6
2k1r3/pbp5/1p1p2p1/3P3r/3RP1p1/P5P1/1P1N2P1/2K3R1 b - -,b7a6
1r3rk1/1p2qpbp/p2p1np1/P1pPn3/N4B2/1Q2PB2/1P3PPP/R4RK1 w - -,f3e2
r7/P4k1p/8/5p2/8/4R1P1/2p1p2P/2K5 w - -,e3e2
5B1k/R7/6p1/4pp2/2b5/7P/2p2PP1/6K1 w - -,f8a3
8/5pk1/3p3p/1q1P2pP/1p1PR1P1/2r5/3Q1PK1/8 w - -,e4e7
1kbr3r/ppp2ppp/3qpn2/4Q3/R5P1/1PP5/PBP3BP/2K4R w - -,e5e3
r4rk1/pbq1bppp/1ppp1n2/3Pp3/P1B1P3/2N2N2/1PP2PPP/R2QR1K1 w - -,d5c6
r4k2/1p2rp2/p1p1b1p1/P1P4p/3RPP1P/6P1/3R1KB1/8 w - -,d4d6
rnbqk2r/pp2bppp/4pn2/2pp4/4P3/2NP1NP1/PPP1QP1P/R1B1KB1R b KQkq -,b8c6
5r1k/pp5n/7P/3q4/4pQ2/2P5/PP6/K4R2 w - -,f4c1
1r3bk1/3R2p1/r1q2p1p/4pQ2/2p1N3/7P/P4PP1/2R3K1 w - -,e4c3
r1bqk1nr/pp1p1pbp/2n1p3/2p3p1/2P1P3/2N2N1P/PP1P1PP1/R1BQKB1R w KQkq -,d2d3
2k5/2pr1R2/1p4p1/p2p1b1p/P2P1B1P/2P1KP2/R5P1/8 b - -,d7f7
r1bqkbnr/pp1p1ppp/2n1p3/2p5/4P3/3P1N2/PPP1QPPP/RNB1KB1R b KQkq -,g7g6:d7d6
3r3k/p3r1pp/2pq4/2N2p2/1P2P3/2QB1P2/P3KR2/8 b - -,d6d5
7r/pp4p1/3bp1kr/nq1P1p2/5P2/2N1B3/PP4P1/3R1RK1 w - -,c3b5
4R3/2p2pk1/3q1b1p/3P4/P7/4QBP1/1r3PK1/8 b - -,d6b6
2B5/4k1np/3p2p1/B1pP1p2/2Pb1PP1/5K1P/8/8 w - -,a5e1
3r3k/2p3p1/6n1/R4p1p/P1N5/2P2K2/1P3P2/8 b - a3,d8d3
r3k3/pp3nQ1/2p4p/2qpP2P/5P2/2PB4/PP3P2/1R2K3 b - -,c5f8
2r1r1k1/1bqnbp1p/pp1ppnp1/8/2PPNP2/P1NBB2P/1P2Q1P1/2R2RK1 b - -,c7b8
6k1/pp3p1p/2b3p1/8/1P1b2P1/P5N1/2R2PPK/2B1r3 w - -,c1b2
6k1/4bpp1/5q1p/2p5/1nPp4/N4PP1/r3P1KP/2BQR3 b - -,d4d3
8/1b3q1k/p1p3pp/1pPprp2/1P1P3P/P3QNP1/5P2/6K1 w - -,e3e5
5k2/7p/P1n3p1/8/1PB5/2N4n/8/4K3 b - -,f8e7
3rr1k1/1bq4p/pn2p1p1/1p1nNp2/5PQ1/1BP5/PP4PP/2B1RR1K w - f6,g4h4
r2rbbk1/1p3pqp/p5p1/PnpP4/2N1PP2/2N1Q1PP/1P6/R3RBK1 w - -,c3b5
2r3k1/3rbppp/p3p3/1p1n4/3B4/1NP3P1/PP3P1P/3RRK2 b - -,b5b4
2rr2k1/pb1nqppp/1p2pb2/2p5/2PP4/4PN1P/PB2QPP1/1BRR2K1 w - -,f3h2
r5k1/1p1r1pp1/p1p2n1p/8/P1q1P3/2P2P2/1Q3BPP/R4R1K w - -,f2d4
r2qr1k1/1p1b1ppp/1p6/pP2p3/Pb1n4/2NP2P1/3NPPBP/2RQ1RK1 b - -,a8c8
4bR2/4r1p1/1kp2pP1/2p1pP2/BPP1P3/2K5/8/8 b - -,c5b4
3rnr2/4qNpk/1b2P2p/p4p2/Pp1p1P2/1B1P2P1/1P2Q2P/2R2RK1 w - -,f7d8
6k1/p1b1pp2/1p4p1/5q1p/P7/2P1N1PP/1P2QP1K/8 b - -,f5d7
1r5k/7p/8/3r1p2/2Rb3P/P2P3N/8/5R1K b - -,d4e3
rnbq1rk1/pp3pbp/1np3p1/4p3/3P4/2N1P1P1/PP2NPBP/R1BQ1RK1 w - e6,b2b3:d4e5:h2h3
r3k2r/ppqn1p1p/2p1pn1p/8/3P4/2PN1QP1/PP4P1/R1B1K2R b KQkq -,h8g8
6k1/1R4p1/p4p1p/5P2/r3P3/6PK/7P/8 w - -,b7a7
1rb2rk1/ppqn1pbp/2pp1np1/P7/2BNPB2/2N4P/1PP2PP1/R2QR1K1 b - -,d7e5
r5k1/3n2pp/1p2q3/pP4B1/1P6/2Pp4/6PP/R4QK1 w - -,f1d3
r1nq1rk1/1p2ppbp/2n3p1/p1Pp4/3Pb2N/1PN1B2P/P3BPP1/2RQK2R w K -,f2f3
1rb2rk1/pp3ppp/q7/1R2b3/2Q5/4B1P1/P3PPBP/1R4K1 w - -,c4b4
r1bqkb1r/pp3ppp/2n2n2/3p4/3p4/5N2/PPPNBPPP/R1BQ1RK1 w kq -,e2b5
r4bk1/3n1p2/2p1b1p1/pp2p2p/4P3/P3BB1P/1PP2PP1/2NR2K1 w - -,c1d3
4n3/3Bp2k/3pP1p1/1p3p1p/7P/1P3NP1/4PP2/2b3K1 b - -,e8c7
2rr2k1/1p2qpbp/pp4p1/2nBp3/4P3/2P1B1PP/1P2QPK1/2R2R2 w - -,h3h4
r1b1k1nr/pp2bppp/4p3/2p5/2P5/2N1P3/PP1P2PP/R1B1KB1R b KQkq -,c8d7
8/7k/2p2R2/p5R1/2BrN3/4q1P1/PP4K1/8 w - -,c4g8
8/6R1/8/4kp2/6p1/8/3r1PK1/8 w - -,g7g8
6k1/p7/3q4/2pP1p2/2P2p1p/5BbP/6P1/1Q3K2 b - -,d6e5
8/1p6/pr6/4k1P1/4p2N/P1PbR1K1/1P6/8 w - -,g5g6
r1r3k1/pp3ppp/1q2pNn1/3pP1P1/1b1p4/3P2QP/PP1B1P2/K2R3R b - -,g7f6
r4r1k/1b5p/1q4p1/p3R3/2P2P2/8/B5PP/2Q2R1K b - -,b6d4
rnbqk1nr/pp2p1bp/3p2p1/2pP1p2/4P3/2N3P1/PPP2P1P/R1BQKBNR w KQkq -,g1e2
r1b5/pp1k1p1Q/3n4/3P4/q3P3/4P3/P2P2PP/n3KB1R b - -,a1c2
2rq1rk1/pp2bppp/2n1pn2/3pN3/3P4/1P5P/PBPNQPP1/R4RK1 w - -,f2f4
2kn2rr/1pq4p/p3p3/3p2b1/2pP4/2P1N1R1/PPN1Q1PP/5RK1 b - -,g5f4
