8/6k1/8/r5Kp/7P/4R1P1/8/8 w - -,g5f4
3r1rk1/pp2b1pp/2pqbp2/n3p3/1P6/P3PN2/1BQPBPPP/2R1K2R b K -,a5b3
2kr3r/ppp2pp1/6p1/4p3/2PbN3/1B2nP2/PP2K2P/R6R w - -,h1g1
4k3/1p3pp1/p1rp3p/P2Rp3/2r1P3/1R2bP2/1PP1N1PP/3K4 b - -,e3f2
R7/8/4p3/P4p2/5k2/5P2/5PK1/r7 b - -,e6e5
8/8/5p2/p2p1P2/P4b2/4nB1K/2rk4/1Q6 b - -,d2c3
2kr2nr/1pqb2pp/p3p3/2ppP3/8/N1P5/PP1QBPPP/R3R1K1 b - -,c7e5
rnbqkb1r/pppp2pp/4pn2/5pB1/3P4/5N2/PPPNPPPP/R2QKB1R b KQkq -,f8e7:d7d5
8/p2Q1nk1/1p2bp1p/4p1p1/4P2P/2P2P2/q1PN1BP1/6K1 w - -,d7e7
8/8/5p1k/5K1p/1p6/1Pb5/7P/6R1 w - -,h2h4
3r1rk1/pp3pbp/q3b1p1/2p1P1P1/3nBP2/2N1QP2/PPP1N2P/2KR3R b - -,e6a2
7k/pb1Bnr1p/1p1R4/3p2K1/3P4/2P4P/PP6/8 b - -,h8g7
rn3rk1/p6p/1ppbp1p1/8/3PB3/2P3P1/P4P1P/1RB1R1K1 b - -,f8c8
rnb2k1r/pp3pbp/3Np1p1/6B1/3QP3/P7/5PPP/R3KB1R b KQ -,g7d4
r4r2/pbqnp1k1/5pp1/N1p5/PP2p2p/2Q1P3/2PN1PPP/R2R2K1 b - -,c7b6
3rr1k1/6p1/n2p1p2/2pP2Pp/PpN1P2P/5P2/P5K1/2RR4 b - -,g8f7
5rk1/3rbpp1/1q2p2p/pp1nP3/3P4/3QB1P1/1P3PBP/R1R3K1 w - -,g2f1
3rr1k1/2b3pp/p1b2p2/2NpnP2/2p2B2/2N5/2B3PP/3R1R1K w - -,c5e6
8/p1R3p1/4pk1p/8/8/4nBK1/r5PP/8 w - -,h2h4
7k/7P/5K2/5B2/1p1B1bP1/5n2/P7/8 w - -,d4c5
6k1/1pqnrpp1/p3p1p1/3p4/2PQ4/P6P/1P3PPb/3RRB1K b - -,h2e5
r1k3nr/pppn2pp/4bp2/4p3/2N1P3/1NP1b3/PP2BPPP/2KR3R w - -,c4e3
r2qrnk1/pp2b1pp/2p1bp2/3n4/3P4/P1NB1N1P/1P3PP1/R1BQR1K1 b - -,d8d7
1r1q1rk1/1pp2b1p/2np1bp1/p3pp2/2P5/1PNPP1P1/P4PBP/1RBQ1RK1 w - -,c3d5
4rk2/Q4p2/1p4p1/7p/P2P4/5PBP/6PK/3q4 b - -,d1d4
3r4/pp3R1p/2k3p1/8/4P3/5P2/PPK4P/8 b - -,d8h8
8/8/1R4kp/p3ppp1/1p3b2/r7/P1R4P/4K3 b - -,g6h5
8/8/p4kp1/2B5/5bP1/P1PK4/8/8 b - -,f6g5
1k6/1b1r1ppp/3q4/1Q1P4/7P/6P1/5PB1/1R4K1 b - h3,d7c7
6k1/8/bq1b2p1/p2Pp2p/1pN1Pp2/1P3P1P/4N1P1/2Q2K2 b - -,b6c5
8/6k1/1p5p/1Pb2pp1/8/1R6/r3BP1P/5K2 w - -,b3f3
1rbq1rk1/1pp2ppp/p1n1p3/8/Q1pP4/N5P1/PP2PPBP/R4RK1 w - -,g2c6
3r1rk1/pb2q1pp/3R4/2p1np2/4p3/B1P1P3/P1B1QPPP/R5K1 w - -,c2b3
r3k1nr/pp2bp2/1qn1p1p1/3pPbN1/2pP1PP1/P1N1B3/1PP1B3/1R1QK1R1 b kq -,e7g5
r1bqk2r/pp1n1p2/2p1pn1p/4B1p1/PbpP4/2N2N2/1P2PPPP/R2QKB1R w KQkq -,d1c2
3r4/5q2/pk2p1p1/1p1pP1Qp/3P3P/8/PPP3P1/1K6 w - -,g5d8
1k1r4/ppq3pp/2r5/4n2P/3pP1P1/3p2Q1/PPP5/4RRKN w - -,c2d3
3b4/4rpk1/1pN1p3/4P1pp/P2P4/3R3P/1P4P1/6K1 b - -,e7d7
r1r2qk1/1p3p2/pnn1p1p1/3pP3/3P2P1/1N1BQ3/PP3P2/2R2RK1 b - -,c6b4
4r3/6k1/pp4p1/3q1p2/P6P/5RQ1/1P4K1/8 b - -,e8e4
n1r3k1/1r1qppbp/3p1np1/1NpP4/P3P3/1P3N1P/R1QB1PP1/1R4K1 w - -,d2c3
r2qrk2/1p3p1p/n3p1p1/p2pN3/P2P4/1P2P3/4QPPP/2R2RK1 w - -,e2b5
4brk1/2R2p2/qr2p1p1/1pRp2Pn/pP1P4/N2BP3/P4P1Q/6K1 w - -,h2e5
5r1k/4n1b1/p2N1nq1/3Pp2p/4Ppb1/1Q3B2/PP4PP/2R1BR1K b - -,f8g8
8/8/3n2pk/2p5/2P2K2/3P1B2/4rP2/5R2 b - -,g6g5
r1b1kb1r/p3q1pp/2pp4/5p2/2P1n3/1PN2Q2/PBK2PPP/R4B1R b kq -,c8e6
8/p4k2/4n3/1p1qP2N/1P4p1/2P5/5P1P/2Q3K1 w - -,c1e3
5rk1/7p/2p2q2/1p2R3/2PP4/1P4P1/4Q1K1/8 w - -,c4b5
8/5r2/1P3k2/8/P7/2K3Rp/8/8 b - -,f7h7
r2q1r1k/1bp1b1pp/p1n2p2/1p1np3/8/PB1P1N1P/1PPN1PP1/R1BQR1K1 w - -,d2e4
r1n2rk1/3n1ppp/p1N1pq2/2Pp1b2/3Q1B2/1P2P3/4BPPP/2R2RK1 b - -,f6g6
r1bq1rk1/pp2ppbp/2np2p1/2n5/2P4B/2N1PN2/PP1QBPPP/R3K2R b KQ -,b7b6
2r2rk1/p2q1pbp/1p1pp1p1/3b4/3PBP2/P3QN1P/1P3PP1/R2R2K1 b - -,d5e4
5r1k/p1q1bbpp/1p1p4/3Bp3/1PP2r2/2Q2P2/P4NPP/3RR1K1 w - -,d5f7
r1bq1rk1/1pppbppp/2n2n2/p7/4P3/PNN1B3/1PP2PPP/R2QKB1R w KQ -,f1b5
8/5p2/4p3/4Pp2/1P3P1p/2K3k1/8/8 w - -,b4b5
8/8/5R2/P7/r4p2/8/5k2/7K b - -,f4f3
8/6B1/2p5/1p1P2p1/2r1k2p/4Pp1P/PR3P1K/2r5 w - -,d5c6
3qr3/1p1r1ppk/pbppbnnp/4pN2/3PP3/P1P1BN1P/1PB2PP1/2QRR1K1 b - -,f6g8
r2r2k1/p1q2pb1/2p1b1p1/2Bnp1Pp/2B1N2P/5P2/PPP2Q2/2KR3R b - -,d5f4
5r1k/6rp/1p1qbb2/p1pp1p2/Pn1PnN2/1P2P1P1/1B4RP/RB2QNK1 b - -,e6f7
r1b2rk1/pp3ppp/3P4/5n2/3p2P1/5N2/PP1qPP1P/R3KB1R w KQ -,e1d2
2r1r1k1/ppn2pp1/2p1p3/3P2q1/1P1PP1P1/P5Q1/6BP/2RR2K1 b - -,e6d5
8/8/5k2/5p1p/p2K1B1P/P4PP1/2r5/8 w - -,d4d5
2r2rk1/4bpp1/2n1p2p/p3P3/2QPNPP1/qB5P/P4B2/5RK1 w - -,c4b5
r4rk1/1pp1bppp/4b3/p7/3qP3/P1B3P1/1P3PBP/R4RK1 w - -,c3d4
8/1r3kp1/2pBpp2/2P4p/r2b3P/6P1/P3RP2/3R2K1 b - -,e6e5
r1b2rk1/pp3ppp/4p3/2bPnP2/3p3q/1B1P4/PPP1N1PP/R1BQ1RK1 b - -,e6f5
2qrr1k1/pbn1pp1p/1p3np1/2p1N3/8/PP1P1NPP/1Q2PPB1/1R3RK1 b - -,c7e6
r3r1k1/p4ppp/1p1qp1n1/2pn4/P1N5/3P1N1P/1PP2PP1/R2QR1K1 b - -,d6c7
8/8/8/2r5/8/pR6/3K4/k7 b - -,a3a2
r4rk1/1pb1nqpp/2b2p2/1N2p3/PQN1P3/1P4P1/5PBP/3R1RK1 b - -,e7c8
8/4RP2/3k4/P7/8/6K1/8/5r2 w - -,e7a7
2rq1rk1/pp2ppbp/1n4p1/8/1Q1PP3/B4N2/P3bPPP/R3R1K1 w - -,e1e2
8/8/nk6/3K4/7R/Pn6/8/8 w - -,h4h6
5Rk1/p4bq1/4Q3/3pN3/2pp4/8/P5PP/6K1 b - -,g7f8
1r2k2r/1B1n2p1/3P1pn1/p3p3/6P1/1P2B2P/P7/R4RK1 w - -,b7g2
2r3k1/p2q1p1p/1p1pP1p1/4b3/1P6/PP2B2P/2RQ1PP1/6K1 b - -,d7e6
4r1k1/pp4p1/1np5/6rp/P3PRn1/BP4PB/7P/3R2K1 b - -,g5e5
8/B7/8/p6p/2n1k3/2P5/4K3/8 b - -,a5a4
8/p3nkp1/1p1b1p2/1P1p3p/P2P3P/2r3P1/R2NKP2/2B5 w - -,c1b2
r1br2k1/5ppp/1qp1pn2/p1N5/4P3/P5P1/1P1Q1P1P/2R1KB1R w K -,d2c3
r3r1k1/1ppq1pb1/3p1npp/2nPp3/1PP1P1b1/2N2NP1/1BQ2PBP/R4RK1 b - -,c5a6
8/3n4/3k1p2/2b1p1p1/2K1B1P1/2B2P2/8/8 b - -,d7b6
