8/6nk/8/5pr1/4Q3/3K2p1/6r1/8 w - -,e4g2
r1bq1rk1/pp3ppp/2n1pn2/3P2B1/8/P7/1P1QPPPP/R3KBNR b KQ -,d8d5:e6d5
2br2k1/1p3p1p/1pnN2p1/r7/3b1N2/P5P1/1P3PBP/R4RK1 w - -,d6c8
4k3/R7/p3P3/P4r2/8/4K3/8/8 w - -,a7a6
5rk1/p2n2pp/b1p2b2/P1n5/2P1pp2/2N5/P1NBBPPP/1R4K1 b - -,f8e8
2r1rbk1/pp1q1p1p/2p3p1/P2n1p2/3Pn3/1QN1P1P1/1P1B1P1P/R1R2BK1 w - -,d2e1
r1b2rk1/ppp1n1pp/2n1p3/1B1q1pN1/3P4/P1P5/1P2QPPP/R1B1K2R b KQ -,d5g2
8/1R4pk/3pp2p/3r4/7P/6P1/5P2/6K1 w - -,b7e7
rnb1kb1r/2q2ppp/pp1p1n2/4p3/P3P3/2N1BN2/1PP2PPP/R2QKB1R w KQkq -,f1e2:c3d5
8/3k2b1/pp6/6pp/P2P2r1/N1P5/1P6/5R1K b - -,d7e6
r2q1rk1/1p1bppbp/n2p1np1/pN6/2P1P3/P1N1B2P/1P2BPP1/R2Q1RK1 w - -,f2f4
r3k2r/5pp1/2p1pB1p/1p5P/3P2P1/4R3/qpP1Q3/2K2R2 w kq -,c1d2
r1bqkbnr/pp4pp/2n1pp2/3p4/2PP4/1P3N2/PB3PPP/RN1QKB1R b KQkq -,f8d6
r1bqr3/1ppn1pbk/3p3p/p2P2p1/4P3/2N1RNP1/PPPQ2BP/5RK1 b - -,f7f6
1rb4k/6b1/p2p1qpp/2pP1p2/2N2P1P/2P3P1/1P1Q2BK/R7 w - -,c4a5
2rq1rk1/5pbp/2n1p1p1/p2p4/1p1P1Q1P/PBP5/1P3PP1/2BRR1K1 w - -,h4h5
8/8/8/8/8/n3K3/Bpk5/8 b - -,a3b1:a3b5
8/4p2p/3k2p1/4p3/3rp1P1/7P/P2RKP2/8 w - -,a2a4
r1bq2k1/pp4bp/1npp2p1/8/4N3/3P2PP/PPPQN1B1/4RrK1 w - -,e1f1
2kr3r/pp5p/2n2np1/2p2p2/2q5/2P1PN2/P1Q2PPP/R1B1R1K1 w - -,f3d2
r2q1rk1/p3ppbp/2p2np1/3p1b2/3P4/2N3P1/PP2PPBP/R1BQ1RK1 w - -,c3a4
2rqr1k1/5ppp/pp1b1n2/3PpN2/2Pp4/1P1Q1PP1/P5BP/2RR2K1 w - -,d1e1
r2q1rk1/pb2bpp1/1pn1p2p/2p3N1/4R2P/3P2P1/PPP2PB1/R1BQ2K1 w - -,g5h3
r1bqr1k1/1p3ppp/p2p1n2/2p1n3/1b2PB2/2N2P2/PPB1N1PP/R2Q1RK1 b - -,c8e6
r2qrbk1/pp3ppp/2n2n2/3p4/N5b1/1P3NP1/PB2PPBP/R2Q1RK1 w - -,a1c1
3r1bk1/qp3pp1/2p1p2p/r7/p1RP4/P1RNP1P1/1P2QPP1/6K1 w - -,c3c1
R7/8/5p2/4k1p1/6P1/1r3PKP/8/8 w - -,a8a5
8/1p1r2kp/p1p2bp1/P3N3/1P1PR3/2P2K1P/5P2/8 b - -,f6e5
1nbq1rk1/2p2ppp/3p1n2/4p3/1PP5/2Q2NP1/4PP1P/B3KB1R b K -,c7c5
8/5k1R/6R1/5r1P/8/r5P1/6K1/8 b - -,f7f8
3q1rk1/4p2p/p2p2p1/3b4/3p4/Q4PP1/P3K1BP/3R4 w - -,d1d4
6k1/ppp1r2p/3nPR1P/P6B/2n5/2N5/1P6/2K5 w - -,c3d5
7R/8/6p1/4r1k1/8/5K1p/8/8 w - -,h8h3
r1b2r1k/pp3q1p/2p5/2P2p1n/3NpPn1/2N3P1/PP4QP/3RRBK1 b - -,c8d7
3r2k1/p2n1pp1/Pp3nbp/8/2PP1q2/4R2P/1Q3PP1/4RBK1 w - -,e3e7
3r4/1p3p2/p1pr1kp1/2R1n2p/1P5P/PR1P2P1/4P1B1/6K1 w - -,b3b1
5r1k/2q2rpp/p2p4/1p6/4PN2/1P3R2/2PQ2PP/7K b - -,d6d5
r1bq1rk1/p3ppbp/2p2np1/3pP3/8/2N1BP2/PPPQ2PP/R3KB1R b KQ -,f6d7
r1b1k1r1/2qn1p2/ppn1p2R/8/4Q1pp/1N1B4/PPP3PP/3R1K2 w q -,h6h4
4r3/1k1r4/pqb1p1p1/2p1BpP1/1pP4Q/1P1P3P/2P1R1P1/R5K1 w - -,a1e1
8/8/1nk5/2p1pp2/5q2/1pP4Q/4R1K1/8 w - -,h3h8
3qn1k1/r1p1rp1p/1p1p2p1/p2P4/4P3/1P1B3P/P1RQ1PP1/2R3K1 w - -,f2f3
8/8/1b6/3P4/4Bp2/1k6/4b1K1/8 w - -,d5d6
2Q5/2p1r1k1/1p4p1/p1p1N2p/2P2P1P/1P4P1/P6K/5q2 b - -,f1f2
6k1/2q2pp1/1p2p1np/p1p1n3/2N1Q3/1P6/PB4B1/6K1 b - -,e5c4
2kr1b1r/ppqb1ppp/2n1p1n1/3pP3/3p3P/P2B1NQ1/1PP2PP1/RNB1R1K1 b - h3,f7f6
r4rk1/1q3p1p/p2b2p1/1p1b1p2/PP1B1P1Q/2P5/3N2PP/R4RK1 b - -,f7f6
7R/6p1/p1Q2rk1/1p3p2/3P2q1/P1P3P1/5PK1/8 w - -,c6e8
2q2nk1/4b1pp/3p2r1/P2P4/4p3/1Q4R1/1P1B1PKP/2N5 w - -,b3c3
5rk1/5ppp/5n2/8/Prb5/6PP/1B3PB1/R3R1K1 w - -,b2a3
r5k1/2p3pp/1p1b4/p1p1pr2/4N1R1/P2PBn1P/1PP2PK1/7R b - -,d6e7
8/2B5/p1p5/Pb1k4/6p1/r7/2R3P1/4K3 w - -,e1f2
r1bqr1k1/3n1pbp/pp1p2p1/2pP4/PnB1PP2/2N2NBP/1P4P1/R2QR1K1 b - -,c8b7
4qrk1/1r2p2p/p5pQ/3PNb2/p6P/2P5/1P4P1/R3R1K1 b - -,e8b5
1qr3k1/1p1b1p2/r2p2p1/nN1P3p/P1p1PPnP/6P1/1bQ1B1K1/1R1NR3 w - -,c2b2
r3k2r/ppq1bppp/4pn2/2pb4/8/1P2NB2/PBPP1PPP/R2QK2R b KQkq -,d5c6
r4rk1/2qbb1pp/1np1pp2/p1pp4/4PP2/1P1P1NQ1/PBP3PP/3NRR1K w - a6,d1e3
r2r2k1/1p1nbppp/3p2n1/1NpP4/2P3B1/1PB3P1/2K4P/3R3R w - -,d1a1
8/8/8/2k4p/2p1P1b1/2B4p/5K2/8 b - -,c5b5
2r2rk1/pp2ppbp/1qbp1np1/3N4/2PNP3/1P6/P2Q1PPP/R1BR2K1 b - -,b6d8
3rr2k/p1p3bp/2p2qp1/2B5/2B1bP2/1P6/P4QPP/2R2RK1 b - -,a7a5
1rbq1rk1/p3bppp/2n2n2/1ppp4/2P5/3P1NP1/PP1N1PBP/R1BQR1K1 w - -,c4d5
rn1q1rk1/pbppb1pp/1p2p3/5p2/2PPnB2/3BPN1P/PP1N1PP1/R2QK2R w KQ -,d1c2
8/6pk/2Q1p3/1pP2p2/1qbPp2p/8/2K5/2N5 b - -,c4d5
4rrk1/1b4pp/ppp5/3p1pN1/qP1P2n1/2R3P1/1B4P1/Q3R2K w - -,a1c1
1r2rbk1/2q2p2/1p1p1np1/pQ6/2P1p3/1P1RP1P1/P4PB1/3RB1K1 w - -,d3d4
rnbqkb1r/pp1p1ppp/4p3/2pnP3/8/2P2NP1/PP1P1P1P/RNBQKB1R b KQkq -,b8c6:d7d6
1r4k1/3b2b1/p2p1qpp/2pP1p2/2N2P1P/2P3P1/1P1Q2BK/4R3 b - -,g8h8
r2q2k1/1Q3p1p/3b2p1/p3r3/3p4/3B1P2/PPP1R1PP/R5K1 b - -,a8b8
rn1k2nr/1p3ppp/2p5/4p3/1bP5/1P4PN/1B2PP1P/RN3K1R b - -,a8a1
8/5pkp/4pp2/1R5P/r5P1/4P3/5PK1/8 w - -,g2g3
6rk/1pr2pp1/pn3q1p/3p4/b5Q1/5NR1/PP3PPP/4R1K1 w - -,h2h4
3r1rk1/1q2bp1p/p1bpp1p1/1p5n/3BPP2/P2BQ3/1PP2NPP/4RR1K b - -,f7f6
rn1qkb1r/1b3ppp/p2ppn2/1p6/3NPP2/1BN5/PPP3PP/R1BQ1RK1 b kq f3,b5b4
6k1/p4p2/1Q3r2/8/6P1/5B2/P7/6K1 b - -,f6b6
r5k1/pp2pr1p/3p2p1/2q4n/2P5/1P6/PQ2NPPP/4RRK1 w - -,b2d4
5r1k/pbqn3p/1p1p3P/2pPp1p1/2P1PnP1/2P1Q3/P4B2/2KR1B1R b - -,d7f6
8/4b3/6k1/4p1p1/1p1p2K1/1P1P3P/2P2P2/6N1 b - -,e7d8
1r2qr2/4bp1k/pB2b1pN/Pn2P3/1pp3Q1/8/1PB2PPP/R2R2K1 w - -,g4f4
r1b1kr2/p2p1pQp/2p1p3/q3P3/1bP5/2P5/P2B1PPP/R3KB1R b KQq -,b4c3
r2q1rk1/1p1bbppp/p1nppn2/8/3NP3/1BN1B3/PPP1QPPP/R4RK1 w - -,f1d1
r1bqkn1r/ppp2p2/1bn1p1pp/3pP3/1P1P2QP/P2B2N1/2P1NPP1/R1B1K2R b KQkq -,c6e7
8/4Rnk1/8/2K3p1/8/8/PP1r3P/8 w - -,b2b4
r4rk1/pb3ppp/1p2p3/n1bq4/8/1PB1PNP1/P4PBP/R2Q1RK1 b - -,d5d1
