8/7k/8/2P3P1/1Q5P/8/KP3q2/8 b - -,f2f7
3r1b1k/p6n/1p1rBp1p/1Pp1pKpP/P3P3/2BR2P1/3R1P2/8 w - -,d3d6
r3kb1r/pp1qpp1p/2n3p1/3n4/3P4/2N2N2/PP3PPP/R1BQK2R w KQkq -,e1g1
r1bq1rk1/p2pb1pp/npp1pn2/5pB1/3P4/P2BPN2/1PP1NPPP/R2QK2R w KQ -,c2c4
2rr2k1/1b2bpp1/pq1p1n1p/1p2p3/4P3/P1NQ4/1PPNBPPP/3RR1K1 w - -,d2f1
1rnR4/1p2N1pk/3r3p/PPp1qp2/2P1p3/4P1P1/4QPBP/3R2K1 b - -,d6d8
3rr3/1kp2p2/p1nq1n1p/1p1pp1p1/3PP3/2PQ1N1P/PP1N1PP1/K2R3R w - -,d4e5
2kr3r/pp1bqpp1/1np4p/3p3n/3P4/2NBP2P/PPQ1NPP1/1K1R3R b - -,c8b8
8/7p/1k6/3pN1p1/PK1P2P1/8/4b2P/8 w - -,a4a5
1r3n1k/p3b2p/2n5/2p1pPp1/2PpP3/6PP/P5BK/R4R2 w - -,a1b1
r4knr/pp1q1pb1/2pp4/5P1p/2B3p1/1Q5P/PPPB1PP1/1K1RR3 b - -,a7a5
rnbqk2r/ppppppbp/5np1/8/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq -,g1f3:d2d4:b1c3:e2e4
8/5k2/3b4/pp1p1nqp/2pP1p2/P1P2P2/1P1Q2PB/5N1K w - -,g2g3
2r3k1/1p5p/p7/3P1r2/PqPQR3/5K2/7P/4R3 w - -,f3g2
4b3/8/4k1p1/5P2/3BP1P1/b3KN2/8/8 b - -,g6f5
r4rk1/pp2qnbp/2ppb1p1/4pp1n/2PPP3/1PN1BPPP/P2QN1B1/3R1RK1 b - -,h5g3
1k1b3r/1p3rp1/2pp4/1p2n1Pb/4PR1P/6PB/PPPN2K1/5R2 w - -,h3e6
3r4/3rnkbp/p2pp1p1/q1p5/2P1BP1B/P3P2P/2QR2P1/3R2K1 w - -,d2d3
r5k1/pp5p/2p3nB/4P2N/1p6/5R2/P1q2PPP/3rR1K1 w - -,f3e3
8/1p6/p1b1kn1p/P5p1/1BP5/2PB2KP/8/8 b - -,f6h5
r1b1k2r/pp1nqppp/2pb1n2/4p3/2P5/2N2NP1/PP2PPBP/R1BQ1RK1 w kq -,f3h4
3r4/1bkp2p1/p5Bp/1p6/4P3/2nR4/P1P2PPP/5K2 w - -,d3c3
3r4/1p3pkp/2p1bnp1/1r6/pq2PP2/1P3NPP/PQ4B1/2R1R1K1 w - -,g3g4
r4bk1/2qb1ppp/p4n2/2p1pN2/5P2/3Q4/PP1B2PP/2R2RK1 b - -,e5e4
7r/3b2k1/3ppr2/1pp2p1p/pqPn1P1P/1P1P2P1/P4NB1/3QRRK1 w - -,c4b5
rnbq1rk1/p1p1bppp/1p2pn2/8/2BP4/2N1PN2/PP3PPP/R1BQ1RK1 b - -,c8b7
r4rk1/1b2bp2/p1q1p2p/3nP3/1p2N2P/3B4/PPP1Q1P1/2KR3R w - -,e2g4
1n1q1rk1/1pp1bppp/1rb1pn2/p7/P1QP1B2/2N2NP1/1P2PPBP/2R2RK1 w - -,c4a2
3r4/1R2b3/1K6/p3Pk1p/7P/6B1/PP6/8 b - -,e7b4
1rr2k2/pp1bppbp/2Np2p1/8/2P5/1PN1P1P1/P4PBP/2RR2K1 b - -,b7c6
rq3rk1/1p2bppp/p2ppn2/4n3/4PBb1/P1N2N2/BP2QPPP/2RR2K1 w - -,f4e3
rr4k1/1b3ppp/1q3n2/p1np4/3Q1P1B/P2BP3/6PP/2R2RK1 w - -,h4f6
8/6k1/8/3N2Kp/6bP/8/8/8 w - -,d5f6
2r2k2/1R3p2/8/3p3q/3Bp3/1P2PnQ1/P4PK1/8 b - -,f3e1
r4k2/4bpp1/4p2p/4R2P/2P3P1/p4P2/N1K5/8 w - -,e5b5
2nr4/pp1r2pp/2p1kp2/2R5/1P1B4/P3P1P1/5PKP/2R5 w - -,a3a4
rn1qk2r/pp3pb1/2p1p1p1/3pPn1p/3P1Pb1/2P2N2/PP2BBPP/RN1Q1RK1 b kq -,g7h6
3r1rk1/1p4pp/1qp1bb2/p1B1pp2/P1P5/1P2P1P1/2Q1NPBP/3R1RK1 b - -,b6c5
4R3/2k2r2/2b2p2/p1p1nPp1/3bP1P1/1P3B2/6K1/2R5 w - -,e8e6
5rk1/2p4p/n1qb2p1/1p1R1p2/2r5/Pp1QBNP1/4PPKP/3R4 w - -,d3b3
2k4r/2r2p2/1pP1p2p/p1q1P3/2PR4/3Q4/5PP1/1R4K1 b - -,h8g8
6R1/1p6/p6k/7n/6KP/P7/1P6/1B6 b - -,h5f6
rqb1nrk1/1p4pp/p3pp2/1NpPp3/1PPbP3/5B2/P2BQPPP/2R2RK1 w - -,b5d4
r1bq1rk1/ppp2pp1/3p1n1p/n3p3/4P3/1BNPPN2/PPP3PP/R3QRK1 b - -,a5b3
r1bq1rk1/1p1n1pbp/p1p1p1p1/2Pp4/N2P1P2/3B1N2/PP3PPP/R2QR1K1 b - -,b7b5
5k2/7R/1p6/p1p5/P6P/1PPr4/8/6K1 w - -,h7b7
r1b2rk1/1p1nqpbp/p2p1np1/2pP4/P4B2/2N2NP1/1P2PPBP/R2Q1RK1 w - -,f1e1:f3d2:h2h3:a1b1
8/6kp/3p2p1/2rP4/4P3/6PP/6B1/6K1 b - -,g7f6
8/3nk3/6pp/r1p1p3/2P1N2P/3N1PPB/5K2/8 b - -,a5a2
6rk/ppRn3q/4p3/b3P3/3BpP2/6P1/1PP1N1K1/3Q4 w - -,c7b7
8/1Q4b1/1p1B2pk/p4r2/P2P2qP/4P3/5P1P/2R2K2 b - -,g4h3
3R4/5p1p/4b1p1/4K3/1kp1B3/1p2P2P/r4rP1/1R6 b - -,b3b2
r3r1k1/pp3pp1/2n2np1/2p5/2P3P1/2B1P1qP/PP2P1B1/2QRR1K1 w - -,e1f1
2rr2k1/pbq3pp/1p1bp3/2p1Np2/3P1Q2/4PB2/PP3PPP/2RR2K1 w - -,f3b7
8/8/6p1/1b1kB2p/1P3P2/2KP3P/5b2/8 w - -,c3d2
6r1/3P4/8/8/8/4k2P/4n1PK/5R2 w - -,f1f7
3r1rk1/p1q2pbp/bp3np1/2p1p3/4N3/2P1PB1P/PPQ2PPB/R2R2K1 b - -,f6e4
8/7p/4kp2/6p1/n7/P3K1P1/3N3P/8 b - -,e6d5
8/3P4/5k2/1R6/1p4n1/7p/3r3P/6K1 w - -,g1f1
5rk1/2r2pbp/p3p1p1/1p1pP3/n4P2/2P1BN2/PP1R2PP/1R4K1 w - -,d2e2
r2q1r2/1pp3bk/2npbnpp/p2Npp2/2P2P2/PP1PP1P1/1B1N2BP/R2Q1RK1 w - -,d1c2
2kr3r/1ppb2bp/p1n2p2/4p3/8/1B3P2/PPPBN1PP/2KR3R w - -,e2g3
r1r5/1p2kp1p/1n2p1p1/n2pP3/p2P4/2R2NPP/PP3P2/1R3BK1 w - -,b1c1
r1b1k1r1/2q1b2N/2pRp2p/p1P1Pp2/1p1B1n1P/8/PPQ1BP2/1K5R b - -,g8g6
4r2k/p1pq2pp/2p5/2Rn1p2/3P4/1P3Q1P/P2B1PP1/6K1 w - -,c5a5
3r3r/p1pk1p2/1p2pqp1/7p/3P4/2PQ2P1/P3PPKP/R4R2 b - -,f6f5
r2q1nk1/pp2rppp/2p1b3/3p3n/1P1P4/P1NBPN1P/2Q2PP1/R4RK1 b - b3,a8c8
2rqr1k1/3b2pp/1pn1p3/1B1p4/P7/B1PQ1R2/2P2PPP/4R1K1 b - -,d8c7
8/kpqnbppb/p1n1p3/2pNP3/B5P1/2PP1NB1/PP2QPK1/8 b - -,e6d5
r5k1/1pprnppp/8/8/5P2/P1R1B1PP/5KB1/8 b - -,c7c6
7k/6p1/1p1P3p/3r3P/3p4/PK6/8/4R3 b - -,d4d3
2k5/1b3pp1/p3p3/1pNnP2p/3PB3/8/P4PPP/5K2 b - -,a6a5
rnq2rk1/pb2ppbp/1p3np1/2p5/4PP2/2NBBN2/PPP1Q1PP/2KR3R w - -,e4e5
2rq4/1p1krQ2/p3p3/3pP3/P2n4/6P1/1PB2PK1/2R4R w - -,f7g6
2k1b2r/p1p1q3/p2rpp2/6pp/3P4/Q1P1PNP1/PR3PP1/3R2K1 b - -,h5h4
5k2/6pp/8/n7/8/3B4/5PPP/6K1 w - -,d3h7
4r1k1/1p3pp1/p1b4p/P7/8/1q2B3/3Q1PPP/4R2K b - -,e8e5
r1q2rk1/pp2bpp1/2n1pnp1/3pN3/3P1B2/1QP5/PP1N1PPP/4RRK1 w - -,h2h3
r3r1k1/1q1b1p2/5Qp1/2p3P1/pp2p2P/8/PPPN4/1KR2R2 b - -,d7f5
8/8/8/4k1p1/4bpBp/7P/5KP1/8 w - -,g4h5
r4rk1/1bqn1pbp/pp1ppnp1/8/2PNP3/1PNBBP2/P2Q2PP/3R1RK1 w - -,d3e2
r6r/1p1kb3/nn2q3/p2pP2p/P1pP1N2/2P5/1PQ3PP/R1B2RK1 b - -,e6g4
6k1/5p2/2p2n1p/3p2p1/1PpP2P1/2P2P2/r2NK1P1/2R5 w - g6,e2d1
