8/2k3p1/6R1/2p4P/K1P5/P6r/8/8 w - -,g6g7
r2qk2r/pppb1pp1/2np1n1p/2b1p3/4P3/1BPP1N1P/PP3PP1/RNBQK2R w KQkq -,e1g1
rn1q1rk1/1bp2ppp/1p2pn2/b1Pp4/Q2P1B2/P4NP1/1P2PPBP/RN3RK1 b - -,b6c5
r3kb1r/p2p1ppp/2p1p3/3nq3/2P1N3/1P6/P2B1PPP/R2QR1K1 b kq c3,d5f4
8/p2k2p1/4pp1n/4Pr2/2Np3p/3P1P1P/PP3PK1/2R5 b - -,h6f7
r1b1kb1r/1p2ppp1/pqnp1n2/5N1p/4P1P1/2N4P/PPP2P2/R1BQKB1R w KQkq h6,f1g2
3rr3/2q2pkp/pn1p2p1/1p2p2n/2p1P3/P1P2NPP/1P1NQP2/2RR2K1 w - -,d2f1
rn1qnrk1/3bppbp/3p2p1/1NpP4/4P3/2N2P2/PP2B1PP/R1BQ1RK1 b - -,e8c7
6k1/4bppp/p4n2/1p3B2/1P3B2/P1p1P2P/5PP1/6K1 b - b3,f6d5
rnbqk2r/ppp1bppp/8/3pP3/4n3/3B1N2/PPP2PPP/RNBQ1RK1 b kq -,b8c6:e8g8
8/1b6/p1k2p1p/3p1p2/1P1K3P/4PPP1/4B3/8 b - -,c6d6
5rk1/q5bp/3p1pp1/1p1P2B1/nP3P2/7P/3Q1NP1/4R2K w - -,g5h4
N2r3k/pb3ppB/8/1pP5/1P3q2/5n2/P3Q1PP/R4RK1 w - -,e2f3
2r3k1/5p2/4q1p1/7p/p1pQP2P/P1R2KP1/5P2/8 w - -,f3e3
r4rk1/p1pb1p2/2pp3p/2b1p1q1/Q1N1P1pN/2PP2P1/PP3PP1/R4RK1 w - -,a1d1
r1bqr1k1/p3n1bp/1p2ppp1/3n4/3PN2B/P2Q4/1PB1NPPP/R2R2K1 w - -,c2a4
8/4k3/6pp/5p2/2rp4/5KP1/4PP1P/3R4 b - -,e7f6
2rnqk1r/5Np1/p3p2p/1p1pPp2/3P1P1Q/2PB3P/6P1/2R1R1K1 b - -,d8f7
8/1R5p/p3k2p/P1rpp3/8/5P2/6PP/6K1 b - -,c5a5
r3b3/4k3/2p3p1/4N2p/8/7P/2PR1PPK/8 w - -,h3h4
6rk/p6p/8/3Q3N/2nP1R2/7P/4q1PK/8 w - -,f4g4
r7/pp5k/3P2rp/1B1R1p2/8/1P5P/P4P2/5K2 b - -,g6f6
3r2k1/p3rpp1/1q3np1/3P2N1/Qp2P3/7P/1P3PP1/R2R2K1 w - -,a4c2
5rk1/p2r1ppp/8/8/8/P1P5/3p1PPP/R2R1K2 b - -,f8c8
rnb1k2r/pp1pppbp/5np1/2q5/2P5/P3P3/1P1N1PPP/R1BQKBNR w KQkq -,b2b4
q2r1bk1/1b4p1/4p1Q1/p2n4/8/P3P3/1B3PPP/2R2BK1 b - -,d8d6
8/3R2b1/3p2pk/3K1n1p/8/7P/8/8 w - -,d5e4
2rqk2r/1p2bppp/p1npbn2/4p3/2P1P3/N1N5/PP2BPPP/R1BQ1RK1 w k -,c1e3
r2q1r1k/p1p1b2p/2Ppb3/P2Np3/1P6/4BN2/4nP1P/2RQ2RK w - -,f3g5
1r4k1/p1r1qp2/2Ppbnpb/Q1P1p2p/4P3/5PP1/P3N1BP/1NRR3K b - -,d6d5
rn1qkb1r/pp3ppp/2p1pn2/5b2/2BP4/2N2N2/PPP3PP/R1BQ1RK1 w kq -,d1e2:f3e5
rn1qk2r/1pp1bpp1/1n2p3/p2pP2p/P2P1Pb1/2P2NN1/1P2B1PP/R1BQK2R w KQkq -,e1g1
r1b2rk1/2qn1ppp/p2bp3/1p4B1/3N4/1BP2Q1P/PP3PP1/R4RK1 w - b6,f1e1
r1b2rk1/5pbp/p5p1/1PQq4/3p4/5P2/PP3BPP/2RR1BK1 b - -,d5c5
8/1p1kbp2/2p2p1p/p6P/P4PP1/2P2K2/1PB5/8 w - -,f3e4
5r1k/6q1/1p4pP/p2Q1b2/2P1Nb1P/8/PP4B1/4R1K1 b - -,g7h6
R7/3r1pk1/1p1pp1q1/1Pn5/2PpP1p1/3P2P1/5PB1/3Q2K1 b - -,g6g5
7k/3R3p/8/p4P2/8/1B2P3/P2p2KP/1nr5 b - -,c1c5
r2q1rk1/pb2bpp1/1p2pn1p/2p5/2PP1B1Q/5NP1/PP3PBP/R3R1K1 w - -,f4e5
4r3/4q1kp/3p2p1/2pB4/2Pn4/3P2P1/1Q3P2/R5K1 w - -,b2b6
r2q1rk1/ppp1n1bp/4bnp1/1P1P1p2/3Pp3/2N1N1P1/PB2PPBP/R2Q1RK1 b - -,e7d5
6k1/ppp1r3/8/3Pr3/1PP1p3/R4nP1/P3RPKP/8 b - -,a7a6
r1b1k2r/p1p1qp2/1p1p1n1p/n2Pp1p1/2P1P3/2PB1P2/P3NBPP/R2Q1RK1 b kq -,f6h5
rnbqk1nr/ppp2ppp/3Bp3/3p4/3P4/4P3/PPP2PPP/RN1QKBNR b KQkq -,c7d6
r1b1r1k1/p3qpbp/2p3p1/3pPp2/5Q2/5N2/PPPB1PPP/R3R1K1 b - -,c8b7
8/7n/3R2p1/2pNnk1p/8/6PP/4K3/8 b - -,h7g5
3r2k1/p4n2/1p2p1pp/5q2/4QB2/2PB1P2/P5PP/4R1K1 b - -,d8d3
rn1qk2r/5ppp/p1pbpn2/1p1p4/2PP2b1/1PN1P1NP/P1Q2PP1/R1B1KB1R b KQkq -,g4h5
1R6/5ppk/4p3/P2pP2p/8/7P/4r1P1/7K b - -,e2e5
3rrqk1/pp3ppp/1npb1n2/8/3P1P2/1BN2Q1P/PP1B2P1/3RR1K1 b - -,d6c7
1r6/6k1/3b2pp/pB1P1p2/P7/1P3NPP/6K1/8 w - -,f3d2
3r1rk1/pp3ppp/nq2bb2/2p1p3/3nP3/PP1P2P1/1B1N1PBP/1R1QNRK1 w - -,b2d4
4k3/p5pp/3bb3/8/3Bp3/PPN1P3/5PPP/6K1 b - -,e6b3
1r2rb2/1b1k4/p3p1p1/2ppPp1p/5P1P/2P1N1P1/PP1N1R2/2K1R3 b - -,b7c6
1r3bk1/5q1p/6p1/p2p4/2p1p1P1/P1P2p1P/1P1Q4/1B3R1K w - -,d2e3
8/3n1kpp/p7/8/r2B4/4KP2/P3R1PP/8 b - -,d7f8
R7/8/2r5/2Pr2k1/5pp1/8/5PK1/2R5 b - -,d5e5
r3k1nr/pp1qbp1p/3p4/3Np3/2PpP1bP/3P4/PP2NPB1/R2QK2R w KQkq -,d1b3
4rbk1/P4pp1/1R6/2p5/2N5/4PqP1/2Q2P2/6K1 w - -,b6b8
r2r2k1/pb1nqppp/1p1p1n2/2pPp3/1PP1P3/P1B3P1/3N1P1P/R2QRBK1 b - -,f6e8
2r5/pb2kpp1/1pn4p/8/2R1N1P1/8/P4PP1/3R2K1 w - -,e4d6
5qk1/6p1/8/5p2/Q4Pp1/6P1/p6P/5K2 b - -,f8f7
1nr5/4kppp/p7/R2Bp3/1PP1P3/3K1rP1/R6P/8 w - -,d3c2
8/1b6/4kn2/1B2pp2/1BP3p1/8/P3KP1P/8 b - -,b7f3
8/3R4/3bpkp1/7p/4KP2/5P1P/8/8 b - -,d6c5
8/p6p/1r1pkRp1/2n1p3/1N2P2P/P1rP2P1/8/1R1K4 b - -,e6f6
r4rk1/pb1p2pp/1p6/4ppq1/1PP1n3/PN2PB2/5PPP/R2QK2R w KQ -,d1d7
8/4b1p1/1B2P2r/5k2/3r1P2/8/Pn4P1/5RK1 w - -,b6d4
rn1q1rk1/1bpp1ppp/1p2pn2/p7/1bPP4/2N2NP1/PPQ1PPBP/R1B2RK1 b - d3,b4c3
2r2q2/4bp1k/6pP/pn1pP2p/1p1p3Q/3P1R2/PPPB3P/2R4K w - -,h4f2
r1q1r1k1/3b1pbn/p2p2P1/2pP4/P3P2B/2p5/1PQ1N2P/R5RK b - -,f7g6
r4rk1/p1q1bppp/bpp1N3/4P3/4PB2/6P1/PPP2QBP/2KR3R b - -,f7e6
8/1pr5/2p1k3/P1Pp4/1R6/3KP3/8/8 b - -,e6d7
4r3/2R4p/p2r1ppk/4n3/Pp3R2/3BP1P1/1P2P2P/6K1 b - -,e5d3
2kr3r/ppqn1pp1/2p1pn1p/7N/3P1N1P/5Q2/PPP2PP1/1K1R3R b - -,e6e5
r3r1k1/p3qp1p/2p1P3/1p1p2P1/5nR1/2N1Q3/PPP2P1P/1K1R4 b - -,f4e6
8/1p5p/p1p3p1/3pk3/PPr4P/1RP2PK1/8/8 b - a3,b7b6
