8/1R6/2p2k2/2Pb1P2/6P1/2P3KP/8/5r2 b - -,f1f3
8/5k2/4n3/5K2/8/2BB4/8/8 b - -,e6g7
4rk2/7p/p3Pp2/P2P1N2/1p3PP1/6K1/1Prp4/3R4 w - -,d5d6
5b1k/pp1n3q/2p1Q3/8/2BP4/6P1/PPP2P2/6K1 w - -,f2f4
4r1k1/1p2qpbp/pnp2np1/8/PPPN4/1Q4PP/5PBK/2BR4 b - -,e8d8
r1b2rk1/3n1pp1/p1p2q1p/1p6/PQpp4/2P1P3/3NBPPP/R4RK1 w - -,e3d4
3rr3/pp4k1/1q5p/1bp1p3/4Np1n/2PP4/PP1Q1P1P/1R2R1KB w - -,c3c4
2r3k1/p2q1pbp/1p2pBp1/2p1P2P/2Pn2Q1/P5P1/1P3P2/1B1R2K1 w - -,g1g2
8/8/4kp2/2K1n1pp/4P3/6PP/5N2/8 w - -,c5d4
rnb1k2r/pp3ppp/2pp1n2/q7/2PNP3/2b1BP2/PP4PP/R2QKB1R w KQkq -,b2c3
2nr1r1k/1qn1b1pp/ppNpB1b1/6P1/2P4Q/2N1B3/PP5P/2R2RK1 w - -,c6d8
1r1r2k1/3R3p/3bpp2/3p2p1/3P2P1/1P2PN1P/5PK1/2R5 w - -,d7d8
nrb1r1k1/1p2qpp1/pNpn3p/3pN3/1P1P4/3BP3/P1Q2PPP/1R3RK1 w - -,b6a8
rn1qk2r/pp1b1ppp/4pn2/1B4B1/Pb1pP3/2N2N2/1P3PPP/R2QK2R w KQkq -,d1d4
2rq2k1/1p2b1p1/3pbr2/p3p2R/Pn2Pp2/1NN1BP2/1PPQ3P/1K1R1B2 b - -,f4e3
1r5r/1P2pp2/pk1p3p/2n3p1/2P5/R4BP1/P2K1PP1/7R b - -,c5b7
2b2rk1/rpB3bp/4p1p1/1R3p2/p7/1P4P1/P3PPBP/3R2K1 b - -,a4b3
2r2rk1/3bnppp/3qpn2/p2pN3/1p1P1P2/P1NQP3/1P4PP/1BR2RK1 w - -,a3b4
8/1p5K/p3r3/k2pPp1p/Pb1P4/4B3/2r2PP1/R6R w - -,a1c1
3r1rk1/pp3pq1/2p3p1/3nNb1p/2BP3P/P5P1/1P3P2/2QRR1K1 w - h6,c4a2
r3r1k1/1ppbq1pp/2n5/p3pp2/2P1n3/PP2QNP1/1B2PPBP/3R1RK1 w - -,f3e5
r1bq1rk1/p1p3pp/2pb4/5p1Q/P7/2N5/1PP2PPP/R1B1R1K1 b - -,d8f6
1r2k2r/3bpp1p/p2p1np1/q7/1pPpP3/1P1P2P1/PN3PBP/2RQ1RK1 w k -,c4c5
rnb1kb1r/ppp1qppp/8/3pP3/4nB2/8/PPPNPPPP/R2QKBNR w KQkq -,d2e4
8/5pp1/p4k1p/1b6/4K1PP/4PP2/8/R7 b - -,f6e6
2rq1rk1/1b2bppp/p3pn2/1p1n4/1P3B2/P1NBPN2/4QPPP/2RR2K1 w - -,f4e5
1rq3k1/Qp3pp1/p1p4p/8/PP6/4P1P1/5P1P/2R3K1 w - -,b4b5
8/5k2/2p2pbp/1p2r3/1P2PK1P/3B4/2P5/R7 b - -,f7e6
rnbqkb1r/p4ppp/1p2p3/nPppP3/3P4/P4N2/1BP2PPP/RN1QKB1R b KQkq d3,c8b7
8/5p1p/2r1k3/6p1/5p2/1RP2P1P/4KP2/8 b - -,f7f5
8/8/3k1pp1/p1p1b3/2P3KP/1P1N4/P7/8 w - -,h4h5
4r1k1/2p1qp1p/3p4/3P2p1/PQ2nB2/1P4PP/5PB1/6K1 w - -,f4e3
8/8/P1R5/5ppk/2P4p/7P/r5P1/6K1 b - -,g5g4
rn1qk2r/3b1ppp/p1pbpn2/1p1p4/2PP4/1P2PN2/P2NBPPP/R1BQK2R w KQkq -,e1g1
1n2r1k1/r4p2/2p4p/p5p1/3R1p2/2P2B2/P5PP/5K1R w - -,f1f2
7r/6kP/8/8/8/5P2/5K2/7R w - -,f2g3
8/2p5/KbPp4/p2P3B/1r6/kP3R2/8/8 b - -,b4h4
r3r1k1/p5p1/2bp1q2/2p2pnP/1pP1PP1n/1P2Q1N1/P2N2BP/3R1RK1 b - -,h4g2
4rr1k/pB4b1/8/2pR2Bp/2n3pP/P5P1/1P3P1N/6K1 b - -,e8e5
2r1q1k1/1p1n1pbp/1p2p1p1/3p4/3P4/1Q3PPP/PP3P2/R2R1BK1 b - -,e6e5
8/2n5/p7/P7/KP6/2r5/2k4R/8 b - -,c2b1
q3r1k1/3n1pbp/3p1np1/1N1P4/2p1PP2/4BB2/1P4PP/3Q1RK1 b - -,a8b8
1qr1r1k1/p3bppp/1pb1p3/4P3/2R5/1P4PB/PB1RQP1P/6K1 b - -,c6d5
8/7k/4R2P/2b4K/8/8/8/8 b - -,c5b4
rn4k1/2q1pp1p/P2p2p1/3P4/2p1P3/2P3P1/3NQPKP/R7 b - -,a8a6
1k4r1/pbq1bp1p/1pp1p1r1/5p1n/1PPP4/2N2N2/P3QPPP/1R1R1BK1 w - -,e2e3
1r5k/2p4p/1p1p1b2/1P1Pp3/4Ppq1/3Q4/1P3B1P/R6K w - -,a1g1
3R4/5pk1/7p/r6P/3NPK2/5P1b/8/8 w - -,e4e5
rn3b1r/ppk2ppp/2p2n2/4p3/2P1P3/2N1BP2/PP3P1P/R3KB1R w KQ -,e1c1
5r1k/7q/7b/1p5Q/4NP2/4P3/6BK/8 w - -,e4g3
2rr2k1/1p1nb1p1/p2p2q1/P2Ppp2/1PP3np/6P1/3BBP1P/N1RRQ1K1 w - -,f2f3
8/8/4p3/1kp2p2/r4P2/2R1KP2/8/8 w - -,c3b3
r2k3r/1b1nRp1p/3P4/3p4/p7/5pB1/1P3PPP/R5K1 b - -,f7f6
rn1q1rk1/pb1pppbp/1p4p1/2p5/3P1B2/2P1PN2/PP1QBPPP/R4RK1 b - -,d7d6
8/8/r4kp1/pR5p/P4K1P/6P1/5P2/8 w - -,f2f3
r1bqk2r/1p1n1pbp/p2p1np1/2pP4/P3P3/2NB1N1P/1P3PP1/R1BQK2R b KQkq -,e8g8:f6h5
2rq1rk1/3bppbp/3p4/4P1Pp/1p2P3/1N2B3/PPPQ3P/1K1R3R b - -,g7e5
5rk1/p4p1p/2p1p1p1/2pnP3/2Q5/1P1P3P/3q2P1/4RR1K w - -,c4c5
3r2k1/1b2r1bp/4ppq1/R2n4/2BPQ1p1/1P6/1B3PPP/4R1NK b - -,g6e4
r7/1bk5/1pn2p1p/3p4/3PpP2/R1P3PP/1P2BK2/8 w - -,a3a8
2r5/5pk1/1p3p2/5Pp1/6N1/8/n5PP/4R1K1 w - -,e1b1
2rr1nk1/p4pp1/1pb1p3/1Nn1P2p/2P4P/4PP2/PBB3P1/R2R2K1 b - -,c6b5
8/p1pb1kpp/3p2r1/2p5/8/1PP1NP2/P4K1P/4R3 b - -,d7c6
r1b2rk1/1pp3pp/1pnp4/1B2p2n/1P2P1qN/2P5/P1Q2PPP/R1B1R1K1 w - -,g2g3
r1bq1rk1/p2n1ppp/3b1n2/1B2p3/3pP3/2N2N2/PP3PPP/R1BQ1RK1 w - -,b5c6
1r3rk1/1p1qn1bp/3pb1p1/p1p1ppB1/2PnP3/P1NP2PP/1P1QNPB1/1R3RK1 w - -,e2d4
3b4/5rk1/2qpRp1p/pprN1Pp1/7P/1PP2Q2/P5P1/3R3K w - -,d1d3
1r1q1rk1/5pbp/2np2p1/1Ppbp3/4P3/3PB1PP/1P3PB1/1R1Q1RK1 w - -,e4d5
3r2k1/5pbp/6p1/pN6/P1q5/2P2Q1P/5PP1/R5K1 b - -,c4b3
3r2k1/p4p2/7p/R5p1/2P5/P2p2PK/1P1Nr3/3R4 b - -,d8d4
6k1/p4p1p/4b1p1/3p4/BPr5/2q1P3/P2Q2PP/3R2K1 w - -,d2c3
r2r2k1/pp3ppp/2pq4/2n5/P2NQ3/2P5/5PPP/R4RK1 w - -,e4g4
1r6/3k3p/3b1pp1/1p1n4/p2P4/1R2N1P1/1P1B1P1P/5K2 w - -,b3d3
1rb2rk1/5pp1/p2qp2p/1pp5/8/2QP2P1/PP2PPBP/R4RK1 w - -,a1c1
r4rk1/pbpnqppp/1p2pn2/3p4/2PP4/P4NP1/1P1NPPBP/2RQ1RK1 w - -,c4d5
1kbr3r/ppn2p1p/4q1p1/3pN1P1/2pP1P2/Q3P2P/PPB5/K1R4R w - -,f4f5
2r2bk1/5p2/pB4pp/Ppn5/4r3/2P4N/1P4P1/3R1RK1 w - -,h3f4
8/6pp/4pk2/p1pr4/P4P2/1PR3PP/4K3/8 b - -,f6f5
r3k2r/3pbpp1/qnp1p1p1/p1P1P3/3PQ3/5N2/P1RB1PPP/4R1K1 b kq -,b6d5
8/1p4k1/p1p5/2P2Qp1/PP1RPbPp/7q/5P2/5K2 w - -,f1e2
r1bq1rk1/1p2ppbp/p1p2np1/P2p4/3PP3/2P1B2P/2PNBPP1/R2Q1RK1 w - -,e4e5
r2q1rk1/pp3ppp/2n2b2/3p4/3Pb3/4BN1P/PP2BPP1/R2Q1RK1 b - -,h7h6
3r2k1/p4pbp/1p1r2P1/8/Pqp5/R3P2P/1PQ3P1/2B2RK1 b - -,h7g6
8/8/P5k1/1R6/2N4p/1P4bP/2r5/6K1 w - -,b5a5
8/p4p2/4p1k1/1P2Pr2/5PB1/4B2p/8/5K2 b - -,f5h5
r2q1rk1/1b2bppp/4p3/p1nnP3/PpB5/1N3N2/1P1BQPPP/R4RK1 w - -,b3c5
r1bq1rk1/ppn2pb1/3p1npp/2pP4/2P5/2NBBN1P/PP3PP1/R2Q1RK1 b - -,b7b5
