7R/1p2k3/p1p5/3rr3/1P4K1/4R3/8/8 w - -,e3e5
r1b3k1/p5pp/5r2/4q3/N2ppn2/1PP5/P2Q1PPP/3RNRK1 b - -,d4d3
2rr2k1/4ppb1/p1n2npp/qp6/2b1P3/P1N1BNPP/1P1RQPB1/3R2K1 w - -,d2d8
r1b1kb1r/2qp1ppp/ppn1pn2/8/2PN1B2/2N3P1/PP2PPBP/R2Q1RK1 b kq -,e6e5
8/p3k3/2n1pnp1/2r5/1pP1P2p/4NP2/PK2B1PP/R7 b - -,c5a5
3rb2Q/p4kp1/2p1p1p1/5R2/6P1/8/PPP2P1P/3rR1K1 b - -,e6f5
r1b1k2r/pp1nqpbp/2pp1np1/4p3/3PP1P1/2N1BN1P/PPP2PB1/R2QK2R w KQkq -,d1e2
r3r1k1/1ppb1p1p/5qpB/p2Pn3/5P2/2N3PP/PP4B1/R2Q2K1 w - -,f4e5
1r5k/2p3p1/3p1bq1/2p4P/2P5/1P3PB1/2bQ2KP/4R1N1 b - -,g6d3
2r2rk1/5ppp/1R3q2/8/3nB3/8/5PPP/2Q2RK1 w - -,c1c8
r4rk1/3nbppp/1pq1p3/2p5/P1N3Q1/3P2P1/1BP2P1P/1R3RK1 b - -,g7g6
r2qr1k1/ppp2pp1/4b1np/3n4/3Q4/P1N1P1B1/1P2BPPP/3RK2R b K -,c7c6
1r3rk1/6pp/2b1p3/pp1pPp2/2pRP3/P1P2P2/1PB3PP/3R2K1 b - -,g7g6
r3k1r1/5p1p/p3pp2/8/8/4RN2/Ppb2PPP/1R4K1 w q -,b1b2
r4rk1/1pbb4/p1p1p2q/2PpPp1n/PP3Pp1/BQ2P1Pp/4NKBP/6RR w - -,g2f1
4bk1R/1p3p2/4pNp1/3pP3/8/pP5P/r5PK/8 b - -,f8g7
8/5p2/8/3pP1k1/3P2bp/pr6/1P1R1NP1/4K3 w - -,b2a3
8/5p2/6k1/7p/1R5p/4PPP1/r7/5K2 w - -,b4h4
n7/ppr5/5kpp/PR2p3/4P3/1Pp4B/2R3PP/1K3r2 w - -,b1a2
1rr3k1/3nq1p1/2p1p2p/p1Pp1p2/3p4/3RPN1P/PPQ2PP1/2R3K1 w - -,e3d4
2r1r1k1/1b1nqpp1/1pp1p2p/p7/2PPNn2/PQ3N2/1P3PPP/2RR1BK1 b - -,c6c5
r4rk1/q4ppp/p2p2b1/2bPp3/1pP1P3/1P3N1P/2Q2PP1/R3RNK1 b - -,f7f5
k2r4/4r1bp/1R3pp1/n2p1P2/3Pp2P/2NnB1PB/P6K/1R6 b - -,a5c4
r7/1pk5/2p3p1/3p1p1p/P2P4/b2KPP1P/2B3P1/6R1 b - -,a3e7
2rbk2r/pp1b1ppp/n3p3/1P2P3/2B2B2/5N1P/P4PP1/2R1K2R b Kk -,d8a5
rnbqkbnr/pp3ppp/2p1p3/3p4/2PP4/5NP1/PP2PP1P/RNBQKB1R b KQkq -,d5c4:g8f6:f7f5:f8d6
8/1r2p2p/1p6/p1p1B1P1/P1P1pPkP/4Kb2/3R4/8 w - -,d2d8
r3kb1r/pbqp1ppp/1p2p3/8/1n1pPP2/3P1NPB/PPP1Q2P/R1B2RK1 w kq -,f1f2
6R1/pr6/4pk2/3p2p1/3P4/1P1K3P/P5P1/8 b - -,b7b6
r1b2rk1/4Bpbp/3p4/1N1P4/1P2p1q1/3p4/P2Q2P1/2R2R1K b - -,g4g6
5k2/5n2/3bQ3/5N2/7P/8/4K3/2r5 b - -,c1c5
r1b5/ppRr3p/5kp1/3B4/4P2P/8/P4PP1/6KR w - -,c7d7
8/8/8/4k3/2pN4/2Kp2P1/8/8 b - -,e5e4
r1bq1rk1/1p1nppbp/p1np2p1/2p5/3PP3/2PBBN1P/PPN2PP1/R2Q1RK1 b - -,b7b5
3r2k1/pq2ppbp/6p1/1P3b2/1P1r1n2/4Q3/3N2PP/RR3NBK w - -,d2f3
r1bqk2r/pp1nbppp/2p2n2/3p2B1/3P4/2NBP3/PP3PPP/R2QK1NR w KQkq -,g1f3:d1c2:g1e2:h2h3
8/5k2/p2p4/P5Rp/2rP1KpP/2B5/1P4b1/8 b - -,g2f3
6k1/3p1pp1/4p3/7p/1p2b1nP/1P4bN/PBQ3B1/7K b - -,e4c2
2r1kb1r/1p4pp/p3ppb1/8/P2BP3/2N2P2/1P3KPP/2R4R b k -,f8e7
rn2k2r/1bqpbppp/pp2pn2/2p5/2PP4/1PN2NP1/PB2PPBP/R2Q1RK1 b kq d3,c5d4
8/1prb3k/p2p2pp/3n1p2/1P6/4PN2/3R1PPP/5BK1 b - -,d7e6
1r2rbk1/pppq1ppp/1n6/3np2b/2N1N3/PP1P1PP1/1B2P1BP/2RQR1K1 b - -,f7f6
4r1k1/1p2rp2/p5p1/P1p1n1N1/3b2P1/7K/1P5P/R1B2R2 b - -,e5d3
r4rk1/p2q1ppp/1pn2n2/2pp4/3P4/P1PQPP2/6PP/R1B1RNK1 w - -,c1b2
r2q1r2/1bpnnpkp/pp4p1/3p4/3pP3/2PB1NN1/PP1Q1PPP/R3R1K1 w - -,f3d4
3b4/1p5p/2p1pk2/2P2p2/pBPPpP2/4P2P/5K2/8 b - -,f6e7
8/8/3kp3/n2p4/2pP1pNP/P1P5/R3N1K1/1rn5 w - -,e2c1
r4rk1/p1p2ppp/Pp2b3/3nq3/8/1N4P1/2Q1PPBP/R2R2K1 w - -,b3d4
q4rk1/1bp1nppp/5n2/1Qb1p1N1/4P3/1B5P/1P3PP1/1NBR2K1 b - -,c5d4
5rk1/2r2pbp/p3p1p1/1p1pP3/n4P2/2P1BN2/PP2R1PP/1R4K1 b - -,f8c8
1rr3k1/3p1ppp/pp1R1n2/4p3/2P1P3/1P3BP1/P4P1P/3R2K1 b - -,b8b7
b4rk1/r3q1p1/p2R3p/2p1N3/5p2/1P1QNP1P/PB4P1/6K1 w - -,e3g4
3r3k/1p3q1p/p2p2p1/2pNbb2/2P5/5B1P/PP1Q1PP1/4R1K1 w - -,f3e4
r4rk1/ppp4p/4p2b/8/4PP2/4Q3/Pq2N2P/3R1RK1 w - -,d1b1
1r1qn1k1/r4pp1/pp1p3p/3Pp3/2P1N3/1QR4P/PP3PP1/2R3K1 w - -,e4g3
r1bqr1k1/1p1n1pbp/2pp2p1/P7/2PNPP2/2NQ4/P3B1PP/3RK2R b K -,d7c5
1q1rrbk1/1b1n1p1p/pp1ppnp1/8/2PNP3/1PN3PP/PB1Q1PB1/3RR1K1 b - -,d7c5
4r1k1/6pp/2p5/5p2/2pP1P2/6P1/2P1q2P/2QR2K1 w - -,c1d2
2r1k1nr/pppq1pbp/2npb1p1/3Np3/2P1P3/3P2P1/PP2NPBP/R1BQK2R w KQk -,h2h4
1r5k/1r3pbp/q2p4/p1ppn1BP/P1P5/1P4P1/2B1QRK1/1R6 b - -,f7f6
7k/5npp/1p6/p4r2/P2P4/1Pr5/7P/1B3RK1 w - -,f1f5
r3kb1r/1bq2p1p/p1n1p1pn/1pp1P3/4BP2/2N1BN2/PPP3PP/R2Q1RK1 w kq -,d1e1
r3k1nr/2p3pp/pp1bbp2/2p5/4P3/1NN1BP2/PPP3PP/2KR3R b kq -,e8c8
r5k1/p2q2pp/bppn1r2/3p4/3P1N2/1P3PP1/PQ2P1BP/R3R1K1 b - -,g7g5
3r1rk1/3q1ppp/p3pb2/1pp2P2/2pP4/P3PR2/1PQRB1PP/6K1 w - -,f5e6
8/1p2k1p1/pbn1r2p/3pBp2/1P1P3P/P4NP1/5P2/3R1K2 b - -,e7f7
r5k1/6pp/np2p3/p3P3/2R3N1/P2r2P1/1R3P1P/6K1 w - -,b2b6
2q1k3/1p4pp/2P1pn2/pPB1p3/P1Q1P3/2b3PP/6K1/8 w - -,c6b7
rnbq1rk1/ppppp1bp/5np1/8/2PPN3/6P1/PP3PBP/R1BQK1NR b KQ -,f6e4
8/N3bk2/1p2r3/p2p1np1/P2P1p1p/1P1K1P1P/3B2P1/6R1 w - -,a7b5
8/8/6p1/p2k3p/1p1N3b/5K2/P1P5/8 w - -,d4e2
r1nqr1k1/2pb1pbp/1p1p2pn/pP1Pp3/2P1P3/2N2N1P/P1Q1BPP1/R1BR2K1 w - -,c1e3
r1bqr1k1/1pp2ppp/n2p1n2/p7/2PpP3/2Q2NP1/PP1N1PBP/R4RK1 w - -,f3d4
8/6p1/4p1kp/1R6/3r3P/6K1/8/8 w - -,h4h5
r2qr1k1/pp2bp1p/4b1p1/2pnP3/B2P4/P1NQ4/1P4PP/R1B2RK1 b - -,c5d4
8/2p1npbk/2n1p1pp/2Pp4/1r1P1PP1/3qBB1P/4NP2/3R2K1 w - -,d1d3
6k1/3br1p1/2p4p/P2pNq2/1P1B4/2P3RP/5Pn1/3Q2K1 w - -,g1g2
8/6B1/4k3/5p2/2N2K2/1r6/8/8 w - -,c4d2
8/q6k/6pp/5Q2/8/4RP1K/7P/8 w - -,f5e6
r4rk1/1bq1np1p/p3pQp1/1p6/4PP2/5NN1/P1P3PP/1R3RK1 b - -,a8d8
5n1k/p3R1p1/1p5p/1P1p4/8/8/5P1P/2r1R1K1 b - -,c1c5
8/6k1/3n3p/1p4pP/4P1K1/P2N1RP1/2r2P2/8 w - -,e4e5
8/4k3/1PQ4p/6p1/4B1K1/5P2/6PP/8 w - -,g4f5
4r1k1/2p4p/b1P1p1p1/N2p4/5P2/P7/5PP1/4R1K1 b - -,g8f7
r1b3k1/1Qn1ppbp/5qp1/3n4/2N5/P2P1PP1/1PR1PB1P/2R3K1 w - -,b7b3
7k/1p4p1/5p1p/3BpP2/4P2P/2N3K1/1P2Q3/q1r5 b - -,c1g1
rn1q1rk1/pbpp1ppp/1p2p3/8/1bPP4/2N2NP1/PP1QPPBP/2R2RK1 b - -,d7d6
