8/8/8/r4k1p/5N1P/1R4K1/8/8 b - -,f5e4
2r3k1/p2R1p1p/1p4p1/1np4r/8/2P2R1P/P2B1PP1/6K1 b - -,h5f5
8/2R1pp1p/5rp1/2Pk4/8/6P1/4KP1P/8 w - -,g3g4
8/1P6/P7/5k2/2K5/8/1r6/8 w - -,a6a7
8/1pR5/p4k2/5p2/5P2/1P3K2/P7/6r1 w - -,c7b7
8/8/5kp1/p2b3p/2pN3P/P3K1P1/1P6/8 b - -,g6g5
2r2rk1/5pp1/pqn1pbp1/1p6/8/1Q2PPP1/PP2BB1P/2RR2K1 b - -,f8d8
Q4B2/2q2ppk/p3pnp1/4b3/p7/P6P/1P3PP1/5BK1 w - -,a8a6
r1b2rk1/8/p1pP1bq1/5p1p/1Qp1p3/4P1P1/PP2NP2/2KR3R w - -,d6d7
r6k/p4q1p/1p1PR1p1/2p2r2/2Qb1B2/6PP/PP4K1/4R3 b - -,a8f8
8/p5kp/3nbp2/1p2p1p1/4P3/P3KP1P/1P1NN1P1/2r5 w - -,e2c1
r1b2rk1/1pq1bppp/2p2n2/p3p3/P1B1Pn1B/2N2N1P/1PP2PP1/R2RQ1K1 b - -,f4g6
3r2k1/R6p/6p1/P7/2n5/4p2P/6P1/5K2 b - -,d8d1
3R2R1/8/2rnp3/1p3p1k/p7/6PK/5P2/8 w - f6,d8d7
rnbq1rk1/pp2p1bp/3p1np1/2p5/2P1P3/2N3P1/PP2NPBP/R1BQK2R w KQ c6,e1g1
r1b1kb1r/pp3ppp/2n1p3/2P5/8/4PN2/PP3PPP/R1BK1B1R b kq -,f8c5
8/p4rk1/1bR3pp/1P6/P7/5N1K/5PP1/8 b - a3,f7f4
1r5r/ppk1npp1/3ppn1p/8/3P4/2P2N1P/PP3PP1/R3RBK1 w - -,c3c4
q5k1/p7/2rBp2p/3n1p2/6p1/2p5/P3BPPP/R2RN1K1 w - -,d6e5
r4rk1/pp1bq1p1/2p4p/3pP3/3PpP2/8/PPQ1P1BP/R4RK1 w - -,c2b3
4rbk1/1N3pp1/p6p/1b6/2p2N2/P1P1nPB1/3R1KPP/8 b - -,e3f5
r1r3k1/4qpb1/p2p2pp/n1nPp3/Pp2P3/6NP/1PB1QPP1/R1B1R1K1 w - -,c1e3
6k1/1p3rpp/p1pprp2/5q2/P1PB4/1K2N1R1/1P6/6Q1 b - -,f5d3
r6r/1p6/2nkp1p1/1p3p1p/2pP1P2/P1P3P1/1PR1B1P1/4K2R w K -,e1f2
r2q2k1/p1pn2pp/1p1pp1r1/2P2p2/2P5/BQPBPbP1/P4P1P/3R1RK1 b - -,d8h4
r6k/1p1n2rp/p1p1p3/2Pp1pqb/PP1P1R1Q/3BP2P/6P1/R5NK w - -,h4g5
r1b1k2r/bpqp1pp1/p3pn2/4n2p/4PB2/1NN3PP/PPP1QPB1/R4RK1 b kq -,d7d6
1r2rbk1/1p1b1pp1/p1pp1n1p/P3nP2/6P1/2NP1N1P/1PPB2B1/R3R1K1 b - -,e5f3
3rqrk1/1pn4p/p1n1bp2/2p1pN2/4P3/2P3PB/1P2Q2P/3R1RK1 w - -,d1d8
r1r3k1/2n2pb1/7p/1p1RpPp1/qB2P3/P2B1Q2/2P3PP/2K4R w - -,d5d7
r1b1k2r/pp2npp1/2n1p2p/2ppP2P/q2P4/P1P2N2/2PB1PP1/R2QKB1R w KQkq -,f1d3:h1h4
r3rnk1/2p2ppp/p1p5/3p1b2/3P4/PN2B3/1PP2PPP/2KRR3 b - -,a8b8
1k1rq2r/1pb2ppp/p1p5/Pn2p3/1P2P3/1RP1BN1P/4QPP1/1R4K1 w - -,c3c4
r5k1/3nppbp/3p2p1/3P4/1Pr3P1/2Nb1NP1/3B1PB1/1RR3K1 w - -,c3d1
2r1kn1r/4bp1p/2p2np1/RpPp4/3Pp1b1/4P3/NP1B1PPP/4KBNR w Kk -,a2b4
8/4k3/7p/4PK1b/7P/1B6/8/8 w - -,b3g8
3r2k1/2pqpp1p/p5pb/1r1P1P2/3P2P1/Pp2NQ2/1P5P/1K1R3R w - -,h2h4
rnb1kb1r/ppqp1ppp/2p2n2/4p3/2PPP3/2N2N2/PP3PPP/R1BQKB1R b KQkq d3,d7d6
1nrq1rk1/4bppp/pp2p3/3pP3/NPnP4/P1BQ1PP1/6BP/R4RK1 b - -,a6a5
r2qk2r/ppp2ppp/8/3Pn3/1b4b1/2N1PNP1/PP3PP1/R2QKB1R b KQkq -,d8f6
5k2/p6Q/1p3p2/n6P/5P2/P1p3P1/5PK1/1B1q4 b - -,d1d5
r4rk1/pp1qppbp/3p1np1/2pPn3/2P1PN2/2N1B2P/PPQ1BK2/R6R b - -,a8b8
r1b1k2r/p1qn1pp1/1ppbp2p/8/3PQ3/3B1N2/PPP2PPP/R1B2RK1 w kq -,f1e1:e4g4:c2c4
8/5k2/8/5P2/1b2P1p1/1P2KbPR/7P/8 b - -,f3e4
r2qk2r/pp3pp1/2p1pb1p/8/3P4/3Q1N1P/PPP2PP1/R4RK1 w kq -,c2c3
r3b1k1/1n3pp1/Nqn1p2p/pQ1p4/3P4/1P2PPP1/3B3P/R4BK1 b - -,b6a7
r2qr1k1/1b1n1pbp/3Bp1p1/pp1pP3/3P3P/1B3N2/PP3PP1/R2Q1RK1 b - -,f7f5
r1bq1rk1/1p2p1bp/p1pp2p1/nP3p2/P1PPn3/3Q1NP1/1B1NPPBP/R4RK1 b - -,d6d5
r4rk1/1ppqbppp/p1p2n2/4p3/4P3/3P1Q1P/PPPN1PP1/R1B2RK1 w - -,d2c4
1q3rk1/1b1n1p1p/1pp1pnp1/r7/P1BPP3/1QN2N1P/5PP1/2RR2K1 w - -,e4e5
r2qk2r/1p1bpp1p/p4npb/4Q3/8/5N2/PPP2PPP/RN2R1K1 w kq -,e5f6
r1b2rk1/pp3pbp/1q2pp2/1N6/4B3/8/PPP1QPPP/R2R2K1 b - -,f6f5
r4rk1/5pbp/1q1ppnp1/1B1b2B1/P7/5N1P/1P1Q1PP1/R3R1K1 w - -,d2d4
5r2/8/2k3p1/1p1R4/8/8/3K4/8 w - -,d5g5
3r1rk1/pp2bpp1/2p1pn1p/NPP5/P2P1B2/1b6/3RBPPP/3R2K1 w - -,a5b3
r2qr1k1/pp3ppp/1np2n2/3p4/3P4/2N3PN/PP1QPP1P/R4RK1 w - -,b2b3
r3nr2/pp1bbppk/1q1p2np/2pPp2Q/P3P3/2N1B1PP/1PPN1PB1/R4RK1 w - -,d2c4
r1bqr1k1/1pp2pbp/3p1np1/p1nPp1B1/2P1P3/2N2N2/PPQ1BPPP/R4RK1 w - -,f3d2
3r2k1/2q2pp1/2p1bn2/pp2pNB1/P3P3/2P2Q1P/2P2PP1/R5K1 b - -,e6f5
r2q1rk1/pb1nbppp/1pN1pn2/3p4/3P4/6P1/PPQBPPBP/RN1R2K1 b - -,b7c6
1r3rk1/pp1qnpbp/2np2p1/2pNp3/2P1N3/1P1PP1Pb/PB2QPBP/R4RK1 b - -,e7d5
r2q1r2/1p4bk/3p2pp/p2Pp2n/2N1pn2/P1N1B3/1P3PPP/1R1Q1R1K w - -,g2g3
8/r3p2k/q7/PrpPp3/2Q1Ppp1/1P6/R5PP/R6K w - -,c4e2
2r2rk1/4qp2/pR2b3/3pP2p/P2N2p1/2PQR3/5P1P/6K1 b - -,e7g5
r2qkb1r/pp1n1pp1/2p1pn1p/4N3/3P1P1P/3Q2N1/PPPB2P1/R3K2R b KQkq -,c6c5
1r6/8/7k/R7/8/5BK1/8/8 w - -,f3e4
1brk4/3q1p2/2p1pQ2/1pP2pPp/1P1P3P/6B1/R6K/8 b - -,d7e7
4r3/2q4k/1p3Qpp/p4p2/P1P2P2/5b2/1P1B1N1P/4R1K1 b - -,e8e1
7r/pk1rbp2/1pq1b3/3pP2p/2p2NpP/P1PQB1P1/1PP5/2KR1R2 w - -,d3e2
3r4/p2r1k1p/1p3pp1/2bNp3/2P5/1P6/P4PPP/3RRK2 w - -,d1d3
r1bq1rk1/pp3pbp/n1pp1np1/3Pp3/2P1P3/2N5/PP1NBPPP/R1BQ1RK1 b - -,f6e8
r1b2rk1/p2n2pp/1ppqpn2/3p1p2/2PP4/5NP1/PPQNPPBP/R4RK1 w - -,f1c1
r3k2r/pp6/q1n1p1pp/3pP3/3P1QPb/2B5/PP3P2/RN3RK1 w kq -,f4e3
r1bqk2r/pp3pbp/2n1pnp1/3p4/3P1N2/2N3P1/PP2PPBP/R1BQK2R w KQkq -,e2e3
r2k3r/4bppp/p1p1b3/8/2p2B2/2N5/PPP2PPP/R3K2R w KQ -,e1c1
r1b1k2r/pp3ppp/n3pn2/1Bbq4/3N4/2P2N2/PP3PPP/R1BQK2R b KQkq -,c8d7
8/2p5/3p1np1/3P1p1k/p1P2P1P/P6K/5N2/8 w - -,f2d1
r2q2k1/5rbp/3p4/p2Np2P/1pPn2Q1/4N2R/PP3P2/R3K3 b Q -,h7h6
6R1/8/8/pN4k1/P1p5/3nn3/3r2P1/1K6 b - -,g5f6
rnb1k2r/pp2pp1p/3p2p1/3Pq3/N3P3/5P2/PP4PP/2RQKB1R b Kkq -,e8g8
rnbq1r1k/pp4pp/5n2/2pp1p2/2PP4/P1PQ1N2/4PP1P/R1B1KBR1 w Q -,d4c5
R4rk1/2p1qnb1/2Pp1n2/3Pp1pp/4Pp2/1NN2P2/4QBPP/5RK1 b - -,f8a8
