8/8/1P2k3/2P5/2K4P/6p1/7r/6R1 b - -,h2c2
r3k2r/pp1bppbp/2n2np1/2qp4/5B2/2P1PN2/PPQNBPPP/R3K2R w KQkq -,e1g1
r2q1rk1/pb3ppp/1pn1p3/4N3/2B1Q3/8/PP1N1PPP/R4RK1 b - -,c6e5
3r1r2/1kq2p2/p1pb3P/2p2N2/6Q1/4B3/PPP4P/2K4R w - -,h2h4
2rq1rk1/pb2bppp/4pn2/1p1n4/2NP4/3B1N2/PPRBQPPP/5RK1 w - -,c4e5
r1b1k2r/4bp1p/p1p1pp2/8/8/1B2B3/PPP2PPP/R3K2R w KQkq -,b3a4
3r4/1p3pk1/p7/5Brp/2P5/1P1N2P1/P6P/2K1R3 b - -,g5f5
r1b1k2r/1pq1bpp1/p2ppn2/4n2p/1PPNP3/P1N1BP2/3Q2PP/2R1KB1R b Kkq -,c8d7
6k1/3n1pbp/1q1pp1p1/n1p5/4PP2/1pPPBQ1P/1P1N2PK/rB3R2 b - -,b6b5
r3k2r/1bq1bp1p/3ppnp1/1p6/1n2PP2/1N1B1Q2/1PPB2PP/4RR1K w kq -,d2b4
5k2/1p3pp1/p3p1p1/P2bPr2/1R6/P1B5/6PP/6K1 b - -,f7f6
r2qkb1r/pp1nnppp/4p3/2p1Pb2/2BP4/5N1P/PP3PP1/RNBQ1RK1 b kq -,a7a6
8/8/4k3/3p2pp/1Pr5/3N1K2/1R5P/8 b - -,g5g4
r1bq1rk1/p4ppp/2p1p3/3n4/8/2b3P1/PPP1QPBP/R1B2RK1 w - -,b2c3
kn6/pp2q1p1/4pp1p/4N3/3Q3P/2P3P1/PP3P2/2K5 w - -,e5g6
r3r1k1/p1qn1p2/2p3p1/1pb1p2p/4P1nP/1P3NP1/PBP1QPK1/R2NR3 w - -,f3g5
8/1Q3pk1/p3b3/3p1Pp1/2r1q3/P1P1P1P1/3R4/3R1KNr b - -,e4f3
8/1p3b2/5k1R/2p5/p1P1K2P/7r/4B3/8 b - -,f7g6
rn4k1/pq1r1pb1/1p1p1n1p/1PpPpPp1/R1P1P3/1PN3PP/Q5B1/R1B3K1 w - -,g2f3
r1br2k1/ppqn1ppp/4p3/2p1P3/2P5/2BB1Q2/PP3PPP/R3K2R w KQ -,e1c1
6k1/2b1rp1p/6p1/5q2/2B5/1P2PQ1P/P3KPP1/3R4 b - -,f5c2
8/2p5/p3p3/1rPb1kp1/2p2p2/2B2P2/P3K1P1/7R b - -,e6e5
8/8/4R3/2k1p3/4K3/4N3/8/4r3 w - -,e6e5
rn1q1rk1/p1pp1ppp/1p2pb2/8/2PPbB2/P3PN2/1P2BPPP/R2Q1RK1 b - -,d7d6
8/2rk4/p7/p1bP1pp1/2P2P1p/8/3NK3/7R b - -,g5f4
rnbqk2r/1p2b1pp/p2p1p2/1N1Pp3/8/Q7/PPPB1PPP/R3KB1R b KQkq -,b8d7
8/4k3/p7/P1N2p1p/2N3p1/1P4PP/6K1/1r6 w - -,h3g4
r6r/p2npk1p/b2p1npQ/q1p5/1p1PP3/5P1N/PPP3PP/1NKR3R w - -,h3g5
1r4k1/2R2pp1/4p1qp/1N1p4/PrnP4/5Q2/5PPP/3R2K1 w - -,b5a7
3qr1k1/p1p2ppp/3p1n2/2p2P2/1rP5/1PN2Q2/P4PPP/R3R1K1 b - -,b4b8
5rk1/4ppbp/2B1b1p1/Q7/pB6/1r5P/q4PP1/2R2RK1 b - -,b3b4
2rq1r2/1p3pk1/3p2p1/p1PP1n2/1P2N3/5BPb/P4Q2/2R1R1K1 b - -,f8h8
6k1/2rnp1b1/3p4/3P2P1/1R4BB/8/8/5K2 w - -,g4e6
r2qr1k1/pb1nbppp/1p1ppn2/8/P2P1B2/2PB1N2/1P1N1PPP/R2QR1K1 w - -,a4a5
r4r2/p1ppbqkn/1p2pp2/4Pb2/2P1NNp1/3BQ3/PP3PP1/2KR3R w - -,f4h5
4r1k1/ppp1n1p1/4p2p/2Pp4/1n1P1r2/1P3NN1/P2R1PPP/4R1K1 b - -,e7g6
r2q2k1/r3bppp/1n2p3/pQ6/1p1P4/4P3/1P1BBPPP/R1R3K1 b - -,a8b8
6k1/2q4p/5pp1/1p6/4P3/P2n1PNP/3Q2PK/2n2R2 b - -,h7h5
8/R5p1/p4pk1/r6p/6P1/4P3/5PKP/8 w - -,g4h5
4b3/p3bkp1/Qp2p2p/2p1q3/8/P1N1P1PB/1P3P1P/6K1 b - -,e5c7
r1bq1rk1/pp2n1bp/3p1np1/2pPpp2/2P1P3/2NBBP1P/PP1Q2P1/R3K1NR w KQ c6,g2g4
Q2nkb1r/4pp1p/p4p2/8/2pP4/2P1PN2/P3KPPP/1q3B1R b k -,b1d3
r5k1/2p3p1/Pn3p1p/3Pp3/R3P3/1N5P/6P1/6K1 w - -,a4a1
5k2/1q1r1p2/p1p3pn/7r/3Bp2p/1PP1Q2P/P5P1/1K1R1R2 w - -,e3e4
2r2rk1/p3b1p1/1p4Qp/3p4/3P4/P3qN1P/5RP1/5RK1 b - -,e7h4
r1bqkb1r/1p3pp1/2p1nn1p/p2p4/3P1B2/P1NBPN2/1PQ2PPP/R3K2R w KQkq -,f4g3
4r1k1/1p2Bpb1/p1n3p1/P2p1q1p/1P5P/R4P1n/2PQB1PK/4R3 b - -,g7e5
r1b1kb1r/p1pp1p1p/1np1q1p1/4P3/2P1Q3/2N5/PP3PPP/R1B1KB1R w KQkq -,f1d3:f2f4:f1e2
2B3k1/1p3ppp/1B3n2/p7/4Pb2/PP6/3N1P2/5K2 w - -,d2c4
r3k2r/1p1qnp2/p2p1b2/2p1p1p1/7p/1P1P1B2/PBP1QPPP/R4RK1 b kq -,f6g7
2rq1r1k/p2b1nbp/3pp1p1/2p2PP1/1pPn1P2/3P2NP/PP4BN/R1BQ1RK1 b - -,e6f5
b4r2/p4qkp/1p1p2p1/1PpP1p2/2Pn1P1P/P2P3B/3Q1K1N/4R3 b - -,f8e8
4r1k1/p3q1pp/bpp5/3N4/P2QP3/1n5P/6P1/3RR1K1 b - -,c6d5
8/1p6/1k6/6p1/PP1RPb1p/4r2P/3KB1P1/8 w - -,d2d1
r3r1k1/p1b2ppp/2p5/2n5/2B2p2/2B2P2/PP5P/2KRR3 w - -,b2b4
rnbqkb1r/p1pp1p1p/1p3pp1/8/2PP4/2N5/PP2PPPP/R2QKBNR b KQkq -,f6f5
8/5pk1/2p1p3/7p/1P1P1P2/8/5PK1/8 w - -,f4f5
5b2/1p5p/5pp1/4p3/2k1P3/4B1P1/PP2KP1P/8 w - -,e2d2
8/8/4N3/8/r7/5K2/1R6/5k2 b - -,a4a3
rnb1kb1r/2q2ppp/p2ppn2/1p6/3NP1P1/2N1BP2/PPP4P/R2QKB1R w KQkq b6,d1d2
r3r1k1/6p1/p1pBnpbp/2Ppn3/1P4P1/1NP4P/R3P1B1/R5K1 b - -,g6e4
rn1q1r1k/pp4bp/2ppbnp1/5p2/2P5/1PNQ1NP1/P3PPBP/R1B2RK1 b - -,b8a6
2r5/1bp2k2/pp1p2R1/3P2p1/2PQ1Pq1/8/PPB3PP/7K b - -,c8g8
r1b1kbnr/2qp1ppp/p1N1p3/1p6/4P3/2N5/PPP1BPPP/R1BQ1RK1 b kq -,d7c6
r1q2rk1/1ppn1pp1/3p1bbp/p7/2PNP1B1/PP6/1BQ2PPP/R4RK1 b - -,f8e8
1rbq1r1k/1p5p/p2p2p1/P1pn1p2/2PbPP2/3P4/1P4BP/R1BQ1R1K w - -,c4d5
rnb1qr1k/p3b1pp/2pppn2/5p2/2P5/2NP1NP1/P3PPBP/R1BQ1RK1 w - -,c1a3
7r/5k2/4p3/3p4/1R3P2/7P/1KP5/8 w - -,b4b3
8/2p4r/1p1p1k2/3Ppp2/2P5/2Nn1PQ1/P1K5/8 b - -,d3c5
1Q6/5ppk/2p4p/2Pqr3/8/4P2P/5PP1/4R1K1 w - -,b8b1
3rr1k1/1p3pp1/pqn1pnp1/2Bp4/3P1N2/2R1PP2/PP1Q2PP/5RK1 b - -,b6c7
r2r4/2pnkp2/p2b2pp/Bp6/4Pp2/3R1N2/PPP3PP/2KR4 w - -,d1e1
Q7/3B2p1/1kpb2K1/1p1p2p1/8/2r4r/8/8 b - -,h3e3
8/3R1p1k/p1p4p/P3PP2/2P1r3/1P6/7P/7K b - -,e4e5
1b6/8/5k2/p1R3p1/6P1/1PP1NK2/r7/8 b - -,a2a3
r3r2k/pp2Bpbp/n7/3p3B/6P1/1P6/P4P1P/R3R1K1 w - -,a1d1
r1b1r1k1/1p2qpp1/p1p3np/3p4/PP1Pn3/2NBPN2/2Q2PPP/1R3RK1 w - -,b4b5
1r2rk2/p1q1Nb2/2P3pp/1p2RNn1/8/4Q1P1/P3PP1P/R5K1 w - -,e3c5
3b4/3q2kp/2b3n1/2P1p1Bn/4P2P/3p1P2/P5QP/1R3R1K w - -,f1d1
5rk1/5pp1/3Q3p/8/2p1P2P/5PK1/q5P1/4R3 b - -,f8e8
r1b2rk1/1p2nppp/p1np2q1/4p3/2P1P3/1P3P2/P2Q2PP/RNB1KB1R w KQ -,c1a3
K6Q/8/8/8/8/7q/6pk/8 w - -,h8e5
5k2/2r5/2P2BK1/3R3p/6bP/8/8/8 b - -,c7c8
