8/8/3p1k2/PR6/5p1P/5K2/r4P2/8 b - -,f6e6
r3k2r/1p3pp1/1n1bbn1p/1Pp1p3/Q2p4/B2PP3/3N1PPP/R2NKB1R b KQkq -,a8a4
1r1q1rk1/1bpnppbp/p4np1/3P4/P3NN2/1BP1BP2/1P1Q2PP/R4RK1 b - -,b7c8
2r3k1/p2Qp1np/6p1/6q1/3P4/P3P1PP/8/3R2K1 w - -,d7c8
5r1k/4q2p/n2p1p2/p1pP3p/P3P2Q/8/1P2NRP1/6K1 b - -,a6b4
1r1q1rk1/p3npbp/1pnpb1p1/2pNp3/1P2P3/P2P2P1/2PBNPBP/1R1Q1RK1 b - -,c6d4
5rk1/5ppp/B1n1p3/1N6/1p2P3/2b1BP2/Pn4PP/2R3K1 b - -,b2d3
r2r2k1/q3b2p/2p1npp1/2p1p3/2P1P3/pP4NP/P1PB1QP1/3R1RK1 w - -,d2c1
8/5p1k/7p/6p1/1p6/1P3KP1/P3NP1P/3r4 b - -,d1a1
r1b2rk1/pp2ppbp/n1pp1np1/q7/2PP4/2N2NPP/PP2PPB1/R1BQ1RK1 w - -,e2e4
8/1p3kP1/2n1p1pp/2P2p2/1p3K1P/P1B2P2/8/8 w - -,a3b4
rnq2rk1/pp2bppp/2pp1n2/4p3/1PP3b1/2NP1NP1/P3PPBP/R1BQ1RK1 w - -,c1d2
8/4pk2/rN4p1/2p1P2p/1p1P3P/1P2b3/P1P2nP1/1K3R2 w - -,d4c5
3r3r/2pnk3/1p3p2/p1b1pPp1/2N5/2P3P1/PP3PK1/2BR3R w - -,c4d2
2kr1b1r/1bqp1pp1/p1n1p2p/1pp1P3/4BB1P/2P1QN2/PPP2PP1/2KR3R w - -,f3d2
2br4/4Q3/1p4kp/6p1/PpP2p2/7P/5RP1/1q2N2K b - -,b1d1
6k1/8/4Q3/ppPp1r2/3PpP1P/4P1r1/PP6/1K6 b - -,f5f7
3rr1k1/pp1q1pb1/4n1pp/2P1P3/2Np1P1N/3Q2P1/PP5P/3RR1K1 b - -,e6c5
3r4/p2Pqpbk/1p4p1/3QN2p/1P3P2/P6P/6P1/5RK1 b - -,g7e5
8/8/8/2k1K3/8/1p6/8/5R2 b - -,c5c4
2rq1rk1/pb1nbppp/1pn1p3/2pp4/4PP2/2PP3P/PPBB2PN/R2QRNK1 b - -,d5e4
5r2/6k1/2bp3p/1p2b1p1/1R4P1/2P2P2/1P4K1/5R2 w - -,f1f2
r1b1k2r/ppqp1ppp/4pn2/2b5/2P5/3Q2P1/PP2PPBP/RNB2RK1 b kq -,d7d6
8/2q4p/6k1/p7/6P1/P4R1P/6K1/8 b - -,a5a4
3r2k1/3b1p1p/6p1/8/3R1N2/pPK3PP/P7/8 b - -,d8c8
r2r2k1/p4pp1/1pnP2p1/8/1P6/2B5/2P3PP/2KR3R b - -,d8d7
r2q1r1k/1p4pp/8/p1pQ1b2/2Pb4/P1N5/1P2BPPP/2R2RK1 w - -,d5d8
r7/3k4/p1p1pp2/1r3bpp/R2P4/1P2KP1P/P4BP1/2R5 b - -,f5g6
8/5r2/B5p1/p3k2p/P6n/4K3/8/8 w - -,a6e2
r2q2k1/5pbp/b1p2np1/p2pr3/2P5/B2BPN2/P4PPP/2RQ1RK1 b - -,e5e8
r1b3k1/1p3p1p/p1p5/4rPb1/3pP3/3P3P/PPP5/1K4RR w - -,g1g5
8/8/4N3/8/5p2/2knpP2/4K3/8 w - -,e6f4
4r3/1rn2p1k/3p3p/1ppP1Pp1/6P1/2N5/1PP3P1/R3R1K1 w - -,e1e8
8/6pk/8/3p4/1P1N2Pp/3R2nP/6K1/4r3 w - -,b4b5
2r2bk1/1q3p2/4b1p1/1p1pPpPp/p1rB1P1P/P1P2NK1/1P1Q4/RR6 b - -,c8a8
3qrnk1/1p1b1p1p/p2p2p1/2pP1P2/P1PbNBn1/3B2N1/1P1Q2P1/3R3K w - -,f4g5
3r4/PP6/8/8/3BPp1b/2P5/2K3kp/5R2 w - -,f1b1
2rr2k1/pb2pp1p/1p3bp1/8/1n6/1Pp2N2/P3BPPP/2Q1R1K1 w - -,a2a3
2br3k/1pp2rpp/1pn5/8/1Pn1PN2/P1B3PP/5PB1/R4RK1 b - -,h8g8
3q2k1/5pr1/3p4/1r1P1Rp1/nP2p1P1/R6P/P4QK1/8 w - -,a3a4
1brr2k1/3qnppp/p4n2/1pRp4/1P1P4/P2Q1BP1/1B2NP1P/2R3K1 b - -,b8a7
1k1rr3/pp3ppp/5n2/2R1p3/3n4/PP1P2P1/5PKP/3BR1N1 b - -,d4c6
r1bb1nk1/3q2np/2p1p1p1/1pPpP3/1p1P3P/1N1BB1P1/P1Q3N1/R5K1 w - -,g3g4
rn1qkb1r/pp3pp1/2p1p2p/2Pp1b2/3PnB2/2N1PN1P/PP3PP1/R1Q1KB1R w KQkq -,c3e4
8/4k3/4p3/8/3R1P1K/3pr3/8/8 b - -,e6e5
3r4/1pr1pknp/p4p2/2P2P1p/1P1N2P1/P3P3/4K3/3R3R w - -,g4h5
3q1rk1/5rp1/1p2pb1p/p1pp4/3P4/P1P1PNQ1/1P3RPP/R5K1 w - -,a1f1
rnbqk2r/ppp1ppbp/1n1p2p1/4P3/2PP1P2/2N5/PP4PP/R1BQKBNR w KQkq -,c1e3
7Q/p4k2/1b2p2p/2q2pp1/6P1/P4N1P/1P3PK1/8 w - -,h8h7
6r1/8/pP6/P1R2k1p/4p3/3pP1PP/3K4/8 b - -,f5e6
8/5kp1/2n2p2/3p2p1/6P1/1P2B2P/P4P2/5K2 w - -,f1e2
r2rb1k1/pp2bppp/2n1p3/7q/2B1Q3/1NP2N2/PP3PPP/R2R2K1 w - -,f3d4
3rr1k1/2p2ppp/p1p1q3/4PQ2/1b2N2P/1P4P1/PBP2P2/R5K1 w - -,f5f4
r1b2rk1/pp1nbppp/2p2n2/q2p4/3P4/2N1P1BP/PPQ1BPP1/R3K1NR w KQ -,g3h4
r3kb1r/pp1b1p1p/1qnpp1p1/4P3/3P4/P1n2N2/1PB2PPP/R1BQ1RK1 w kq -,b2c3
8/8/8/1p2K3/1PbQ4/3k4/8/8 b - -,d3c2
4q2k/p2nr1pp/1p6/5p2/2PP4/1R3P2/P2Q2PP/3K4 w - -,d2f2
r3kb1r/2qn1pp1/p2pbn1p/1p2p3/4P1P1/1NN1B2P/PPPQ1P2/2KR1B1R w kq -,f2f4
1r6/2q4k/r3b1n1/Np2bp1p/1Pp1n3/2P1B3/2N1B1PP/R2RQ1K1 w - -,c2d4
3r2k1/2r2p1p/1p2p1p1/p2p1n2/P1b2P2/2P2BP1/2PR3P/2N1R2K b - -,d8c8
rn1q1rk1/pp2bppp/1nb1p3/4P3/8/1BN2N2/PP1B1PPP/R2Q1RK1 w - -,d2f4
8/8/p3r1p1/1pkp1p1p/P6R/2P2PP1/1P1K2P1/8 w - -,b2b4
2r2rk1/p4pp1/bp2pq2/2Pp4/3P1np1/PP6/3Q1P1P/B2RNRK1 b - -,f4h3
r1br2k1/ppp1ppbp/1nn3p1/1B2P3/3P4/q1N5/3BNPPP/1R1QK2R b K -,c6d4
8/1r1n1pkp/6p1/3Rp3/4P2P/5P2/4N1P1/5K2 w - -,e2c3
r1b1k2r/ppqnbppp/2pp1n2/4p3/3PP3/2N2N1P/PPP1BPP1/R1BQ1RK1 w kq -,c1e3
6k1/6pp/p1n2p2/8/6P1/P7/3B1PPK/8 w - -,h2g3
8/PR6/7k/3K4/r1N3pp/7P/8/8 w - -,c4b6
5rrk/b1p3pp/7R/1p1P2Q1/p7/P1B4P/1P3pP1/1q3R1K w - -,f1b1
r4rk1/1q2nppp/np2p3/p3N3/2Pp1B2/6Q1/PP4PP/1K1R1R2 w - -,e5g4
3r1rk1/p4pbp/1qn1p1p1/4P3/R3NP2/7P/1PB1QP2/3R2K1 b - -,c6d4
r1bq1k1r/pp1n1ppp/4p3/4P1N1/4N3/8/PP2QPPP/R4RK1 w - -,f1d1
r4rk1/1p1n1ppp/1qpbpn2/p2p3b/2PP4/PP3NP1/1B1NPPBP/R2QR1K1 w - -,a1c1
1q6/5rkn/p2p2p1/1ppPp3/4P2Q/1PP3PP/P7/5RK1 w - -,f1f7
2r2rk1/p7/2p5/2RbQPPp/1p1Pp3/4q2P/5NRK/8 w - -,c5c6
4r1k1/2p2qp1/1p1nn2p/p7/2P5/1PB2PPB/P1Q3K1/4R3 w - -,f3f4
3rrnk1/p1q2pbp/bpp2np1/4p1B1/P3P3/2N2NPP/1PPQ1PB1/3RR1K1 w - -,d2c1
8/2R5/4k2P/8/3bp1KN/6P1/7r/8 w - -,h6h7
8/pbq2pk1/1p1BpnN1/5rp1/1PP5/2Q5/P3BPP1/5RK1 b - -,c7d6
r1b3r1/1pp4k/3p3q/3P1p1Q/1P3P2/n6P/5BPK/1RN3R1 w - -,h5h6
1qr2r2/3Q1p1k/p4bp1/1p2p2p/2P1P3/1P3P2/P3B1PP/2R1R2K b - -,c8d8
r4rk1/p1p2ppp/1pnq1b2/3nNb2/2BP4/PN5P/1P3PP1/R1BQR1K1 w - -,d1f3
3rk2r/1p3p1p/p3pp2/2n5/1R1NqP1Q/2P5/P5PP/5RK1 w k -,f1e1
