8/8/1k2p1p1/R3P3/pK3P2/1b5p/7P/8 w - -,a5b5
4n1k1/3q1rnp/2pB1pp1/1p1p4/p2P2P1/P1PB1P2/1P1Q1KP1/3NR3 b - -,e8d6
5r1k/6bp/3q2p1/1p2pP2/1PnpB3/3Q2P1/7P/2B2RK1 b - -,g6f5
2kr3r/ppp1nppp/1q6/1B2P2Q/3N4/6Pb/PP3P1P/R3R1K1 b - -,d8d4
2r1kb1r/1pp2ppp/p1q1b3/8/P4Q2/2N1B3/1PP2PPP/R2R2K1 w k -,f4g3
2kr3r/pppq1ppp/2npb3/6B1/8/2PB4/PPPQ1PPP/2KR3R b - -,f7f6
rr3k2/5p1p/6p1/2R5/p7/1P4P1/P3PP1P/1R4K1 b - -,b8b4
7B/1k3b2/1p6/5pP1/3K1P1P/1P6/P7/8 b - -,b7c6
r1bqk1nr/pp1n1pp1/2pp1b1p/4p3/2BPP3/2N2N2/PPP1QPPP/R1B2RK1 w kq -,f1d1
rnbqkb1r/ppp2ppp/3p1n2/4p3/4P3/1P6/PBPP1PPP/RN1QKBNR w KQkq -,b1c3
8/8/6k1/5p2/3N2p1/3BP1K1/5r2/8 b - -,f2a2
7Q/p7/8/8/7P/P4pK1/3p4/4k3 b - -,d2d1q
5rk1/p4qbp/1p4p1/4p3/3pN3/1Q1P4/PPP2PPP/4R1K1 b - -,h7h6
r3r1k1/3N2pp/p2b4/2pb4/1p6/8/PPP2PPP/R1B1R1K1 w - -,c1e3
r2r1nk1/1bp1qpbp/p5p1/Pp2p3/1P2P3/2PBBP2/2QN2PP/R2R2K1 b - -,f8e6
r3k2r/1bqpbp1p/ppn1p1p1/7n/3pPP2/2N1BNPP/PPP3BK/R2Q1R2 w kq -,f3d4
r1bq1rk1/1pp1nppp/p1np4/2b1p3/2PP4/2N1PNP1/PP3PBP/R1BQ1RK1 b - d3,c5a7
8/p2r1pk1/1pR1p1p1/3r3p/2R4P/P2P2P1/3KPP2/8 b - -,g7f6
1r1b1rk1/1p3p1b/p1q1p2p/2Np2p1/PP1P1B2/2P2N1P/5PP1/R3RBK1 w - -,f4b8
r7/6k1/P1R2p1p/1q1n3B/4QP2/8/1P3b2/1K6 w - -,c6c7
8/5p1k/4p1p1/1p4P1/2qp4/P7/3Q1NK1/8 b - -,c4d5
3r3r/1k1n1Q2/p1q2P2/2p1b3/8/4B1P1/Pp3P1P/1K1R3R w - -,f7d5
r1b2rk1/1p3pb1/p2p1np1/q1pPn2p/P3P3/2N1BPN1/1P2B1PP/R2Q1RK1 w - -,d1d2
8/6pp/6r1/8/R3k3/6p1/6K1/8 b - -,e4f5
r1bq1rk1/pp1nppbp/3p1np1/2p5/3P4/2PBPN2/PP1N1PPP/R1BQ1RK1 w - -,f1e1
r1r3k1/3n1ppp/p3pb2/3n4/1PN5/P2B1P1P/3B1P2/2R1K1R1 b - -,d7e5
r4r2/pbk5/2qbQP2/2pp2BB/1pp2P1P/3n4/PP4P1/R2N1K1R w - -,d1e3
2r2rk1/ppq1bppp/4pn2/n2pN3/3P4/P1N1B3/1PP1QPPP/1RR3K1 b - -,a7a6
2kr1b2/1ppb3r/2n2pp1/p6p/2BNPP2/P1P1PK1P/6P1/R1B4R b - -,g6g5
r1bq1rk1/2p2pb1/1p1p1np1/p1nPp2p/2P1P3/2N1BP2/PPQNB1PP/R4RK1 b - -,h5h4
r3b1k1/n3qppp/R2rp3/1pNp4/1PnP4/1QN1P3/4BPPP/3R2K1 w - -,d1a1
3r1r1k/1p5p/2n1n1qb/p2N1p2/2R2P2/1P5P/P3Q1BK/2BR4 w - -,c1b2
8/5ppk/1R2n2p/2p1B2P/4PP2/8/r4KP1/8 w - -,f2f3
2r1k2r/2q2pp1/4p2p/pp2P3/1nP1B1P1/1PQ2N2/7P/1KB4R w k b6,f3d4
2rqr1k1/1b3pbp/pnp1pnp1/1p2B3/3P4/1PNBPN2/P3QPPP/2RR2K1 b - -,b6d7
1r2k3/4b1K1/7P/8/8/8/8/5R2 b - -,e7b4
r4rk1/2pqn3/bp1p1bp1/p2P3p/2P1PB2/2NB4/PP1Q3P/2KRR3 w - -,e4e5
8/5pk1/6p1/PR2p1P1/2P1Nb1p/5P1P/7r/5K2 w - -,e4f2
8/1p6/2p2k2/1bPp4/1P3p2/5Pp1/2K3P1/7R b - -,f6e5
8/4k3/8/p5P1/2R3K1/2P5/r7/8 b - -,e7f7
6k1/6p1/5p1p/5P2/5P2/8/5K1R/r7 w - -,f2f3
1r3rk1/2p2p1p/p1B1p1p1/1p2P1q1/P1nP4/2P3P1/Q4P1P/R2R2K1 b - -,c4b6
8/p2bk1pp/2n2p2/3Bp3/8/2R2NP1/P1P2PKP/1r6 b - -,e7d6
2bq1rk1/1p2ppbp/2np2p1/1N6/B1P1n3/4B2P/P4PP1/1R1Q1RK1 w - -,a4c2
r2qkb1r/pp1n1ppp/4pn2/3pN3/Q5P1/2N5/PPbPPPBP/R1B1K2R w KQkq -,e5f7:b2b3
r2q1rk1/1b3ppp/p3pn2/bp6/P2P4/3B1N2/1P3PPP/R1BQ1RK1 w - -,a4b5
r4rk1/p2qn1bp/bpnp2p1/2p2pN1/5PP1/2NP4/PPP2BBP/R2Q1RK1 w - -,f1e1
r3k2r/1p2qpp1/pn2p1p1/8/3N4/1PP4P/3PQPP1/R4RK1 b kq -,e8g8
1qr2rk1/1b3ppp/p2bpn2/1p2n3/3NP3/2NB4/PPPBQ1PP/1K1R1R2 b - -,f6d7
8/6p1/3kn2p/5p2/8/4B1P1/K4P1P/8 w - -,a2b3
r4rk1/1p2bppp/2npbn2/q3p3/p3P3/P1N1B3/1PPQBPPP/R1NR2K1 w - -,c1a2:d2d3
2k5/1p3p2/p5n1/P2N4/1PPR2K1/6P1/8/5r2 w - -,g4g5
1r1q1rk1/5pbp/3pbnp1/npp5/4P3/1PN3P1/PBQN1PBP/1R3RK1 w - -,b1d1
1r4k1/q3ppbp/3p2p1/2pP4/5BQ1/r5PP/4P1BK/2NR4 b - -,a7a4
2k3r1/p4p2/1p2p3/2p1QbPq/8/P2P4/1PP3R1/4R1K1 w - -,e5f4
3k4/p2rn1p1/5p1p/RN6/8/8/5PPK/8 b - -,d7d5
6R1/r3k3/8/5p2/8/4p1p1/8/4K3 w - -,g8g3
1Q6/P7/8/7q/1K6/4P1pk/1P6/8 b - -,g3g2
8/4kp2/5p1p/8/1pB1K2P/2p2P2/PP2n3/8 w - -,b2c3
r5k1/2q1N1p1/1p1r1n1p/p1pp1Q1P/3P4/2P1N1P1/PP3P2/R3R1K1 b - -,c7e7
5rk1/5pbp/q2p1np1/1NpPn3/4P3/4BPN1/1P4PP/3Q1RK1 w - -,b5a3
1k1r1b1r/1p2pppp/p7/5b2/2BP4/2N1Q3/PP3PqP/2R1K2R w K -,e3e5
1r3bk1/2q2b1p/2p2pp1/1rn1p3/4P1P1/2B1NP1P/2P1Q1N1/R2R3K b - -,c5e6
6k1/R7/6p1/5r1p/5p1P/5P1K/8/8 w - -,a7b7
r3r1k1/2pq2pp/1p2pp2/pP6/2PP2N1/B1P3P1/5P1P/R4QK1 w - -,g4e3
3r2r1/p4k2/1p2pP2/1P6/2qnQP2/BRp5/2P2KPP/3R4 b - -,c4d5
r1b2rk1/p1n1ppbp/1q1p2p1/1p1Pn3/1PP5/2N3PP/1BQNPPB1/R1R3K1 w - -,c4c5
1rb1kbnr/1p2pNpp/pN2np2/8/2B5/8/PP3PPP/R1B1K2R b KQk -,e6d4
5bk1/1R6/5rpp/8/1p3pP1/5R1P/5PK1/8 w - -,h3h4
r1bqnrk1/1p3pbp/3p2p1/p1nPp3/2N1P3/2N1B3/PP3PPP/1R1QRBK1 b - -,c8d7
6k1/1q3pb1/2NQb1pp/8/B3P3/7P/5PP1/6K1 b - -,b7b1
5rk1/p1qb1pp1/Bp1p3p/n1rPp3/PR2P2P/2P1N1P1/2RKQP2/8 w - -,a6d3
rq3rk1/3n1ppp/p1b1pn2/1pb3B1/4P3/P1NB1N2/1P2QPPP/3R1RK1 b - -,a8a7
r1bqkb1r/ppp2ppp/2n1pn2/8/2pPP3/2N1B3/PP3PPP/R2QKBNR w KQkq -,f1c4
r4rk1/1p2pp2/p2p1bp1/q1pP3p/2P1PPbP/2N5/PP1QB1P1/R3K2R w KQ -,e2g4
1n6/1qb1nkp1/2p1pp2/1pPpP2Q/1N1P1PP1/r7/1P2BB2/6K1 b - -,f7f8
r5k1/2p1rpbp/bp1q2p1/p2p4/P2PnP2/2P1BN2/1P2N1PP/R2QR1K1 w - -,e2c1
r7/pp1k1p1p/4b3/2b1p1B1/6P1/2NP1P2/PP4P1/nK3B2 b - -,a1b3
r1b1r1k1/pp1nq1bp/2ppnpp1/6P1/1PP1PP1P/2N1B3/P1NQB3/3R1RK1 w - -,f4f5
rnbqkb1r/pp1p1pp1/2p1p2p/3nP3/3P4/4BN2/PPP2PPP/RN1QKB1R w KQkq -,f1e2
rnbq1rk1/pppp1pbp/5np1/8/2PNP3/2N5/PP2BPPP/R1BQK2R b KQ -,f8e8
