8/5k2/3P4/2p1P1P1/1pK4p/8/1P6/8 w - -,g5g6
1r4k1/1r3p1p/p3p1p1/2pbPP2/Pq1p4/6N1/1P4PP/RRQ4K b - -,e6f5
1q2rrk1/p7/1pn1b1pp/2p1b3/P1NpPp2/1P1P2P1/1B2QPBP/2R1R1K1 w - -,c1b1
r3k2r/1b1nbppp/p3p3/q2pP3/1p2nP2/3B1N2/NPPBQ1PP/R4R1K w kq -,a2b4
rr3bk1/1q5p/1pbR2p1/2n1p3/p1P1P1P1/4BPN1/PPB1Q3/2K4R w - -,d6d2
8/8/p7/1k5P/4bb2/4p3/PP6/K3R3 b - -,e4f3
8/1b6/1P3r1p/P1R3p1/6k1/6P1/7K/3N4 b - -,f6d6
rn2kb1r/pp1qpppp/3p1n2/8/3NP3/2N5/PPP2PPP/R1BQK2R b KQkq -,b8c6:e7e6:g7g6
3k2nr/pp3pp1/2pq2p1/3p3r/3P4/2PB1PP1/PP1QR2P/R5K1 w - -,b2b4
r2qk2r/4bppp/pp1ppn2/8/2PQ4/2N3P1/PP1NPPbP/R2R2K1 w kq -,g1g2
3r3k/1p1r1ppb/1qp1p2p/P7/1PQbP3/5BP1/5PKP/1RB2R2 b - -,b6a7
rnbqkbnr/pp3ppp/4p3/2pp4/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq -,f1d3:b2b3
r3rbk1/2q2ppp/1p3n2/p1np1NB1/P3P3/2P2N1P/1PQ1RPP1/R5K1 b - -,d5e4
r2qrbk1/1bp1nppp/pp6/3p4/3P4/P1N1PN2/1PQRBPPP/2R3K1 w - -,b2b4
r2q1rk1/ppp1bppp/2n5/3P1b2/3P4/P1P2N2/4BPPP/R1BQ1RK1 b - -,d8d5
5B2/pp2Q1p1/4p2p/5pnk/P7/1P4P1/4KP1P/2q5 b - -,c1c2
4k3/8/R3N1p1/1p2n3/1P5p/5r2/6K1/8 b - -,h4h3
6rk/2Q5/p1P2n2/1b1pp1bn/8/7K/P6P/2R2R2 b - -,g5c1
1rbr4/pp2kppp/2p3n1/N1Pp4/5P2/4P3/PP1RB1PP/3R2K1 b - f3,f7f5
4rk1r/2q2ppp/p7/1p2pP1n/3Bb3/2PB2Q1/2P3PP/1R2R2K w - -,g3h4
2rn4/1p1k3p/5p2/PRBK1Pp1/6P1/7P/8/8 w - -,c5b6
r4rk1/pppqp1bp/4N1p1/3nPp2/1n1P4/2N1BP2/PP1Q2PP/1K1R1B1R b - -,d7e6
2r2r2/1b5k/pq1pN1p1/1p1P1p2/5bPp/PQP5/1P4BP/3R3K w - -,e6f4
r2qr2k/p1pbn3/1p4pb/3P1p2/4Pp1P/BQN2P2/PP2B3/2KR3R w - -,e4e5
rn1q1rk1/pb2bppp/1p1ppn2/2p5/2P1P3/2NP1NP1/PP3PBP/R1BQ1RK1 w - c6,h2h3
3rk2r/ppq2ppp/n1pQp3/7b/P1NPP3/4B1P1/1P2nPBP/R3K2R w KQk -,d6c7
5rk1/4n1p1/p2prq1p/1p6/3Pp2n/2PB2QP/PP1N1P2/2K1R1R1 w - -,d3e4
rnbqkb1r/1p1p1ppp/p3pn2/8/3NP3/3B4/PPP1QPPP/RNB1K2R b KQkq -,d8b6:b8c6:d7d6:d8c7:d7d5
rnb1kbnr/1pq1pppp/p2p4/2p5/3PP3/2P2N2/PP3PPP/RNBQKB1R w KQkq -,c1f4:h2h3
1r2r1k1/1q2pp1p/3p1bp1/1P1P4/1p1B4/1n3NP1/4QP1P/3R1RK1 b - -,b3d4
2b5/4k2p/1p2p1p1/pPp1Pp2/P1P1pP2/4P1P1/3r3P/4RBK1 b - -,c8d7
8/p1r2kp1/1b1R1p2/1pN4p/1n5P/6P1/P2BKP2/8 w - -,d2b4
r2q1rk1/pp1n1pbp/2p2np1/8/2PP4/2NB1Q1P/PB3PP1/R2R2K1 b - -,f8e8
r6k/pb3pb1/1p3B1p/4PN2/6P1/4R2P/7K/8 b - -,g7f6
3r4/5pkp/R3p1p1/P7/1p3Q2/1q3KP1/1P5P/8 w - -,f3g4
4rrk1/ppp2ppp/2n1q1n1/3p4/3P1b2/2PBN2P/PP1B1PP1/R2QR1K1 b - -,e6d7
1r6/4k3/1b1p2pp/3Bpp2/4P3/8/RPP1KPPP/8 w - f6,g2g3
6r1/1r3k1p/p1p2p2/2b5/P3pN1P/1PB1PbP1/K4R2/6R1 w - -,c3d2
2rqk2r/1p1bppbn/p2p2p1/6Pp/2nNPP2/2N1B3/PPPQB1KP/R4R2 w k -,e2c4
4r1k1/1p3pp1/1pp5/6qp/4P1n1/2N2B1Q/PP2KP2/3R4 b - -,b6b5
1brq1rk1/pp1n1pp1/2p1pnp1/8/2PP2P1/1P3N1P/P4PB1/R1BQR1K1 b - -,f8e8
6k1/2p1b1p1/1pb1p2p/2P1Pp2/1P1K1P2/2B3P1/B5P1/8 b - -,b6c5
3rr1k1/p3qp1p/1p4p1/n1p5/3bR2P/1P1N2P1/P4PB1/4RQK1 b - -,e7f8
5k2/3r3p/4p3/PR2Pp2/r4K2/3p1P2/3R3P/8 w - -,f4g5
r2r2k1/5ppp/p7/1p1p2qP/3N4/P5QP/1P2BP2/3R2K1 b - -,g5f6
rnbqkbnr/ppp2ppp/4p3/3p4/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq -,g1f3:c1f4
8/3k3p/3p2p1/br6/5B1P/R1PK2P1/6r1/4R3 w - -,e1e2
1r4k1/q3bpp1/2n1p2p/2p5/p1NnPP1P/P1BQ2P1/8/3BR1K1 b - -,e7d8
1n1r1rk1/p2qb1pp/1p1N4/2ppPp2/8/1P2PQP1/PB3P1P/R2R2K1 b - -,e7d6
2br1rk1/4qpp1/4p2p/3pP3/1RpP4/2P1Q1PB/P6P/5RK1 b - -,e7a7
2kr3r/pq1nbp2/1p2p2p/4P1p1/2PB4/1P4PP/P2NQP2/R3R1K1 b - -,e7c5
6k1/1b3pp1/2q1p2p/1p2P3/7b/1Q2BP2/1P2NKPP/8 w - -,f2g1
1N6/6n1/1n3k2/7p/1P5P/5B1K/8/8 b - -,f6e5
4k2r/1qbp1p2/p3p2p/3nP1p1/PpQ5/2P3B1/1P3PPP/3R1RK1 b k -,h6h5
2qb2k1/Q1p2pp1/1P1p3p/N2b4/8/4B2P/5PP1/6K1 w - -,b6b7
7r/3r1p2/1k2p3/p1R1P3/4BP2/6K1/2P5/8 w - -,c5c4
rn2kbnr/1bqp1ppp/p3p3/8/1p2P3/1NNB4/PPP1QPPP/R1B2RK1 w kq -,c3b1:c3d1
rn1q1rk1/pbp2pbp/1p1p1pp1/8/3P4/4PNP1/PPP2PBP/RN1Q1RK1 w - -,d4d5
r1b2r1k/ppp2qbp/2n3pB/4p3/2P4Q/5NP1/PP3PBP/R3R1K1 b - -,g7h6
r5k1/3n4/2p4p/2bpp1Pb/8/PqNP2BP/1P1Q2PK/5R2 b - -,a8f8
rnb1k2r/1p4p1/p2pp2p/8/2BNN2b/q5P1/P1PQ3P/1R2K2R b Kkq -,d6d5
r3k2r/bpp1q2p/p1p1bp2/4p1p1/1PN1P1n1/P2P1N2/2P1QPPP/1RB2RK1 b kq -,h7h5
8/2b2r1k/2p3r1/2Pp4/3Pp3/R5BP/5qK1/5R2 w - -,f1f2
4r1k1/1p3pbp/p2r2p1/2p3B1/P1nnP3/1PN5/5PPP/2RB1RK1 b - -,c4b2
5b2/p4pk1/1p3q2/7p/5Q1P/PBP5/KP6/8 w - -,f4g3
r1bq1rk1/1pp1p1bp/3p1np1/2nP1p2/p1P5/1PN2NP1/PB2PPBP/1R1Q1RK1 b - -,a4b3
8/1p3q1k/p1p1b1pp/P7/2PQ4/1PP1KBP1/8/8 b - -,h6h5
r3k2r/1bqn1p2/3ppp1b/1p5p/3NPP2/2N5/PPPQ2PP/1K1RR3 w kq -,d4b5
r2r2k1/1p3qb1/p2pbp2/4n2N/2P1PB2/1P6/P2Q2PP/4RR1K w - -,h5g7
6k1/6b1/p2q1pp1/8/2rN1PQ1/2P1R3/P6P/6K1 b - -,c4c3
R7/2r1k3/2p1np2/2P2P2/3P4/2KB4/8/8 b - -,e6f4
6r1/2q1kp1r/p2pbn1p/2p1p3/4P3/2P2BQ1/P1P2PPP/R2R1NK1 w - -,g3h4
r3qrk1/pppb1pbp/3p2p1/3nn3/8/2P1PN1P/PP1NBPPB/R2QR1K1 b - -,d5b6
r1b2rk1/pppnb1pp/3p1n2/4Pp1q/2P5/1PNN2P1/P3PPBP/R1BQ1RK1 b - -,d6e5
8/5ppk/7p/7P/2N3P1/p1r1NP2/7r/3R1K2 w - -,f1g1
r4rk1/1q1nbppp/p3p3/2p5/P1Q1P3/2B5/1P1N1PPP/R2R2K1 b - -,e7f6
8/5p2/2B2kp1/8/pp2P2p/1q3P1P/1P4P1/3R1K2 w - -,d1d6
3q2k1/rbp1n1pp/1p1r1p2/pP1p4/B2PnN2/P3PN2/2Q2PPP/R1R3K1 w - -,c2c7
2q2b1k/R5p1/pB1p1r2/P2P3p/4Q2P/6P1/2P2PK1/8 w - -,a7c7
3r4/2b5/p3k3/1pBp1p2/1Pr2P2/P3P2K/8/2RR4 w - -,c5d4
2rr2k1/p3bpp1/2q1p2p/1pP5/8/1P1N2PP/P1Q2P2/3R1RK1 w - -,b3b4
rnbqkb1r/p1pppppp/1p3n2/8/3P1B2/2N5/PPP1PPPP/R2QKBNR b KQkq -,e7e6
4k3/5pK1/4p3/3nPP2/4B1b1/B7/8/8 w - -,f5f6
6k1/3rQpp1/1p5p/8/6b1/P5P1/1q2PP1P/4RBK1 w - -,e7e8
r1bq1rk1/1p2bppp/3p1n2/p3p3/Pn2PP2/1NN1B3/1PPQB1PP/R3K2R w KQ -,e1g1
